subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5ebc3097a9c38504ebd8a347,0,0,2024-02-28T14:22:26.741Z,english_269.wav,0,peel,2399,40,5,5,English,M,0,0.0,-83.93501444,0.85151873
5ebc3097a9c38504ebd8a347,0,0,2024-02-28T14:22:26.741Z,english_269.wav,0,peel,2399,40,5,5,English,M,1,0.1,88.09879619,0.93284173
5ebc3097a9c38504ebd8a347,0,0,2024-02-28T14:22:26.741Z,english_269.wav,0,peel,2399,40,5,5,English,M,2,0.2,-88.94573115,0.56585091
5ebc3097a9c38504ebd8a347,0,0,2024-02-28T14:22:26.741Z,english_269.wav,0,peel,2399,40,5,5,English,M,3,0.3,-19.78587184,1.66708848
5ebc3097a9c38504ebd8a347,0,0,2024-02-28T14:22:26.741Z,english_269.wav,0,peel,2399,40,5,5,English,M,4,0.4,69.53650184,0.92160414
5ebc3097a9c38504ebd8a347,0,0,2024-02-28T14:22:26.741Z,english_269.wav,0,peel,2399,40,5,5,English,M,5,0.5,-12.80260332,0.96478354
5ebc3097a9c38504ebd8a347,0,0,2024-02-28T14:22:26.741Z,english_269.wav,0,peel,2399,40,5,5,English,M,6,0.6,37.86483682,0.12392918
5ebc3097a9c38504ebd8a347,0,0,2024-02-28T14:22:26.741Z,english_269.wav,0,peel,2399,40,5,5,English,M,7,0.7,20.748183,0.94784748
5ebc3097a9c38504ebd8a347,0,0,2024-02-28T14:22:26.741Z,english_269.wav,0,peel,2399,40,5,5,English,M,8,0.8,68.31338511,0.83939678
5ebc3097a9c38504ebd8a347,0,0,2024-02-28T14:22:26.741Z,english_269.wav,0,peel,2399,40,5,5,English,M,9,0.9,-95.26136032,1.67634699
5ebc3097a9c38504ebd8a347,0,0,2024-02-28T14:22:26.741Z,english_269.wav,0,peel,2399,40,5,5,English,M,10,1.0,60.98745535,1.66934281
5ebc3097a9c38504ebd8a347,0,0,2024-02-28T14:22:26.741Z,english_269.wav,0,peel,2399,40,5,5,English,M,11,1.09391667,-4.34526385,1.1076262
5ebc3097a9c38504ebd8a347,1,0,2024-02-28T14:22:26.741Z,english_292.wav,0,peel,5380,40,5,5,English,M,0,0.0,25.72060653,1.17792554
5ebc3097a9c38504ebd8a347,1,0,2024-02-28T14:22:26.741Z,english_292.wav,0,peel,5380,40,5,5,English,M,1,0.1,-6.51251487,0.30252559
5ebc3097a9c38504ebd8a347,1,0,2024-02-28T14:22:26.741Z,english_292.wav,0,peel,5380,40,5,5,English,M,2,0.2,3.32661168,1.09442145
5ebc3097a9c38504ebd8a347,1,0,2024-02-28T14:22:26.741Z,english_292.wav,0,peel,5380,40,5,5,English,M,3,0.3,89.62386246,1.28448778
5ebc3097a9c38504ebd8a347,1,0,2024-02-28T14:22:26.741Z,english_292.wav,0,peel,5380,40,5,5,English,M,4,0.4,80.65433919,1.02735441
5ebc3097a9c38504ebd8a347,1,0,2024-02-28T14:22:26.741Z,english_292.wav,0,peel,5380,40,5,5,English,M,5,0.5,44.84771524,0.62410129
5ebc3097a9c38504ebd8a347,1,0,2024-02-28T14:22:26.741Z,english_292.wav,0,peel,5380,40,5,5,English,M,6,0.6,25.54437629,1.60418481
5ebc3097a9c38504ebd8a347,1,0,2024-02-28T14:22:26.741Z,english_292.wav,0,peel,5380,40,5,5,English,M,7,0.7,-12.49512251,0.44189431
5ebc3097a9c38504ebd8a347,1,0,2024-02-28T14:22:26.741Z,english_292.wav,0,peel,5380,40,5,5,English,M,8,0.8,-42.7769001,1.24863789
5ebc3097a9c38504ebd8a347,1,0,2024-02-28T14:22:26.741Z,english_292.wav,0,peel,5380,40,5,5,English,M,9,0.9,-50.66960292,1.87159039
5ebc3097a9c38504ebd8a347,1,0,2024-02-28T14:22:26.741Z,english_292.wav,0,peel,5380,40,5,5,English,M,10,1.0,-26.28928757,1.63743996
5ebc3097a9c38504ebd8a347,1,0,2024-02-28T14:22:26.741Z,english_292.wav,0,peel,5380,40,5,5,English,M,11,1.09391667,-87.75283225,0.32075193
5ebc3097a9c38504ebd8a347,2,0,2024-02-28T14:22:26.741Z,english_453.wav,0,peel,1730,40,5,5,English,M,0,0.0,-70.25213601,0.36867593
5ebc3097a9c38504ebd8a347,2,0,2024-02-28T14:22:26.741Z,english_453.wav,0,peel,1730,40,5,5,English,M,1,0.1,89.68329695,1.72886328
5ebc3097a9c38504ebd8a347,2,0,2024-02-28T14:22:26.741Z,english_453.wav,0,peel,1730,40,5,5,English,M,2,0.2,64.82558172,1.62690503
5ebc3097a9c38504ebd8a347,2,0,2024-02-28T14:22:26.741Z,english_453.wav,0,peel,1730,40,5,5,English,M,3,0.3,-29.59079509,0.73552932
5ebc3097a9c38504ebd8a347,2,0,2024-02-28T14:22:26.741Z,english_453.wav,0,peel,1730,40,5,5,English,M,4,0.4,2.86785492,1.15423746
5ebc3097a9c38504ebd8a347,2,0,2024-02-28T14:22:26.741Z,english_453.wav,0,peel,1730,40,5,5,English,M,5,0.5,29.66798779,0.00604153
5ebc3097a9c38504ebd8a347,2,0,2024-02-28T14:22:26.741Z,english_453.wav,0,peel,1730,40,5,5,English,M,6,0.6,83.99800943,0.72573154
5ebc3097a9c38504ebd8a347,2,0,2024-02-28T14:22:26.741Z,english_453.wav,0,peel,1730,40,5,5,English,M,7,0.7,3.87286535,0.64728212
5ebc3097a9c38504ebd8a347,2,0,2024-02-28T14:22:26.741Z,english_453.wav,0,peel,1730,40,5,5,English,M,8,0.8,-49.24820381,1.80766087
5ebc3097a9c38504ebd8a347,2,0,2024-02-28T14:22:26.741Z,english_453.wav,0,peel,1730,40,5,5,English,M,9,0.9,77.90929808,1.21653859
5ebc3097a9c38504ebd8a347,2,0,2024-02-28T14:22:26.741Z,english_453.wav,0,peel,1730,40,5,5,English,M,10,1.0,93.37572535,0.12484757
5ebc3097a9c38504ebd8a347,2,0,2024-02-28T14:22:26.741Z,english_453.wav,0,peel,1730,40,5,5,English,M,11,1.09391667,1.85400833,0.63167788
5ebc3097a9c38504ebd8a347,3,0,2024-02-28T14:22:26.741Z,english_82.wav,0,peel,1212,40,5,5,English,M,0,0.0,-50.65944843,0.53695405
5ebc3097a9c38504ebd8a347,3,0,2024-02-28T14:22:26.741Z,english_82.wav,0,peel,1212,40,5,5,English,M,1,0.1,-8.30198342,1.68823048
5ebc3097a9c38504ebd8a347,3,0,2024-02-28T14:22:26.741Z,english_82.wav,0,peel,1212,40,5,5,English,M,2,0.2,28.238309,0.29560695
5ebc3097a9c38504ebd8a347,3,0,2024-02-28T14:22:26.741Z,english_82.wav,0,peel,1212,40,5,5,English,M,3,0.3,-35.80408689,0.83443164
5ebc3097a9c38504ebd8a347,3,0,2024-02-28T14:22:26.741Z,english_82.wav,0,peel,1212,40,5,5,English,M,4,0.4,80.50699914,0.87894934
5ebc3097a9c38504ebd8a347,3,0,2024-02-28T14:22:26.741Z,english_82.wav,0,peel,1212,40,5,5,English,M,5,0.5,-99.69979401,1.46703122
5ebc3097a9c38504ebd8a347,3,0,2024-02-28T14:22:26.741Z,english_82.wav,0,peel,1212,40,5,5,English,M,6,0.6,30.38876845,0.23248639
5ebc3097a9c38504ebd8a347,3,0,2024-02-28T14:22:26.741Z,english_82.wav,0,peel,1212,40,5,5,English,M,7,0.7,-2.76434691,1.71572221
5ebc3097a9c38504ebd8a347,3,0,2024-02-28T14:22:26.741Z,english_82.wav,0,peel,1212,40,5,5,English,M,8,0.8,-19.59960586,1.24729907
5ebc3097a9c38504ebd8a347,3,0,2024-02-28T14:22:26.741Z,english_82.wav,0,peel,1212,40,5,5,English,M,9,0.9,-93.26966696,0.75753981
5ebc3097a9c38504ebd8a347,3,0,2024-02-28T14:22:26.741Z,english_82.wav,0,peel,1212,40,5,5,English,M,10,1.0,64.56379815,1.65214627
5ebc3097a9c38504ebd8a347,3,0,2024-02-28T14:22:26.741Z,english_82.wav,0,peel,1212,40,5,5,English,M,11,1.09391667,-59.79308705,0.40383656
5ebc3097a9c38504ebd8a347,4,0,2024-02-28T14:22:26.741Z,english_932.wav,0,peel,894,40,5,5,English,M,0,0.0,38.23438928,1.12401337
5ebc3097a9c38504ebd8a347,4,0,2024-02-28T14:22:26.741Z,english_932.wav,0,peel,894,40,5,5,English,M,1,0.1,-58.10377529,0.61932379
5ebc3097a9c38504ebd8a347,4,0,2024-02-28T14:22:26.741Z,english_932.wav,0,peel,894,40,5,5,English,M,2,0.2,91.68709635,1.42631679
5ebc3097a9c38504ebd8a347,4,0,2024-02-28T14:22:26.741Z,english_932.wav,0,peel,894,40,5,5,English,M,3,0.3,43.08352003,1.23008562
5ebc3097a9c38504ebd8a347,4,0,2024-02-28T14:22:26.741Z,english_932.wav,0,peel,894,40,5,5,English,M,4,0.4,89.28150272,1.74074376
5ebc3097a9c38504ebd8a347,4,0,2024-02-28T14:22:26.741Z,english_932.wav,0,peel,894,40,5,5,English,M,5,0.5,-32.82905254,0.41912443
5ebc3097a9c38504ebd8a347,4,0,2024-02-28T14:22:26.741Z,english_932.wav,0,peel,894,40,5,5,English,M,6,0.6,-27.89856156,1.78556309
5ebc3097a9c38504ebd8a347,4,0,2024-02-28T14:22:26.741Z,english_932.wav,0,peel,894,40,5,5,English,M,7,0.7,-15.6368176,0.72255464
5ebc3097a9c38504ebd8a347,4,0,2024-02-28T14:22:26.741Z,english_932.wav,0,peel,894,40,5,5,English,M,8,0.8,-47.50450916,1.47985237
5ebc3097a9c38504ebd8a347,4,0,2024-02-28T14:22:26.741Z,english_932.wav,0,peel,894,40,5,5,English,M,9,0.9,-85.48225369,1.29316662
5ebc3097a9c38504ebd8a347,4,0,2024-02-28T14:22:26.741Z,english_932.wav,0,peel,894,40,5,5,English,M,10,1.0,26.29289849,1.31994778
5ebc3097a9c38504ebd8a347,4,0,2024-02-28T14:22:26.741Z,english_932.wav,0,peel,894,40,5,5,English,M,11,1.09391667,-34.49542083,1.97700851
5ebc3097a9c38504ebd8a347,5,0,2024-02-28T14:22:26.741Z,english_132.wav,0,peel,1569,40,5,5,English,M,0,0.0,0.80878803,1.8484575
5ebc3097a9c38504ebd8a347,5,0,2024-02-28T14:22:26.741Z,english_132.wav,0,peel,1569,40,5,5,English,M,1,0.1,-89.46369243,0.19659267
5ebc3097a9c38504ebd8a347,5,0,2024-02-28T14:22:26.741Z,english_132.wav,0,peel,1569,40,5,5,English,M,2,0.2,-42.02740452,0.98704764
5ebc3097a9c38504ebd8a347,5,0,2024-02-28T14:22:26.741Z,english_132.wav,0,peel,1569,40,5,5,English,M,3,0.3,-31.54071999,0.90975168
5ebc3097a9c38504ebd8a347,5,0,2024-02-28T14:22:26.741Z,english_132.wav,0,peel,1569,40,5,5,English,M,4,0.4,0.25010778,1.48690857
