subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:39:09.422Z,english_744.wav,0,peel,25231,31,5,4,English,f,0,0.0,68.01647572,0.92301697
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:39:09.422Z,english_744.wav,0,peel,25231,31,5,4,English,f,1,0.1,-94.84396495,1.7240092
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:39:09.422Z,english_744.wav,0,peel,25231,31,5,4,English,f,2,0.2,-7.3752647,0.78395161
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:39:09.422Z,english_744.wav,0,peel,25231,31,5,4,English,f,3,0.3,-81.08479212,1.15168853
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:39:09.422Z,english_744.wav,0,peel,25231,31,5,4,English,f,4,0.4,-44.66331389,0.98824464
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:39:09.422Z,english_744.wav,0,peel,25231,31,5,4,English,f,5,0.5,-77.45989494,1.26560798
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:39:09.422Z,english_744.wav,0,peel,25231,31,5,4,English,f,6,0.6,19.1026234,0.20042884
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:39:09.422Z,english_744.wav,0,peel,25231,31,5,4,English,f,7,0.7,-0.63798112,1.76365186
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:39:09.422Z,english_744.wav,0,peel,25231,31,5,4,English,f,8,0.8,74.86031238,1.68948901
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:39:09.422Z,english_744.wav,0,peel,25231,31,5,4,English,f,9,0.9,-35.9107796,0.81659748
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:39:09.422Z,english_744.wav,0,peel,25231,31,5,4,English,f,10,1.0,-6.98299608,1.14393897
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:39:09.422Z,english_744.wav,0,peel,25231,31,5,4,English,f,11,1.09391667,-12.26999011,0.86480781
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:39:09.422Z,english_79.wav,0,peel,1521,31,5,4,English,f,0,0.0,27.97817784,0.84571494
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:39:09.422Z,english_79.wav,0,peel,1521,31,5,4,English,f,1,0.1,71.46944993,1.27709221
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:39:09.422Z,english_79.wav,0,peel,1521,31,5,4,English,f,2,0.2,89.05489336,1.27075812
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:39:09.422Z,english_79.wav,0,peel,1521,31,5,4,English,f,3,0.3,-19.05433113,1.99746898
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:39:09.422Z,english_79.wav,0,peel,1521,31,5,4,English,f,4,0.4,-69.45960299,0.86632135
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:39:09.422Z,english_79.wav,0,peel,1521,31,5,4,English,f,5,0.5,73.78187689,1.18439274
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:39:09.422Z,english_79.wav,0,peel,1521,31,5,4,English,f,6,0.6,45.30424973,0.05743494
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:39:09.422Z,english_79.wav,0,peel,1521,31,5,4,English,f,7,0.7,-12.3964906,1.88609771
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:39:09.422Z,english_79.wav,0,peel,1521,31,5,4,English,f,8,0.8,-6.65615849,1.07546111
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:39:09.422Z,english_79.wav,0,peel,1521,31,5,4,English,f,9,0.9,20.78943027,0.97034818
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:39:09.422Z,english_79.wav,0,peel,1521,31,5,4,English,f,10,1.0,-67.05166292,0.94663039
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:39:09.422Z,english_79.wav,0,peel,1521,31,5,4,English,f,11,1.09391667,-53.62396235,0.1925317
65a97c769f2db2c7f246e5b5,2,0,2024-02-28T14:39:09.422Z,english_578.wav,0,peel,3127,31,5,4,English,f,0,0.0,-75.00897619,0.74810011
65a97c769f2db2c7f246e5b5,2,0,2024-02-28T14:39:09.422Z,english_578.wav,0,peel,3127,31,5,4,English,f,1,0.1,-99.92599168,1.6653295
65a97c769f2db2c7f246e5b5,2,0,2024-02-28T14:39:09.422Z,english_578.wav,0,peel,3127,31,5,4,English,f,2,0.2,-41.97852884,0.86958953
65a97c769f2db2c7f246e5b5,2,0,2024-02-28T14:39:09.422Z,english_578.wav,0,peel,3127,31,5,4,English,f,3,0.3,-44.5286304,1.82114948
65a97c769f2db2c7f246e5b5,2,0,2024-02-28T14:39:09.422Z,english_578.wav,0,peel,3127,31,5,4,English,f,4,0.4,33.7471246,1.20682151
65a97c769f2db2c7f246e5b5,2,0,2024-02-28T14:39:09.422Z,english_578.wav,0,peel,3127,31,5,4,English,f,5,0.5,-20.55369632,0.95346463
65a97c769f2db2c7f246e5b5,2,0,2024-02-28T14:39:09.422Z,english_578.wav,0,peel,3127,31,5,4,English,f,6,0.6,80.47589593,1.35013789
65a97c769f2db2c7f246e5b5,2,0,2024-02-28T14:39:09.422Z,english_578.wav,0,peel,3127,31,5,4,English,f,7,0.7,-14.97727246,1.4182331
65a97c769f2db2c7f246e5b5,2,0,2024-02-28T14:39:09.422Z,english_578.wav,0,peel,3127,31,5,4,English,f,8,0.8,-21.44814327,1.48872207
65a97c769f2db2c7f246e5b5,2,0,2024-02-28T14:39:09.422Z,english_578.wav,0,peel,3127,31,5,4,English,f,9,0.9,-62.07774638,0.52217737
65a97c769f2db2c7f246e5b5,2,0,2024-02-28T14:39:09.422Z,english_578.wav,0,peel,3127,31,5,4,English,f,10,1.0,-99.81693505,1.9830309
65a97c769f2db2c7f246e5b5,2,0,2024-02-28T14:39:09.422Z,english_578.wav,0,peel,3127,31,5,4,English,f,11,1.09391667,-93.56727968,1.11565266
65a97c769f2db2c7f246e5b5,3,0,2024-02-28T14:39:09.422Z,english_587.wav,0,pill,1203,31,5,4,English,f,0,0.0,-43.40275294,0.40076924
