subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
65bba4976e47d14ab32b61c8,0,0,2024-02-28T14:29:02.449Z,english_579.wav,0,peel,2900,30,5,4,English,f,0,0.0,-6.35392527,1.17195822
65bba4976e47d14ab32b61c8,0,0,2024-02-28T14:29:02.449Z,english_579.wav,0,peel,2900,30,5,4,English,f,1,0.1,5.78092652,1.67817047
65bba4976e47d14ab32b61c8,0,0,2024-02-28T14:29:02.449Z,english_579.wav,0,peel,2900,30,5,4,English,f,2,0.2,55.74149698,0.96512057
65bba4976e47d14ab32b61c8,0,0,2024-02-28T14:29:02.449Z,english_579.wav,0,peel,2900,30,5,4,English,f,3,0.3,64.66054606,0.73760998
65bba4976e47d14ab32b61c8,0,0,2024-02-28T14:29:02.449Z,english_579.wav,0,peel,2900,30,5,4,English,f,4,0.4,-20.37343055,0.24043414
65bba4976e47d14ab32b61c8,0,0,2024-02-28T14:29:02.449Z,english_579.wav,0,peel,2900,30,5,4,English,f,5,0.5,97.55604333,0.0297902
65bba4976e47d14ab32b61c8,0,0,2024-02-28T14:29:02.449Z,english_579.wav,0,peel,2900,30,5,4,English,f,6,0.6,-7.40313463,0.83835869
65bba4976e47d14ab32b61c8,0,0,2024-02-28T14:29:02.449Z,english_579.wav,0,peel,2900,30,5,4,English,f,7,0.7,-9.7199121,0.36547932
65bba4976e47d14ab32b61c8,0,0,2024-02-28T14:29:02.449Z,english_579.wav,0,peel,2900,30,5,4,English,f,8,0.8,-43.88557754,1.0786992
65bba4976e47d14ab32b61c8,0,0,2024-02-28T14:29:02.449Z,english_579.wav,0,peel,2900,30,5,4,English,f,9,0.9,89.28129007,1.76340712
65bba4976e47d14ab32b61c8,0,0,2024-02-28T14:29:02.449Z,english_579.wav,0,peel,2900,30,5,4,English,f,10,1.0,21.49927336,0.94339598
65bba4976e47d14ab32b61c8,0,0,2024-02-28T14:29:02.449Z,english_579.wav,0,peel,2900,30,5,4,English,f,11,1.09391667,85.53999973,1.1220246
65bba4976e47d14ab32b61c8,1,0,2024-02-28T14:29:02.449Z,english_615.wav,0,peel,2484,30,5,4,English,f,0,0.0,-59.46419525,1.45272118
65bba4976e47d14ab32b61c8,1,0,2024-02-28T14:29:02.449Z,english_615.wav,0,peel,2484,30,5,4,English,f,1,0.1,57.8993682,1.05218588
65bba4976e47d14ab32b61c8,1,0,2024-02-28T14:29:02.449Z,english_615.wav,0,peel,2484,30,5,4,English,f,2,0.2,96.50473449,0.16877242
65bba4976e47d14ab32b61c8,1,0,2024-02-28T14:29:02.449Z,english_615.wav,0,peel,2484,30,5,4,English,f,3,0.3,70.35497861,0.80491698
65bba4976e47d14ab32b61c8,1,0,2024-02-28T14:29:02.449Z,english_615.wav,0,peel,2484,30,5,4,English,f,4,0.4,41.87750843,0.90543026
65bba4976e47d14ab32b61c8,1,0,2024-02-28T14:29:02.449Z,english_615.wav,0,peel,2484,30,5,4,English,f,5,0.5,-81.49095224,1.05177913
65bba4976e47d14ab32b61c8,1,0,2024-02-28T14:29:02.449Z,english_615.wav,0,peel,2484,30,5,4,English,f,6,0.6,57.42750946,0.09637859
65bba4976e47d14ab32b61c8,1,0,2024-02-28T14:29:02.449Z,english_615.wav,0,peel,2484,30,5,4,English,f,7,0.7,4.11503666,0.17788962
65bba4976e47d14ab32b61c8,1,0,2024-02-28T14:29:02.449Z,english_615.wav,0,peel,2484,30,5,4,English,f,8,0.8,-69.97079252,0.7335246
65bba4976e47d14ab32b61c8,1,0,2024-02-28T14:29:02.449Z,english_615.wav,0,peel,2484,30,5,4,English,f,9,0.9,35.15344639,1.1040214
65bba4976e47d14ab32b61c8,1,0,2024-02-28T14:29:02.449Z,english_615.wav,0,peel,2484,30,5,4,English,f,10,1.0,-81.03238812,0.9742901
