subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
65dcfc8cb5a870c7880bd8cc,0,0,2024-02-28T14:39:03.585Z,english_294.wav,0,pill,7964,47,5,4,english,m,0,0.0,-35.26170476,0.76895084
65dcfc8cb5a870c7880bd8cc,0,0,2024-02-28T14:39:03.585Z,english_294.wav,0,pill,7964,47,5,4,english,m,1,0.1,-68.79847515,0.42345848
65dcfc8cb5a870c7880bd8cc,0,0,2024-02-28T14:39:03.585Z,english_294.wav,0,pill,7964,47,5,4,english,m,2,0.2,21.65443345,1.88759315
65dcfc8cb5a870c7880bd8cc,0,0,2024-02-28T14:39:03.585Z,english_294.wav,0,pill,7964,47,5,4,english,m,3,0.3,18.61336719,0.20743541
65dcfc8cb5a870c7880bd8cc,0,0,2024-02-28T14:39:03.585Z,english_294.wav,0,pill,7964,47,5,4,english,m,4,0.4,29.14118392,0.10193981
65dcfc8cb5a870c7880bd8cc,0,0,2024-02-28T14:39:03.585Z,english_294.wav,0,pill,7964,47,5,4,english,m,5,0.5,-0.79474297,0.31438326
65dcfc8cb5a870c7880bd8cc,0,0,2024-02-28T14:39:03.585Z,english_294.wav,0,pill,7964,47,5,4,english,m,6,0.6,-83.10715175,1.2995954
65dcfc8cb5a870c7880bd8cc,0,0,2024-02-28T14:39:03.585Z,english_294.wav,0,pill,7964,47,5,4,english,m,7,0.7,-22.63410673,1.94703728
65dcfc8cb5a870c7880bd8cc,0,0,2024-02-28T14:39:03.585Z,english_294.wav,0,pill,7964,47,5,4,english,m,8,0.8,-21.26415856,0.92366458
65dcfc8cb5a870c7880bd8cc,0,0,2024-02-28T14:39:03.585Z,english_294.wav,0,pill,7964,47,5,4,english,m,9,0.9,47.90727918,1.04223302
65dcfc8cb5a870c7880bd8cc,0,0,2024-02-28T14:39:03.585Z,english_294.wav,0,pill,7964,47,5,4,english,m,10,1.0,-39.88232682,1.01801331
65dcfc8cb5a870c7880bd8cc,0,0,2024-02-28T14:39:03.585Z,english_294.wav,0,pill,7964,47,5,4,english,m,11,1.09391667,-74.09279353,0.911147
65dcfc8cb5a870c7880bd8cc,1,0,2024-02-28T14:39:03.585Z,english_36.wav,0,pill,2393,47,5,4,english,m,0,0.0,-9.00477988,0.81327237
65dcfc8cb5a870c7880bd8cc,1,0,2024-02-28T14:39:03.585Z,english_36.wav,0,pill,2393,47,5,4,english,m,1,0.1,-13.45702302,0.45075004
65dcfc8cb5a870c7880bd8cc,1,0,2024-02-28T14:39:03.585Z,english_36.wav,0,pill,2393,47,5,4,english,m,2,0.2,-2.81727849,0.1663237
65dcfc8cb5a870c7880bd8cc,1,0,2024-02-28T14:39:03.585Z,english_36.wav,0,pill,2393,47,5,4,english,m,3,0.3,-29.71164893,1.57862109
65dcfc8cb5a870c7880bd8cc,1,0,2024-02-28T14:39:03.585Z,english_36.wav,0,pill,2393,47,5,4,english,m,4,0.4,95.72220786,1.7254824
65dcfc8cb5a870c7880bd8cc,1,0,2024-02-28T14:39:03.585Z,english_36.wav,0,pill,2393,47,5,4,english,m,5,0.5,-60.23405317,1.10066579
65dcfc8cb5a870c7880bd8cc,1,0,2024-02-28T14:39:03.585Z,english_36.wav,0,pill,2393,47,5,4,english,m,6,0.6,-99.2529621,0.59792659
65dcfc8cb5a870c7880bd8cc,1,0,2024-02-28T14:39:03.585Z,english_36.wav,0,pill,2393,47,5,4,english,m,7,0.7,-7.64791957,1.42084394
65dcfc8cb5a870c7880bd8cc,1,0,2024-02-28T14:39:03.585Z,english_36.wav,0,pill,2393,47,5,4,english,m,8,0.8,-68.45334788,0.87400001
65dcfc8cb5a870c7880bd8cc,1,0,2024-02-28T14:39:03.585Z,english_36.wav,0,pill,2393,47,5,4,english,m,9,0.9,91.90753039,1.522223
65dcfc8cb5a870c7880bd8cc,1,0,2024-02-28T14:39:03.585Z,english_36.wav,0,pill,2393,47,5,4,english,m,10,1.0,93.40110395,0.56951468
65dcfc8cb5a870c7880bd8cc,1,0,2024-02-28T14:39:03.585Z,english_36.wav,0,pill,2393,47,5,4,english,m,11,1.09391667,-27.95691035,1.01798822
65dcfc8cb5a870c7880bd8cc,2,0,2024-02-28T14:39:03.585Z,english_118.wav,0,peel,3606,47,5,4,english,m,0,0.0,37.82351895,1.3762948
65dcfc8cb5a870c7880bd8cc,2,0,2024-02-28T14:39:03.585Z,english_118.wav,0,peel,3606,47,5,4,english,m,1,0.1,-67.70818615,0.33841533
65dcfc8cb5a870c7880bd8cc,2,0,2024-02-28T14:39:03.585Z,english_118.wav,0,peel,3606,47,5,4,english,m,2,0.2,68.69944334,0.45852716
65dcfc8cb5a870c7880bd8cc,2,0,2024-02-28T14:39:03.585Z,english_118.wav,0,peel,3606,47,5,4,english,m,3,0.3,52.36371426,1.7289391
65dcfc8cb5a870c7880bd8cc,2,0,2024-02-28T14:39:03.585Z,english_118.wav,0,peel,3606,47,5,4,english,m,4,0.4,75.26535893,1.37893215
65dcfc8cb5a870c7880bd8cc,2,0,2024-02-28T14:39:03.585Z,english_118.wav,0,peel,3606,47,5,4,english,m,5,0.5,-76.41094454,1.61108602
65dcfc8cb5a870c7880bd8cc,2,0,2024-02-28T14:39:03.585Z,english_118.wav,0,peel,3606,47,5,4,english,m,6,0.6,0.45465547,0.84685901
65dcfc8cb5a870c7880bd8cc,2,0,2024-02-28T14:39:03.585Z,english_118.wav,0,peel,3606,47,5,4,english,m,7,0.7,55.44753482,1.08403972
65dcfc8cb5a870c7880bd8cc,2,0,2024-02-28T14:39:03.585Z,english_118.wav,0,peel,3606,47,5,4,english,m,8,0.8,-53.17394643,0.42004792
65dcfc8cb5a870c7880bd8cc,2,0,2024-02-28T14:39:03.585Z,english_118.wav,0,peel,3606,47,5,4,english,m,9,0.9,-98.70911392,0.56823128
65dcfc8cb5a870c7880bd8cc,2,0,2024-02-28T14:39:03.585Z,english_118.wav,0,peel,3606,47,5,4,english,m,10,1.0,-4.73000909,1.43622179
65dcfc8cb5a870c7880bd8cc,2,0,2024-02-28T14:39:03.585Z,english_118.wav,0,peel,3606,47,5,4,english,m,11,1.09391667,-39.29610214,1.0044269
65dcfc8cb5a870c7880bd8cc,3,0,2024-02-28T14:39:03.585Z,english_100.wav,0,pill,3461,47,5,4,english,m,0,0.0,-24.42637315,0.62540921
65dcfc8cb5a870c7880bd8cc,3,0,2024-02-28T14:39:03.585Z,english_100.wav,0,pill,3461,47,5,4,english,m,1,0.1,47.77288594,1.22625666
65dcfc8cb5a870c7880bd8cc,3,0,2024-02-28T14:39:03.585Z,english_100.wav,0,pill,3461,47,5,4,english,m,2,0.2,-50.36782497,1.26348183
65dcfc8cb5a870c7880bd8cc,3,0,2024-02-28T14:39:03.585Z,english_100.wav,0,pill,3461,47,5,4,english,m,3,0.3,2.2842979,0.25528387
65dcfc8cb5a870c7880bd8cc,3,0,2024-02-28T14:39:03.585Z,english_100.wav,0,pill,3461,47,5,4,english,m,4,0.4,-15.6809061,0.91288523
65dcfc8cb5a870c7880bd8cc,3,0,2024-02-28T14:39:03.585Z,english_100.wav,0,pill,3461,47,5,4,english,m,5,0.5,12.92206519,1.75475855
65dcfc8cb5a870c7880bd8cc,3,0,2024-02-28T14:39:03.585Z,english_100.wav,0,pill,3461,47,5,4,english,m,6,0.6,58.2816769,1.62969237
65dcfc8cb5a870c7880bd8cc,3,0,2024-02-28T14:39:03.585Z,english_100.wav,0,pill,3461,47,5,4,english,m,7,0.7,48.23099815,0.00541247
65dcfc8cb5a870c7880bd8cc,3,0,2024-02-28T14:39:03.585Z,english_100.wav,0,pill,3461,47,5,4,english,m,8,0.8,-72.65138159,0.94746335
65dcfc8cb5a870c7880bd8cc,3,0,2024-02-28T14:39:03.585Z,english_100.wav,0,pill,3461,47,5,4,english,m,9,0.9,22.56578389,0.25544392
65dcfc8cb5a870c7880bd8cc,3,0,2024-02-28T14:39:03.585Z,english_100.wav,0,pill,3461,47,5,4,english,m,10,1.0,5.8175855,1.63729526
65dcfc8cb5a870c7880bd8cc,3,0,2024-02-28T14:39:03.585Z,english_100.wav,0,pill,3461,47,5,4,english,m,11,1.09391667,54.85953581,1.97415754
65dcfc8cb5a870c7880bd8cc,4,0,2024-02-28T14:39:03.585Z,english_525.wav,0,peel,1079,47,5,4,english,m,0,0.0,-85.30144906,1.21891661
65dcfc8cb5a870c7880bd8cc,4,0,2024-02-28T14:39:03.585Z,english_525.wav,0,peel,1079,47,5,4,english,m,1,0.1,40.69478692,0.63566771
65dcfc8cb5a870c7880bd8cc,4,0,2024-02-28T14:39:03.585Z,english_525.wav,0,peel,1079,47,5,4,english,m,2,0.2,27.58167259,1.09185932
65dcfc8cb5a870c7880bd8cc,4,0,2024-02-28T14:39:03.585Z,english_525.wav,0,peel,1079,47,5,4,english,m,3,0.3,-9.65414258,1.3630453
65dcfc8cb5a870c7880bd8cc,4,0,2024-02-28T14:39:03.585Z,english_525.wav,0,peel,1079,47,5,4,english,m,4,0.4,-92.26214691,0.47547332
65dcfc8cb5a870c7880bd8cc,4,0,2024-02-28T14:39:03.585Z,english_525.wav,0,peel,1079,47,5,4,english,m,5,0.5,1.87368715,0.98334241
65dcfc8cb5a870c7880bd8cc,4,0,2024-02-28T14:39:03.585Z,english_525.wav,0,peel,1079,47,5,4,english,m,6,0.6,84.67723439,1.24273573
65dcfc8cb5a870c7880bd8cc,4,0,2024-02-28T14:39:03.585Z,english_525.wav,0,peel,1079,47,5,4,english,m,7,0.7,-37.99334031,1.29787156
65dcfc8cb5a870c7880bd8cc,4,0,2024-02-28T14:39:03.585Z,english_525.wav,0,peel,1079,47,5,4,english,m,8,0.8,91.90351479,1.39013402
65dcfc8cb5a870c7880bd8cc,4,0,2024-02-28T14:39:03.585Z,english_525.wav,0,peel,1079,47,5,4,english,m,9,0.9,51.5107545,0.19016555
65dcfc8cb5a870c7880bd8cc,4,0,2024-02-28T14:39:03.585Z,english_525.wav,0,peel,1079,47,5,4,english,m,10,1.0,-23.16743883,0.57102757
65dcfc8cb5a870c7880bd8cc,4,0,2024-02-28T14:39:03.585Z,english_525.wav,0,peel,1079,47,5,4,english,m,11,1.09391667,-40.96893152,0.41777753
65dcfc8cb5a870c7880bd8cc,5,0,2024-02-28T14:39:03.585Z,english_971.wav,0,pill,3125,47,5,4,english,m,0,0.0,21.92702064,0.459047
65dcfc8cb5a870c7880bd8cc,5,0,2024-02-28T14:39:03.585Z,english_971.wav,0,pill,3125,47,5,4,english,m,1,0.1,-53.27203396,0.06454192
65dcfc8cb5a870c7880bd8cc,5,0,2024-02-28T14:39:03.585Z,english_971.wav,0,pill,3125,47,5,4,english,m,2,0.2,16.04080675,1.47088252
65dcfc8cb5a870c7880bd8cc,5,0,2024-02-28T14:39:03.585Z,english_971.wav,0,pill,3125,47,5,4,english,m,3,0.3,-93.72897718,0.63214126
65dcfc8cb5a870c7880bd8cc,5,0,2024-02-28T14:39:03.585Z,english_971.wav,0,pill,3125,47,5,4,english,m,4,0.4,76.75922717,0.53041825
65dcfc8cb5a870c7880bd8cc,5,0,2024-02-28T14:39:03.585Z,english_971.wav,0,pill,3125,47,5,4,english,m,5,0.5,2.23154985,0.36671068
65dcfc8cb5a870c7880bd8cc,5,0,2024-02-28T14:39:03.585Z,english_971.wav,0,pill,3125,47,5,4,english,m,6,0.6,57.16774736,0.84112941
65dcfc8cb5a870c7880bd8cc,5,0,2024-02-28T14:39:03.585Z,english_971.wav,0,pill,3125,47,5,4,english,m,7,0.7,-66.3096603,0.93270713
65dcfc8cb5a870c7880bd8cc,5,0,2024-02-28T14:39:03.585Z,english_971.wav,0,pill,3125,47,5,4,english,m,8,0.8,-54.36784686,0.0064824
65dcfc8cb5a870c7880bd8cc,5,0,2024-02-28T14:39:03.585Z,english_971.wav,0,pill,3125,47,5,4,english,m,9,0.9,31.74688825,0.04508119
65dcfc8cb5a870c7880bd8cc,5,0,2024-02-28T14:39:03.585Z,english_971.wav,0,pill,3125,47,5,4,english,m,10,1.0,-41.88838509,1.17781348
65dcfc8cb5a870c7880bd8cc,5,0,2024-02-28T14:39:03.585Z,english_971.wav,0,pill,3125,47,5,4,english,m,11,1.09391667,-46.11178706,0.19249934
65dcfc8cb5a870c7880bd8cc,6,0,2024-02-28T14:39:03.585Z,english_849.wav,0,peel,1581,47,5,4,english,m,0,0.0,3.14918828,0.91646938
65dcfc8cb5a870c7880bd8cc,6,0,2024-02-28T14:39:03.585Z,english_849.wav,0,peel,1581,47,5,4,english,m,1,0.1,-23.77765777,0.05935653
65dcfc8cb5a870c7880bd8cc,6,0,2024-02-28T14:39:03.585Z,english_849.wav,0,peel,1581,47,5,4,english,m,2,0.2,33.06216364,1.47739407
65dcfc8cb5a870c7880bd8cc,6,0,2024-02-28T14:39:03.585Z,english_849.wav,0,peel,1581,47,5,4,english,m,3,0.3,-62.11705981,0.33072981
65dcfc8cb5a870c7880bd8cc,6,0,2024-02-28T14:39:03.585Z,english_849.wav,0,peel,1581,47,5,4,english,m,4,0.4,7.17201603,0.11578877
65dcfc8cb5a870c7880bd8cc,6,0,2024-02-28T14:39:03.585Z,english_849.wav,0,peel,1581,47,5,4,english,m,5,0.5,-75.75571993,1.27391033
65dcfc8cb5a870c7880bd8cc,6,0,2024-02-28T14:39:03.585Z,english_849.wav,0,peel,1581,47,5,4,english,m,6,0.6,-11.73418988,0.32212457
65dcfc8cb5a870c7880bd8cc,6,0,2024-02-28T14:39:03.585Z,english_849.wav,0,peel,1581,47,5,4,english,m,7,0.7,-67.42384643,1.51956894
65dcfc8cb5a870c7880bd8cc,6,0,2024-02-28T14:39:03.585Z,english_849.wav,0,peel,1581,47,5,4,english,m,8,0.8,50.24136352,0.3318501
65dcfc8cb5a870c7880bd8cc,6,0,2024-02-28T14:39:03.585Z,english_849.wav,0,peel,1581,47,5,4,english,m,9,0.9,-60.42241677,0.78089197
65dcfc8cb5a870c7880bd8cc,6,0,2024-02-28T14:39:03.585Z,english_849.wav,0,peel,1581,47,5,4,english,m,10,1.0,70.30658547,0.6122717
65dcfc8cb5a870c7880bd8cc,6,0,2024-02-28T14:39:03.585Z,english_849.wav,0,peel,1581,47,5,4,english,m,11,1.09391667,-8.44903954,1.08036793
65dcfc8cb5a870c7880bd8cc,7,0,2024-02-28T14:39:03.585Z,english_853.wav,0,peel,3212,47,5,4,english,m,0,0.0,73.80957671,0.26230627
65dcfc8cb5a870c7880bd8cc,7,0,2024-02-28T14:39:03.585Z,english_853.wav,0,peel,3212,47,5,4,english,m,1,0.1,37.61319896,1.27859335
65dcfc8cb5a870c7880bd8cc,7,0,2024-02-28T14:39:03.585Z,english_853.wav,0,peel,3212,47,5,4,english,m,2,0.2,66.36541624,1.90614201
65dcfc8cb5a870c7880bd8cc,7,0,2024-02-28T14:39:03.585Z,english_853.wav,0,peel,3212,47,5,4,english,m,3,0.3,52.83840981,1.77793473
65dcfc8cb5a870c7880bd8cc,7,0,2024-02-28T14:39:03.585Z,english_853.wav,0,peel,3212,47,5,4,english,m,4,0.4,-44.13201993,1.82128224
65dcfc8cb5a870c7880bd8cc,7,0,2024-02-28T14:39:03.585Z,english_853.wav,0,peel,3212,47,5,4,english,m,5,0.5,78.92983873,0.37682562
65dcfc8cb5a870c7880bd8cc,7,0,2024-02-28T14:39:03.585Z,english_853.wav,0,peel,3212,47,5,4,english,m,6,0.6,81.37511439,0.77805764
65dcfc8cb5a870c7880bd8cc,7,0,2024-02-28T14:39:03.585Z,english_853.wav,0,peel,3212,47,5,4,english,m,7,0.7,-17.4677503,1.13496325
65dcfc8cb5a870c7880bd8cc,7,0,2024-02-28T14:39:03.585Z,english_853.wav,0,peel,3212,47,5,4,english,m,8,0.8,-1.76399053,0.96839897
65dcfc8cb5a870c7880bd8cc,7,0,2024-02-28T14:39:03.585Z,english_853.wav,0,peel,3212,47,5,4,english,m,9,0.9,46.72276769,1.53181919
65dcfc8cb5a870c7880bd8cc,7,0,2024-02-28T14:39:03.585Z,english_853.wav,0,peel,3212,47,5,4,english,m,10,1.0,-99.76046779,0.67948754
65dcfc8cb5a870c7880bd8cc,7,0,2024-02-28T14:39:03.585Z,english_853.wav,0,peel,3212,47,5,4,english,m,11,1.09391667,-16.24419339,1.26605171
65dcfc8cb5a870c7880bd8cc,8,0,2024-02-28T14:39:03.585Z,english_660.wav,0,pill,5989,47,5,4,english,m,0,0.0,-6.98483794,0.74998418
65dcfc8cb5a870c7880bd8cc,8,0,2024-02-28T14:39:03.585Z,english_660.wav,0,pill,5989,47,5,4,english,m,1,0.1,-19.91361353,1.44180771
65dcfc8cb5a870c7880bd8cc,8,0,2024-02-28T14:39:03.585Z,english_660.wav,0,pill,5989,47,5,4,english,m,2,0.2,78.11411012,1.86148363
65dcfc8cb5a870c7880bd8cc,8,0,2024-02-28T14:39:03.585Z,english_660.wav,0,pill,5989,47,5,4,english,m,3,0.3,31.9686312,0.29878934
65dcfc8cb5a870c7880bd8cc,8,0,2024-02-28T14:39:03.585Z,english_660.wav,0,pill,5989,47,5,4,english,m,4,0.4,59.3000475,0.70934132
