subj,sex,age,language,english,french,native_lang,date,practice,block,trial,stim,pitch,stretch,response,rt
5,m,38,english,5,3,english,2024-02-13 18:25:01.646341,True,0,0,sounds\english\audio/english_183.wav,"[[  0.          56.94082111]
 [  0.1         23.76823823]
 [  0.2        -72.77208824]
 [  0.3        -26.01651227]
 [  0.4         97.95217456]
 [  0.5        -88.35240054]
 [  0.6          8.20957713]
 [  0.7         -0.21457891]
 [  0.8        -22.50054627]
 [  0.9        -26.93782132]
 [  1.          -9.93952746]
 [  1.09391667  16.7040789 ]]","[[0.         1.46471885]
 [0.1        0.27157125]
 [0.2        0.89995591]
 [0.3        0.86595775]
 [0.4        0.99665554]
 [0.5        1.5130978 ]
 [0.6        0.89371921]
 [0.7        0.60499738]
 [0.8        0.6752389 ]
 [0.9        0.26345185]
 [1.         0.41919446]
 [1.09391667 0.61479122]]",0,4.765
5,m,38,english,5,3,english,2024-02-13 18:25:01.646341,True,0,1,sounds\english\audio/english_347.wav,"[[  0.         -77.92779138]
 [  0.1        -64.69220677]
 [  0.2        -52.71418659]
 [  0.3         63.39772469]
 [  0.4         28.65691045]
 [  0.5        -54.91733511]
 [  0.6         28.83719113]
 [  0.7         71.325035  ]
 [  0.8         64.29714523]
 [  0.9        -52.51835147]
 [  1.         -41.65784487]
 [  1.09391667 -56.27332848]]","[[0.         1.02669822]
 [0.1        0.41696548]
 [0.2        1.03112891]
 [0.3        0.20004082]
 [0.4        0.24296187]
 [0.5        0.01939813]
 [0.6        1.71588951]
 [0.7        0.13307252]
 [0.8        0.90631223]
 [0.9        1.74084271]
 [1.         0.63465457]
 [1.09391667 1.27137416]]",0,2.101
5,m,38,english,5,3,english,2024-02-13 18:25:01.646341,True,0,2,sounds\english\audio/english_460.wav,"[[  0.          93.59161919]
 [  0.1        -36.24487207]
 [  0.2         34.29182357]
 [  0.3        -43.77936624]
 [  0.4         69.60343368]
 [  0.5         56.68710737]
 [  0.6        -24.24220062]
 [  0.7        -78.58314977]
 [  0.8        -13.26257127]
 [  0.9         33.19824363]
 [  1.         -40.08512875]
 [  1.09391667  22.89045037]]","[[0.         1.32448893]
 [0.1        0.9079638 ]
 [0.2        1.36589638]
 [0.3        1.17890341]
 [0.4        0.38929886]
 [0.5        0.99526671]
 [0.6        0.46581759]
 [0.7        0.29943683]
 [0.8        1.99375882]
 [0.9        1.82666883]
 [1.         1.5352094 ]
 [1.09391667 1.53552889]]",1,2.471
5,m,38,english,5,3,english,2024-02-13 18:25:01.646341,False,1,3,sounds\english\audio/english_606.wav,"[[  0.          72.77252021]
 [  0.1         22.60713343]
 [  0.2         30.91882808]
 [  0.3        -48.84223864]
 [  0.4        -29.82386042]
 [  0.5         82.48397831]
 [  0.6        -18.49396427]
 [  0.7         26.88567381]
 [  0.8        -18.34346668]
 [  0.9         10.06544583]
 [  1.         -89.88083722]
 [  1.09391667  66.64968825]]","[[0.         1.14271188]
 [0.1        1.41897374]
 [0.2        1.73372854]
 [0.3        1.07065865]
 [0.4        0.5542197 ]
 [0.5        0.65978179]
 [0.6        0.64487358]
 [0.7        1.50533402]
 [0.8        1.51615031]
 [0.9        0.11673085]
 [1.         0.60775024]
 [1.09391667 0.13627416]]",1,0.923
5,m,38,english,5,3,english,2024-02-13 18:25:01.646341,False,1,4,sounds\english\audio/english_730.wav,"[[  0.          98.7829688 ]
 [  0.1        -67.9329994 ]
 [  0.2        -35.4157721 ]
 [  0.3          8.75583116]
 [  0.4        -60.72300086]
 [  0.5        -43.53238385]
 [  0.6          7.41942565]
 [  0.7        -30.23988593]
 [  0.8         98.85106115]
 [  0.9         11.8745124 ]
 [  1.         -15.67114445]
 [  1.09391667 -67.06238252]]","[[0.         0.6873965 ]
 [0.1        0.65236597]
 [0.2        1.04626144]
 [0.3        1.65669948]
 [0.4        1.8622585 ]
 [0.5        1.86205359]
 [0.6        1.2731877 ]
 [0.7        0.2835626 ]
 [0.8        0.42372638]
 [0.9        1.35675351]
 [1.         1.03423815]
 [1.09391667 0.63701046]]",0,1.238
5,m,38,english,5,3,english,2024-02-13 18:25:01.646341,False,1,5,sounds\english\audio/english_917.wav,"[[ 0.00000000e+00 -3.53182661e+01]
 [ 1.00000000e-01 -2.17738587e+01]
 [ 2.00000000e-01  8.21428169e+01]
 [ 3.00000000e-01 -1.22731677e+01]
 [ 4.00000000e-01  4.83424811e+00]
 [ 5.00000000e-01 -8.54945092e-02]
 [ 6.00000000e-01 -9.26938160e+01]
 [ 7.00000000e-01 -9.15131295e+01]
 [ 8.00000000e-01  5.80373061e+01]
 [ 9.00000000e-01 -2.86534312e+01]
 [ 1.00000000e+00  4.54510696e+01]
 [ 1.09391667e+00  4.83165221e+01]]","[[0.         1.27669121]
 [0.1        1.4602349 ]
 [0.2        0.09750383]
 [0.3        0.51655458]
 [0.4        1.15347497]
 [0.5        1.01469442]
 [0.6        0.31102011]
 [0.7        1.44230515]
 [0.8        0.03377485]
 [0.9        0.48994194]
 [1.         0.17679016]
 [1.09391667 0.94650881]]",0,0.538
5,m,38,english,5,3,english,2024-02-13 18:25:01.646341,False,1,6,sounds\english\audio/english_668.wav,"[[  0.          24.30500843]
 [  0.1         57.57377678]
 [  0.2        -95.42785245]
 [  0.3        -42.97336145]
 [  0.4        -27.66393175]
 [  0.5         77.20765179]
 [  0.6         83.13326456]
 [  0.7        -32.13348901]
 [  0.8         68.31202494]
 [  0.9         19.90764766]
 [  1.          67.85742397]
 [  1.09391667  89.08528759]]","[[0.         1.5693483 ]
 [0.1        1.68368473]
 [0.2        0.73781789]
 [0.3        0.35418693]
 [0.4        0.0078487 ]
 [0.5        1.54548252]
 [0.6        1.19620748]
 [0.7        1.89254879]
 [0.8        0.72669061]
 [0.9        1.22099256]
 [1.         1.73789428]
 [1.09391667 1.66641406]]",1,0.406
5,m,38,english,5,3,english,2024-02-13 18:25:01.646341,False,1,7,sounds\english\audio/english_212.wav,"[[  0.           7.28178662]
 [  0.1         53.30309055]
 [  0.2          9.81131056]
 [  0.3        -90.32961485]
 [  0.4         16.20847807]
 [  0.5        -12.76815096]
 [  0.6         93.86097069]
 [  0.7         39.57297318]
 [  0.8        -19.22688735]
 [  0.9        -71.99383643]
 [  1.           5.42324024]
 [  1.09391667 -66.1565739 ]]","[[0.         1.69718484]
 [0.1        0.86840916]
 [0.2        0.62741544]
 [0.3        1.93796864]
 [0.4        1.96151684]
 [0.5        0.98998478]
 [0.6        1.74396039]
 [0.7        1.59359998]
 [0.8        1.3284153 ]
 [0.9        1.90824048]
 [1.         1.38687745]
 [1.09391667 0.48487656]]",1,0.663
5,m,38,english,5,3,english,2024-02-13 18:25:01.646341,False,1,8,sounds\english\audio/english_472.wav,"[[  0.         -23.72821767]
 [  0.1          7.29471696]
 [  0.2        -58.55005371]
 [  0.3         77.0504256 ]
 [  0.4         87.29275565]
 [  0.5        -70.9646192 ]
 [  0.6         72.82743185]
 [  0.7        -40.27439915]
 [  0.8        -15.91396931]
 [  0.9         27.40014094]
 [  1.         -13.69917785]
 [  1.09391667  26.78237701]]","[[0.         0.96911452]
 [0.1        0.40121138]
 [0.2        1.15410482]
 [0.3        1.91400861]
 [0.4        0.05830067]
 [0.5        0.87176087]
 [0.6        0.23371631]
 [0.7        1.66198616]
 [0.8        0.22492459]
 [0.9        0.55757982]
 [1.         1.15387827]
 [1.09391667 1.85526867]]",0,0.644
5,m,38,english,5,3,english,2024-02-13 18:25:01.646341,False,1,9,sounds\english\audio/english_294.wav,"[[  0.         -35.26170476]
 [  0.1        -68.79847515]
 [  0.2         21.65443345]
 [  0.3         18.61336719]
 [  0.4         29.14118392]
 [  0.5         -0.79474297]
 [  0.6        -83.10715175]
 [  0.7        -22.63410673]
 [  0.8        -21.26415856]
 [  0.9         47.90727918]
 [  1.         -39.88232682]
 [  1.09391667 -74.09279353]]","[[0.         0.76895084]
 [0.1        0.42345848]
 [0.2        1.88759315]
 [0.3        0.20743541]
 [0.4        0.10193981]
 [0.5        0.31438326]
 [0.6        1.2995954 ]
 [0.7        1.94703728]
 [0.8        0.92366458]
 [0.9        1.04223302]
 [1.         1.01801331]
 [1.09391667 0.911147  ]]",1,0.526
