subj,sex,age,language,english,french,native_lang,date,practice,block,trial,stim,pitch,stretch,response,rt
8729820499,f,20,english,5,3,english,2024-01-25 10:40:18.164074,False,2,253,sounds\english\audio/english_459.wav,"[[  0.          18.44381796]
 [  0.1         46.92875809]
 [  0.2         -3.83763253]
 [  0.3        -48.73372346]
 [  0.4        -14.92000294]
 [  0.5         80.1348202 ]
 [  0.6        -86.26167397]
 [  0.7         -1.56579515]
 [  0.8        -19.43568929]
 [  0.9          7.94105636]
 [  1.          85.15006258]
 [  1.09391667 -33.12026838]]","[[0.         0.62620118]
 [0.1        1.02677372]
 [0.2        0.887778  ]
 [0.3        0.9749461 ]
 [0.4        0.21389959]
 [0.5        0.5331643 ]
 [0.6        0.89101651]
 [0.7        1.30262719]
 [0.8        1.62880583]
 [0.9        1.73371658]
 [1.         0.16404372]
 [1.09391667 1.85143865]]",1,7.024
8729820499,f,20,english,5,3,english,2024-01-25 10:40:18.164074,False,2,254,sounds\english\audio/english_966.wav,"[[  0.         -96.91789055]
 [  0.1        -64.86850103]
 [  0.2        -43.92628472]
 [  0.3        -93.7136214 ]
 [  0.4        -57.14902712]
 [  0.5        -12.68506719]
 [  0.6        -15.43922669]
 [  0.7         24.10386484]
 [  0.8          3.35646026]
 [  0.9         88.24028536]
 [  1.         -32.39213993]
 [  1.09391667  -1.72411588]]","[[0.         1.23686614]
 [0.1        0.67188965]
 [0.2        0.33271907]
 [0.3        1.62713329]
 [0.4        1.49154652]
 [0.5        1.31520623]
 [0.6        0.20724492]
 [0.7        0.13137995]
 [0.8        1.15134967]
 [0.9        0.75921019]
 [1.         0.67670762]
 [1.09391667 1.22586656]]",1,18.059
8729820499,f,20,english,5,3,english,2024-01-25 10:40:18.164074,False,2,255,sounds\english\audio/english_290.wav,"[[  0.           4.14643055]
 [  0.1         55.79753149]
 [  0.2        -63.42272798]
 [  0.3        -40.60813041]
 [  0.4        -85.79001431]
 [  0.5        -31.93461576]
 [  0.6        -73.76037774]
 [  0.7        -54.82415725]
 [  0.8         85.10642222]
 [  0.9        -54.96930538]
 [  1.          41.58093041]
 [  1.09391667  28.32805855]]","[[0.         1.34304487]
 [0.1        1.94828155]
 [0.2        1.81846113]
 [0.3        0.06068854]
 [0.4        0.95997788]
 [0.5        0.98743905]
 [0.6        0.49081153]
 [0.7        1.93641378]
 [0.8        0.02141652]
 [0.9        1.82619941]
 [1.         0.02158423]
 [1.09391667 1.73531275]]",0,1.137
8729820499,f,20,english,5,3,english,2024-01-25 10:40:18.164074,False,2,256,sounds\english\audio/english_194.wav,"[[  0.          56.78701541]
 [  0.1        -17.75053988]
 [  0.2         33.25886054]
 [  0.3        -36.30427417]
 [  0.4         87.2538064 ]
 [  0.5        -35.38798336]
 [  0.6        -16.86822867]
 [  0.7          3.74513195]
 [  0.8        -97.03953589]
 [  0.9        -34.95000954]
 [  1.          41.79469937]
 [  1.09391667 -99.09961294]]","[[0.         1.42004802]
 [0.1        0.01035796]
 [0.2        1.01435424]
 [0.3        0.10390295]
 [0.4        0.79219746]
 [0.5        0.28919857]
 [0.6        1.14065301]
 [0.7        1.55329947]
 [0.8        1.8735666 ]
 [0.9        1.68004219]
 [1.         0.7970796 ]
 [1.09391667 1.89727803]]",1,0.713
8729820499,f,20,english,5,3,english,2024-01-25 10:40:18.164074,False,2,257,sounds\english\audio/english_970.wav,"[[  0.         -54.89447986]
 [  0.1         25.1169893 ]
 [  0.2        -40.43511265]
 [  0.3        -62.36717191]
 [  0.4        -52.87769156]
 [  0.5        -60.51030312]
 [  0.6        -20.66217752]
 [  0.7         39.3890126 ]
 [  0.8        -42.20316614]
 [  0.9         -5.07453967]
 [  1.          63.70783578]
 [  1.09391667  15.89619138]]","[[0.         0.81951556]
 [0.1        1.67117432]
 [0.2        1.15867829]
 [0.3        1.19627059]
 [0.4        1.65204518]
 [0.5        1.89905296]
 [0.6        1.49874094]
 [0.7        1.49402448]
 [0.8        0.52089687]
 [0.9        0.54496633]
 [1.         0.14699143]
 [1.09391667 0.8383136 ]]",0,0.812
8729820499,f,20,english,5,3,english,2024-01-25 10:40:18.164074,False,2,258,sounds\english\audio/english_554.wav,"[[  0.          68.06713434]
 [  0.1         51.53363243]
 [  0.2         96.79789275]
 [  0.3        -32.97805092]
 [  0.4         38.32175517]
 [  0.5        -48.79684279]
 [  0.6          6.57101052]
 [  0.7         30.34426539]
 [  0.8         57.10485473]
 [  0.9        -93.21826179]
 [  1.          58.97430912]
 [  1.09391667  32.65345188]]","[[0.         1.26196428]
 [0.1        1.49608983]
 [0.2        1.01925431]
 [0.3        1.27259864]
 [0.4        0.99325409]
 [0.5        1.83296218]
 [0.6        1.99419824]
 [0.7        1.31395906]
 [0.8        1.83167901]
 [0.9        1.93422624]
 [1.         1.62256756]
 [1.09391667 0.90589094]]",0,0.736
8729820499,f,20,english,5,3,english,2024-01-25 10:40:18.164074,False,2,259,sounds\english\audio/english_478.wav,"[[  0.          49.52865222]
 [  0.1         12.15356225]
 [  0.2        -37.73778512]
 [  0.3        -10.50364884]
 [  0.4         38.58870475]
 [  0.5        -22.27355878]
 [  0.6        -48.47445884]
 [  0.7        -51.27115533]
 [  0.8         73.13710457]
 [  0.9          5.78656281]
 [  1.         -98.51331711]
 [  1.09391667  24.20472837]]","[[0.         0.59081153]
 [0.1        0.51284871]
 [0.2        1.1444407 ]
 [0.3        1.54775545]
 [0.4        1.52435775]
 [0.5        1.20325801]
 [0.6        0.62139426]
 [0.7        0.67212897]
 [0.8        1.21899898]
 [0.9        0.57488153]
 [1.         0.34521849]
 [1.09391667 1.9492818 ]]",1,0.89
8729820499,f,20,english,5,3,english,2024-01-25 10:40:18.164074,False,2,260,sounds\english\audio/english_475.wav,"[[  0.          29.80961577]
 [  0.1         48.86857013]
 [  0.2        -75.87963709]
 [  0.3         30.73642142]
 [  0.4        -47.77384215]
 [  0.5         95.74069733]
 [  0.6         49.89153758]
 [  0.7        -93.96412935]
 [  0.8        -13.00332235]
 [  0.9         80.99885276]
 [  1.         -12.77273084]
 [  1.09391667  -3.9803657 ]]","[[0.         0.43821818]
 [0.1        0.91916023]
 [0.2        1.43870603]
 [0.3        0.67232978]
 [0.4        0.927705  ]
 [0.5        0.04190462]
 [0.6        1.51758055]
 [0.7        1.81908107]
 [0.8        1.60949708]
 [0.9        1.9985333 ]
 [1.         1.07792874]
 [1.09391667 1.55358956]]",1,3.047
8729820499,f,20,english,5,3,english,2024-01-25 10:40:18.164074,False,2,261,sounds\english\audio/english_98.wav,"[[  0.         -38.17071081]
 [  0.1          3.99117813]
 [  0.2         76.94779223]
 [  0.3        -47.40720284]
 [  0.4         60.49673758]
 [  0.5        -72.0425771 ]
 [  0.6         75.35793907]
 [  0.7        -37.84878225]
 [  0.8         -2.2661701 ]
 [  0.9        -10.24921113]
 [  1.           2.65052449]
 [  1.09391667 -59.74440562]]","[[0.         1.32171021]
 [0.1        0.45941391]
 [0.2        1.60836627]
 [0.3        0.02861918]
 [0.4        0.62913144]
 [0.5        0.32921161]
 [0.6        0.47491973]
 [0.7        1.13024742]
 [0.8        1.3276578 ]
 [0.9        0.74289268]
 [1.         0.21343851]
 [1.09391667 0.54238322]]",0,1.462
8729820499,f,20,english,5,3,english,2024-01-25 10:40:18.164074,False,2,262,sounds\english\audio/english_756.wav,"[[  0.         -32.70542045]
 [  0.1         62.91454888]
 [  0.2         -9.17678833]
 [  0.3         16.28624283]
 [  0.4        -33.51792534]
 [  0.5         88.01648813]
 [  0.6         62.37064714]
 [  0.7        -52.3683359 ]
 [  0.8         56.37360277]
 [  0.9        -54.86484941]
 [  1.          91.23924333]
 [  1.09391667 -26.61223969]]","[[0.         0.92316539]
 [0.1        0.37547917]
 [0.2        1.92598223]
 [0.3        0.89010875]
 [0.4        0.38662098]
 [0.5        1.17672662]
 [0.6        0.21957896]
 [0.7        1.78953747]
 [0.8        1.89812903]
 [0.9        1.43873799]
 [1.         1.51351367]
 [1.09391667 1.73327561]]",0,0.344
