subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5c2b9ce5b337310001996c05,0,0,2024-02-28T19:29:14.866Z,french_362.wav,0,poule,6605,36,5,5,English,M,0,0.0,41.03273498,1.17434259
5c2b9ce5b337310001996c05,0,0,2024-02-28T19:29:14.866Z,french_362.wav,0,poule,6605,36,5,5,English,M,1,0.1,9.58147449,1.0161357
5c2b9ce5b337310001996c05,0,0,2024-02-28T19:29:14.866Z,french_362.wav,0,poule,6605,36,5,5,English,M,2,0.2,-32.18625516,1.58908251
5c2b9ce5b337310001996c05,0,0,2024-02-28T19:29:14.866Z,french_362.wav,0,poule,6605,36,5,5,English,M,3,0.3,28.50669793,0.746627
5c2b9ce5b337310001996c05,0,0,2024-02-28T19:29:14.866Z,french_362.wav,0,poule,6605,36,5,5,English,M,4,0.4,-88.53670297,0.02412489
5c2b9ce5b337310001996c05,0,0,2024-02-28T19:29:14.866Z,french_362.wav,0,poule,6605,36,5,5,English,M,5,0.5,-15.43899097,0.5408358
5c2b9ce5b337310001996c05,0,0,2024-02-28T19:29:14.866Z,french_362.wav,0,poule,6605,36,5,5,English,M,6,0.6,-14.99208648,1.97473796
5c2b9ce5b337310001996c05,0,0,2024-02-28T19:29:14.866Z,french_362.wav,0,poule,6605,36,5,5,English,M,7,0.7,30.73544721,0.60459965
5c2b9ce5b337310001996c05,0,0,2024-02-28T19:29:14.866Z,french_362.wav,0,poule,6605,36,5,5,English,M,8,0.8,-77.16176604,1.44502859
5c2b9ce5b337310001996c05,0,0,2024-02-28T19:29:14.866Z,french_362.wav,0,poule,6605,36,5,5,English,M,9,0.9,-8.39157052,1.27495293
5c2b9ce5b337310001996c05,0,0,2024-02-28T19:29:14.866Z,french_362.wav,0,poule,6605,36,5,5,English,M,10,1.0,-0.4008465,0.65103499
5c2b9ce5b337310001996c05,0,0,2024-02-28T19:29:14.866Z,french_362.wav,0,poule,6605,36,5,5,English,M,11,1.1,4.11299021,0.57126771
5c2b9ce5b337310001996c05,0,0,2024-02-28T19:29:14.866Z,french_362.wav,0,poule,6605,36,5,5,English,M,12,1.14141667,49.09310712,1.60326381
5c2b9ce5b337310001996c05,1,0,2024-02-28T19:29:14.866Z,french_576.wav,0,pull,1210,36,5,5,English,M,0,0.0,-35.22249623,0.53434723
5c2b9ce5b337310001996c05,1,0,2024-02-28T19:29:14.866Z,french_576.wav,0,pull,1210,36,5,5,English,M,1,0.1,92.91804811,1.6832489
5c2b9ce5b337310001996c05,1,0,2024-02-28T19:29:14.866Z,french_576.wav,0,pull,1210,36,5,5,English,M,2,0.2,14.59888727,0.18828374
5c2b9ce5b337310001996c05,1,0,2024-02-28T19:29:14.866Z,french_576.wav,0,pull,1210,36,5,5,English,M,3,0.3,-68.19590077,1.37837483
5c2b9ce5b337310001996c05,1,0,2024-02-28T19:29:14.866Z,french_576.wav,0,pull,1210,36,5,5,English,M,4,0.4,52.21316696,1.79475925
5c2b9ce5b337310001996c05,1,0,2024-02-28T19:29:14.866Z,french_576.wav,0,pull,1210,36,5,5,English,M,5,0.5,14.92193752,1.60751943
5c2b9ce5b337310001996c05,1,0,2024-02-28T19:29:14.866Z,french_576.wav,0,pull,1210,36,5,5,English,M,6,0.6,-2.54989891,1.27401164
5c2b9ce5b337310001996c05,1,0,2024-02-28T19:29:14.866Z,french_576.wav,0,pull,1210,36,5,5,English,M,7,0.7,-61.75801356,1.12679718
5c2b9ce5b337310001996c05,1,0,2024-02-28T19:29:14.866Z,french_576.wav,0,pull,1210,36,5,5,English,M,8,0.8,-64.3663367,0.78491819
5c2b9ce5b337310001996c05,1,0,2024-02-28T19:29:14.866Z,french_576.wav,0,pull,1210,36,5,5,English,M,9,0.9,-54.016617,0.78342671
5c2b9ce5b337310001996c05,1,0,2024-02-28T19:29:14.866Z,french_576.wav,0,pull,1210,36,5,5,English,M,10,1.0,23.77391071,0.50591009
