subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5c8ee6c36ca70b0001fe979d,0,0,2024-02-28T15:02:35.772Z,french_412.wav,0,poule,595,66,5,4,e,m,0,0.0,80.33750743,1.13543916
5c8ee6c36ca70b0001fe979d,0,0,2024-02-28T15:02:35.772Z,french_412.wav,0,poule,595,66,5,4,e,m,1,0.1,50.4773299,1.15832638
5c8ee6c36ca70b0001fe979d,0,0,2024-02-28T15:02:35.772Z,french_412.wav,0,poule,595,66,5,4,e,m,2,0.2,7.50934865,0.2432056
5c8ee6c36ca70b0001fe979d,0,0,2024-02-28T15:02:35.772Z,french_412.wav,0,poule,595,66,5,4,e,m,3,0.3,-9.23463682,1.81011187
5c8ee6c36ca70b0001fe979d,0,0,2024-02-28T15:02:35.772Z,french_412.wav,0,poule,595,66,5,4,e,m,4,0.4,9.13658121,0.142234
5c8ee6c36ca70b0001fe979d,0,0,2024-02-28T15:02:35.772Z,french_412.wav,0,poule,595,66,5,4,e,m,5,0.5,11.12128685,1.17532286
5c8ee6c36ca70b0001fe979d,0,0,2024-02-28T15:02:35.772Z,french_412.wav,0,poule,595,66,5,4,e,m,6,0.6,-94.30640228,1.06397509
5c8ee6c36ca70b0001fe979d,0,0,2024-02-28T15:02:35.772Z,french_412.wav,0,poule,595,66,5,4,e,m,7,0.7,-51.41178114,1.83631312
5c8ee6c36ca70b0001fe979d,0,0,2024-02-28T15:02:35.772Z,french_412.wav,0,poule,595,66,5,4,e,m,8,0.8,28.26572128,1.0285842
5c8ee6c36ca70b0001fe979d,0,0,2024-02-28T15:02:35.772Z,french_412.wav,0,poule,595,66,5,4,e,m,9,0.9,-71.75232094,1.74888075
5c8ee6c36ca70b0001fe979d,0,0,2024-02-28T15:02:35.772Z,french_412.wav,0,poule,595,66,5,4,e,m,10,1.0,86.09965629,1.95722924
5c8ee6c36ca70b0001fe979d,0,0,2024-02-28T15:02:35.772Z,french_412.wav,0,poule,595,66,5,4,e,m,11,1.1,27.28800681,1.49997067
5c8ee6c36ca70b0001fe979d,0,0,2024-02-28T15:02:35.772Z,french_412.wav,0,poule,595,66,5,4,e,m,12,1.14141667,32.1776899,0.76864943
5c8ee6c36ca70b0001fe979d,1,0,2024-02-28T15:02:35.772Z,french_227.wav,0,poule,568,66,5,4,e,m,0,0.0,-63.98497533,1.5363518
5c8ee6c36ca70b0001fe979d,1,0,2024-02-28T15:02:35.772Z,french_227.wav,0,poule,568,66,5,4,e,m,1,0.1,7.89700286,1.08409133
5c8ee6c36ca70b0001fe979d,1,0,2024-02-28T15:02:35.772Z,french_227.wav,0,poule,568,66,5,4,e,m,2,0.2,-85.89039473,1.90427543
5c8ee6c36ca70b0001fe979d,1,0,2024-02-28T15:02:35.772Z,french_227.wav,0,poule,568,66,5,4,e,m,3,0.3,-30.72420198,0.75696463
5c8ee6c36ca70b0001fe979d,1,0,2024-02-28T15:02:35.772Z,french_227.wav,0,poule,568,66,5,4,e,m,4,0.4,54.13251522,1.27414783
5c8ee6c36ca70b0001fe979d,1,0,2024-02-28T15:02:35.772Z,french_227.wav,0,poule,568,66,5,4,e,m,5,0.5,50.29868002,0.17571721
5c8ee6c36ca70b0001fe979d,1,0,2024-02-28T15:02:35.772Z,french_227.wav,0,poule,568,66,5,4,e,m,6,0.6,17.89842047,0.16810735
5c8ee6c36ca70b0001fe979d,1,0,2024-02-28T15:02:35.772Z,french_227.wav,0,poule,568,66,5,4,e,m,7,0.7,76.60204514,0.96568279
5c8ee6c36ca70b0001fe979d,1,0,2024-02-28T15:02:35.772Z,french_227.wav,0,poule,568,66,5,4,e,m,8,0.8,-7.82280605,1.34957529
5c8ee6c36ca70b0001fe979d,1,0,2024-02-28T15:02:35.772Z,french_227.wav,0,poule,568,66,5,4,e,m,9,0.9,44.17966564,1.044977
5c8ee6c36ca70b0001fe979d,1,0,2024-02-28T15:02:35.772Z,french_227.wav,0,poule,568,66,5,4,e,m,10,1.0,35.62117152,1.59072319
5c8ee6c36ca70b0001fe979d,1,0,2024-02-28T15:02:35.772Z,french_227.wav,0,poule,568,66,5,4,e,m,11,1.1,-1.37417446,0.18742296
5c8ee6c36ca70b0001fe979d,1,0,2024-02-28T15:02:35.772Z,french_227.wav,0,poule,568,66,5,4,e,m,12,1.14141667,-40.20349559,1.71340792
5c8ee6c36ca70b0001fe979d,2,0,2024-02-28T15:02:35.772Z,french_433.wav,0,poule,759,66,5,4,e,m,0,0.0,13.65936781,1.51229861
5c8ee6c36ca70b0001fe979d,2,0,2024-02-28T15:02:35.772Z,french_433.wav,0,poule,759,66,5,4,e,m,1,0.1,59.19964003,0.95952734
5c8ee6c36ca70b0001fe979d,2,0,2024-02-28T15:02:35.772Z,french_433.wav,0,poule,759,66,5,4,e,m,2,0.2,-16.88317101,1.86428533
5c8ee6c36ca70b0001fe979d,2,0,2024-02-28T15:02:35.772Z,french_433.wav,0,poule,759,66,5,4,e,m,3,0.3,-29.25697853,1.71002057
5c8ee6c36ca70b0001fe979d,2,0,2024-02-28T15:02:35.772Z,french_433.wav,0,poule,759,66,5,4,e,m,4,0.4,-20.47261371,1.4823254
5c8ee6c36ca70b0001fe979d,2,0,2024-02-28T15:02:35.772Z,french_433.wav,0,poule,759,66,5,4,e,m,5,0.5,-95.33210222,1.31199137
5c8ee6c36ca70b0001fe979d,2,0,2024-02-28T15:02:35.772Z,french_433.wav,0,poule,759,66,5,4,e,m,6,0.6,-87.63836787,1.53917366
5c8ee6c36ca70b0001fe979d,2,0,2024-02-28T15:02:35.772Z,french_433.wav,0,poule,759,66,5,4,e,m,7,0.7,-87.59004626,0.27400767
5c8ee6c36ca70b0001fe979d,2,0,2024-02-28T15:02:35.772Z,french_433.wav,0,poule,759,66,5,4,e,m,8,0.8,-36.63017932,0.2344453
5c8ee6c36ca70b0001fe979d,2,0,2024-02-28T15:02:35.772Z,french_433.wav,0,poule,759,66,5,4,e,m,9,0.9,23.01049222,1.76474922
5c8ee6c36ca70b0001fe979d,2,0,2024-02-28T15:02:35.772Z,french_433.wav,0,poule,759,66,5,4,e,m,10,1.0,-37.6607371,1.98224239
5c8ee6c36ca70b0001fe979d,2,0,2024-02-28T15:02:35.772Z,french_433.wav,0,poule,759,66,5,4,e,m,11,1.1,-63.45582253,0.32973237
5c8ee6c36ca70b0001fe979d,2,0,2024-02-28T15:02:35.772Z,french_433.wav,0,poule,759,66,5,4,e,m,12,1.14141667,-21.18055498,0.42672881
5c8ee6c36ca70b0001fe979d,3,0,2024-02-28T15:02:35.772Z,french_654.wav,0,pull,939,66,5,4,e,m,0,0.0,-34.99893626,0.24780466
5c8ee6c36ca70b0001fe979d,3,0,2024-02-28T15:02:35.772Z,french_654.wav,0,pull,939,66,5,4,e,m,1,0.1,48.640299,0.78115806
5c8ee6c36ca70b0001fe979d,3,0,2024-02-28T15:02:35.772Z,french_654.wav,0,pull,939,66,5,4,e,m,2,0.2,-57.42841669,1.37585032
5c8ee6c36ca70b0001fe979d,3,0,2024-02-28T15:02:35.772Z,french_654.wav,0,pull,939,66,5,4,e,m,3,0.3,60.50968511,0.92953153
5c8ee6c36ca70b0001fe979d,3,0,2024-02-28T15:02:35.772Z,french_654.wav,0,pull,939,66,5,4,e,m,4,0.4,-16.79285222,0.90158135
5c8ee6c36ca70b0001fe979d,3,0,2024-02-28T15:02:35.772Z,french_654.wav,0,pull,939,66,5,4,e,m,5,0.5,60.38921633,0.72778572
5c8ee6c36ca70b0001fe979d,3,0,2024-02-28T15:02:35.772Z,french_654.wav,0,pull,939,66,5,4,e,m,6,0.6,-84.32894633,0.70075297
5c8ee6c36ca70b0001fe979d,3,0,2024-02-28T15:02:35.772Z,french_654.wav,0,pull,939,66,5,4,e,m,7,0.7,11.89646917,1.80773832
5c8ee6c36ca70b0001fe979d,3,0,2024-02-28T15:02:35.772Z,french_654.wav,0,pull,939,66,5,4,e,m,8,0.8,-7.26468354,0.52873591
5c8ee6c36ca70b0001fe979d,3,0,2024-02-28T15:02:35.772Z,french_654.wav,0,pull,939,66,5,4,e,m,9,0.9,-6.03013543,1.2475782
5c8ee6c36ca70b0001fe979d,3,0,2024-02-28T15:02:35.772Z,french_654.wav,0,pull,939,66,5,4,e,m,10,1.0,-88.08456303,0.19931311
5c8ee6c36ca70b0001fe979d,3,0,2024-02-28T15:02:35.772Z,french_654.wav,0,pull,939,66,5,4,e,m,11,1.1,-59.96415131,0.87770786
5c8ee6c36ca70b0001fe979d,3,0,2024-02-28T15:02:35.772Z,french_654.wav,0,pull,939,66,5,4,e,m,12,1.14141667,-30.34186044,1.71975325
5c8ee6c36ca70b0001fe979d,4,0,2024-02-28T15:02:35.772Z,french_877.wav,0,poule,323,66,5,4,e,m,0,0.0,35.01358719,1.80553919
5c8ee6c36ca70b0001fe979d,4,0,2024-02-28T15:02:35.772Z,french_877.wav,0,poule,323,66,5,4,e,m,1,0.1,44.86740008,1.10205229
5c8ee6c36ca70b0001fe979d,4,0,2024-02-28T15:02:35.772Z,french_877.wav,0,poule,323,66,5,4,e,m,2,0.2,-79.59292407,1.66583823
5c8ee6c36ca70b0001fe979d,4,0,2024-02-28T15:02:35.772Z,french_877.wav,0,poule,323,66,5,4,e,m,3,0.3,-7.22750522,0.82975553
5c8ee6c36ca70b0001fe979d,4,0,2024-02-28T15:02:35.772Z,french_877.wav,0,poule,323,66,5,4,e,m,4,0.4,-2.5216875,1.38376145
5c8ee6c36ca70b0001fe979d,4,0,2024-02-28T15:02:35.772Z,french_877.wav,0,poule,323,66,5,4,e,m,5,0.5,-30.65077741,0.89494766
5c8ee6c36ca70b0001fe979d,4,0,2024-02-28T15:02:35.772Z,french_877.wav,0,poule,323,66,5,4,e,m,6,0.6,-4.86146078,0.02389059
5c8ee6c36ca70b0001fe979d,4,0,2024-02-28T15:02:35.772Z,french_877.wav,0,poule,323,66,5,4,e,m,7,0.7,-89.51285107,1.19273137
5c8ee6c36ca70b0001fe979d,4,0,2024-02-28T15:02:35.772Z,french_877.wav,0,poule,323,66,5,4,e,m,8,0.8,-40.02073069,0.7956871
5c8ee6c36ca70b0001fe979d,4,0,2024-02-28T15:02:35.772Z,french_877.wav,0,poule,323,66,5,4,e,m,9,0.9,96.12185009,1.13306
