subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
6062450c1bb2c6f42298bda8,0,0,2024-02-28T17:47:24.636Z,french_437.wav,0,poule,3669,44,5,4,English,f,0,0.0,41.80320752,0.30954333
6062450c1bb2c6f42298bda8,0,0,2024-02-28T17:47:24.636Z,french_437.wav,0,poule,3669,44,5,4,English,f,1,0.1,-33.81764788,1.22203572
6062450c1bb2c6f42298bda8,0,0,2024-02-28T17:47:24.636Z,french_437.wav,0,poule,3669,44,5,4,English,f,2,0.2,25.70425251,0.04102161
6062450c1bb2c6f42298bda8,0,0,2024-02-28T17:47:24.636Z,french_437.wav,0,poule,3669,44,5,4,English,f,3,0.3,56.97339003,1.19854703
6062450c1bb2c6f42298bda8,0,0,2024-02-28T17:47:24.636Z,french_437.wav,0,poule,3669,44,5,4,English,f,4,0.4,46.8397409,0.8213725
6062450c1bb2c6f42298bda8,0,0,2024-02-28T17:47:24.636Z,french_437.wav,0,poule,3669,44,5,4,English,f,5,0.5,38.78616497,0.20494593
6062450c1bb2c6f42298bda8,0,0,2024-02-28T17:47:24.636Z,french_437.wav,0,poule,3669,44,5,4,English,f,6,0.6,-89.22878547,1.63754544
6062450c1bb2c6f42298bda8,0,0,2024-02-28T17:47:24.636Z,french_437.wav,0,poule,3669,44,5,4,English,f,7,0.7,80.78163583,1.22886157
6062450c1bb2c6f42298bda8,0,0,2024-02-28T17:47:24.636Z,french_437.wav,0,poule,3669,44,5,4,English,f,8,0.8,84.46215373,0.788043
6062450c1bb2c6f42298bda8,0,0,2024-02-28T17:47:24.636Z,french_437.wav,0,poule,3669,44,5,4,English,f,9,0.9,17.21068764,1.05494363
6062450c1bb2c6f42298bda8,0,0,2024-02-28T17:47:24.636Z,french_437.wav,0,poule,3669,44,5,4,English,f,10,1.0,16.06336223,0.71360389
6062450c1bb2c6f42298bda8,0,0,2024-02-28T17:47:24.636Z,french_437.wav,0,poule,3669,44,5,4,English,f,11,1.1,-52.17850038,1.83653188
6062450c1bb2c6f42298bda8,0,0,2024-02-28T17:47:24.636Z,french_437.wav,0,poule,3669,44,5,4,English,f,12,1.14141667,-51.05005354,0.63741841
6062450c1bb2c6f42298bda8,1,0,2024-02-28T17:47:24.636Z,french_289.wav,0,poule,10998,44,5,4,English,f,0,0.0,14.70665442,1.83068481
6062450c1bb2c6f42298bda8,1,0,2024-02-28T17:47:24.636Z,french_289.wav,0,poule,10998,44,5,4,English,f,1,0.1,95.25316321,0.61558809
6062450c1bb2c6f42298bda8,1,0,2024-02-28T17:47:24.636Z,french_289.wav,0,poule,10998,44,5,4,English,f,2,0.2,22.20186217,1.36200616
6062450c1bb2c6f42298bda8,1,0,2024-02-28T17:47:24.636Z,french_289.wav,0,poule,10998,44,5,4,English,f,3,0.3,-17.9137024,1.0791943
6062450c1bb2c6f42298bda8,1,0,2024-02-28T17:47:24.636Z,french_289.wav,0,poule,10998,44,5,4,English,f,4,0.4,-10.1137558,0.20327362
6062450c1bb2c6f42298bda8,1,0,2024-02-28T17:47:24.636Z,french_289.wav,0,poule,10998,44,5,4,English,f,5,0.5,-69.76519391,1.24486775
6062450c1bb2c6f42298bda8,1,0,2024-02-28T17:47:24.636Z,french_289.wav,0,poule,10998,44,5,4,English,f,6,0.6,-29.65482042,1.32936048
