subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
64a83c3f17fdbbd04588c34a,0,0,2024-02-28T17:48:19.178Z,french_504.wav,0,poule,5644,30,5,3,english,m,0,0.0,-41.82140768,1.84770239
64a83c3f17fdbbd04588c34a,0,0,2024-02-28T17:48:19.178Z,french_504.wav,0,poule,5644,30,5,3,english,m,1,0.1,97.07530933,0.49171838
64a83c3f17fdbbd04588c34a,0,0,2024-02-28T17:48:19.178Z,french_504.wav,0,poule,5644,30,5,3,english,m,2,0.2,61.02388002,0.47472033
64a83c3f17fdbbd04588c34a,0,0,2024-02-28T17:48:19.178Z,french_504.wav,0,poule,5644,30,5,3,english,m,3,0.3,-27.18611965,1.44367117
64a83c3f17fdbbd04588c34a,0,0,2024-02-28T17:48:19.178Z,french_504.wav,0,poule,5644,30,5,3,english,m,4,0.4,-58.17917059,0.04505535
64a83c3f17fdbbd04588c34a,0,0,2024-02-28T17:48:19.178Z,french_504.wav,0,poule,5644,30,5,3,english,m,5,0.5,9.56156567,0.75389127
64a83c3f17fdbbd04588c34a,0,0,2024-02-28T17:48:19.178Z,french_504.wav,0,poule,5644,30,5,3,english,m,6,0.6,98.52665159,1.37136318
64a83c3f17fdbbd04588c34a,0,0,2024-02-28T17:48:19.178Z,french_504.wav,0,poule,5644,30,5,3,english,m,7,0.7,98.98825478,0.89733916
64a83c3f17fdbbd04588c34a,0,0,2024-02-28T17:48:19.178Z,french_504.wav,0,poule,5644,30,5,3,english,m,8,0.8,94.82792761,1.83341516
64a83c3f17fdbbd04588c34a,0,0,2024-02-28T17:48:19.178Z,french_504.wav,0,poule,5644,30,5,3,english,m,9,0.9,75.17568326,0.71992929
64a83c3f17fdbbd04588c34a,0,0,2024-02-28T17:48:19.178Z,french_504.wav,0,poule,5644,30,5,3,english,m,10,1.0,-46.15164739,0.35031196
64a83c3f17fdbbd04588c34a,0,0,2024-02-28T17:48:19.178Z,french_504.wav,0,poule,5644,30,5,3,english,m,11,1.1,73.71983811,0.61578475
64a83c3f17fdbbd04588c34a,0,0,2024-02-28T17:48:19.178Z,french_504.wav,0,poule,5644,30,5,3,english,m,12,1.14141667,48.12743652,0.73246634
64a83c3f17fdbbd04588c34a,1,0,2024-02-28T17:48:19.178Z,french_900.wav,0,poule,1101,30,5,3,english,m,0,0.0,17.12559696,0.28086039
64a83c3f17fdbbd04588c34a,1,0,2024-02-28T17:48:19.178Z,french_900.wav,0,poule,1101,30,5,3,english,m,1,0.1,-56.5671441,0.25898492
64a83c3f17fdbbd04588c34a,1,0,2024-02-28T17:48:19.178Z,french_900.wav,0,poule,1101,30,5,3,english,m,2,0.2,14.51884338,0.73738281
64a83c3f17fdbbd04588c34a,1,0,2024-02-28T17:48:19.178Z,french_900.wav,0,poule,1101,30,5,3,english,m,3,0.3,-18.58724125,0.53194872
64a83c3f17fdbbd04588c34a,1,0,2024-02-28T17:48:19.178Z,french_900.wav,0,poule,1101,30,5,3,english,m,4,0.4,60.24825847,1.1731198
64a83c3f17fdbbd04588c34a,1,0,2024-02-28T17:48:19.178Z,french_900.wav,0,poule,1101,30,5,3,english,m,5,0.5,37.11732505,1.44096814
64a83c3f17fdbbd04588c34a,1,0,2024-02-28T17:48:19.178Z,french_900.wav,0,poule,1101,30,5,3,english,m,6,0.6,64.67645387,1.04426766
64a83c3f17fdbbd04588c34a,1,0,2024-02-28T17:48:19.178Z,french_900.wav,0,poule,1101,30,5,3,english,m,7,0.7,-71.32739236,1.30561608
64a83c3f17fdbbd04588c34a,1,0,2024-02-28T17:48:19.178Z,french_900.wav,0,poule,1101,30,5,3,english,m,8,0.8,-29.12352211,0.38583175
64a83c3f17fdbbd04588c34a,1,0,2024-02-28T17:48:19.178Z,french_900.wav,0,poule,1101,30,5,3,english,m,9,0.9,-23.92624308,1.06522554
64a83c3f17fdbbd04588c34a,1,0,2024-02-28T17:48:19.178Z,french_900.wav,0,poule,1101,30,5,3,english,m,10,1.0,-44.03405283,1.24631605
64a83c3f17fdbbd04588c34a,1,0,2024-02-28T17:48:19.178Z,french_900.wav,0,poule,1101,30,5,3,english,m,11,1.1,-24.43123867,0.11257647
64a83c3f17fdbbd04588c34a,1,0,2024-02-28T17:48:19.178Z,french_900.wav,0,poule,1101,30,5,3,english,m,12,1.14141667,85.71719888,1.16173008
64a83c3f17fdbbd04588c34a,2,0,2024-02-28T17:48:19.178Z,french_437.wav,0,poule,653,30,5,3,english,m,0,0.0,41.80320752,0.30954333
64a83c3f17fdbbd04588c34a,2,0,2024-02-28T17:48:19.178Z,french_437.wav,0,poule,653,30,5,3,english,m,1,0.1,-33.81764788,1.22203572
64a83c3f17fdbbd04588c34a,2,0,2024-02-28T17:48:19.178Z,french_437.wav,0,poule,653,30,5,3,english,m,2,0.2,25.70425251,0.04102161
64a83c3f17fdbbd04588c34a,2,0,2024-02-28T17:48:19.178Z,french_437.wav,0,poule,653,30,5,3,english,m,3,0.3,56.97339003,1.19854703
64a83c3f17fdbbd04588c34a,2,0,2024-02-28T17:48:19.178Z,french_437.wav,0,poule,653,30,5,3,english,m,4,0.4,46.8397409,0.8213725
64a83c3f17fdbbd04588c34a,2,0,2024-02-28T17:48:19.178Z,french_437.wav,0,poule,653,30,5,3,english,m,5,0.5,38.78616497,0.20494593
64a83c3f17fdbbd04588c34a,2,0,2024-02-28T17:48:19.178Z,french_437.wav,0,poule,653,30,5,3,english,m,6,0.6,-89.22878547,1.63754544
64a83c3f17fdbbd04588c34a,2,0,2024-02-28T17:48:19.178Z,french_437.wav,0,poule,653,30,5,3,english,m,7,0.7,80.78163583,1.22886157
64a83c3f17fdbbd04588c34a,2,0,2024-02-28T17:48:19.178Z,french_437.wav,0,poule,653,30,5,3,english,m,8,0.8,84.46215373,0.788043
64a83c3f17fdbbd04588c34a,2,0,2024-02-28T17:48:19.178Z,french_437.wav,0,poule,653,30,5,3,english,m,9,0.9,17.21068764,1.05494363
64a83c3f17fdbbd04588c34a,2,0,2024-02-28T17:48:19.178Z,french_437.wav,0,poule,653,30,5,3,english,m,10,1.0,16.06336223,0.71360389
64a83c3f17fdbbd04588c34a,2,0,2024-02-28T17:48:19.178Z,french_437.wav,0,poule,653,30,5,3,english,m,11,1.1,-52.17850038,1.83653188
64a83c3f17fdbbd04588c34a,2,0,2024-02-28T17:48:19.178Z,french_437.wav,0,poule,653,30,5,3,english,m,12,1.14141667,-51.05005354,0.63741841
64a83c3f17fdbbd04588c34a,3,0,2024-02-28T17:48:19.178Z,french_459.wav,0,pull,1873,30,5,3,english,m,0,0.0,4.61060923,0.63045471
64a83c3f17fdbbd04588c34a,3,0,2024-02-28T17:48:19.178Z,french_459.wav,0,pull,1873,30,5,3,english,m,1,0.1,56.90661814,0.25838891
64a83c3f17fdbbd04588c34a,3,0,2024-02-28T17:48:19.178Z,french_459.wav,0,pull,1873,30,5,3,english,m,2,0.2,-64.88787295,1.34944263
64a83c3f17fdbbd04588c34a,3,0,2024-02-28T17:48:19.178Z,french_459.wav,0,pull,1873,30,5,3,english,m,3,0.3,60.80306931,0.3412609
64a83c3f17fdbbd04588c34a,3,0,2024-02-28T17:48:19.178Z,french_459.wav,0,pull,1873,30,5,3,english,m,4,0.4,-72.51163358,0.8026416
64a83c3f17fdbbd04588c34a,3,0,2024-02-28T17:48:19.178Z,french_459.wav,0,pull,1873,30,5,3,english,m,5,0.5,-58.97655872,0.15800619
64a83c3f17fdbbd04588c34a,3,0,2024-02-28T17:48:19.178Z,french_459.wav,0,pull,1873,30,5,3,english,m,6,0.6,-57.13693888,1.38177294
64a83c3f17fdbbd04588c34a,3,0,2024-02-28T17:48:19.178Z,french_459.wav,0,pull,1873,30,5,3,english,m,7,0.7,91.43327587,1.01516397
