subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:56:07.409Z,french_408.wav,0,poule,1626,31,5,4,English,f,0,0.0,57.66287293,0.97919047
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:56:07.409Z,french_408.wav,0,poule,1626,31,5,4,English,f,1,0.1,97.93839552,1.75049415
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:56:07.409Z,french_408.wav,0,poule,1626,31,5,4,English,f,2,0.2,-36.35390522,0.42601853
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:56:07.409Z,french_408.wav,0,poule,1626,31,5,4,English,f,3,0.3,-90.18432496,0.19355807
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:56:07.409Z,french_408.wav,0,poule,1626,31,5,4,English,f,4,0.4,77.46855699,0.61301907
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:56:07.409Z,french_408.wav,0,poule,1626,31,5,4,English,f,5,0.5,-58.59457593,1.34428146
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:56:07.409Z,french_408.wav,0,poule,1626,31,5,4,English,f,6,0.6,17.75527267,0.94860776
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:56:07.409Z,french_408.wav,0,poule,1626,31,5,4,English,f,7,0.7,-51.28739939,0.59865159
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:56:07.409Z,french_408.wav,0,poule,1626,31,5,4,English,f,8,0.8,-48.80162111,1.44134646
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:56:07.409Z,french_408.wav,0,poule,1626,31,5,4,English,f,9,0.9,-72.58398365,0.53845546
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:56:07.409Z,french_408.wav,0,poule,1626,31,5,4,English,f,10,1.0,2.3507173,1.04957874
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:56:07.409Z,french_408.wav,0,poule,1626,31,5,4,English,f,11,1.1,-12.63030399,1.86480696
65a97c769f2db2c7f246e5b5,0,0,2024-02-28T14:56:07.409Z,french_408.wav,0,poule,1626,31,5,4,English,f,12,1.14141667,70.79914173,0.77055656
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:56:07.409Z,french_871.wav,0,pull,2822,31,5,4,English,f,0,0.0,-87.17332431,1.77173176
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:56:07.409Z,french_871.wav,0,pull,2822,31,5,4,English,f,1,0.1,-63.09415983,0.67265644
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:56:07.409Z,french_871.wav,0,pull,2822,31,5,4,English,f,2,0.2,-5.13692517,0.44902259
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:56:07.409Z,french_871.wav,0,pull,2822,31,5,4,English,f,3,0.3,39.71093195,0.63427398
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:56:07.409Z,french_871.wav,0,pull,2822,31,5,4,English,f,4,0.4,96.30977603,1.34575671
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:56:07.409Z,french_871.wav,0,pull,2822,31,5,4,English,f,5,0.5,25.78038163,1.48044625
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:56:07.409Z,french_871.wav,0,pull,2822,31,5,4,English,f,6,0.6,-32.08428471,1.83651266
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:56:07.409Z,french_871.wav,0,pull,2822,31,5,4,English,f,7,0.7,-14.27500372,1.53561215
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:56:07.409Z,french_871.wav,0,pull,2822,31,5,4,English,f,8,0.8,34.81288679,0.30121489
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:56:07.409Z,french_871.wav,0,pull,2822,31,5,4,English,f,9,0.9,-35.6564535,0.27947142
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:56:07.409Z,french_871.wav,0,pull,2822,31,5,4,English,f,10,1.0,-22.32235069,1.45080304
65a97c769f2db2c7f246e5b5,1,0,2024-02-28T14:56:07.409Z,french_871.wav,0,pull,2822,31,5,4,English,f,11,1.1,65.75387004,0.99601767
