subj,sex,age,language,english,french,native_lang,date,practice,block,trial,stim,pitch,stretch,response,rt
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,2,303,sounds\french\audio/french_287.wav,"[[  0.          24.91246091]
 [  0.1         67.7832239 ]
 [  0.2         45.53981298]
 [  0.3        -34.40875305]
 [  0.4         15.18631391]
 [  0.5        -31.03447886]
 [  0.6        -58.473992  ]
 [  0.7          5.63880144]
 [  0.8        -88.66742404]
 [  0.9        -39.07529751]
 [  1.          -4.11446779]
 [  1.1        -59.02603501]
 [  1.14141667  11.416303  ]]","[[0.         0.55628619]
 [0.1        0.6662612 ]
 [0.2        1.36903667]
 [0.3        0.2836932 ]
 [0.4        1.18401113]
 [0.5        0.95699151]
 [0.6        1.42939471]
 [0.7        0.68329905]
 [0.8        1.80121068]
 [0.9        1.9139007 ]
 [1.         0.02395004]
 [1.1        0.8859273 ]
 [1.14141667 1.12262587]]",0,2.103
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,2,304,sounds\french\audio/french_955.wav,"[[  0.         -94.25756264]
 [  0.1        -34.03260107]
 [  0.2        -13.41635507]
 [  0.3        -71.54807008]
 [  0.4        -77.331913  ]
 [  0.5        -50.91677929]
 [  0.6        -49.3272692 ]
 [  0.7         14.98823062]
 [  0.8        -92.82474453]
 [  0.9         52.03391348]
 [  1.         -96.34521909]
 [  1.1         -2.783526  ]
 [  1.14141667  38.46492665]]","[[0.         0.84151631]
 [0.1        0.64154244]
 [0.2        0.7407158 ]
 [0.3        0.93666894]
 [0.4        1.77494387]
 [0.5        1.86091326]
 [0.6        0.93752328]
 [0.7        1.66003137]
 [0.8        0.78633884]
 [0.9        1.69754994]
 [1.         1.91328734]
 [1.1        0.45528324]
 [1.14141667 0.73678697]]",1,1.437
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,2,305,sounds\french\audio/french_461.wav,"[[  0.          94.32370933]
 [  0.1        -20.71306493]
 [  0.2        -52.8787947 ]
 [  0.3         54.58301415]
 [  0.4         77.43262349]
 [  0.5         91.72055328]
 [  0.6        -68.29048705]
 [  0.7        -57.37161044]
 [  0.8         31.76308417]
 [  0.9        -99.65529565]
 [  1.         -27.48817095]
 [  1.1         97.80822664]
 [  1.14141667  42.47593373]]","[[0.         1.08116474]
 [0.1        0.77352279]
 [0.2        1.72406451]
 [0.3        1.0712012 ]
 [0.4        1.46762268]
 [0.5        1.02267728]
 [0.6        1.62970382]
 [0.7        0.33624611]
 [0.8        1.07879651]
 [0.9        0.11108974]
 [1.         0.0578911 ]
 [1.1        1.12963754]
 [1.14141667 1.30381109]]",0,0.646
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,2,306,sounds\french\audio/french_387.wav,"[[  0.         -24.79004383]
 [  0.1        -23.52605858]
 [  0.2        -91.83469308]
 [  0.3         -8.60515115]
 [  0.4         66.88839894]
 [  0.5         25.42600238]
 [  0.6         -7.40031453]
 [  0.7        -51.95385071]
 [  0.8         50.19527583]
 [  0.9        -38.24502807]
 [  1.         -42.80998351]
 [  1.1          4.14032159]
 [  1.14141667 -51.51302807]]","[[0.         0.44030197]
 [0.1        0.70411981]
 [0.2        1.86884396]
 [0.3        0.78103642]
 [0.4        0.92101113]
 [0.5        0.1569929 ]
 [0.6        0.56500245]
 [0.7        1.10374922]
 [0.8        0.9239354 ]
 [0.9        0.71980966]
 [1.         1.05382382]
 [1.1        1.68496778]
 [1.14141667 0.50981508]]",0,0.754
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,2,307,sounds\french\audio/french_247.wav,"[[  0.          87.28160699]
 [  0.1         54.41631338]
 [  0.2         37.94276377]
 [  0.3        -67.22196437]
 [  0.4        -92.34211051]
 [  0.5         78.48957529]
 [  0.6        -77.60666308]
 [  0.7         89.04290108]
 [  0.8         95.38463118]
 [  0.9        -13.6171851 ]
 [  1.         -62.96426983]
 [  1.1         10.74028895]
 [  1.14141667  30.61570069]]","[[0.         1.75163706]
 [0.1        0.7463051 ]
 [0.2        0.54290341]
 [0.3        0.62982968]
 [0.4        1.66450544]
 [0.5        0.11949556]
 [0.6        0.59857061]
 [0.7        1.16504801]
 [0.8        1.98824202]
 [0.9        1.58326229]
 [1.         1.7730941 ]
 [1.1        1.01142382]
 [1.14141667 1.22213948]]",1,0.501
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,2,308,sounds\french\audio/french_632.wav,"[[  0.         -61.06763991]
 [  0.1        -57.8130529 ]
 [  0.2         54.35735824]
 [  0.3        -58.91236726]
 [  0.4        -64.13325835]
 [  0.5          1.3996077 ]
 [  0.6         96.59752588]
 [  0.7         43.3805339 ]
 [  0.8         -5.42806786]
 [  0.9        -58.66284966]
 [  1.         -47.33386135]
 [  1.1        -21.19098869]
 [  1.14141667  97.6648062 ]]","[[0.         1.6452416 ]
 [0.1        0.41885381]
 [0.2        1.5481505 ]
 [0.3        1.62022086]
 [0.4        0.90453309]
 [0.5        1.75325833]
 [0.6        1.95765898]
 [0.7        1.0798425 ]
 [0.8        1.87572571]
 [0.9        0.40799894]
 [1.         1.4956973 ]
 [1.1        1.53768765]
 [1.14141667 1.52822814]]",0,1.107
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,2,309,sounds\french\audio/french_45.wav,"[[  0.           4.56173303]
 [  0.1         74.73557227]
 [  0.2        -92.29583716]
 [  0.3         82.3773938 ]
 [  0.4        -50.62808554]
 [  0.5        -35.38506933]
 [  0.6        -76.21602708]
 [  0.7         13.4081517 ]
 [  0.8         60.02628181]
 [  0.9        -69.7779934 ]
 [  1.          26.70700763]
 [  1.1          2.15265125]
 [  1.14141667  12.24183069]]","[[0.         1.83143027]
 [0.1        0.95964929]
 [0.2        0.89840441]
 [0.3        1.91185951]
 [0.4        0.53797914]
 [0.5        1.77700648]
 [0.6        0.80918408]
 [0.7        0.77945945]
 [0.8        0.91359537]
 [0.9        0.85324143]
 [1.         0.01420072]
 [1.1        1.17171594]
 [1.14141667 0.79271144]]",0,0.556
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,2,310,sounds\french\audio/french_943.wav,"[[  0.         -39.69174356]
 [  0.1          9.71823043]
 [  0.2         47.82156503]
 [  0.3        -70.45683827]
 [  0.4        -70.36375892]
 [  0.5        -78.09117144]
 [  0.6         43.3001696 ]
 [  0.7         27.56713446]
 [  0.8         54.98161832]
 [  0.9        -79.78278868]
 [  1.          66.03849917]
 [  1.1        -45.24869993]
 [  1.14141667 -78.78234865]]","[[0.         1.76181843]
 [0.1        0.25866572]
 [0.2        1.61194964]
 [0.3        1.00408981]
 [0.4        1.40275429]
 [0.5        0.47534453]
 [0.6        1.96075546]
 [0.7        0.78248667]
 [0.8        1.42706625]
 [0.9        0.63840216]
 [1.         0.77310904]
 [1.1        1.03848478]
 [1.14141667 0.62693219]]",0,0.472
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,2,311,sounds\french\audio/french_68.wav,"[[  0.          -4.68409904]
 [  0.1         92.04498692]
 [  0.2        -44.49648935]
 [  0.3        -75.43377809]
 [  0.4         74.21031159]
 [  0.5         82.33352028]
 [  0.6         25.57380445]
 [  0.7          9.35296428]
 [  0.8        -35.37334119]
 [  0.9        -52.02183066]
 [  1.          27.99769187]
 [  1.1         40.81040353]
 [  1.14141667 -67.62257988]]","[[0.         0.50111007]
 [0.1        0.71418188]
 [0.2        0.59401089]
 [0.3        0.36894157]
 [0.4        0.69735176]
 [0.5        1.86260375]
 [0.6        1.54858718]
 [0.7        0.87766933]
 [0.8        0.72659536]
 [0.9        1.54577494]
 [1.         1.34753048]
 [1.1        1.91715422]
 [1.14141667 1.93921971]]",1,0.37
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,2,312,sounds\french\audio/french_700.wav,"[[  0.         -27.53247214]
 [  0.1        -29.71209931]
 [  0.2         10.89159195]
 [  0.3        -53.06982063]
 [  0.4        -47.25715366]
 [  0.5         12.01274328]
 [  0.6        -35.34261671]
 [  0.7         38.95748155]
 [  0.8         83.20971937]
 [  0.9        -65.50939015]
 [  1.          94.61096103]
 [  1.1         74.41841232]
 [  1.14141667  18.30440659]]","[[0.         1.49055523]
 [0.1        1.00637482]
 [0.2        0.22182663]
 [0.3        1.24768056]
 [0.4        1.67932013]
 [0.5        1.54412989]
 [0.6        1.68740312]
 [0.7        0.25312184]
 [0.8        0.49670462]
 [0.9        1.3467354 ]
 [1.         0.15356174]
 [1.1        1.29558082]
 [1.14141667 1.58223542]]",0,0.819
