subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5e2e147d047efa000c6b833d,0,0,2024-02-27T14:12:51.102Z,english_952.wav,0,pill,2943,36,5,2,English,m,0,0.0,64.91746033,1.00586425
5e2e147d047efa000c6b833d,0,0,2024-02-27T14:12:51.102Z,english_952.wav,0,pill,2943,36,5,2,English,m,1,0.1,-25.84234774,1.28790365
5e2e147d047efa000c6b833d,0,0,2024-02-27T14:12:51.102Z,english_952.wav,0,pill,2943,36,5,2,English,m,2,0.2,60.30097417,1.6668124
5e2e147d047efa000c6b833d,0,0,2024-02-27T14:12:51.102Z,english_952.wav,0,pill,2943,36,5,2,English,m,3,0.3,-98.0606555,1.44616756
5e2e147d047efa000c6b833d,0,0,2024-02-27T14:12:51.102Z,english_952.wav,0,pill,2943,36,5,2,English,m,4,0.32341667,-77.98984902,0.15831209
5e2e147d047efa000c6b833d,1,0,2024-02-27T14:12:51.102Z,english_200.wav,0,peel,1033,36,5,2,English,m,0,0.0,48.98677304,1.07797747
5e2e147d047efa000c6b833d,1,0,2024-02-27T14:12:51.102Z,english_200.wav,0,peel,1033,36,5,2,English,m,1,0.1,13.54292536,1.23698451
5e2e147d047efa000c6b833d,1,0,2024-02-27T14:12:51.102Z,english_200.wav,0,peel,1033,36,5,2,English,m,2,0.2,15.98335964,0.85343662
5e2e147d047efa000c6b833d,1,0,2024-02-27T14:12:51.102Z,english_200.wav,0,peel,1033,36,5,2,English,m,3,0.3,-46.7743147,1.38707984
5e2e147d047efa000c6b833d,1,0,2024-02-27T14:12:51.102Z,english_200.wav,0,peel,1033,36,5,2,English,m,4,0.32341667,-12.18386714,0.65409939
5e2e147d047efa000c6b833d,2,0,2024-02-27T14:12:51.102Z,english_328.wav,0,pill,1627,36,5,2,English,m,0,0.0,-24.96515822,0.68772771
5e2e147d047efa000c6b833d,2,0,2024-02-27T14:12:51.102Z,english_328.wav,0,pill,1627,36,5,2,English,m,1,0.1,36.64267249,0.30369637
5e2e147d047efa000c6b833d,2,0,2024-02-27T14:12:51.102Z,english_328.wav,0,pill,1627,36,5,2,English,m,2,0.2,-93.60804347,1.16330199
5e2e147d047efa000c6b833d,2,0,2024-02-27T14:12:51.102Z,english_328.wav,0,pill,1627,36,5,2,English,m,3,0.3,9.86556644,0.69001341
5e2e147d047efa000c6b833d,2,0,2024-02-27T14:12:51.102Z,english_328.wav,0,pill,1627,36,5,2,English,m,4,0.32341667,-17.13685423,0.54642887
5e2e147d047efa000c6b833d,3,0,2024-02-27T14:12:51.102Z,english_163.wav,0,peel,621,36,5,2,English,m,0,0.0,-28.85321754,1.43434597
5e2e147d047efa000c6b833d,3,0,2024-02-27T14:12:51.102Z,english_163.wav,0,peel,621,36,5,2,English,m,1,0.1,9.37410395,1.75766865
5e2e147d047efa000c6b833d,3,0,2024-02-27T14:12:51.102Z,english_163.wav,0,peel,621,36,5,2,English,m,2,0.2,-43.22266742,0.90391943
5e2e147d047efa000c6b833d,3,0,2024-02-27T14:12:51.102Z,english_163.wav,0,peel,621,36,5,2,English,m,3,0.3,48.63715122,1.21743426
5e2e147d047efa000c6b833d,3,0,2024-02-27T14:12:51.102Z,english_163.wav,0,peel,621,36,5,2,English,m,4,0.32341667,-94.22333204,1.8516503
5e2e147d047efa000c6b833d,4,0,2024-02-27T14:12:51.102Z,english_435.wav,0,peel,389,36,5,2,English,m,0,0.0,-61.49548479,0.36819492
5e2e147d047efa000c6b833d,4,0,2024-02-27T14:12:51.102Z,english_435.wav,0,peel,389,36,5,2,English,m,1,0.1,18.53940612,1.77990606
5e2e147d047efa000c6b833d,4,0,2024-02-27T14:12:51.102Z,english_435.wav,0,peel,389,36,5,2,English,m,2,0.2,-39.20879804,1.09377229
5e2e147d047efa000c6b833d,4,0,2024-02-27T14:12:51.102Z,english_435.wav,0,peel,389,36,5,2,English,m,3,0.3,-30.66509024,1.98213584
5e2e147d047efa000c6b833d,4,0,2024-02-27T14:12:51.102Z,english_435.wav,0,peel,389,36,5,2,English,m,4,0.32341667,7.07056367,0.5936591
5e2e147d047efa000c6b833d,5,0,2024-02-27T14:12:51.102Z,english_932.wav,0,peel,985,36,5,2,English,m,0,0.0,-3.8848098,1.00949787
5e2e147d047efa000c6b833d,5,0,2024-02-27T14:12:51.102Z,english_932.wav,0,peel,985,36,5,2,English,m,1,0.1,-32.48916274,1.44703087
5e2e147d047efa000c6b833d,5,0,2024-02-27T14:12:51.102Z,english_932.wav,0,peel,985,36,5,2,English,m,2,0.2,81.26251807,0.10808594
5e2e147d047efa000c6b833d,5,0,2024-02-27T14:12:51.102Z,english_932.wav,0,peel,985,36,5,2,English,m,3,0.3,-18.23478105,0.03465182
5e2e147d047efa000c6b833d,5,0,2024-02-27T14:12:51.102Z,english_932.wav,0,peel,985,36,5,2,English,m,4,0.32341667,7.90132089,0.79845554
5e2e147d047efa000c6b833d,6,0,2024-02-27T14:12:51.102Z,english_729.wav,0,pill,863,36,5,2,English,m,0,0.0,31.16849918,1.30127688
5e2e147d047efa000c6b833d,6,0,2024-02-27T14:12:51.102Z,english_729.wav,0,pill,863,36,5,2,English,m,1,0.1,-74.04657477,1.28998605
5e2e147d047efa000c6b833d,6,0,2024-02-27T14:12:51.102Z,english_729.wav,0,pill,863,36,5,2,English,m,2,0.2,98.28479208,0.71365363
5e2e147d047efa000c6b833d,6,0,2024-02-27T14:12:51.102Z,english_729.wav,0,pill,863,36,5,2,English,m,3,0.3,45.68234461,0.61436371
5e2e147d047efa000c6b833d,6,0,2024-02-27T14:12:51.102Z,english_729.wav,0,pill,863,36,5,2,English,m,4,0.32341667,-23.12232547,0.96520681
5e2e147d047efa000c6b833d,7,0,2024-02-27T14:12:51.102Z,english_381.wav,0,pill,693,36,5,2,English,m,0,0.0,-64.83599525,0.77808766
