subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5e92178e8ee4fe54b65b7c39,0,0,2024-02-24T08:26:57.419Z,english_686.wav,0,pill,2220,29,5,2,english,m,0,0.0,-30.40223154,0.36787347
5e92178e8ee4fe54b65b7c39,0,0,2024-02-24T08:26:57.419Z,english_686.wav,0,pill,2220,29,5,2,english,m,1,0.1,40.30213926,1.54584144
5e92178e8ee4fe54b65b7c39,0,0,2024-02-24T08:26:57.419Z,english_686.wav,0,pill,2220,29,5,2,english,m,2,0.2,68.68183252,1.54645212
5e92178e8ee4fe54b65b7c39,0,0,2024-02-24T08:26:57.419Z,english_686.wav,0,pill,2220,29,5,2,english,m,3,0.3,82.36920372,1.04035585
5e92178e8ee4fe54b65b7c39,0,0,2024-02-24T08:26:57.419Z,english_686.wav,0,pill,2220,29,5,2,english,m,4,0.32341667,5.8000707,1.51520661
5e92178e8ee4fe54b65b7c39,1,0,2024-02-24T08:26:57.419Z,english_242.wav,0,pill,931,29,5,2,english,m,0,0.0,26.44185099,0.44763058
5e92178e8ee4fe54b65b7c39,1,0,2024-02-24T08:26:57.419Z,english_242.wav,0,pill,931,29,5,2,english,m,1,0.1,44.29547205,1.06541359
5e92178e8ee4fe54b65b7c39,1,0,2024-02-24T08:26:57.419Z,english_242.wav,0,pill,931,29,5,2,english,m,2,0.2,-3.86423299,0.64111919
5e92178e8ee4fe54b65b7c39,1,0,2024-02-24T08:26:57.419Z,english_242.wav,0,pill,931,29,5,2,english,m,3,0.3,60.29108386,0.35225786
5e92178e8ee4fe54b65b7c39,1,0,2024-02-24T08:26:57.419Z,english_242.wav,0,pill,931,29,5,2,english,m,4,0.32341667,18.66576556,1.0072971
5e92178e8ee4fe54b65b7c39,2,0,2024-02-24T08:26:57.419Z,english_216.wav,0,pill,612,29,5,2,english,m,0,0.0,-62.2888105,1.07577895
5e92178e8ee4fe54b65b7c39,2,0,2024-02-24T08:26:57.419Z,english_216.wav,0,pill,612,29,5,2,english,m,1,0.1,-52.19325919,1.07125686
5e92178e8ee4fe54b65b7c39,2,0,2024-02-24T08:26:57.419Z,english_216.wav,0,pill,612,29,5,2,english,m,2,0.2,-77.81566322,1.51342084
5e92178e8ee4fe54b65b7c39,2,0,2024-02-24T08:26:57.419Z,english_216.wav,0,pill,612,29,5,2,english,m,3,0.3,73.5246301,1.37714716
5e92178e8ee4fe54b65b7c39,2,0,2024-02-24T08:26:57.419Z,english_216.wav,0,pill,612,29,5,2,english,m,4,0.32341667,73.4409389,1.55456291
5e92178e8ee4fe54b65b7c39,3,0,2024-02-24T08:26:57.419Z,english_653.wav,0,peel,383,29,5,2,english,m,0,0.0,8.14815906,1.27061672
5e92178e8ee4fe54b65b7c39,3,0,2024-02-24T08:26:57.419Z,english_653.wav,0,peel,383,29,5,2,english,m,1,0.1,4.49815435,1.37470465
5e92178e8ee4fe54b65b7c39,3,0,2024-02-24T08:26:57.419Z,english_653.wav,0,peel,383,29,5,2,english,m,2,0.2,-96.80954485,1.57421691
5e92178e8ee4fe54b65b7c39,3,0,2024-02-24T08:26:57.419Z,english_653.wav,0,peel,383,29,5,2,english,m,3,0.3,-0.49075979,1.39011427
5e92178e8ee4fe54b65b7c39,3,0,2024-02-24T08:26:57.419Z,english_653.wav,0,peel,383,29,5,2,english,m,4,0.32341667,98.12577208,0.75484601
5e92178e8ee4fe54b65b7c39,4,0,2024-02-24T08:26:57.419Z,english_164.wav,0,peel,336,29,5,2,english,m,0,0.0,-18.99376005,1.91320144
5e92178e8ee4fe54b65b7c39,4,0,2024-02-24T08:26:57.419Z,english_164.wav,0,peel,336,29,5,2,english,m,1,0.1,-38.65269109,0.23857652
5e92178e8ee4fe54b65b7c39,4,0,2024-02-24T08:26:57.419Z,english_164.wav,0,peel,336,29,5,2,english,m,2,0.2,64.75288033,1.41883879
5e92178e8ee4fe54b65b7c39,4,0,2024-02-24T08:26:57.419Z,english_164.wav,0,peel,336,29,5,2,english,m,3,0.3,-33.8407164,1.34667564
5e92178e8ee4fe54b65b7c39,4,0,2024-02-24T08:26:57.419Z,english_164.wav,0,peel,336,29,5,2,english,m,4,0.32341667,27.96502681,0.04602263
5e92178e8ee4fe54b65b7c39,5,0,2024-02-24T08:26:57.419Z,english_807.wav,0,peel,294,29,5,2,english,m,0,0.0,-70.27095807,1.48455572
5e92178e8ee4fe54b65b7c39,5,0,2024-02-24T08:26:57.419Z,english_807.wav,0,peel,294,29,5,2,english,m,1,0.1,84.77391363,1.24837561
5e92178e8ee4fe54b65b7c39,5,0,2024-02-24T08:26:57.419Z,english_807.wav,0,peel,294,29,5,2,english,m,2,0.2,-27.52537388,0.77726095
5e92178e8ee4fe54b65b7c39,5,0,2024-02-24T08:26:57.419Z,english_807.wav,0,peel,294,29,5,2,english,m,3,0.3,36.82986288,1.65388598
5e92178e8ee4fe54b65b7c39,5,0,2024-02-24T08:26:57.419Z,english_807.wav,0,peel,294,29,5,2,english,m,4,0.32341667,16.63983573,1.10343216
5e92178e8ee4fe54b65b7c39,6,0,2024-02-24T08:26:57.419Z,english_415.wav,0,peel,266,29,5,2,english,m,0,0.0,36.00223879,1.49199547
5e92178e8ee4fe54b65b7c39,6,0,2024-02-24T08:26:57.419Z,english_415.wav,0,peel,266,29,5,2,english,m,1,0.1,-82.63332374,1.79959711
