subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
651a03c8ea1027b3193b9e35,0,0,2024-02-27T14:14:17.829Z,english_707.wav,0,peel,2554,36,5,4,english,f,0,0.0,-17.04120346,1.06535483
651a03c8ea1027b3193b9e35,0,0,2024-02-27T14:14:17.829Z,english_707.wav,0,peel,2554,36,5,4,english,f,1,0.1,-57.44917128,0.89541794
651a03c8ea1027b3193b9e35,0,0,2024-02-27T14:14:17.829Z,english_707.wav,0,peel,2554,36,5,4,english,f,2,0.2,90.75848643,1.64838001
651a03c8ea1027b3193b9e35,0,0,2024-02-27T14:14:17.829Z,english_707.wav,0,peel,2554,36,5,4,english,f,3,0.3,96.79852424,0.75431717
651a03c8ea1027b3193b9e35,0,0,2024-02-27T14:14:17.829Z,english_707.wav,0,peel,2554,36,5,4,english,f,4,0.32341667,27.01716591,0.48082071
651a03c8ea1027b3193b9e35,1,0,2024-02-27T14:14:17.829Z,english_859.wav,0,pill,530,36,5,4,english,f,0,0.0,71.31858369,0.11764496
651a03c8ea1027b3193b9e35,1,0,2024-02-27T14:14:17.829Z,english_859.wav,0,pill,530,36,5,4,english,f,1,0.1,-33.60875554,0.29827778
651a03c8ea1027b3193b9e35,1,0,2024-02-27T14:14:17.829Z,english_859.wav,0,pill,530,36,5,4,english,f,2,0.2,-64.15502461,0.43254339
651a03c8ea1027b3193b9e35,1,0,2024-02-27T14:14:17.829Z,english_859.wav,0,pill,530,36,5,4,english,f,3,0.3,-36.22537369,0.12368506
651a03c8ea1027b3193b9e35,1,0,2024-02-27T14:14:17.829Z,english_859.wav,0,pill,530,36,5,4,english,f,4,0.32341667,-23.59955866,0.97858169
651a03c8ea1027b3193b9e35,2,0,2024-02-27T14:14:17.829Z,english_245.wav,0,peel,432,36,5,4,english,f,0,0.0,74.89239003,1.30710747
651a03c8ea1027b3193b9e35,2,0,2024-02-27T14:14:17.829Z,english_245.wav,0,peel,432,36,5,4,english,f,1,0.1,41.98679172,0.93119149
651a03c8ea1027b3193b9e35,2,0,2024-02-27T14:14:17.829Z,english_245.wav,0,peel,432,36,5,4,english,f,2,0.2,99.42105985,1.84379828
651a03c8ea1027b3193b9e35,2,0,2024-02-27T14:14:17.829Z,english_245.wav,0,peel,432,36,5,4,english,f,3,0.3,-75.11958538,1.72828743
651a03c8ea1027b3193b9e35,2,0,2024-02-27T14:14:17.829Z,english_245.wav,0,peel,432,36,5,4,english,f,4,0.32341667,-62.10664415,0.50124118
651a03c8ea1027b3193b9e35,3,0,2024-02-27T14:14:17.829Z,english_719.wav,0,peel,374,36,5,4,english,f,0,0.0,-32.14306232,1.4431753
651a03c8ea1027b3193b9e35,3,0,2024-02-27T14:14:17.829Z,english_719.wav,0,peel,374,36,5,4,english,f,1,0.1,-81.40439332,0.46175707
651a03c8ea1027b3193b9e35,3,0,2024-02-27T14:14:17.829Z,english_719.wav,0,peel,374,36,5,4,english,f,2,0.2,-20.1172293,1.86886769
651a03c8ea1027b3193b9e35,3,0,2024-02-27T14:14:17.829Z,english_719.wav,0,peel,374,36,5,4,english,f,3,0.3,67.63048238,0.67969247
651a03c8ea1027b3193b9e35,3,0,2024-02-27T14:14:17.829Z,english_719.wav,0,peel,374,36,5,4,english,f,4,0.32341667,50.83305788,1.68151983
651a03c8ea1027b3193b9e35,4,0,2024-02-27T14:14:17.829Z,english_827.wav,0,peel,344,36,5,4,english,f,0,0.0,-49.24128803,1.70838213
651a03c8ea1027b3193b9e35,4,0,2024-02-27T14:14:17.829Z,english_827.wav,0,peel,344,36,5,4,english,f,1,0.1,62.6158679,0.88048656
