subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
651d3da180d4b0d9a79c33dd,0,0,2024-02-26T09:36:04.766Z,english_848.wav,0,pill,6428,18,5,4,english,m,0,0.0,43.30233352,0.12582596
651d3da180d4b0d9a79c33dd,0,0,2024-02-26T09:36:04.766Z,english_848.wav,0,pill,6428,18,5,4,english,m,1,0.1,-77.77691247,1.72621372
651d3da180d4b0d9a79c33dd,0,0,2024-02-26T09:36:04.766Z,english_848.wav,0,pill,6428,18,5,4,english,m,2,0.2,-68.99020863,1.753656
651d3da180d4b0d9a79c33dd,0,0,2024-02-26T09:36:04.766Z,english_848.wav,0,pill,6428,18,5,4,english,m,3,0.3,-43.68641023,1.37442753
651d3da180d4b0d9a79c33dd,0,0,2024-02-26T09:36:04.766Z,english_848.wav,0,pill,6428,18,5,4,english,m,4,0.32341667,-14.19502025,1.04930351
651d3da180d4b0d9a79c33dd,1,0,2024-02-26T09:36:04.766Z,english_599.wav,0,peel,1502,18,5,4,english,m,0,0.0,-57.09760884,1.03382432
651d3da180d4b0d9a79c33dd,1,0,2024-02-26T09:36:04.766Z,english_599.wav,0,peel,1502,18,5,4,english,m,1,0.1,31.85682387,1.26885403
651d3da180d4b0d9a79c33dd,1,0,2024-02-26T09:36:04.766Z,english_599.wav,0,peel,1502,18,5,4,english,m,2,0.2,-6.73425875,1.24717465
651d3da180d4b0d9a79c33dd,1,0,2024-02-26T09:36:04.766Z,english_599.wav,0,peel,1502,18,5,4,english,m,3,0.3,47.95830633,1.34338376
651d3da180d4b0d9a79c33dd,1,0,2024-02-26T09:36:04.766Z,english_599.wav,0,peel,1502,18,5,4,english,m,4,0.32341667,-83.8084816,0.34550335
651d3da180d4b0d9a79c33dd,2,0,2024-02-26T09:36:04.766Z,english_61.wav,0,pill,2274,18,5,4,english,m,0,0.0,-58.73450167,1.5196582
651d3da180d4b0d9a79c33dd,2,0,2024-02-26T09:36:04.766Z,english_61.wav,0,pill,2274,18,5,4,english,m,1,0.1,-68.77732169,0.79346499
651d3da180d4b0d9a79c33dd,2,0,2024-02-26T09:36:04.766Z,english_61.wav,0,pill,2274,18,5,4,english,m,2,0.2,-61.07430116,0.90548432
651d3da180d4b0d9a79c33dd,2,0,2024-02-26T09:36:04.766Z,english_61.wav,0,pill,2274,18,5,4,english,m,3,0.3,-87.12791991,1.71431728
651d3da180d4b0d9a79c33dd,2,0,2024-02-26T09:36:04.766Z,english_61.wav,0,pill,2274,18,5,4,english,m,4,0.32341667,47.32358741,0.57778581
651d3da180d4b0d9a79c33dd,3,0,2024-02-26T09:36:04.766Z,english_302.wav,0,pill,2463,18,5,4,english,m,0,0.0,-63.95927305,1.3663617
651d3da180d4b0d9a79c33dd,3,0,2024-02-26T09:36:04.766Z,english_302.wav,0,pill,2463,18,5,4,english,m,1,0.1,-82.44028643,1.24112643
651d3da180d4b0d9a79c33dd,3,0,2024-02-26T09:36:04.766Z,english_302.wav,0,pill,2463,18,5,4,english,m,2,0.2,-63.33590257,1.83999602
651d3da180d4b0d9a79c33dd,3,0,2024-02-26T09:36:04.766Z,english_302.wav,0,pill,2463,18,5,4,english,m,3,0.3,-82.33590521,0.89576132
651d3da180d4b0d9a79c33dd,3,0,2024-02-26T09:36:04.766Z,english_302.wav,0,pill,2463,18,5,4,english,m,4,0.32341667,-77.43124585,1.51483357
651d3da180d4b0d9a79c33dd,4,0,2024-02-26T09:36:04.766Z,english_658.wav,0,peel,2881,18,5,4,english,m,0,0.0,-80.21976745,0.49170119
651d3da180d4b0d9a79c33dd,4,0,2024-02-26T09:36:04.766Z,english_658.wav,0,peel,2881,18,5,4,english,m,1,0.1,11.23314836,0.6994793
651d3da180d4b0d9a79c33dd,4,0,2024-02-26T09:36:04.766Z,english_658.wav,0,peel,2881,18,5,4,english,m,2,0.2,8.94946791,1.18458539
651d3da180d4b0d9a79c33dd,4,0,2024-02-26T09:36:04.766Z,english_658.wav,0,peel,2881,18,5,4,english,m,3,0.3,17.22411688,0.7091276
651d3da180d4b0d9a79c33dd,4,0,2024-02-26T09:36:04.766Z,english_658.wav,0,peel,2881,18,5,4,english,m,4,0.32341667,10.67081381,1.7453453
651d3da180d4b0d9a79c33dd,5,0,2024-02-26T09:36:04.766Z,english_979.wav,0,peel,1836,18,5,4,english,m,0,0.0,-1.00654814,1.61411081
651d3da180d4b0d9a79c33dd,5,0,2024-02-26T09:36:04.766Z,english_979.wav,0,peel,1836,18,5,4,english,m,1,0.1,18.39835707,1.30464512
651d3da180d4b0d9a79c33dd,5,0,2024-02-26T09:36:04.766Z,english_979.wav,0,peel,1836,18,5,4,english,m,2,0.2,-42.91789413,0.93120215
651d3da180d4b0d9a79c33dd,5,0,2024-02-26T09:36:04.766Z,english_979.wav,0,peel,1836,18,5,4,english,m,3,0.3,-58.29527223,0.87145212
651d3da180d4b0d9a79c33dd,5,0,2024-02-26T09:36:04.766Z,english_979.wav,0,peel,1836,18,5,4,english,m,4,0.32341667,86.14740424,1.17332389
651d3da180d4b0d9a79c33dd,6,0,2024-02-26T09:36:04.766Z,english_307.wav,0,peel,1194,18,5,4,english,m,0,0.0,-38.93106299,1.91951228
651d3da180d4b0d9a79c33dd,6,0,2024-02-26T09:36:04.766Z,english_307.wav,0,peel,1194,18,5,4,english,m,1,0.1,-30.40144858,0.50419792
651d3da180d4b0d9a79c33dd,6,0,2024-02-26T09:36:04.766Z,english_307.wav,0,peel,1194,18,5,4,english,m,2,0.2,2.19081651,0.76602689
651d3da180d4b0d9a79c33dd,6,0,2024-02-26T09:36:04.766Z,english_307.wav,0,peel,1194,18,5,4,english,m,3,0.3,30.82741361,0.59904457
651d3da180d4b0d9a79c33dd,6,0,2024-02-26T09:36:04.766Z,english_307.wav,0,peel,1194,18,5,4,english,m,4,0.32341667,46.9007513,1.94941235
651d3da180d4b0d9a79c33dd,7,0,2024-02-26T09:36:04.766Z,english_899.wav,0,peel,2417,18,5,4,english,m,0,0.0,34.44970312,1.0262563
651d3da180d4b0d9a79c33dd,7,0,2024-02-26T09:36:04.766Z,english_899.wav,0,peel,2417,18,5,4,english,m,1,0.1,-73.97598586,0.5565938
651d3da180d4b0d9a79c33dd,7,0,2024-02-26T09:36:04.766Z,english_899.wav,0,peel,2417,18,5,4,english,m,2,0.2,4.84970015,0.08950317
651d3da180d4b0d9a79c33dd,7,0,2024-02-26T09:36:04.766Z,english_899.wav,0,peel,2417,18,5,4,english,m,3,0.3,25.99530817,1.10823657
651d3da180d4b0d9a79c33dd,7,0,2024-02-26T09:36:04.766Z,english_899.wav,0,peel,2417,18,5,4,english,m,4,0.32341667,7.0197251,1.27665612
651d3da180d4b0d9a79c33dd,8,0,2024-02-26T09:36:04.766Z,english_807.wav,0,peel,5094,18,5,4,english,m,0,0.0,-70.27095807,1.48455572
651d3da180d4b0d9a79c33dd,8,0,2024-02-26T09:36:04.766Z,english_807.wav,0,peel,5094,18,5,4,english,m,1,0.1,84.77391363,1.24837561
651d3da180d4b0d9a79c33dd,8,0,2024-02-26T09:36:04.766Z,english_807.wav,0,peel,5094,18,5,4,english,m,2,0.2,-27.52537388,0.77726095
