subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
6557da88346b2b209cd16bb5,0,0,2024-02-24T08:20:51.973Z,english_569.wav,0,pill,3044,46,5,4,english,m,0,0.0,-44.4695194,1.56768834
6557da88346b2b209cd16bb5,0,0,2024-02-24T08:20:51.973Z,english_569.wav,0,pill,3044,46,5,4,english,m,1,0.1,50.36705327,0.42032873
6557da88346b2b209cd16bb5,0,0,2024-02-24T08:20:51.973Z,english_569.wav,0,pill,3044,46,5,4,english,m,2,0.2,-76.17438636,0.31133764
6557da88346b2b209cd16bb5,0,0,2024-02-24T08:20:51.973Z,english_569.wav,0,pill,3044,46,5,4,english,m,3,0.3,55.47083669,0.91900801
6557da88346b2b209cd16bb5,0,0,2024-02-24T08:20:51.973Z,english_569.wav,0,pill,3044,46,5,4,english,m,4,0.32341667,-10.68913609,1.26529561
6557da88346b2b209cd16bb5,1,0,2024-02-24T08:20:51.973Z,english_718.wav,0,peel,2004,46,5,4,english,m,0,0.0,-62.54470118,0.40124114
6557da88346b2b209cd16bb5,1,0,2024-02-24T08:20:51.973Z,english_718.wav,0,peel,2004,46,5,4,english,m,1,0.1,-40.70811043,0.49945062
6557da88346b2b209cd16bb5,1,0,2024-02-24T08:20:51.973Z,english_718.wav,0,peel,2004,46,5,4,english,m,2,0.2,-11.25435391,1.54880463
6557da88346b2b209cd16bb5,1,0,2024-02-24T08:20:51.973Z,english_718.wav,0,peel,2004,46,5,4,english,m,3,0.3,-68.52161814,0.39118497
6557da88346b2b209cd16bb5,1,0,2024-02-24T08:20:51.973Z,english_718.wav,0,peel,2004,46,5,4,english,m,4,0.32341667,-77.89834334,0.07447668
6557da88346b2b209cd16bb5,2,0,2024-02-24T08:20:51.973Z,english_633.wav,0,peel,1954,46,5,4,english,m,0,0.0,-53.72283933,1.23998369
6557da88346b2b209cd16bb5,2,0,2024-02-24T08:20:51.973Z,english_633.wav,0,peel,1954,46,5,4,english,m,1,0.1,14.71438877,1.35266241
6557da88346b2b209cd16bb5,2,0,2024-02-24T08:20:51.973Z,english_633.wav,0,peel,1954,46,5,4,english,m,2,0.2,95.18630031,0.66132985
6557da88346b2b209cd16bb5,2,0,2024-02-24T08:20:51.973Z,english_633.wav,0,peel,1954,46,5,4,english,m,3,0.3,96.89096157,0.52728002
6557da88346b2b209cd16bb5,2,0,2024-02-24T08:20:51.973Z,english_633.wav,0,peel,1954,46,5,4,english,m,4,0.32341667,8.38596779,1.4824282
6557da88346b2b209cd16bb5,3,0,2024-02-24T08:20:51.973Z,english_412.wav,0,pill,917,46,5,4,english,m,0,0.0,-82.38375592,0.41347899
6557da88346b2b209cd16bb5,3,0,2024-02-24T08:20:51.973Z,english_412.wav,0,pill,917,46,5,4,english,m,1,0.1,-35.89348303,0.05505218
6557da88346b2b209cd16bb5,3,0,2024-02-24T08:20:51.973Z,english_412.wav,0,pill,917,46,5,4,english,m,2,0.2,-78.50422887,1.28972039
6557da88346b2b209cd16bb5,3,0,2024-02-24T08:20:51.973Z,english_412.wav,0,pill,917,46,5,4,english,m,3,0.3,8.19618882,0.97331843
