subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
aysh,0,0,2024-02-24T08:02:43.969Z,english_950.wav,0,pill,5677,26,5,3,english,female,0,0.0,-21.9776243,0.20752278
aysh,0,0,2024-02-24T08:02:43.969Z,english_950.wav,0,pill,5677,26,5,3,english,female,1,0.1,-41.40023943,1.93939622
aysh,0,0,2024-02-24T08:02:43.969Z,english_950.wav,0,pill,5677,26,5,3,english,female,2,0.2,48.01515584,1.55608343
aysh,0,0,2024-02-24T08:02:43.969Z,english_950.wav,0,pill,5677,26,5,3,english,female,3,0.3,-87.95551252,1.49634866
aysh,0,0,2024-02-24T08:02:43.969Z,english_950.wav,0,pill,5677,26,5,3,english,female,4,0.32341667,-39.5252386,0.91783384
aysh,1,0,2024-02-24T08:02:43.969Z,english_463.wav,0,peel,1655,26,5,3,english,female,0,0.0,-17.89775534,1.84132871
aysh,1,0,2024-02-24T08:02:43.969Z,english_463.wav,0,peel,1655,26,5,3,english,female,1,0.1,-21.51631701,1.66361617
aysh,1,0,2024-02-24T08:02:43.969Z,english_463.wav,0,peel,1655,26,5,3,english,female,2,0.2,-12.53951077,0.64060514
aysh,1,0,2024-02-24T08:02:43.969Z,english_463.wav,0,peel,1655,26,5,3,english,female,3,0.3,33.47501925,1.01091097
aysh,1,0,2024-02-24T08:02:43.969Z,english_463.wav,0,peel,1655,26,5,3,english,female,4,0.32341667,-93.09525534,0.69499506
aysh,2,0,2024-02-24T08:02:43.969Z,english_258.wav,0,peel,1000,26,5,3,english,female,0,0.0,-7.1133109,1.89026761
aysh,2,0,2024-02-24T08:02:43.969Z,english_258.wav,0,peel,1000,26,5,3,english,female,1,0.1,44.58564752,1.79361992
aysh,2,0,2024-02-24T08:02:43.969Z,english_258.wav,0,peel,1000,26,5,3,english,female,2,0.2,45.36800295,0.43687845
aysh,2,0,2024-02-24T08:02:43.969Z,english_258.wav,0,peel,1000,26,5,3,english,female,3,0.3,25.81301737,0.04688612
aysh,2,0,2024-02-24T08:02:43.969Z,english_258.wav,0,peel,1000,26,5,3,english,female,4,0.32341667,-77.97513924,0.52567924
aysh,3,0,2024-02-24T08:02:43.969Z,english_733.wav,0,peel,1025,26,5,3,english,female,0,0.0,-77.09135463,1.21028291
aysh,3,0,2024-02-24T08:02:43.969Z,english_733.wav,0,peel,1025,26,5,3,english,female,1,0.1,-30.68901019,1.14931675
aysh,3,0,2024-02-24T08:02:43.969Z,english_733.wav,0,peel,1025,26,5,3,english,female,2,0.2,-27.18135709,1.68866455
aysh,3,0,2024-02-24T08:02:43.969Z,english_733.wav,0,peel,1025,26,5,3,english,female,3,0.3,-10.74804936,0.29390693
aysh,3,0,2024-02-24T08:02:43.969Z,english_733.wav,0,peel,1025,26,5,3,english,female,4,0.32341667,-57.14773718,0.43305962
aysh,4,0,2024-02-24T08:02:43.969Z,english_73.wav,0,peel,700,26,5,3,english,female,0,0.0,-73.49165063,1.41947215
aysh,4,0,2024-02-24T08:02:43.969Z,english_73.wav,0,peel,700,26,5,3,english,female,1,0.1,65.54847429,1.68852165
aysh,4,0,2024-02-24T08:02:43.969Z,english_73.wav,0,peel,700,26,5,3,english,female,2,0.2,-55.11967081,0.59259525
aysh,4,0,2024-02-24T08:02:43.969Z,english_73.wav,0,peel,700,26,5,3,english,female,3,0.3,68.77466141,0.85140805
aysh,4,0,2024-02-24T08:02:43.969Z,english_73.wav,0,peel,700,26,5,3,english,female,4,0.32341667,-37.79888894,1.17745107
aysh,5,0,2024-02-24T08:02:43.969Z,english_853.wav,0,pill,577,26,5,3,english,female,0,0.0,87.83319324,0.81037323
aysh,5,0,2024-02-24T08:02:43.969Z,english_853.wav,0,pill,577,26,5,3,english,female,1,0.1,64.16710312,1.2495933
aysh,5,0,2024-02-24T08:02:43.969Z,english_853.wav,0,pill,577,26,5,3,english,female,2,0.2,12.98667351,0.22916278
aysh,5,0,2024-02-24T08:02:43.969Z,english_853.wav,0,pill,577,26,5,3,english,female,3,0.3,25.03434444,0.67764146
aysh,5,0,2024-02-24T08:02:43.969Z,english_853.wav,0,pill,577,26,5,3,english,female,4,0.32341667,98.3458188,0.13807639
aysh,6,0,2024-02-24T08:02:43.969Z,english_492.wav,0,peel,351,26,5,3,english,female,0,0.0,-66.2832746,0.52930651
aysh,6,0,2024-02-24T08:02:43.969Z,english_492.wav,0,peel,351,26,5,3,english,female,1,0.1,-19.36008054,1.11739795
aysh,6,0,2024-02-24T08:02:43.969Z,english_492.wav,0,peel,351,26,5,3,english,female,2,0.2,95.25769545,1.86018292
aysh,6,0,2024-02-24T08:02:43.969Z,english_492.wav,0,peel,351,26,5,3,english,female,3,0.3,-42.69351484,0.07313262
aysh,6,0,2024-02-24T08:02:43.969Z,english_492.wav,0,peel,351,26,5,3,english,female,4,0.32341667,48.13359561,0.30480454
aysh,7,0,2024-02-24T08:02:43.969Z,english_761.wav,0,pill,375,26,5,3,english,female,0,0.0,-7.84319468,0.39728316
aysh,7,0,2024-02-24T08:02:43.969Z,english_761.wav,0,pill,375,26,5,3,english,female,1,0.1,77.10262164,0.76675063
aysh,7,0,2024-02-24T08:02:43.969Z,english_761.wav,0,pill,375,26,5,3,english,female,2,0.2,23.07677451,1.40075404
aysh,7,0,2024-02-24T08:02:43.969Z,english_761.wav,0,pill,375,26,5,3,english,female,3,0.3,-22.28856666,0.53792203
aysh,7,0,2024-02-24T08:02:43.969Z,english_761.wav,0,pill,375,26,5,3,english,female,4,0.32341667,18.71779046,1.06229189
