subj,sex,age,language,english,french,native_lang,date,practice,block,trial,stim,pitch,stretch,response,rt
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,True,0,0,sounds\english\audio/english_38.wav,"[[  0.          -2.78484508]
 [  0.1        -57.68912839]
 [  0.2        -17.27242754]
 [  0.3         -2.64514482]
 [  0.32341667  55.14373267]]","[[0.         0.45448836]
 [0.1        0.86252605]
 [0.2        1.61904865]
 [0.3        1.39130822]
 [0.32341667 1.59066599]]",1,6.506
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,True,0,1,sounds\english\audio/english_492.wav,"[[  0.         -66.2832746 ]
 [  0.1        -19.36008054]
 [  0.2         95.25769545]
 [  0.3        -42.69351484]
 [  0.32341667  48.13359561]]","[[0.         0.52930651]
 [0.1        1.11739795]
 [0.2        1.86018292]
 [0.3        0.07313262]
 [0.32341667 0.30480454]]",1,2.152
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,True,0,2,sounds\english\audio/english_218.wav,"[[  0.          87.3373499 ]
 [  0.1        -14.87903436]
 [  0.2        -31.97943339]
 [  0.3        -60.49311609]
 [  0.32341667 -63.68242647]]","[[0.         1.94084006]
 [0.1        0.13305972]
 [0.2        1.11441312]
 [0.3        1.83933377]
 [0.32341667 1.41053301]]",1,1.122
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,3,sounds\english\audio/english_206.wav,"[[  0.          29.86029141]
 [  0.1        -65.49550847]
 [  0.2         -8.37849199]
 [  0.3         16.32170521]
 [  0.32341667 -96.55544023]]","[[0.         0.9413203 ]
 [0.1        1.58501733]
 [0.2        1.84833856]
 [0.3        1.12864021]
 [0.32341667 0.85017735]]",0,2.452
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,4,sounds\english\audio/english_191.wav,"[[  0.           5.22709543]
 [  0.1        -51.29785688]
 [  0.2         14.39503603]
 [  0.3         60.50312404]
 [  0.32341667  68.15927452]]","[[0.         0.24693927]
 [0.1        1.61528443]
 [0.2        0.10158113]
 [0.3        1.02883866]
 [0.32341667 0.69870432]]",0,1.381
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,5,sounds\english\audio/english_303.wav,"[[  0.          67.00540241]
 [  0.1         32.95821842]
 [  0.2        -23.67517146]
 [  0.3        -66.94926695]
 [  0.32341667  65.71723135]]","[[0.         1.22520816]
 [0.1        1.22732479]
 [0.2        0.54923068]
 [0.3        0.8977578 ]
 [0.32341667 1.41807679]]",0,0.852
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,6,sounds\english\audio/english_45.wav,"[[  0.          72.55677234]
 [  0.1         34.43244276]
 [  0.2         12.66368291]
 [  0.3         47.17471186]
 [  0.32341667 -48.2883803 ]]","[[0.         0.302627  ]
 [0.1        1.957389  ]
 [0.2        1.1456601 ]
 [0.3        1.77472104]
 [0.32341667 1.7760992 ]]",1,0.549
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,7,sounds\english\audio/english_928.wav,"[[  0.          55.07207497]
 [  0.1         83.71672672]
 [  0.2        -43.28929986]
 [  0.3        -17.1692271 ]
 [  0.32341667 -36.644272  ]]","[[0.         1.22706758]
 [0.1        0.97206042]
 [0.2        0.16969859]
 [0.3        0.90092586]
 [0.32341667 0.43024518]]",0,0.777
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,8,sounds\english\audio/english_279.wav,"[[  0.         -20.90398108]
 [  0.1         98.83098338]
 [  0.2        -95.37608427]
 [  0.3        -52.65380993]
 [  0.32341667  47.72500112]]","[[0.         0.60114424]
 [0.1        0.92336304]
 [0.2        1.39045705]
 [0.3        0.64938935]
 [0.32341667 1.57478054]]",1,2.259
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,9,sounds\english\audio/english_948.wav,"[[  0.          12.28616187]
 [  0.1         33.44634687]
 [  0.2         98.80566767]
 [  0.3        -93.57044844]
 [  0.32341667 -51.09398555]]","[[0.         1.33435242]
 [0.1        1.33862855]
 [0.2        1.25876505]
 [0.3        1.87938727]
 [0.32341667 1.88731406]]",1,0.439
