subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
6111a7ef0b637b8d0eca2053,0,0,2024-02-27T11:56:49.162Z,french_984.wav,0,poule,1604,36,5,4,l'anglais et francais,f,0,0.0,-47.91850728,0.65620753
6111a7ef0b637b8d0eca2053,0,0,2024-02-27T11:56:49.162Z,french_984.wav,0,poule,1604,36,5,4,l'anglais et francais,f,1,0.1,26.54192822,0.71747565
6111a7ef0b637b8d0eca2053,0,0,2024-02-27T11:56:49.162Z,french_984.wav,0,poule,1604,36,5,4,l'anglais et francais,f,2,0.2,31.46018772,1.52452255
6111a7ef0b637b8d0eca2053,0,0,2024-02-27T11:56:49.162Z,french_984.wav,0,poule,1604,36,5,4,l'anglais et francais,f,3,0.25666667,54.61358492,1.85839607
6111a7ef0b637b8d0eca2053,1,0,2024-02-27T11:56:49.162Z,french_514.wav,0,poule,6148,36,5,4,l'anglais et francais,f,0,0.0,-99.76210077,0.60226465
6111a7ef0b637b8d0eca2053,1,0,2024-02-27T11:56:49.162Z,french_514.wav,0,poule,6148,36,5,4,l'anglais et francais,f,1,0.1,-57.79872095,0.08785461
6111a7ef0b637b8d0eca2053,1,0,2024-02-27T11:56:49.162Z,french_514.wav,0,poule,6148,36,5,4,l'anglais et francais,f,2,0.2,-51.12304885,1.82353854
6111a7ef0b637b8d0eca2053,1,0,2024-02-27T11:56:49.162Z,french_514.wav,0,poule,6148,36,5,4,l'anglais et francais,f,3,0.25666667,51.53874679,1.77009288
6111a7ef0b637b8d0eca2053,2,0,2024-02-27T11:56:49.162Z,french_710.wav,0,poule,2182,36,5,4,l'anglais et francais,f,0,0.0,-54.00258077,0.87889336
6111a7ef0b637b8d0eca2053,2,0,2024-02-27T11:56:49.162Z,french_710.wav,0,poule,2182,36,5,4,l'anglais et francais,f,1,0.1,34.45486491,0.7692559
6111a7ef0b637b8d0eca2053,2,0,2024-02-27T11:56:49.162Z,french_710.wav,0,poule,2182,36,5,4,l'anglais et francais,f,2,0.2,63.8215693,0.4253567
6111a7ef0b637b8d0eca2053,2,0,2024-02-27T11:56:49.162Z,french_710.wav,0,poule,2182,36,5,4,l'anglais et francais,f,3,0.25666667,15.83931319,0.40649008
6111a7ef0b637b8d0eca2053,3,0,2024-02-27T11:56:49.162Z,french_896.wav,0,pull,1284,36,5,4,l'anglais et francais,f,0,0.0,-50.03367973,0.4350745
6111a7ef0b637b8d0eca2053,3,0,2024-02-27T11:56:49.162Z,french_896.wav,0,pull,1284,36,5,4,l'anglais et francais,f,1,0.1,73.95849411,1.7879982
6111a7ef0b637b8d0eca2053,3,0,2024-02-27T11:56:49.162Z,french_896.wav,0,pull,1284,36,5,4,l'anglais et francais,f,2,0.2,16.78858773,0.61207276
6111a7ef0b637b8d0eca2053,3,0,2024-02-27T11:56:49.162Z,french_896.wav,0,pull,1284,36,5,4,l'anglais et francais,f,3,0.25666667,-49.02431976,0.35432813
6111a7ef0b637b8d0eca2053,4,0,2024-02-27T11:56:49.162Z,french_632.wav,0,poule,1048,36,5,4,l'anglais et francais,f,0,0.0,-75.14768165,1.61991752
6111a7ef0b637b8d0eca2053,4,0,2024-02-27T11:56:49.162Z,french_632.wav,0,poule,1048,36,5,4,l'anglais et francais,f,1,0.1,-2.61560916,1.85762338
6111a7ef0b637b8d0eca2053,4,0,2024-02-27T11:56:49.162Z,french_632.wav,0,poule,1048,36,5,4,l'anglais et francais,f,2,0.2,-59.30318173,1.4379908
6111a7ef0b637b8d0eca2053,4,0,2024-02-27T11:56:49.162Z,french_632.wav,0,poule,1048,36,5,4,l'anglais et francais,f,3,0.25666667,-18.46762736,1.77571767
6111a7ef0b637b8d0eca2053,5,0,2024-02-27T11:56:49.162Z,french_213.wav,0,poule,1375,36,5,4,l'anglais et francais,f,0,0.0,18.19792563,0.91602818
6111a7ef0b637b8d0eca2053,5,0,2024-02-27T11:56:49.162Z,french_213.wav,0,poule,1375,36,5,4,l'anglais et francais,f,1,0.1,59.29536603,0.93215034
6111a7ef0b637b8d0eca2053,5,0,2024-02-27T11:56:49.162Z,french_213.wav,0,poule,1375,36,5,4,l'anglais et francais,f,2,0.2,83.4693574,1.11468909
6111a7ef0b637b8d0eca2053,5,0,2024-02-27T11:56:49.162Z,french_213.wav,0,poule,1375,36,5,4,l'anglais et francais,f,3,0.25666667,-3.87812814,1.61202928
6111a7ef0b637b8d0eca2053,6,0,2024-02-27T11:56:49.162Z,french_796.wav,0,poule,885,36,5,4,l'anglais et francais,f,0,0.0,-38.09805788,1.93486201
6111a7ef0b637b8d0eca2053,6,0,2024-02-27T11:56:49.162Z,french_796.wav,0,poule,885,36,5,4,l'anglais et francais,f,1,0.1,-51.81358868,1.49994235
6111a7ef0b637b8d0eca2053,6,0,2024-02-27T11:56:49.162Z,french_796.wav,0,poule,885,36,5,4,l'anglais et francais,f,2,0.2,88.47322764,1.42581223
6111a7ef0b637b8d0eca2053,6,0,2024-02-27T11:56:49.162Z,french_796.wav,0,poule,885,36,5,4,l'anglais et francais,f,3,0.25666667,-34.90405205,0.47367866
6111a7ef0b637b8d0eca2053,7,0,2024-02-27T11:56:49.162Z,french_262.wav,0,pull,592,36,5,4,l'anglais et francais,f,0,0.0,-64.23156272,0.64961321
6111a7ef0b637b8d0eca2053,7,0,2024-02-27T11:56:49.162Z,french_262.wav,0,pull,592,36,5,4,l'anglais et francais,f,1,0.1,-18.68430003,0.97192609
6111a7ef0b637b8d0eca2053,7,0,2024-02-27T11:56:49.162Z,french_262.wav,0,pull,592,36,5,4,l'anglais et francais,f,2,0.2,-74.67542291,0.40249154
6111a7ef0b637b8d0eca2053,7,0,2024-02-27T11:56:49.162Z,french_262.wav,0,pull,592,36,5,4,l'anglais et francais,f,3,0.25666667,29.36963449,0.8696964
6111a7ef0b637b8d0eca2053,8,0,2024-02-27T11:56:49.162Z,french_285.wav,0,pull,1363,36,5,4,l'anglais et francais,f,0,0.0,-14.06099989,0.21649577
6111a7ef0b637b8d0eca2053,8,0,2024-02-27T11:56:49.162Z,french_285.wav,0,pull,1363,36,5,4,l'anglais et francais,f,1,0.1,-5.26283055,0.66520183
6111a7ef0b637b8d0eca2053,8,0,2024-02-27T11:56:49.162Z,french_285.wav,0,pull,1363,36,5,4,l'anglais et francais,f,2,0.2,18.02137941,0.4490454
6111a7ef0b637b8d0eca2053,8,0,2024-02-27T11:56:49.162Z,french_285.wav,0,pull,1363,36,5,4,l'anglais et francais,f,3,0.25666667,46.27962364,1.92778075
6111a7ef0b637b8d0eca2053,9,0,2024-02-27T11:56:49.162Z,french_267.wav,0,pull,1076,36,5,4,l'anglais et francais,f,0,0.0,-65.51042118,0.47900721
6111a7ef0b637b8d0eca2053,9,0,2024-02-27T11:56:49.162Z,french_267.wav,0,pull,1076,36,5,4,l'anglais et francais,f,1,0.1,15.6710232,1.08471332
6111a7ef0b637b8d0eca2053,9,0,2024-02-27T11:56:49.162Z,french_267.wav,0,pull,1076,36,5,4,l'anglais et francais,f,2,0.2,-16.59501764,0.49268798
6111a7ef0b637b8d0eca2053,9,0,2024-02-27T11:56:49.162Z,french_267.wav,0,pull,1076,36,5,4,l'anglais et francais,f,3,0.25666667,49.75287867,1.54023863
6111a7ef0b637b8d0eca2053,10,0,2024-02-27T11:56:49.162Z,french_286.wav,0,pull,988,36,5,4,l'anglais et francais,f,0,0.0,-12.75776796,0.7334837
6111a7ef0b637b8d0eca2053,10,0,2024-02-27T11:56:49.162Z,french_286.wav,0,pull,988,36,5,4,l'anglais et francais,f,1,0.1,37.83162005,0.13945261
6111a7ef0b637b8d0eca2053,10,0,2024-02-27T11:56:49.162Z,french_286.wav,0,pull,988,36,5,4,l'anglais et francais,f,2,0.2,-73.99987606,0.89700821
6111a7ef0b637b8d0eca2053,10,0,2024-02-27T11:56:49.162Z,french_286.wav,0,pull,988,36,5,4,l'anglais et francais,f,3,0.25666667,-99.59641202,0.06192005
6111a7ef0b637b8d0eca2053,11,0,2024-02-27T11:56:49.162Z,french_657.wav,0,poule,596,36,5,4,l'anglais et francais,f,0,0.0,99.76716584,0.85695778
6111a7ef0b637b8d0eca2053,11,0,2024-02-27T11:56:49.162Z,french_657.wav,0,poule,596,36,5,4,l'anglais et francais,f,1,0.1,11.51898435,1.00645436
6111a7ef0b637b8d0eca2053,11,0,2024-02-27T11:56:49.162Z,french_657.wav,0,poule,596,36,5,4,l'anglais et francais,f,2,0.2,-43.45408234,0.73989588
6111a7ef0b637b8d0eca2053,11,0,2024-02-27T11:56:49.162Z,french_657.wav,0,poule,596,36,5,4,l'anglais et francais,f,3,0.25666667,22.46427071,1.57217431
6111a7ef0b637b8d0eca2053,12,0,2024-02-27T11:56:49.162Z,french_582.wav,0,poule,500,36,5,4,l'anglais et francais,f,0,0.0,1.47980053,0.83350323
6111a7ef0b637b8d0eca2053,12,0,2024-02-27T11:56:49.162Z,french_582.wav,0,poule,500,36,5,4,l'anglais et francais,f,1,0.1,-89.13888063,1.99658076
6111a7ef0b637b8d0eca2053,12,0,2024-02-27T11:56:49.162Z,french_582.wav,0,poule,500,36,5,4,l'anglais et francais,f,2,0.2,1.45566029,0.72464724
6111a7ef0b637b8d0eca2053,12,0,2024-02-27T11:56:49.162Z,french_582.wav,0,poule,500,36,5,4,l'anglais et francais,f,3,0.25666667,-76.25724372,1.09622387
6111a7ef0b637b8d0eca2053,13,0,2024-02-27T11:56:49.162Z,french_978.wav,0,poule,827,36,5,4,l'anglais et francais,f,0,0.0,-36.32035497,0.76958877
6111a7ef0b637b8d0eca2053,13,0,2024-02-27T11:56:49.162Z,french_978.wav,0,poule,827,36,5,4,l'anglais et francais,f,1,0.1,-92.00024605,0.1229223
6111a7ef0b637b8d0eca2053,13,0,2024-02-27T11:56:49.162Z,french_978.wav,0,poule,827,36,5,4,l'anglais et francais,f,2,0.2,-85.64640387,1.83920091
6111a7ef0b637b8d0eca2053,13,0,2024-02-27T11:56:49.162Z,french_978.wav,0,poule,827,36,5,4,l'anglais et francais,f,3,0.25666667,30.4024855,1.45747353
6111a7ef0b637b8d0eca2053,14,0,2024-02-27T11:56:49.162Z,french_458.wav,0,pull,781,36,5,4,l'anglais et francais,f,0,0.0,13.7688173,1.1950835
6111a7ef0b637b8d0eca2053,14,0,2024-02-27T11:56:49.162Z,french_458.wav,0,pull,781,36,5,4,l'anglais et francais,f,1,0.1,19.53863665,0.33129566
6111a7ef0b637b8d0eca2053,14,0,2024-02-27T11:56:49.162Z,french_458.wav,0,pull,781,36,5,4,l'anglais et francais,f,2,0.2,-90.92797006,0.65773392
6111a7ef0b637b8d0eca2053,14,0,2024-02-27T11:56:49.162Z,french_458.wav,0,pull,781,36,5,4,l'anglais et francais,f,3,0.25666667,55.23452131,1.54778139
6111a7ef0b637b8d0eca2053,15,0,2024-02-27T11:56:49.162Z,french_266.wav,0,poule,2689,36,5,4,l'anglais et francais,f,0,0.0,58.27883453,0.79886668
6111a7ef0b637b8d0eca2053,15,0,2024-02-27T11:56:49.162Z,french_266.wav,0,poule,2689,36,5,4,l'anglais et francais,f,1,0.1,-28.04411439,1.49488383
