subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
652ae31c79fb620c91ac5724,0,0,2024-02-27T13:52:53.228Z,french_773.wav,0,poule,3057,25,5,3,English,m,0,0.0,44.49367894,1.02864329
652ae31c79fb620c91ac5724,0,0,2024-02-27T13:52:53.228Z,french_773.wav,0,poule,3057,25,5,3,English,m,1,0.1,-3.70834598,1.31333622
652ae31c79fb620c91ac5724,0,0,2024-02-27T13:52:53.228Z,french_773.wav,0,poule,3057,25,5,3,English,m,2,0.2,10.6701804,0.86217131
652ae31c79fb620c91ac5724,0,0,2024-02-27T13:52:53.228Z,french_773.wav,0,poule,3057,25,5,3,English,m,3,0.25666667,36.58697532,0.61318027
652ae31c79fb620c91ac5724,1,0,2024-02-27T13:52:53.228Z,french_639.wav,0,poule,1211,25,5,3,English,m,0,0.0,11.64385005,1.86180111
652ae31c79fb620c91ac5724,1,0,2024-02-27T13:52:53.228Z,french_639.wav,0,poule,1211,25,5,3,English,m,1,0.1,-83.53772589,1.31531339
652ae31c79fb620c91ac5724,1,0,2024-02-27T13:52:53.228Z,french_639.wav,0,poule,1211,25,5,3,English,m,2,0.2,-26.70113898,0.16484712
652ae31c79fb620c91ac5724,1,0,2024-02-27T13:52:53.228Z,french_639.wav,0,poule,1211,25,5,3,English,m,3,0.25666667,-28.21717215,0.08923993
652ae31c79fb620c91ac5724,2,0,2024-02-27T13:52:53.228Z,french_276.wav,0,poule,1759,25,5,3,English,m,0,0.0,-30.59490391,1.59191255
652ae31c79fb620c91ac5724,2,0,2024-02-27T13:52:53.228Z,french_276.wav,0,poule,1759,25,5,3,English,m,1,0.1,35.14119383,1.08920427
652ae31c79fb620c91ac5724,2,0,2024-02-27T13:52:53.228Z,french_276.wav,0,poule,1759,25,5,3,English,m,2,0.2,-47.54137466,1.15204711
652ae31c79fb620c91ac5724,2,0,2024-02-27T13:52:53.228Z,french_276.wav,0,poule,1759,25,5,3,English,m,3,0.25666667,-36.46330553,0.56107217
652ae31c79fb620c91ac5724,3,0,2024-02-27T13:57:10.378Z,french_377.wav,0,poule,2004,25,5,3,English,m,0,0.0,99.29202042,1.14982617
