subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
65b3be7e048c91426e271ded,0,0,2024-02-27T13:22:32.077Z,french_864.wav,0,poule,3168,24,5,4,english,m,0,0.0,27.21382842,1.35032716
65b3be7e048c91426e271ded,0,0,2024-02-27T13:22:32.077Z,french_864.wav,0,poule,3168,24,5,4,english,m,1,0.1,-8.96687562,1.41041806
65b3be7e048c91426e271ded,0,0,2024-02-27T13:22:32.077Z,french_864.wav,0,poule,3168,24,5,4,english,m,2,0.2,47.01768167,0.47669103
65b3be7e048c91426e271ded,0,0,2024-02-27T13:22:32.077Z,french_864.wav,0,poule,3168,24,5,4,english,m,3,0.25666667,98.93956807,1.26265942
65b3be7e048c91426e271ded,1,0,2024-02-27T13:22:32.077Z,french_272.wav,0,pull,2898,24,5,4,english,m,0,0.0,50.55701535,1.0419248
65b3be7e048c91426e271ded,1,0,2024-02-27T13:22:32.077Z,french_272.wav,0,pull,2898,24,5,4,english,m,1,0.1,63.46835537,0.05024982
65b3be7e048c91426e271ded,1,0,2024-02-27T13:22:32.077Z,french_272.wav,0,pull,2898,24,5,4,english,m,2,0.2,-46.63250527,0.3554473
65b3be7e048c91426e271ded,1,0,2024-02-27T13:22:32.077Z,french_272.wav,0,pull,2898,24,5,4,english,m,3,0.25666667,74.93577843,1.3845464
65b3be7e048c91426e271ded,2,0,2024-02-27T13:22:32.077Z,french_762.wav,0,poule,827,24,5,4,english,m,0,0.0,-45.61990315,0.95776955
65b3be7e048c91426e271ded,2,0,2024-02-27T13:22:32.077Z,french_762.wav,0,poule,827,24,5,4,english,m,1,0.1,-38.16727298,0.16992331
65b3be7e048c91426e271ded,2,0,2024-02-27T13:22:32.077Z,french_762.wav,0,poule,827,24,5,4,english,m,2,0.2,-15.44626984,1.21301125
65b3be7e048c91426e271ded,2,0,2024-02-27T13:22:32.077Z,french_762.wav,0,poule,827,24,5,4,english,m,3,0.25666667,-31.31206952,0.49399223
65b3be7e048c91426e271ded,3,0,2024-02-27T13:22:32.077Z,french_806.wav,0,poule,496,24,5,4,english,m,0,0.0,97.26957313,1.48673004
65b3be7e048c91426e271ded,3,0,2024-02-27T13:22:32.077Z,french_806.wav,0,poule,496,24,5,4,english,m,1,0.1,79.44562669,1.9967546
65b3be7e048c91426e271ded,3,0,2024-02-27T13:22:32.077Z,french_806.wav,0,poule,496,24,5,4,english,m,2,0.2,79.77586719,0.9238106
65b3be7e048c91426e271ded,3,0,2024-02-27T13:22:32.077Z,french_806.wav,0,poule,496,24,5,4,english,m,3,0.25666667,-46.2684083,1.39755131
65b3be7e048c91426e271ded,4,0,2024-02-27T13:22:32.077Z,french_289.wav,0,pull,1869,24,5,4,english,m,0,0.0,-36.76000605,0.0295717
65b3be7e048c91426e271ded,4,0,2024-02-27T13:22:32.077Z,french_289.wav,0,pull,1869,24,5,4,english,m,1,0.1,10.32506406,0.30354321
65b3be7e048c91426e271ded,4,0,2024-02-27T13:22:32.077Z,french_289.wav,0,pull,1869,24,5,4,english,m,2,0.2,-63.16699613,0.64873245
65b3be7e048c91426e271ded,4,0,2024-02-27T13:22:32.077Z,french_289.wav,0,pull,1869,24,5,4,english,m,3,0.25666667,44.4452875,1.33679234
65b3be7e048c91426e271ded,5,0,2024-02-27T13:22:32.077Z,french_226.wav,0,poule,826,24,5,4,english,m,0,0.0,85.32452385,1.68909252
65b3be7e048c91426e271ded,5,0,2024-02-27T13:22:32.077Z,french_226.wav,0,poule,826,24,5,4,english,m,1,0.1,-25.06918931,0.17046025
65b3be7e048c91426e271ded,5,0,2024-02-27T13:22:32.077Z,french_226.wav,0,poule,826,24,5,4,english,m,2,0.2,-17.89357971,0.61029189
65b3be7e048c91426e271ded,5,0,2024-02-27T13:22:32.077Z,french_226.wav,0,poule,826,24,5,4,english,m,3,0.25666667,45.31971501,0.53544367
65b3be7e048c91426e271ded,6,0,2024-02-27T13:22:32.077Z,french_215.wav,0,pull,2208,24,5,4,english,m,0,0.0,-76.5324967,0.00928887
65b3be7e048c91426e271ded,6,0,2024-02-27T13:22:32.077Z,french_215.wav,0,pull,2208,24,5,4,english,m,1,0.1,-12.7876278,1.85204819
65b3be7e048c91426e271ded,6,0,2024-02-27T13:22:32.077Z,french_215.wav,0,pull,2208,24,5,4,english,m,2,0.2,-43.60684601,1.20297214
65b3be7e048c91426e271ded,6,0,2024-02-27T13:22:32.077Z,french_215.wav,0,pull,2208,24,5,4,english,m,3,0.25666667,3.65547736,1.48182424
65b3be7e048c91426e271ded,7,0,2024-02-27T13:22:32.077Z,french_344.wav,0,poule,1016,24,5,4,english,m,0,0.0,52.58849346,0.27482393
65b3be7e048c91426e271ded,7,0,2024-02-27T13:22:32.077Z,french_344.wav,0,poule,1016,24,5,4,english,m,1,0.1,-22.3140036,0.23105003
65b3be7e048c91426e271ded,7,0,2024-02-27T13:22:32.077Z,french_344.wav,0,poule,1016,24,5,4,english,m,2,0.2,-66.1637605,0.54206464
65b3be7e048c91426e271ded,7,0,2024-02-27T13:22:32.077Z,french_344.wav,0,poule,1016,24,5,4,english,m,3,0.25666667,-23.8196401,1.18246439
65b3be7e048c91426e271ded,8,0,2024-02-27T13:22:32.077Z,french_837.wav,0,poule,550,24,5,4,english,m,0,0.0,12.86528577,1.70928146
65b3be7e048c91426e271ded,8,0,2024-02-27T13:22:32.077Z,french_837.wav,0,poule,550,24,5,4,english,m,1,0.1,80.83337189,0.14925978
65b3be7e048c91426e271ded,8,0,2024-02-27T13:22:32.077Z,french_837.wav,0,poule,550,24,5,4,english,m,2,0.2,-88.94110826,0.83215091
