subj,sex,age,language,english,french,native_lang,date,practice,block,trial,stim,pitch,stretch,response,rt
8730571689,f,19,english,5,3,english,2024-02-01 10:33:22.879057,True,0,0,sounds\french\audio/french_5.wav,"[[  0.          -2.8714843 ]
 [  0.1        -50.9441672 ]
 [  0.2         56.21180826]
 [  0.25666667 -57.18619957]]","[[0.         1.07181682]
 [0.1        0.56733338]
 [0.2        0.26773361]
 [0.25666667 1.97613039]]",0,9.346
8730571689,f,19,english,5,3,english,2024-02-01 10:33:22.879057,True,0,1,sounds\french\audio/french_422.wav,"[[ 0.         84.96144948]
 [ 0.1        -4.96569357]
 [ 0.2         9.38898655]
 [ 0.25666667 -4.34292742]]","[[0.         0.57918651]
 [0.1        1.20973004]
 [0.2        0.40935242]
 [0.25666667 0.41859168]]",1,1.504
8730571689,f,19,english,5,3,english,2024-02-01 10:33:22.879057,True,0,2,sounds\french\audio/french_922.wav,"[[  0.          16.31592569]
 [  0.1         -2.28258737]
 [  0.2        -89.56675227]
 [  0.25666667  35.85711901]]","[[0.         1.06783245]
 [0.1        0.48563761]
 [0.2        1.02625397]
 [0.25666667 0.82092749]]",0,6.487
8730571689,f,19,english,5,3,english,2024-02-01 10:33:22.879057,False,1,3,sounds\french\audio/french_155.wav,"[[  0.         -70.22582879]
 [  0.1         -4.40112263]
 [  0.2         31.24717972]
 [  0.25666667 -33.70292804]]","[[0.         1.51870869]
 [0.1        0.92589592]
 [0.2        1.81286995]
 [0.25666667 0.86118474]]",1,1.234
8730571689,f,19,english,5,3,english,2024-02-01 10:33:22.879057,False,1,4,sounds\french\audio/french_693.wav,"[[  0.         -47.08934597]
 [  0.1         72.6108529 ]
 [  0.2        -29.7137536 ]
 [  0.25666667  50.01737174]]","[[0.         0.01342517]
 [0.1        0.89682207]
 [0.2        1.48476447]
 [0.25666667 0.05087926]]",0,1.392
8730571689,f,19,english,5,3,english,2024-02-01 10:33:22.879057,False,1,5,sounds\french\audio/french_762.wav,"[[  0.         -45.61990315]
 [  0.1        -38.16727298]
 [  0.2        -15.44626984]
 [  0.25666667 -31.31206952]]","[[0.         0.95776955]
 [0.1        0.16992331]
 [0.2        1.21301125]
 [0.25666667 0.49399223]]",0,0.814
8730571689,f,19,english,5,3,english,2024-02-01 10:33:22.879057,False,1,6,sounds\french\audio/french_858.wav,"[[  0.         -70.8749608 ]
 [  0.1        -68.92821451]
 [  0.2         48.1063746 ]
 [  0.25666667   0.98463207]]","[[0.         0.88986318]
 [0.1        0.34092676]
 [0.2        0.38776381]
 [0.25666667 1.26771376]]",1,1.181
8730571689,f,19,english,5,3,english,2024-02-01 10:33:22.879057,False,1,7,sounds\french\audio/french_251.wav,"[[ 0.         24.13853868]
 [ 0.1        69.59392202]
 [ 0.2         5.2598313 ]
 [ 0.25666667 49.58604743]]","[[0.         0.84222584]
 [0.1        0.35569373]
 [0.2        1.18426262]
 [0.25666667 1.47594706]]",1,3.17
8730571689,f,19,english,5,3,english,2024-02-01 10:33:22.879057,False,1,8,sounds\french\audio/french_525.wav,"[[  0.         -55.71805546]
 [  0.1         69.57832018]
 [  0.2        -61.51619627]
 [  0.25666667 -40.26288332]]","[[0.         1.48564319]
 [0.1        0.7646222 ]
 [0.2        1.98360061]
 [0.25666667 1.91122687]]",1,2.439
8730571689,f,19,english,5,3,english,2024-02-01 10:33:22.879057,False,1,9,sounds\french\audio/french_696.wav,"[[  0.          39.34258856]
 [  0.1         16.85699936]
 [  0.2        -58.01570434]
 [  0.25666667 -91.70212518]]","[[0.         1.15492287]
 [0.1        0.81118798]
 [0.2        0.43841119]
 [0.25666667 1.32812972]]",1,4.664
