,subj,sex,age,language,english,french,date,native_lang,block,trial,stim,pitch,stretch,reponse,rt,segment_time,stim_order,param_index
0,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,0,0,sounds\french\audio/french_815.wav,-30.97778369,1.45421986,1,6.697,0.0,,
1,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,0,0,sounds\french\audio/french_815.wav,-10.3506413,0.28044698,1,6.697,0.1,,
2,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,0,0,sounds\french\audio/french_815.wav,61.86726268,1.88309962,1,6.697,0.2,,
3,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,0,0,sounds\french\audio/french_815.wav,-32.12586702,1.86356454,1,6.697,0.25666667,,
4,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,0,1,sounds\french\audio/french_47.wav,85.02614504,1.30132326,1,4.997,0.0,,
5,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,0,1,sounds\french\audio/french_47.wav,79.4123752,0.75427136,1,4.997,0.1,,
6,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,0,1,sounds\french\audio/french_47.wav,52.99117024,0.35196824,1,4.997,0.2,,
7,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,0,1,sounds\french\audio/french_47.wav,-70.6267891,0.96175292,1,4.997,0.25666667,,
8,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,0,2,sounds\french\audio/french_37.wav,74.40318054,1.78030803,1,0.936,0.0,,
9,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,0,2,sounds\french\audio/french_37.wav,1.61071593,1.06555703,1,0.936,0.1,,
10,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,0,2,sounds\french\audio/french_37.wav,-60.86815184,0.67417333,1,0.936,0.2,,
11,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,0,2,sounds\french\audio/french_37.wav,35.44737922,1.14925698,1,0.936,0.25666667,,
12,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,3,sounds\french\audio/french_389.wav,69.62296415,1.67675408,1,0.865,0.0,,
13,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,3,sounds\french\audio/french_389.wav,-41.49433877,1.60540147,1,0.865,0.1,,
14,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,3,sounds\french\audio/french_389.wav,-65.025051,0.45817867,1,0.865,0.2,,
15,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,3,sounds\french\audio/french_389.wav,10.9117334,1.10562968,1,0.865,0.25666667,,
16,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,4,sounds\french\audio/french_814.wav,83.0056253,1.4499936,1,0.96,0.0,,
17,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,4,sounds\french\audio/french_814.wav,-71.4586846,0.77595229,1,0.96,0.1,,
18,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,4,sounds\french\audio/french_814.wav,12.63844789,0.21302651,1,0.96,0.2,,
19,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,4,sounds\french\audio/french_814.wav,12.39326704,0.16177964,1,0.96,0.25666667,,
20,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,5,sounds\french\audio/french_507.wav,-39.00130205,0.88980729,0,1.063,0.0,,
21,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,5,sounds\french\audio/french_507.wav,8.15448279,1.12034654,0,1.063,0.1,,
22,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,5,sounds\french\audio/french_507.wav,-39.88004764,1.15006522,0,1.063,0.2,,
23,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,5,sounds\french\audio/french_507.wav,66.54300966,1.10945683,0,1.063,0.25666667,,
24,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,6,sounds\french\audio/french_589.wav,-25.33744833,1.20649344,1,1.424,0.0,,
25,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,6,sounds\french\audio/french_589.wav,-46.00092507,0.60898863,1,1.424,0.1,,
26,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,6,sounds\french\audio/french_589.wav,-35.85501424,0.34188975,1,1.424,0.2,,
27,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,6,sounds\french\audio/french_589.wav,61.35269907,1.06172305,1,1.424,0.25666667,,
28,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,7,sounds\french\audio/french_613.wav,-39.45599103,0.33894647,0,0.79,0.0,,
29,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,7,sounds\french\audio/french_613.wav,37.73715393,0.28387009,0,0.79,0.1,,
30,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,7,sounds\french\audio/french_613.wav,-28.02237212,1.91952712,0,0.79,0.2,,
31,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,7,sounds\french\audio/french_613.wav,-24.74266242,0.2340562,0,0.79,0.25666667,,
32,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,8,sounds\french\audio/french_793.wav,24.81509803,0.12690374,1,2.481,0.0,,
33,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,8,sounds\french\audio/french_793.wav,-63.66512484,0.60816637,1,2.481,0.1,,
34,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,8,sounds\french\audio/french_793.wav,-35.07665133,0.42682998,1,2.481,0.2,,
35,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,8,sounds\french\audio/french_793.wav,-2.30327069,0.74050477,1,2.481,0.25666667,,
36,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,9,sounds\french\audio/french_471.wav,35.47460752,0.77553755,0,1.042,0.0,,
37,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,9,sounds\french\audio/french_471.wav,-49.00208302,1.38730058,0,1.042,0.1,,
38,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,9,sounds\french\audio/french_471.wav,47.17677121,0.98156507,0,1.042,0.2,,
39,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,9,sounds\french\audio/french_471.wav,64.34433074,0.66404961,0,1.042,0.25666667,,
40,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,10,sounds\french\audio/french_322.wav,11.21723197,0.46669198,0,0.785,0.0,,
41,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,10,sounds\french\audio/french_322.wav,71.99064207,0.00506582,0,0.785,0.1,,
42,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,10,sounds\french\audio/french_322.wav,-70.2949895,0.23170645,0,0.785,0.2,,
43,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,10,sounds\french\audio/french_322.wav,-90.37135255,0.39597554,0,0.785,0.25666667,,
44,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,11,sounds\french\audio/french_538.wav,-62.11881418,0.72316351,0,0.839,0.0,,
45,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,11,sounds\french\audio/french_538.wav,-49.1326041,0.52652182,0,0.839,0.1,,
46,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,11,sounds\french\audio/french_538.wav,11.48721962,0.30218135,0,0.839,0.2,,
47,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,11,sounds\french\audio/french_538.wav,-26.18142206,1.69243497,0,0.839,0.25666667,,
48,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,12,sounds\french\audio/french_890.wav,17.48321345,1.85587598,1,0.727,0.0,,
49,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,12,sounds\french\audio/french_890.wav,-18.95749083,0.79262665,1,0.727,0.1,,
50,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,12,sounds\french\audio/french_890.wav,0.74707456,0.19694232,1,0.727,0.2,,
51,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,12,sounds\french\audio/french_890.wav,92.62024404,1.22282027,1,0.727,0.25666667,,
52,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,13,sounds\french\audio/french_150.wav,8.70975457,0.6151883,0,1.149,0.0,,
53,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,13,sounds\french\audio/french_150.wav,-27.10460474,1.35739255,0,1.149,0.1,,
54,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,13,sounds\french\audio/french_150.wav,-81.59186784,1.42530839,0,1.149,0.2,,
55,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,13,sounds\french\audio/french_150.wav,-72.54184128,0.64697028,0,1.149,0.25666667,,
56,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,14,sounds\french\audio/french_415.wav,-78.44301617,1.61962555,0,0.88,0.0,,
57,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,14,sounds\french\audio/french_415.wav,84.17180311,0.78674907,0,0.88,0.1,,
58,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,14,sounds\french\audio/french_415.wav,32.05176365,0.83302444,0,0.88,0.2,,
59,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,14,sounds\french\audio/french_415.wav,1.79049447,0.85177262,0,0.88,0.25666667,,
60,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,15,sounds\french\audio/french_797.wav,10.83398763,1.35681854,0,0.854,0.0,,
61,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,15,sounds\french\audio/french_797.wav,29.96867406,1.57636752,0,0.854,0.1,,
62,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,15,sounds\french\audio/french_797.wav,64.14464291,0.81932008,0,0.854,0.2,,
63,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,15,sounds\french\audio/french_797.wav,10.44882606,0.26521499,0,0.854,0.25666667,,
64,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,16,sounds\french\audio/french_636.wav,79.1724471,0.8082817,0,0.493,0.0,,
65,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,16,sounds\french\audio/french_636.wav,25.25700376,1.50975093,0,0.493,0.1,,
66,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,16,sounds\french\audio/french_636.wav,72.37529148,0.99206968,0,0.493,0.2,,
67,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,16,sounds\french\audio/french_636.wav,12.21946345,0.17038819,0,0.493,0.25666667,,
68,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,17,sounds\french\audio/french_926.wav,-38.30420493,1.0266732,0,0.998,0.0,,
69,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,17,sounds\french\audio/french_926.wav,-97.26803886,0.03873156,0,0.998,0.1,,
