subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5b8fffca220be50001c59858,0,0,2024-02-28T14:47:24.335Z,english_164.wav,0,peel,1742,26,4,5,français,f,0,0.0,25.67612046,1.60368468
5b8fffca220be50001c59858,0,0,2024-02-28T14:47:24.335Z,english_164.wav,0,peel,1742,26,4,5,français,f,1,0.1,-73.22421847,0.71109799
5b8fffca220be50001c59858,0,0,2024-02-28T14:47:24.335Z,english_164.wav,0,peel,1742,26,4,5,français,f,2,0.2,45.60415064,0.65921899
5b8fffca220be50001c59858,0,0,2024-02-28T14:47:24.335Z,english_164.wav,0,peel,1742,26,4,5,français,f,3,0.3,93.27879502,1.59053842
5b8fffca220be50001c59858,0,0,2024-02-28T14:47:24.335Z,english_164.wav,0,peel,1742,26,4,5,français,f,4,0.4,33.1762566,0.71799916
5b8fffca220be50001c59858,0,0,2024-02-28T14:47:24.335Z,english_164.wav,0,peel,1742,26,4,5,français,f,5,0.5,47.64320434,1.2187377
5b8fffca220be50001c59858,0,0,2024-02-28T14:47:24.335Z,english_164.wav,0,peel,1742,26,4,5,français,f,6,0.6,-19.19510789,1.25318934
5b8fffca220be50001c59858,0,0,2024-02-28T14:47:24.335Z,english_164.wav,0,peel,1742,26,4,5,français,f,7,0.7,-33.42680653,0.56903982
5b8fffca220be50001c59858,0,0,2024-02-28T14:47:24.335Z,english_164.wav,0,peel,1742,26,4,5,français,f,8,0.8,47.71435933,0.44355463
5b8fffca220be50001c59858,0,0,2024-02-28T14:47:24.335Z,english_164.wav,0,peel,1742,26,4,5,français,f,9,0.9,5.90681892,1.65481096
5b8fffca220be50001c59858,0,0,2024-02-28T14:47:24.335Z,english_164.wav,0,peel,1742,26,4,5,français,f,10,1.0,42.52423942,0.56871191
5b8fffca220be50001c59858,0,0,2024-02-28T14:47:24.335Z,english_164.wav,0,peel,1742,26,4,5,français,f,11,1.09391667,43.22160039,0.29440298
5b8fffca220be50001c59858,1,0,2024-02-28T14:47:24.335Z,english_299.wav,0,peel,1089,26,4,5,français,f,0,0.0,-74.4174694,1.88606728
5b8fffca220be50001c59858,1,0,2024-02-28T14:47:24.335Z,english_299.wav,0,peel,1089,26,4,5,français,f,1,0.1,67.95279973,1.33791825
5b8fffca220be50001c59858,1,0,2024-02-28T14:47:24.335Z,english_299.wav,0,peel,1089,26,4,5,français,f,2,0.2,-39.20846612,1.49728268
5b8fffca220be50001c59858,1,0,2024-02-28T14:47:24.335Z,english_299.wav,0,peel,1089,26,4,5,français,f,3,0.3,75.10442899,0.10286405
5b8fffca220be50001c59858,1,0,2024-02-28T14:47:24.335Z,english_299.wav,0,peel,1089,26,4,5,français,f,4,0.4,64.17156696,0.88852199
5b8fffca220be50001c59858,1,0,2024-02-28T14:47:24.335Z,english_299.wav,0,peel,1089,26,4,5,français,f,5,0.5,-42.38450544,0.77437708
5b8fffca220be50001c59858,1,0,2024-02-28T14:47:24.335Z,english_299.wav,0,peel,1089,26,4,5,français,f,6,0.6,-86.29317574,1.38211023
5b8fffca220be50001c59858,1,0,2024-02-28T14:47:24.335Z,english_299.wav,0,peel,1089,26,4,5,français,f,7,0.7,11.40905892,1.00427558
5b8fffca220be50001c59858,1,0,2024-02-28T14:47:24.335Z,english_299.wav,0,peel,1089,26,4,5,français,f,8,0.8,13.2984643,1.53256025
5b8fffca220be50001c59858,1,0,2024-02-28T14:47:24.335Z,english_299.wav,0,peel,1089,26,4,5,français,f,9,0.9,-36.56440039,1.00789046
5b8fffca220be50001c59858,1,0,2024-02-28T14:47:24.335Z,english_299.wav,0,peel,1089,26,4,5,français,f,10,1.0,-93.57212319,0.84413966
5b8fffca220be50001c59858,1,0,2024-02-28T14:47:24.335Z,english_299.wav,0,peel,1089,26,4,5,français,f,11,1.09391667,13.37429031,1.54480909
5b8fffca220be50001c59858,2,0,2024-02-28T14:47:24.335Z,english_957.wav,0,pill,773,26,4,5,français,f,0,0.0,0.52999287,1.69063339
5b8fffca220be50001c59858,2,0,2024-02-28T14:47:24.335Z,english_957.wav,0,pill,773,26,4,5,français,f,1,0.1,42.88408516,0.90191616
5b8fffca220be50001c59858,2,0,2024-02-28T14:47:24.335Z,english_957.wav,0,pill,773,26,4,5,français,f,2,0.2,5.2606001,1.66392033
5b8fffca220be50001c59858,2,0,2024-02-28T14:47:24.335Z,english_957.wav,0,pill,773,26,4,5,français,f,3,0.3,69.22866022,0.83925309
5b8fffca220be50001c59858,2,0,2024-02-28T14:47:24.335Z,english_957.wav,0,pill,773,26,4,5,français,f,4,0.4,-59.59002501,0.68526896
5b8fffca220be50001c59858,2,0,2024-02-28T14:47:24.335Z,english_957.wav,0,pill,773,26,4,5,français,f,5,0.5,52.62821971,1.27190364
5b8fffca220be50001c59858,2,0,2024-02-28T14:47:24.335Z,english_957.wav,0,pill,773,26,4,5,français,f,6,0.6,14.01522052,0.49105021
5b8fffca220be50001c59858,2,0,2024-02-28T14:47:24.335Z,english_957.wav,0,pill,773,26,4,5,français,f,7,0.7,90.51709562,1.03233072
5b8fffca220be50001c59858,2,0,2024-02-28T14:47:24.335Z,english_957.wav,0,pill,773,26,4,5,français,f,8,0.8,-27.52109457,1.62340823
5b8fffca220be50001c59858,2,0,2024-02-28T14:47:24.335Z,english_957.wav,0,pill,773,26,4,5,français,f,9,0.9,51.07495461,1.37639553
5b8fffca220be50001c59858,2,0,2024-02-28T14:47:24.335Z,english_957.wav,0,pill,773,26,4,5,français,f,10,1.0,15.68851607,1.23872079
5b8fffca220be50001c59858,2,0,2024-02-28T14:47:24.335Z,english_957.wav,0,pill,773,26,4,5,français,f,11,1.09391667,97.28292288,0.29572749
5b8fffca220be50001c59858,3,0,2024-02-28T14:47:24.335Z,english_472.wav,0,peel,1228,26,4,5,français,f,0,0.0,-23.72821767,0.96911452
5b8fffca220be50001c59858,3,0,2024-02-28T14:47:24.335Z,english_472.wav,0,peel,1228,26,4,5,français,f,1,0.1,7.29471696,0.40121138
5b8fffca220be50001c59858,3,0,2024-02-28T14:47:24.335Z,english_472.wav,0,peel,1228,26,4,5,français,f,2,0.2,-58.55005371,1.15410482
5b8fffca220be50001c59858,3,0,2024-02-28T14:47:24.335Z,english_472.wav,0,peel,1228,26,4,5,français,f,3,0.3,77.0504256,1.91400861
5b8fffca220be50001c59858,3,0,2024-02-28T14:47:24.335Z,english_472.wav,0,peel,1228,26,4,5,français,f,4,0.4,87.29275565,0.05830067
5b8fffca220be50001c59858,3,0,2024-02-28T14:47:24.335Z,english_472.wav,0,peel,1228,26,4,5,français,f,5,0.5,-70.9646192,0.87176087
5b8fffca220be50001c59858,3,0,2024-02-28T14:47:24.335Z,english_472.wav,0,peel,1228,26,4,5,français,f,6,0.6,72.82743185,0.23371631
5b8fffca220be50001c59858,3,0,2024-02-28T14:47:24.335Z,english_472.wav,0,peel,1228,26,4,5,français,f,7,0.7,-40.27439915,1.66198616
5b8fffca220be50001c59858,3,0,2024-02-28T14:47:24.335Z,english_472.wav,0,peel,1228,26,4,5,français,f,8,0.8,-15.91396931,0.22492459
5b8fffca220be50001c59858,3,0,2024-02-28T14:47:24.335Z,english_472.wav,0,peel,1228,26,4,5,français,f,9,0.9,27.40014094,0.55757982
5b8fffca220be50001c59858,3,0,2024-02-28T14:47:24.335Z,english_472.wav,0,peel,1228,26,4,5,français,f,10,1.0,-13.69917785,1.15387827
5b8fffca220be50001c59858,3,0,2024-02-28T14:47:24.335Z,english_472.wav,0,peel,1228,26,4,5,français,f,11,1.09391667,26.78237701,1.85526867
5b8fffca220be50001c59858,4,0,2024-02-28T14:47:24.335Z,english_269.wav,0,pill,565,26,4,5,français,f,0,0.0,-83.93501444,0.85151873
5b8fffca220be50001c59858,4,0,2024-02-28T14:47:24.335Z,english_269.wav,0,pill,565,26,4,5,français,f,1,0.1,88.09879619,0.93284173
5b8fffca220be50001c59858,4,0,2024-02-28T14:47:24.335Z,english_269.wav,0,pill,565,26,4,5,français,f,2,0.2,-88.94573115,0.56585091
5b8fffca220be50001c59858,4,0,2024-02-28T14:47:24.335Z,english_269.wav,0,pill,565,26,4,5,français,f,3,0.3,-19.78587184,1.66708848
5b8fffca220be50001c59858,4,0,2024-02-28T14:47:24.335Z,english_269.wav,0,pill,565,26,4,5,français,f,4,0.4,69.53650184,0.92160414
5b8fffca220be50001c59858,4,0,2024-02-28T14:47:24.335Z,english_269.wav,0,pill,565,26,4,5,français,f,5,0.5,-12.80260332,0.96478354
5b8fffca220be50001c59858,4,0,2024-02-28T14:47:24.335Z,english_269.wav,0,pill,565,26,4,5,français,f,6,0.6,37.86483682,0.12392918
5b8fffca220be50001c59858,4,0,2024-02-28T14:47:24.335Z,english_269.wav,0,pill,565,26,4,5,français,f,7,0.7,20.748183,0.94784748
5b8fffca220be50001c59858,4,0,2024-02-28T14:47:24.335Z,english_269.wav,0,pill,565,26,4,5,français,f,8,0.8,68.31338511,0.83939678
5b8fffca220be50001c59858,4,0,2024-02-28T14:47:24.335Z,english_269.wav,0,pill,565,26,4,5,français,f,9,0.9,-95.26136032,1.67634699
5b8fffca220be50001c59858,4,0,2024-02-28T14:47:24.335Z,english_269.wav,0,pill,565,26,4,5,français,f,10,1.0,60.98745535,1.66934281
5b8fffca220be50001c59858,4,0,2024-02-28T14:47:24.335Z,english_269.wav,0,pill,565,26,4,5,français,f,11,1.09391667,-4.34526385,1.1076262
5b8fffca220be50001c59858,5,0,2024-02-28T14:47:24.335Z,english_235.wav,0,pill,278,26,4,5,français,f,0,0.0,44.65499148,0.45157531
5b8fffca220be50001c59858,5,0,2024-02-28T14:47:24.335Z,english_235.wav,0,pill,278,26,4,5,français,f,1,0.1,77.52873905,0.81502167
5b8fffca220be50001c59858,5,0,2024-02-28T14:47:24.335Z,english_235.wav,0,pill,278,26,4,5,français,f,2,0.2,7.66193616,0.73184795
5b8fffca220be50001c59858,5,0,2024-02-28T14:47:24.335Z,english_235.wav,0,pill,278,26,4,5,français,f,3,0.3,-36.65234069,1.39041991
5b8fffca220be50001c59858,5,0,2024-02-28T14:47:24.335Z,english_235.wav,0,pill,278,26,4,5,français,f,4,0.4,-38.57977077,0.8131102
5b8fffca220be50001c59858,5,0,2024-02-28T14:47:24.335Z,english_235.wav,0,pill,278,26,4,5,français,f,5,0.5,-69.81992681,0.63770546
5b8fffca220be50001c59858,5,0,2024-02-28T14:47:24.335Z,english_235.wav,0,pill,278,26,4,5,français,f,6,0.6,-3.21185942,0.48204551
5b8fffca220be50001c59858,5,0,2024-02-28T14:47:24.335Z,english_235.wav,0,pill,278,26,4,5,français,f,7,0.7,-3.7989625,0.64449527
5b8fffca220be50001c59858,5,0,2024-02-28T14:47:24.335Z,english_235.wav,0,pill,278,26,4,5,français,f,8,0.8,-60.5356981,0.17411585
5b8fffca220be50001c59858,5,0,2024-02-28T14:47:24.335Z,english_235.wav,0,pill,278,26,4,5,français,f,9,0.9,10.60420307,1.43103789
5b8fffca220be50001c59858,5,0,2024-02-28T14:47:24.335Z,english_235.wav,0,pill,278,26,4,5,français,f,10,1.0,73.74029871,1.90034823
5b8fffca220be50001c59858,5,0,2024-02-28T14:47:24.335Z,english_235.wav,0,pill,278,26,4,5,français,f,11,1.09391667,-42.3978276,0.79167247
