subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5cfd119645e1a20001883ee6,0,0,2024-02-28T14:35:37.207Z,english_896.wav,0,pill,2147,27,5,5,français,f,0,0.0,15.15197213,1.10343193
5cfd119645e1a20001883ee6,0,0,2024-02-28T14:35:37.207Z,english_896.wav,0,pill,2147,27,5,5,français,f,1,0.1,12.09834356,1.24784569
5cfd119645e1a20001883ee6,0,0,2024-02-28T14:35:37.207Z,english_896.wav,0,pill,2147,27,5,5,français,f,2,0.2,-98.90945178,0.69536812
5cfd119645e1a20001883ee6,0,0,2024-02-28T14:35:37.207Z,english_896.wav,0,pill,2147,27,5,5,français,f,3,0.3,-7.24132806,1.50082123
5cfd119645e1a20001883ee6,0,0,2024-02-28T14:35:37.207Z,english_896.wav,0,pill,2147,27,5,5,français,f,4,0.4,-22.04912785,1.78962455
5cfd119645e1a20001883ee6,0,0,2024-02-28T14:35:37.207Z,english_896.wav,0,pill,2147,27,5,5,français,f,5,0.5,53.27175302,0.59868421
5cfd119645e1a20001883ee6,0,0,2024-02-28T14:35:37.207Z,english_896.wav,0,pill,2147,27,5,5,français,f,6,0.6,18.92228417,1.36027969
5cfd119645e1a20001883ee6,0,0,2024-02-28T14:35:37.207Z,english_896.wav,0,pill,2147,27,5,5,français,f,7,0.7,65.4652164,1.44726147
5cfd119645e1a20001883ee6,0,0,2024-02-28T14:35:37.207Z,english_896.wav,0,pill,2147,27,5,5,français,f,8,0.8,51.91420072,1.08983894
5cfd119645e1a20001883ee6,0,0,2024-02-28T14:35:37.207Z,english_896.wav,0,pill,2147,27,5,5,français,f,9,0.9,20.23549525,0.07451316
5cfd119645e1a20001883ee6,0,0,2024-02-28T14:35:37.207Z,english_896.wav,0,pill,2147,27,5,5,français,f,10,1.0,-86.64191921,0.79077881
