subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5d64f820c94fbf0001addee8,0,0,2024-02-28T14:30:29.474Z,english_982.wav,0,peel,2459,34,5,5,Français,m,0,0.0,69.76944056,0.99276477
5d64f820c94fbf0001addee8,0,0,2024-02-28T14:30:29.474Z,english_982.wav,0,peel,2459,34,5,5,Français,m,1,0.1,-42.93548761,1.13394656
5d64f820c94fbf0001addee8,0,0,2024-02-28T14:30:29.474Z,english_982.wav,0,peel,2459,34,5,5,Français,m,2,0.2,36.82283162,0.8882043
5d64f820c94fbf0001addee8,0,0,2024-02-28T14:30:29.474Z,english_982.wav,0,peel,2459,34,5,5,Français,m,3,0.3,32.72805269,0.48588646
5d64f820c94fbf0001addee8,0,0,2024-02-28T14:30:29.474Z,english_982.wav,0,peel,2459,34,5,5,Français,m,4,0.4,59.91100813,0.19309887
5d64f820c94fbf0001addee8,0,0,2024-02-28T14:30:29.474Z,english_982.wav,0,peel,2459,34,5,5,Français,m,5,0.5,-67.75715394,0.28513591
5d64f820c94fbf0001addee8,0,0,2024-02-28T14:30:29.474Z,english_982.wav,0,peel,2459,34,5,5,Français,m,6,0.6,-89.50145132,0.07898736
5d64f820c94fbf0001addee8,0,0,2024-02-28T14:30:29.474Z,english_982.wav,0,peel,2459,34,5,5,Français,m,7,0.7,-26.70280059,0.13233941
5d64f820c94fbf0001addee8,0,0,2024-02-28T14:30:29.474Z,english_982.wav,0,peel,2459,34,5,5,Français,m,8,0.8,64.77389449,0.72291483
5d64f820c94fbf0001addee8,0,0,2024-02-28T14:30:29.474Z,english_982.wav,0,peel,2459,34,5,5,Français,m,9,0.9,-30.11635891,0.45053492
5d64f820c94fbf0001addee8,0,0,2024-02-28T14:30:29.474Z,english_982.wav,0,peel,2459,34,5,5,Français,m,10,1.0,-16.70024332,0.51435491
5d64f820c94fbf0001addee8,0,0,2024-02-28T14:30:29.474Z,english_982.wav,0,peel,2459,34,5,5,Français,m,11,1.09391667,69.17887886,0.97661721
5d64f820c94fbf0001addee8,1,0,2024-02-28T14:30:29.474Z,english_168.wav,0,peel,1148,34,5,5,Français,m,0,0.0,-2.82851798,0.84695831
5d64f820c94fbf0001addee8,1,0,2024-02-28T14:30:29.474Z,english_168.wav,0,peel,1148,34,5,5,Français,m,1,0.1,47.00857465,0.31778045
5d64f820c94fbf0001addee8,1,0,2024-02-28T14:30:29.474Z,english_168.wav,0,peel,1148,34,5,5,Français,m,2,0.2,-17.58347791,1.27812293
5d64f820c94fbf0001addee8,1,0,2024-02-28T14:30:29.474Z,english_168.wav,0,peel,1148,34,5,5,Français,m,3,0.3,-13.31715429,0.74038461
5d64f820c94fbf0001addee8,1,0,2024-02-28T14:30:29.474Z,english_168.wav,0,peel,1148,34,5,5,Français,m,4,0.4,32.59893477,0.53430653
5d64f820c94fbf0001addee8,1,0,2024-02-28T14:30:29.474Z,english_168.wav,0,peel,1148,34,5,5,Français,m,5,0.5,97.16584938,0.39836338
5d64f820c94fbf0001addee8,1,0,2024-02-28T14:30:29.474Z,english_168.wav,0,peel,1148,34,5,5,Français,m,6,0.6,-13.44636048,1.18595545
5d64f820c94fbf0001addee8,1,0,2024-02-28T14:30:29.474Z,english_168.wav,0,peel,1148,34,5,5,Français,m,7,0.7,9.9504683,1.40244409
5d64f820c94fbf0001addee8,1,0,2024-02-28T14:30:29.474Z,english_168.wav,0,peel,1148,34,5,5,Français,m,8,0.8,45.41604728,0.07499365
5d64f820c94fbf0001addee8,1,0,2024-02-28T14:30:29.474Z,english_168.wav,0,peel,1148,34,5,5,Français,m,9,0.9,-79.49961867,0.73784136
5d64f820c94fbf0001addee8,1,0,2024-02-28T14:30:29.474Z,english_168.wav,0,peel,1148,34,5,5,Français,m,10,1.0,35.96813383,1.37065847
5d64f820c94fbf0001addee8,1,0,2024-02-28T14:30:29.474Z,english_168.wav,0,peel,1148,34,5,5,Français,m,11,1.09391667,-86.51274139,0.67911571
5d64f820c94fbf0001addee8,2,0,2024-02-28T14:30:29.474Z,english_893.wav,0,peel,642,34,5,5,Français,m,0,0.0,-88.27288408,0.46079997
5d64f820c94fbf0001addee8,2,0,2024-02-28T14:30:29.474Z,english_893.wav,0,peel,642,34,5,5,Français,m,1,0.1,65.02931774,1.28353758
5d64f820c94fbf0001addee8,2,0,2024-02-28T14:30:29.474Z,english_893.wav,0,peel,642,34,5,5,Français,m,2,0.2,52.75255946,1.5240413
5d64f820c94fbf0001addee8,2,0,2024-02-28T14:30:29.474Z,english_893.wav,0,peel,642,34,5,5,Français,m,3,0.3,83.63729727,1.67217786
5d64f820c94fbf0001addee8,2,0,2024-02-28T14:30:29.474Z,english_893.wav,0,peel,642,34,5,5,Français,m,4,0.4,-40.64554186,1.32541151
5d64f820c94fbf0001addee8,2,0,2024-02-28T14:30:29.474Z,english_893.wav,0,peel,642,34,5,5,Français,m,5,0.5,-63.5561657,0.97852107
5d64f820c94fbf0001addee8,2,0,2024-02-28T14:30:29.474Z,english_893.wav,0,peel,642,34,5,5,Français,m,6,0.6,86.64180858,0.03458433
5d64f820c94fbf0001addee8,2,0,2024-02-28T14:30:29.474Z,english_893.wav,0,peel,642,34,5,5,Français,m,7,0.7,66.95085035,1.20988187
5d64f820c94fbf0001addee8,2,0,2024-02-28T14:30:29.474Z,english_893.wav,0,peel,642,34,5,5,Français,m,8,0.8,-95.78590216,1.76333765
5d64f820c94fbf0001addee8,2,0,2024-02-28T14:30:29.474Z,english_893.wav,0,peel,642,34,5,5,Français,m,9,0.9,-69.05067698,0.45158105
5d64f820c94fbf0001addee8,2,0,2024-02-28T14:30:29.474Z,english_893.wav,0,peel,642,34,5,5,Français,m,10,1.0,-26.34394451,1.28641333
5d64f820c94fbf0001addee8,2,0,2024-02-28T14:30:29.474Z,english_893.wav,0,peel,642,34,5,5,Français,m,11,1.09391667,46.22858611,0.88140728
5d64f820c94fbf0001addee8,3,0,2024-02-28T14:30:29.474Z,english_485.wav,0,pill,546,34,5,5,Français,m,0,0.0,26.44907742,0.83287187
5d64f820c94fbf0001addee8,3,0,2024-02-28T14:30:29.474Z,english_485.wav,0,pill,546,34,5,5,Français,m,1,0.1,-73.42361147,1.40395819
5d64f820c94fbf0001addee8,3,0,2024-02-28T14:30:29.474Z,english_485.wav,0,pill,546,34,5,5,Français,m,2,0.2,92.83531317,1.51369756
5d64f820c94fbf0001addee8,3,0,2024-02-28T14:30:29.474Z,english_485.wav,0,pill,546,34,5,5,Français,m,3,0.3,82.36619494,0.99682619
5d64f820c94fbf0001addee8,3,0,2024-02-28T14:30:29.474Z,english_485.wav,0,pill,546,34,5,5,Français,m,4,0.4,-17.51087166,0.01124783
5d64f820c94fbf0001addee8,3,0,2024-02-28T14:30:29.474Z,english_485.wav,0,pill,546,34,5,5,Français,m,5,0.5,-26.28495986,0.02757377
5d64f820c94fbf0001addee8,3,0,2024-02-28T14:30:29.474Z,english_485.wav,0,pill,546,34,5,5,Français,m,6,0.6,0.94288036,0.89772739
5d64f820c94fbf0001addee8,3,0,2024-02-28T14:30:29.474Z,english_485.wav,0,pill,546,34,5,5,Français,m,7,0.7,-11.7082274,0.83950196
5d64f820c94fbf0001addee8,3,0,2024-02-28T14:30:29.474Z,english_485.wav,0,pill,546,34,5,5,Français,m,8,0.8,-66.16443059,0.91739043
5d64f820c94fbf0001addee8,3,0,2024-02-28T14:30:29.474Z,english_485.wav,0,pill,546,34,5,5,Français,m,9,0.9,-47.12237025,0.80980959
5d64f820c94fbf0001addee8,3,0,2024-02-28T14:30:29.474Z,english_485.wav,0,pill,546,34,5,5,Français,m,10,1.0,-81.68715,1.03797653
5d64f820c94fbf0001addee8,3,0,2024-02-28T14:30:29.474Z,english_485.wav,0,pill,546,34,5,5,Français,m,11,1.09391667,-22.18807282,0.63071559
5d64f820c94fbf0001addee8,4,0,2024-02-28T14:30:29.474Z,english_70.wav,0,peel,584,34,5,5,Français,m,0,0.0,84.7445928,1.85159723
5d64f820c94fbf0001addee8,4,0,2024-02-28T14:30:29.474Z,english_70.wav,0,peel,584,34,5,5,Français,m,1,0.1,-17.05936153,0.49913073
5d64f820c94fbf0001addee8,4,0,2024-02-28T14:30:29.474Z,english_70.wav,0,peel,584,34,5,5,Français,m,2,0.2,48.77629579,1.2524697
5d64f820c94fbf0001addee8,4,0,2024-02-28T14:30:29.474Z,english_70.wav,0,peel,584,34,5,5,Français,m,3,0.3,-37.18095977,1.90044367
5d64f820c94fbf0001addee8,4,0,2024-02-28T14:30:29.474Z,english_70.wav,0,peel,584,34,5,5,Français,m,4,0.4,49.63064657,0.54300229
5d64f820c94fbf0001addee8,4,0,2024-02-28T14:30:29.474Z,english_70.wav,0,peel,584,34,5,5,Français,m,5,0.5,-62.82111716,1.34279252
5d64f820c94fbf0001addee8,4,0,2024-02-28T14:30:29.474Z,english_70.wav,0,peel,584,34,5,5,Français,m,6,0.6,35.10101602,1.14641918
5d64f820c94fbf0001addee8,4,0,2024-02-28T14:30:29.474Z,english_70.wav,0,peel,584,34,5,5,Français,m,7,0.7,-40.08264695,0.66805918
5d64f820c94fbf0001addee8,4,0,2024-02-28T14:30:29.474Z,english_70.wav,0,peel,584,34,5,5,Français,m,8,0.8,35.78231672,1.02673009
