subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5e15aae07bf572b8f97a847d,0,0,2024-02-28T14:18:03.879Z,english_50.wav,0,peel,2268,29,5,5,français,m,0,0.0,-32.36494138,1.37054129
5e15aae07bf572b8f97a847d,0,0,2024-02-28T14:18:03.879Z,english_50.wav,0,peel,2268,29,5,5,français,m,1,0.1,76.6244439,1.57215181
5e15aae07bf572b8f97a847d,0,0,2024-02-28T14:18:03.879Z,english_50.wav,0,peel,2268,29,5,5,français,m,2,0.2,-16.62217643,1.07317842
5e15aae07bf572b8f97a847d,0,0,2024-02-28T14:18:03.879Z,english_50.wav,0,peel,2268,29,5,5,français,m,3,0.3,63.40850527,0.82623857
5e15aae07bf572b8f97a847d,0,0,2024-02-28T14:18:03.879Z,english_50.wav,0,peel,2268,29,5,5,français,m,4,0.4,68.81783594,0.72038729
5e15aae07bf572b8f97a847d,0,0,2024-02-28T14:18:03.879Z,english_50.wav,0,peel,2268,29,5,5,français,m,5,0.5,-35.17384088,1.90936147
5e15aae07bf572b8f97a847d,0,0,2024-02-28T14:18:03.879Z,english_50.wav,0,peel,2268,29,5,5,français,m,6,0.6,42.93688325,0.3744962
5e15aae07bf572b8f97a847d,0,0,2024-02-28T14:18:03.879Z,english_50.wav,0,peel,2268,29,5,5,français,m,7,0.7,-82.21044816,0.69245834
5e15aae07bf572b8f97a847d,0,0,2024-02-28T14:18:03.879Z,english_50.wav,0,peel,2268,29,5,5,français,m,8,0.8,-42.73245843,0.60585647
5e15aae07bf572b8f97a847d,0,0,2024-02-28T14:18:03.879Z,english_50.wav,0,peel,2268,29,5,5,français,m,9,0.9,-3.13393134,1.24840552
5e15aae07bf572b8f97a847d,0,0,2024-02-28T14:18:03.879Z,english_50.wav,0,peel,2268,29,5,5,français,m,10,1.0,-86.41078269,0.02488175
5e15aae07bf572b8f97a847d,0,0,2024-02-28T14:18:03.879Z,english_50.wav,0,peel,2268,29,5,5,français,m,11,1.09391667,14.80187439,1.59728167
5e15aae07bf572b8f97a847d,1,0,2024-02-28T14:18:03.879Z,english_45.wav,0,peel,1205,29,5,5,français,m,0,0.0,-55.14721801,0.29299266
5e15aae07bf572b8f97a847d,1,0,2024-02-28T14:18:03.879Z,english_45.wav,0,peel,1205,29,5,5,français,m,1,0.1,57.09452307,0.9247964
5e15aae07bf572b8f97a847d,1,0,2024-02-28T14:18:03.879Z,english_45.wav,0,peel,1205,29,5,5,français,m,2,0.2,-1.62499195,1.0494158
5e15aae07bf572b8f97a847d,1,0,2024-02-28T14:18:03.879Z,english_45.wav,0,peel,1205,29,5,5,français,m,3,0.3,-13.00347301,1.81345336
5e15aae07bf572b8f97a847d,1,0,2024-02-28T14:18:03.879Z,english_45.wav,0,peel,1205,29,5,5,français,m,4,0.4,13.64765964,1.7292362
5e15aae07bf572b8f97a847d,1,0,2024-02-28T14:18:03.879Z,english_45.wav,0,peel,1205,29,5,5,français,m,5,0.5,-16.23645369,0.3059786
5e15aae07bf572b8f97a847d,1,0,2024-02-28T14:18:03.879Z,english_45.wav,0,peel,1205,29,5,5,français,m,6,0.6,12.80202188,1.60566624
5e15aae07bf572b8f97a847d,1,0,2024-02-28T14:18:03.879Z,english_45.wav,0,peel,1205,29,5,5,français,m,7,0.7,18.490615,1.60640041
5e15aae07bf572b8f97a847d,1,0,2024-02-28T14:18:03.879Z,english_45.wav,0,peel,1205,29,5,5,français,m,8,0.8,-32.73911513,0.6923723
5e15aae07bf572b8f97a847d,1,0,2024-02-28T14:18:03.879Z,english_45.wav,0,peel,1205,29,5,5,français,m,9,0.9,72.91810524,1.31031073
5e15aae07bf572b8f97a847d,1,0,2024-02-28T14:18:03.879Z,english_45.wav,0,peel,1205,29,5,5,français,m,10,1.0,-39.54069726,0.9624361
5e15aae07bf572b8f97a847d,1,0,2024-02-28T14:18:03.879Z,english_45.wav,0,peel,1205,29,5,5,français,m,11,1.09391667,1.32954538,1.523717
5e15aae07bf572b8f97a847d,2,0,2024-02-28T14:18:03.879Z,english_85.wav,0,peel,925,29,5,5,français,m,0,0.0,-6.14964992,0.56025081
5e15aae07bf572b8f97a847d,2,0,2024-02-28T14:18:03.879Z,english_85.wav,0,peel,925,29,5,5,français,m,1,0.1,32.16339234,0.61514747
5e15aae07bf572b8f97a847d,2,0,2024-02-28T14:18:03.879Z,english_85.wav,0,peel,925,29,5,5,français,m,2,0.2,-24.97067864,1.35990705
5e15aae07bf572b8f97a847d,2,0,2024-02-28T14:18:03.879Z,english_85.wav,0,peel,925,29,5,5,français,m,3,0.3,89.32269375,1.86054319
5e15aae07bf572b8f97a847d,2,0,2024-02-28T14:18:03.879Z,english_85.wav,0,peel,925,29,5,5,français,m,4,0.4,50.53908361,0.59713816
5e15aae07bf572b8f97a847d,2,0,2024-02-28T14:18:03.879Z,english_85.wav,0,peel,925,29,5,5,français,m,5,0.5,40.43548113,0.3523201
5e15aae07bf572b8f97a847d,2,0,2024-02-28T14:18:03.879Z,english_85.wav,0,peel,925,29,5,5,français,m,6,0.6,-51.5766196,0.98047294
5e15aae07bf572b8f97a847d,2,0,2024-02-28T14:18:03.879Z,english_85.wav,0,peel,925,29,5,5,français,m,7,0.7,98.63406519,0.71363617
5e15aae07bf572b8f97a847d,2,0,2024-02-28T14:18:03.879Z,english_85.wav,0,peel,925,29,5,5,français,m,8,0.8,15.90562432,1.19020527
5e15aae07bf572b8f97a847d,2,0,2024-02-28T14:18:03.879Z,english_85.wav,0,peel,925,29,5,5,français,m,9,0.9,-42.65370164,0.91645954
5e15aae07bf572b8f97a847d,2,0,2024-02-28T14:18:03.879Z,english_85.wav,0,peel,925,29,5,5,français,m,10,1.0,89.3078196,1.15839844
5e15aae07bf572b8f97a847d,2,0,2024-02-28T14:18:03.879Z,english_85.wav,0,peel,925,29,5,5,français,m,11,1.09391667,-29.48451548,0.12488766
5e15aae07bf572b8f97a847d,3,0,2024-02-28T14:18:03.879Z,english_866.wav,0,pill,1979,29,5,5,français,m,0,0.0,32.13948388,0.64921597
5e15aae07bf572b8f97a847d,3,0,2024-02-28T14:18:03.879Z,english_866.wav,0,pill,1979,29,5,5,français,m,1,0.1,38.60075831,1.48742897
5e15aae07bf572b8f97a847d,3,0,2024-02-28T14:18:03.879Z,english_866.wav,0,pill,1979,29,5,5,français,m,2,0.2,-79.61982729,0.28495491
5e15aae07bf572b8f97a847d,3,0,2024-02-28T14:18:03.879Z,english_866.wav,0,pill,1979,29,5,5,français,m,3,0.3,-60.72840424,0.9139307
5e15aae07bf572b8f97a847d,3,0,2024-02-28T14:18:03.879Z,english_866.wav,0,pill,1979,29,5,5,français,m,4,0.4,-37.10812529,1.2771469
5e15aae07bf572b8f97a847d,3,0,2024-02-28T14:18:03.879Z,english_866.wav,0,pill,1979,29,5,5,français,m,5,0.5,20.23366157,0.5381413
5e15aae07bf572b8f97a847d,3,0,2024-02-28T14:18:03.879Z,english_866.wav,0,pill,1979,29,5,5,français,m,6,0.6,-58.420194,0.14669297
5e15aae07bf572b8f97a847d,3,0,2024-02-28T14:18:03.879Z,english_866.wav,0,pill,1979,29,5,5,français,m,7,0.7,10.40447232,0.11342134
5e15aae07bf572b8f97a847d,3,0,2024-02-28T14:18:03.879Z,english_866.wav,0,pill,1979,29,5,5,français,m,8,0.8,-52.83849426,1.53208977
5e15aae07bf572b8f97a847d,3,0,2024-02-28T14:18:03.879Z,english_866.wav,0,pill,1979,29,5,5,français,m,9,0.9,32.83340069,0.84107623
5e15aae07bf572b8f97a847d,3,0,2024-02-28T14:18:03.879Z,english_866.wav,0,pill,1979,29,5,5,français,m,10,1.0,9.31901299,1.05202157
5e15aae07bf572b8f97a847d,3,0,2024-02-28T14:18:03.879Z,english_866.wav,0,pill,1979,29,5,5,français,m,11,1.09391667,-17.41907809,1.86418674
5e15aae07bf572b8f97a847d,4,0,2024-02-28T14:18:03.879Z,english_276.wav,0,pill,888,29,5,5,français,m,0,0.0,21.98586045,0.30932428
5e15aae07bf572b8f97a847d,4,0,2024-02-28T14:18:03.879Z,english_276.wav,0,pill,888,29,5,5,français,m,1,0.1,-67.99860163,0.09597304
5e15aae07bf572b8f97a847d,4,0,2024-02-28T14:18:03.879Z,english_276.wav,0,pill,888,29,5,5,français,m,2,0.2,25.17256123,1.83076822
5e15aae07bf572b8f97a847d,4,0,2024-02-28T14:18:03.879Z,english_276.wav,0,pill,888,29,5,5,français,m,3,0.3,21.36527348,0.0831707
5e15aae07bf572b8f97a847d,4,0,2024-02-28T14:18:03.879Z,english_276.wav,0,pill,888,29,5,5,français,m,4,0.4,35.76600766,1.62200671
5e15aae07bf572b8f97a847d,4,0,2024-02-28T14:18:03.879Z,english_276.wav,0,pill,888,29,5,5,français,m,5,0.5,-7.15376156,1.09615837
5e15aae07bf572b8f97a847d,4,0,2024-02-28T14:18:03.879Z,english_276.wav,0,pill,888,29,5,5,français,m,6,0.6,6.29513946,1.21666569
5e15aae07bf572b8f97a847d,4,0,2024-02-28T14:18:03.879Z,english_276.wav,0,pill,888,29,5,5,français,m,7,0.7,-54.12906392,0.44734549
5e15aae07bf572b8f97a847d,4,0,2024-02-28T14:18:03.879Z,english_276.wav,0,pill,888,29,5,5,français,m,8,0.8,17.42972017,0.42974841
5e15aae07bf572b8f97a847d,4,0,2024-02-28T14:18:03.879Z,english_276.wav,0,pill,888,29,5,5,français,m,9,0.9,4.25119531,0.69082029
