subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5f90c32f69122f1cebd1cc0b,0,0,2024-02-28T17:14:53.569Z,english_434.wav,0,pill,4661,55,4,5,français,m,0,0.0,50.47761392,1.72511711
5f90c32f69122f1cebd1cc0b,0,0,2024-02-28T17:14:53.569Z,english_434.wav,0,pill,4661,55,4,5,français,m,1,0.1,-33.38487677,0.67409863
5f90c32f69122f1cebd1cc0b,0,0,2024-02-28T17:14:53.569Z,english_434.wav,0,pill,4661,55,4,5,français,m,2,0.2,-6.35895817,0.85225266
5f90c32f69122f1cebd1cc0b,0,0,2024-02-28T17:14:53.569Z,english_434.wav,0,pill,4661,55,4,5,français,m,3,0.3,58.81206484,1.03084546
5f90c32f69122f1cebd1cc0b,0,0,2024-02-28T17:14:53.569Z,english_434.wav,0,pill,4661,55,4,5,français,m,4,0.4,2.00815972,0.30841411
5f90c32f69122f1cebd1cc0b,0,0,2024-02-28T17:14:53.569Z,english_434.wav,0,pill,4661,55,4,5,français,m,5,0.5,-28.96305016,0.11116274
5f90c32f69122f1cebd1cc0b,0,0,2024-02-28T17:14:53.569Z,english_434.wav,0,pill,4661,55,4,5,français,m,6,0.6,-44.65800209,0.82038961
5f90c32f69122f1cebd1cc0b,0,0,2024-02-28T17:14:53.569Z,english_434.wav,0,pill,4661,55,4,5,français,m,7,0.7,-3.89112712,1.79901884
5f90c32f69122f1cebd1cc0b,0,0,2024-02-28T17:14:53.569Z,english_434.wav,0,pill,4661,55,4,5,français,m,8,0.8,-49.09619099,1.01461121
5f90c32f69122f1cebd1cc0b,0,0,2024-02-28T17:14:53.569Z,english_434.wav,0,pill,4661,55,4,5,français,m,9,0.9,-79.81092904,1.16161114
5f90c32f69122f1cebd1cc0b,0,0,2024-02-28T17:14:53.569Z,english_434.wav,0,pill,4661,55,4,5,français,m,10,1.0,72.91556136,1.34038877
5f90c32f69122f1cebd1cc0b,0,0,2024-02-28T17:14:53.569Z,english_434.wav,0,pill,4661,55,4,5,français,m,11,1.09391667,-8.48383865,1.19926856
5f90c32f69122f1cebd1cc0b,1,0,2024-02-28T17:14:53.569Z,english_307.wav,0,pill,3280,55,4,5,français,m,0,0.0,4.09277184,1.54634017
5f90c32f69122f1cebd1cc0b,1,0,2024-02-28T17:14:53.569Z,english_307.wav,0,pill,3280,55,4,5,français,m,1,0.1,-55.10651609,1.62042314
5f90c32f69122f1cebd1cc0b,1,0,2024-02-28T17:14:53.569Z,english_307.wav,0,pill,3280,55,4,5,français,m,2,0.2,40.66104674,0.53651735
5f90c32f69122f1cebd1cc0b,1,0,2024-02-28T17:14:53.569Z,english_307.wav,0,pill,3280,55,4,5,français,m,3,0.3,25.01631041,1.3289867
5f90c32f69122f1cebd1cc0b,1,0,2024-02-28T17:14:53.569Z,english_307.wav,0,pill,3280,55,4,5,français,m,4,0.4,-83.19534886,1.20481488
5f90c32f69122f1cebd1cc0b,1,0,2024-02-28T17:14:53.569Z,english_307.wav,0,pill,3280,55,4,5,français,m,5,0.5,50.47121196,0.91135424
5f90c32f69122f1cebd1cc0b,1,0,2024-02-28T17:14:53.569Z,english_307.wav,0,pill,3280,55,4,5,français,m,6,0.6,-23.06520129,0.34154344
5f90c32f69122f1cebd1cc0b,1,0,2024-02-28T17:14:53.569Z,english_307.wav,0,pill,3280,55,4,5,français,m,7,0.7,6.60696351,0.77838965
5f90c32f69122f1cebd1cc0b,1,0,2024-02-28T17:14:53.569Z,english_307.wav,0,pill,3280,55,4,5,français,m,8,0.8,32.78812168,1.52188148
5f90c32f69122f1cebd1cc0b,1,0,2024-02-28T17:14:53.569Z,english_307.wav,0,pill,3280,55,4,5,français,m,9,0.9,-29.8510749,1.3469183
5f90c32f69122f1cebd1cc0b,1,0,2024-02-28T17:14:53.569Z,english_307.wav,0,pill,3280,55,4,5,français,m,10,1.0,-51.20036712,0.11286505
5f90c32f69122f1cebd1cc0b,1,0,2024-02-28T17:14:53.569Z,english_307.wav,0,pill,3280,55,4,5,français,m,11,1.09391667,-34.31103599,1.9894596
5f90c32f69122f1cebd1cc0b,2,0,2024-02-28T17:14:53.569Z,english_324.wav,0,pill,2458,55,4,5,français,m,0,0.0,17.54140289,0.28643924
5f90c32f69122f1cebd1cc0b,2,0,2024-02-28T17:14:53.569Z,english_324.wav,0,pill,2458,55,4,5,français,m,1,0.1,71.06846472,0.89310243
5f90c32f69122f1cebd1cc0b,2,0,2024-02-28T17:14:53.569Z,english_324.wav,0,pill,2458,55,4,5,français,m,2,0.2,-58.0756972,0.19434283
5f90c32f69122f1cebd1cc0b,2,0,2024-02-28T17:14:53.569Z,english_324.wav,0,pill,2458,55,4,5,français,m,3,0.3,21.96350357,1.40300385
5f90c32f69122f1cebd1cc0b,2,0,2024-02-28T17:14:53.569Z,english_324.wav,0,pill,2458,55,4,5,français,m,4,0.4,8.51736718,0.22031138
5f90c32f69122f1cebd1cc0b,2,0,2024-02-28T17:14:53.569Z,english_324.wav,0,pill,2458,55,4,5,français,m,5,0.5,54.10034556,1.10087032
5f90c32f69122f1cebd1cc0b,2,0,2024-02-28T17:14:53.569Z,english_324.wav,0,pill,2458,55,4,5,français,m,6,0.6,-45.23490782,0.61239123
5f90c32f69122f1cebd1cc0b,2,0,2024-02-28T17:14:53.569Z,english_324.wav,0,pill,2458,55,4,5,français,m,7,0.7,-47.50195247,0.50887139
5f90c32f69122f1cebd1cc0b,2,0,2024-02-28T17:14:53.569Z,english_324.wav,0,pill,2458,55,4,5,français,m,8,0.8,90.23201078,1.93720132
5f90c32f69122f1cebd1cc0b,2,0,2024-02-28T17:14:53.569Z,english_324.wav,0,pill,2458,55,4,5,français,m,9,0.9,-25.79699052,1.9219801
5f90c32f69122f1cebd1cc0b,2,0,2024-02-28T17:14:53.569Z,english_324.wav,0,pill,2458,55,4,5,français,m,10,1.0,-46.49971987,0.58550327
5f90c32f69122f1cebd1cc0b,2,0,2024-02-28T17:14:53.569Z,english_324.wav,0,pill,2458,55,4,5,français,m,11,1.09391667,53.98083149,0.44963146
5f90c32f69122f1cebd1cc0b,3,0,2024-02-28T17:14:53.569Z,english_231.wav,0,pill,4995,55,4,5,français,m,0,0.0,-62.2179541,1.81174186
5f90c32f69122f1cebd1cc0b,3,0,2024-02-28T17:14:53.569Z,english_231.wav,0,pill,4995,55,4,5,français,m,1,0.1,-68.5873809,1.83025058
5f90c32f69122f1cebd1cc0b,3,0,2024-02-28T17:14:53.569Z,english_231.wav,0,pill,4995,55,4,5,français,m,2,0.2,-23.63984274,0.80354138
5f90c32f69122f1cebd1cc0b,3,0,2024-02-28T17:14:53.569Z,english_231.wav,0,pill,4995,55,4,5,français,m,3,0.3,-33.31819394,1.41218614
5f90c32f69122f1cebd1cc0b,3,0,2024-02-28T17:14:53.569Z,english_231.wav,0,pill,4995,55,4,5,français,m,4,0.4,73.10663902,0.69584773
5f90c32f69122f1cebd1cc0b,3,0,2024-02-28T17:14:53.569Z,english_231.wav,0,pill,4995,55,4,5,français,m,5,0.5,-43.5142123,0.95321477
5f90c32f69122f1cebd1cc0b,3,0,2024-02-28T17:14:53.569Z,english_231.wav,0,pill,4995,55,4,5,français,m,6,0.6,31.90774571,1.60478776
5f90c32f69122f1cebd1cc0b,3,0,2024-02-28T17:14:53.569Z,english_231.wav,0,pill,4995,55,4,5,français,m,7,0.7,86.22472646,0.79586742
