subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
60c750fa33e03bdaeae60c48,0,0,2024-02-28T14:55:35.773Z,english_1000.wav,0,peel,4431,24,4,5,Français,Féminin,0,0.0,-1.5072561,0.91946401
60c750fa33e03bdaeae60c48,0,0,2024-02-28T14:55:35.773Z,english_1000.wav,0,peel,4431,24,4,5,Français,Féminin,1,0.1,39.79014661,1.39592101
60c750fa33e03bdaeae60c48,0,0,2024-02-28T14:55:35.773Z,english_1000.wav,0,peel,4431,24,4,5,Français,Féminin,2,0.2,58.76846959,0.5487596
60c750fa33e03bdaeae60c48,0,0,2024-02-28T14:55:35.773Z,english_1000.wav,0,peel,4431,24,4,5,Français,Féminin,3,0.3,28.54889901,1.20778852
60c750fa33e03bdaeae60c48,0,0,2024-02-28T14:55:35.773Z,english_1000.wav,0,peel,4431,24,4,5,Français,Féminin,4,0.4,-74.34288484,0.05870568
60c750fa33e03bdaeae60c48,0,0,2024-02-28T14:55:35.773Z,english_1000.wav,0,peel,4431,24,4,5,Français,Féminin,5,0.5,7.94862856,1.40576818
60c750fa33e03bdaeae60c48,0,0,2024-02-28T14:55:35.773Z,english_1000.wav,0,peel,4431,24,4,5,Français,Féminin,6,0.6,75.96899765,0.56511458
60c750fa33e03bdaeae60c48,0,0,2024-02-28T14:55:35.773Z,english_1000.wav,0,peel,4431,24,4,5,Français,Féminin,7,0.7,20.32286843,0.44257477
60c750fa33e03bdaeae60c48,0,0,2024-02-28T14:55:35.773Z,english_1000.wav,0,peel,4431,24,4,5,Français,Féminin,8,0.8,6.51139675,0.97037601
60c750fa33e03bdaeae60c48,0,0,2024-02-28T14:55:35.773Z,english_1000.wav,0,peel,4431,24,4,5,Français,Féminin,9,0.9,95.873103,1.4916368
60c750fa33e03bdaeae60c48,0,0,2024-02-28T14:55:35.773Z,english_1000.wav,0,peel,4431,24,4,5,Français,Féminin,10,1.0,76.48547212,1.12595485
60c750fa33e03bdaeae60c48,0,0,2024-02-28T14:55:35.773Z,english_1000.wav,0,peel,4431,24,4,5,Français,Féminin,11,1.09391667,42.88935731,1.31879984
60c750fa33e03bdaeae60c48,1,0,2024-02-28T14:55:35.773Z,english_426.wav,0,pill,945,24,4,5,Français,Féminin,0,0.0,-67.17987083,1.61589393
60c750fa33e03bdaeae60c48,1,0,2024-02-28T14:55:35.773Z,english_426.wav,0,pill,945,24,4,5,Français,Féminin,1,0.1,70.02176421,1.03467422
60c750fa33e03bdaeae60c48,1,0,2024-02-28T14:55:35.773Z,english_426.wav,0,pill,945,24,4,5,Français,Féminin,2,0.2,82.2704811,1.69488483
60c750fa33e03bdaeae60c48,1,0,2024-02-28T14:55:35.773Z,english_426.wav,0,pill,945,24,4,5,Français,Féminin,3,0.3,-4.42560713,0.26984678
60c750fa33e03bdaeae60c48,1,0,2024-02-28T14:55:35.773Z,english_426.wav,0,pill,945,24,4,5,Français,Féminin,4,0.4,-22.03224373,1.53427209
