subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:07:55.887Z,english_505.wav,0,peel,5141,26,3,5,français,f,0,0.0,91.23085556,0.82413934
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:07:55.887Z,english_505.wav,0,peel,5141,26,3,5,français,f,1,0.1,-15.55826488,0.35004659
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:07:55.887Z,english_505.wav,0,peel,5141,26,3,5,français,f,2,0.2,12.35940028,1.21560266
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:07:55.887Z,english_505.wav,0,peel,5141,26,3,5,français,f,3,0.3,-0.93203898,1.75278196
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:07:55.887Z,english_505.wav,0,peel,5141,26,3,5,français,f,4,0.4,98.55638555,1.03675584
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:07:55.887Z,english_505.wav,0,peel,5141,26,3,5,français,f,5,0.5,89.84667018,1.84604412
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:07:55.887Z,english_505.wav,0,peel,5141,26,3,5,français,f,6,0.6,61.88853531,0.6105869
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:07:55.887Z,english_505.wav,0,peel,5141,26,3,5,français,f,7,0.7,19.66566337,1.77513514
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:07:55.887Z,english_505.wav,0,peel,5141,26,3,5,français,f,8,0.8,-99.77897317,0.3232423
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:07:55.887Z,english_505.wav,0,peel,5141,26,3,5,français,f,9,0.9,-24.29755532,0.91185212
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:07:55.887Z,english_505.wav,0,peel,5141,26,3,5,français,f,10,1.0,67.47807651,1.75020631
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:07:55.887Z,english_505.wav,0,peel,5141,26,3,5,français,f,11,1.09391667,13.49034132,1.09867425
60c7987a11054a60df5ed5f8,1,0,2024-02-28T14:07:55.887Z,english_336.wav,0,peel,2332,26,3,5,français,f,0,0.0,81.71607603,0.24645368
60c7987a11054a60df5ed5f8,1,0,2024-02-28T14:07:55.887Z,english_336.wav,0,peel,2332,26,3,5,français,f,1,0.1,-15.78086785,1.53225808
60c7987a11054a60df5ed5f8,1,0,2024-02-28T14:07:55.887Z,english_336.wav,0,peel,2332,26,3,5,français,f,2,0.2,23.7073003,0.72747831
60c7987a11054a60df5ed5f8,1,0,2024-02-28T14:07:55.887Z,english_336.wav,0,peel,2332,26,3,5,français,f,3,0.3,-55.22954441,1.13985004
60c7987a11054a60df5ed5f8,1,0,2024-02-28T14:07:55.887Z,english_336.wav,0,peel,2332,26,3,5,français,f,4,0.4,-82.40927831,1.08390501
60c7987a11054a60df5ed5f8,1,0,2024-02-28T14:07:55.887Z,english_336.wav,0,peel,2332,26,3,5,français,f,5,0.5,18.45613874,1.68458766
60c7987a11054a60df5ed5f8,1,0,2024-02-28T14:07:55.887Z,english_336.wav,0,peel,2332,26,3,5,français,f,6,0.6,-8.80089887,0.21615576
60c7987a11054a60df5ed5f8,1,0,2024-02-28T14:07:55.887Z,english_336.wav,0,peel,2332,26,3,5,français,f,7,0.7,19.65234969,0.20974011
