subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
610d671491693e4ff410860c,0,0,2024-02-28T14:41:53.371Z,english_285.wav,0,pill,854,36,4,5,français,m,0,0.0,48.62119612,1.78431697
610d671491693e4ff410860c,0,0,2024-02-28T14:41:53.371Z,english_285.wav,0,pill,854,36,4,5,français,m,1,0.1,-77.49487419,0.21017115
610d671491693e4ff410860c,0,0,2024-02-28T14:41:53.371Z,english_285.wav,0,pill,854,36,4,5,français,m,2,0.2,-92.74855632,0.90754364
610d671491693e4ff410860c,0,0,2024-02-28T14:41:53.371Z,english_285.wav,0,pill,854,36,4,5,français,m,3,0.3,-5.04409868,0.79299305
610d671491693e4ff410860c,0,0,2024-02-28T14:41:53.371Z,english_285.wav,0,pill,854,36,4,5,français,m,4,0.4,-37.04184738,0.73704045
610d671491693e4ff410860c,0,0,2024-02-28T14:41:53.371Z,english_285.wav,0,pill,854,36,4,5,français,m,5,0.5,93.82836291,1.49438795
610d671491693e4ff410860c,0,0,2024-02-28T14:41:53.371Z,english_285.wav,0,pill,854,36,4,5,français,m,6,0.6,46.80360504,1.8666859
610d671491693e4ff410860c,0,0,2024-02-28T14:41:53.371Z,english_285.wav,0,pill,854,36,4,5,français,m,7,0.7,99.71187558,1.28156013
610d671491693e4ff410860c,0,0,2024-02-28T14:41:53.371Z,english_285.wav,0,pill,854,36,4,5,français,m,8,0.8,70.29725425,0.27278766
610d671491693e4ff410860c,0,0,2024-02-28T14:41:53.371Z,english_285.wav,0,pill,854,36,4,5,français,m,9,0.9,2.68384344,1.64624
610d671491693e4ff410860c,0,0,2024-02-28T14:41:53.371Z,english_285.wav,0,pill,854,36,4,5,français,m,10,1.0,33.86757162,0.38779205
610d671491693e4ff410860c,0,0,2024-02-28T14:41:53.371Z,english_285.wav,0,pill,854,36,4,5,français,m,11,1.09391667,28.22402765,0.9971565
610d671491693e4ff410860c,1,0,2024-02-28T14:41:53.371Z,english_583.wav,0,peel,578,36,4,5,français,m,0,0.0,-89.46926799,1.93205848
610d671491693e4ff410860c,1,0,2024-02-28T14:41:53.371Z,english_583.wav,0,peel,578,36,4,5,français,m,1,0.1,-21.95760647,0.52539253
610d671491693e4ff410860c,1,0,2024-02-28T14:41:53.371Z,english_583.wav,0,peel,578,36,4,5,français,m,2,0.2,51.54638902,0.25359823
610d671491693e4ff410860c,1,0,2024-02-28T14:41:53.371Z,english_583.wav,0,peel,578,36,4,5,français,m,3,0.3,-19.59460838,0.46642282
610d671491693e4ff410860c,1,0,2024-02-28T14:41:53.371Z,english_583.wav,0,peel,578,36,4,5,français,m,4,0.4,-80.65157181,0.25879931
610d671491693e4ff410860c,1,0,2024-02-28T14:41:53.371Z,english_583.wav,0,peel,578,36,4,5,français,m,5,0.5,13.46564549,0.54774352
610d671491693e4ff410860c,1,0,2024-02-28T14:41:53.371Z,english_583.wav,0,peel,578,36,4,5,français,m,6,0.6,-1.99224774,1.89783447
610d671491693e4ff410860c,1,0,2024-02-28T14:41:53.371Z,english_583.wav,0,peel,578,36,4,5,français,m,7,0.7,96.26030273,0.46572744
610d671491693e4ff410860c,1,0,2024-02-28T14:41:53.371Z,english_583.wav,0,peel,578,36,4,5,français,m,8,0.8,-75.70856073,0.69184565
610d671491693e4ff410860c,1,0,2024-02-28T14:41:53.371Z,english_583.wav,0,peel,578,36,4,5,français,m,9,0.9,40.78035579,1.20488206
610d671491693e4ff410860c,1,0,2024-02-28T14:41:53.371Z,english_583.wav,0,peel,578,36,4,5,français,m,10,1.0,3.65984432,1.22997803
610d671491693e4ff410860c,1,0,2024-02-28T14:41:53.371Z,english_583.wav,0,peel,578,36,4,5,français,m,11,1.09391667,-26.98513255,1.99403249
610d671491693e4ff410860c,2,0,2024-02-28T14:41:53.371Z,english_821.wav,0,peel,601,36,4,5,français,m,0,0.0,60.02897282,0.81118736
610d671491693e4ff410860c,2,0,2024-02-28T14:41:53.371Z,english_821.wav,0,peel,601,36,4,5,français,m,1,0.1,-31.71016541,1.4887669
610d671491693e4ff410860c,2,0,2024-02-28T14:41:53.371Z,english_821.wav,0,peel,601,36,4,5,français,m,2,0.2,65.3097336,0.65578563
610d671491693e4ff410860c,2,0,2024-02-28T14:41:53.371Z,english_821.wav,0,peel,601,36,4,5,français,m,3,0.3,39.90488009,0.99843063
610d671491693e4ff410860c,2,0,2024-02-28T14:41:53.371Z,english_821.wav,0,peel,601,36,4,5,français,m,4,0.4,65.66520818,0.54862628
610d671491693e4ff410860c,2,0,2024-02-28T14:41:53.371Z,english_821.wav,0,peel,601,36,4,5,français,m,5,0.5,-73.56912207,0.9620802
610d671491693e4ff410860c,2,0,2024-02-28T14:41:53.371Z,english_821.wav,0,peel,601,36,4,5,français,m,6,0.6,0.74999233,1.96570853
610d671491693e4ff410860c,2,0,2024-02-28T14:41:53.371Z,english_821.wav,0,peel,601,36,4,5,français,m,7,0.7,64.12769535,1.86660776
610d671491693e4ff410860c,2,0,2024-02-28T14:41:53.371Z,english_821.wav,0,peel,601,36,4,5,français,m,8,0.8,-79.18665898,0.48590566
610d671491693e4ff410860c,2,0,2024-02-28T14:41:53.371Z,english_821.wav,0,peel,601,36,4,5,français,m,9,0.9,-84.62050136,1.1315153
610d671491693e4ff410860c,2,0,2024-02-28T14:41:53.371Z,english_821.wav,0,peel,601,36,4,5,français,m,10,1.0,99.19624858,1.62744853
610d671491693e4ff410860c,2,0,2024-02-28T14:41:53.371Z,english_821.wav,0,peel,601,36,4,5,français,m,11,1.09391667,71.58670695,1.94836872
610d671491693e4ff410860c,3,0,2024-02-28T14:41:53.371Z,english_369.wav,0,peel,776,36,4,5,français,m,0,0.0,-98.51702781,1.05319591
610d671491693e4ff410860c,3,0,2024-02-28T14:41:53.371Z,english_369.wav,0,peel,776,36,4,5,français,m,1,0.1,-77.74164505,0.35563608
610d671491693e4ff410860c,3,0,2024-02-28T14:41:53.371Z,english_369.wav,0,peel,776,36,4,5,français,m,2,0.2,13.86053007,0.74921535
610d671491693e4ff410860c,3,0,2024-02-28T14:41:53.371Z,english_369.wav,0,peel,776,36,4,5,français,m,3,0.3,94.45294859,1.88151113
610d671491693e4ff410860c,3,0,2024-02-28T14:41:53.371Z,english_369.wav,0,peel,776,36,4,5,français,m,4,0.4,-68.44131684,1.38340448
610d671491693e4ff410860c,3,0,2024-02-28T14:41:53.371Z,english_369.wav,0,peel,776,36,4,5,français,m,5,0.5,-11.02159052,1.0971757
610d671491693e4ff410860c,3,0,2024-02-28T14:41:53.371Z,english_369.wav,0,peel,776,36,4,5,français,m,6,0.6,-93.03562761,0.74102815
610d671491693e4ff410860c,3,0,2024-02-28T14:41:53.371Z,english_369.wav,0,peel,776,36,4,5,français,m,7,0.7,92.19991551,0.86578633
610d671491693e4ff410860c,3,0,2024-02-28T14:41:53.371Z,english_369.wav,0,peel,776,36,4,5,français,m,8,0.8,44.28946949,0.42333119
610d671491693e4ff410860c,3,0,2024-02-28T14:41:53.371Z,english_369.wav,0,peel,776,36,4,5,français,m,9,0.9,-36.54704406,1.30148328
610d671491693e4ff410860c,3,0,2024-02-28T14:41:53.371Z,english_369.wav,0,peel,776,36,4,5,français,m,10,1.0,75.92915306,0.13274677
610d671491693e4ff410860c,3,0,2024-02-28T14:41:53.371Z,english_369.wav,0,peel,776,36,4,5,français,m,11,1.09391667,43.6375557,0.3552412
610d671491693e4ff410860c,4,0,2024-02-28T14:41:53.371Z,english_671.wav,0,pill,634,36,4,5,français,m,0,0.0,-45.93815434,1.42496889
610d671491693e4ff410860c,4,0,2024-02-28T14:41:53.371Z,english_671.wav,0,pill,634,36,4,5,français,m,1,0.1,-9.85133236,0.72590703
610d671491693e4ff410860c,4,0,2024-02-28T14:41:53.371Z,english_671.wav,0,pill,634,36,4,5,français,m,2,0.2,-90.27584827,0.03582408
610d671491693e4ff410860c,4,0,2024-02-28T14:41:53.371Z,english_671.wav,0,pill,634,36,4,5,français,m,3,0.3,-12.62569024,1.95422408
610d671491693e4ff410860c,4,0,2024-02-28T14:41:53.371Z,english_671.wav,0,pill,634,36,4,5,français,m,4,0.4,-25.02264323,0.03147383
610d671491693e4ff410860c,4,0,2024-02-28T14:41:53.371Z,english_671.wav,0,pill,634,36,4,5,français,m,5,0.5,-73.63967284,1.78242159
610d671491693e4ff410860c,4,0,2024-02-28T14:41:53.371Z,english_671.wav,0,pill,634,36,4,5,français,m,6,0.6,-8.12482987,0.44075536
610d671491693e4ff410860c,4,0,2024-02-28T14:41:53.371Z,english_671.wav,0,pill,634,36,4,5,français,m,7,0.7,20.3897076,1.76056673
610d671491693e4ff410860c,4,0,2024-02-28T14:41:53.371Z,english_671.wav,0,pill,634,36,4,5,français,m,8,0.8,-16.71271092,0.82662657
610d671491693e4ff410860c,4,0,2024-02-28T14:41:53.371Z,english_671.wav,0,pill,634,36,4,5,français,m,9,0.9,60.34106396,0.3638046
610d671491693e4ff410860c,4,0,2024-02-28T14:41:53.371Z,english_671.wav,0,pill,634,36,4,5,français,m,10,1.0,-65.87673981,0.96822524
610d671491693e4ff410860c,4,0,2024-02-28T14:41:53.371Z,english_671.wav,0,pill,634,36,4,5,français,m,11,1.09391667,-90.1963817,0.11003173
610d671491693e4ff410860c,5,0,2024-02-28T14:41:53.371Z,english_340.wav,0,peel,337,36,4,5,français,m,0,0.0,19.74255444,0.3319767
610d671491693e4ff410860c,5,0,2024-02-28T14:41:53.371Z,english_340.wav,0,peel,337,36,4,5,français,m,1,0.1,25.16855735,0.61048523
610d671491693e4ff410860c,5,0,2024-02-28T14:41:53.371Z,english_340.wav,0,peel,337,36,4,5,français,m,2,0.2,-45.10982673,0.21275179
610d671491693e4ff410860c,5,0,2024-02-28T14:41:53.371Z,english_340.wav,0,peel,337,36,4,5,français,m,3,0.3,-94.4237425,0.29825912
610d671491693e4ff410860c,5,0,2024-02-28T14:41:53.371Z,english_340.wav,0,peel,337,36,4,5,français,m,4,0.4,33.61318105,0.68673966
610d671491693e4ff410860c,5,0,2024-02-28T14:41:53.371Z,english_340.wav,0,peel,337,36,4,5,français,m,5,0.5,-32.11968845,0.56528685
610d671491693e4ff410860c,5,0,2024-02-28T14:41:53.371Z,english_340.wav,0,peel,337,36,4,5,français,m,6,0.6,-73.96198045,1.1523669
610d671491693e4ff410860c,5,0,2024-02-28T14:41:53.371Z,english_340.wav,0,peel,337,36,4,5,français,m,7,0.7,-70.65108678,1.56179354
610d671491693e4ff410860c,5,0,2024-02-28T14:41:53.371Z,english_340.wav,0,peel,337,36,4,5,français,m,8,0.8,-16.68054018,0.7478511
610d671491693e4ff410860c,5,0,2024-02-28T14:41:53.371Z,english_340.wav,0,peel,337,36,4,5,français,m,9,0.9,17.74464594,1.06303665
610d671491693e4ff410860c,5,0,2024-02-28T14:41:53.371Z,english_340.wav,0,peel,337,36,4,5,français,m,10,1.0,-17.13563894,1.69470448
610d671491693e4ff410860c,5,0,2024-02-28T14:41:53.371Z,english_340.wav,0,peel,337,36,4,5,français,m,11,1.09391667,85.44426077,1.53904315
610d671491693e4ff410860c,6,0,2024-02-28T14:41:53.371Z,english_718.wav,0,pill,738,36,4,5,français,m,0,0.0,61.00269276,1.9915537
610d671491693e4ff410860c,6,0,2024-02-28T14:41:53.371Z,english_718.wav,0,pill,738,36,4,5,français,m,1,0.1,-4.74934843,0.89410112
610d671491693e4ff410860c,6,0,2024-02-28T14:41:53.371Z,english_718.wav,0,pill,738,36,4,5,français,m,2,0.2,9.01462899,1.56072611
610d671491693e4ff410860c,6,0,2024-02-28T14:41:53.371Z,english_718.wav,0,pill,738,36,4,5,français,m,3,0.3,79.23930225,0.98422559
610d671491693e4ff410860c,6,0,2024-02-28T14:41:53.371Z,english_718.wav,0,pill,738,36,4,5,français,m,4,0.4,-22.0403667,1.91227381
