subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
65a83f5909f0706ac5f33dc0,0,0,2024-02-28T14:47:27.663Z,english_742.wav,0,peel,1624,33,5,5,francais,m,0,0.0,16.40248558,0.38841716
65a83f5909f0706ac5f33dc0,0,0,2024-02-28T14:47:27.663Z,english_742.wav,0,peel,1624,33,5,5,francais,m,1,0.1,-74.48361089,0.81078957
65a83f5909f0706ac5f33dc0,0,0,2024-02-28T14:47:27.663Z,english_742.wav,0,peel,1624,33,5,5,francais,m,2,0.2,-68.54189756,1.40021639
65a83f5909f0706ac5f33dc0,0,0,2024-02-28T14:47:27.663Z,english_742.wav,0,peel,1624,33,5,5,francais,m,3,0.3,-12.74577912,0.37000306
65a83f5909f0706ac5f33dc0,0,0,2024-02-28T14:47:27.663Z,english_742.wav,0,peel,1624,33,5,5,francais,m,4,0.4,42.91022855,0.86528291
65a83f5909f0706ac5f33dc0,0,0,2024-02-28T14:47:27.663Z,english_742.wav,0,peel,1624,33,5,5,francais,m,5,0.5,61.35454691,0.21278301
65a83f5909f0706ac5f33dc0,0,0,2024-02-28T14:47:27.663Z,english_742.wav,0,peel,1624,33,5,5,francais,m,6,0.6,-74.78284805,1.55046698
65a83f5909f0706ac5f33dc0,0,0,2024-02-28T14:47:27.663Z,english_742.wav,0,peel,1624,33,5,5,francais,m,7,0.7,71.03659878,1.739545
65a83f5909f0706ac5f33dc0,0,0,2024-02-28T14:47:27.663Z,english_742.wav,0,peel,1624,33,5,5,francais,m,8,0.8,51.11475536,1.10810315
65a83f5909f0706ac5f33dc0,0,0,2024-02-28T14:47:27.663Z,english_742.wav,0,peel,1624,33,5,5,francais,m,9,0.9,52.57489365,0.37698393
65a83f5909f0706ac5f33dc0,0,0,2024-02-28T14:47:27.663Z,english_742.wav,0,peel,1624,33,5,5,francais,m,10,1.0,-21.18365938,1.01484038
65a83f5909f0706ac5f33dc0,0,0,2024-02-28T14:47:27.663Z,english_742.wav,0,peel,1624,33,5,5,francais,m,11,1.09391667,62.14901308,0.3479372
65a83f5909f0706ac5f33dc0,1,0,2024-02-28T14:47:27.663Z,english_435.wav,0,pill,429,33,5,5,francais,m,0,0.0,-31.13269848,0.87360856
65a83f5909f0706ac5f33dc0,1,0,2024-02-28T14:47:27.663Z,english_435.wav,0,pill,429,33,5,5,francais,m,1,0.1,92.06970246,0.90374027
65a83f5909f0706ac5f33dc0,1,0,2024-02-28T14:47:27.663Z,english_435.wav,0,pill,429,33,5,5,francais,m,2,0.2,-23.49616722,0.13869042
65a83f5909f0706ac5f33dc0,1,0,2024-02-28T14:47:27.663Z,english_435.wav,0,pill,429,33,5,5,francais,m,3,0.3,28.69293566,0.36148201
65a83f5909f0706ac5f33dc0,1,0,2024-02-28T14:47:27.663Z,english_435.wav,0,pill,429,33,5,5,francais,m,4,0.4,91.13017666,1.64954246
65a83f5909f0706ac5f33dc0,1,0,2024-02-28T14:47:27.663Z,english_435.wav,0,pill,429,33,5,5,francais,m,5,0.5,73.01983282,0.8333488
65a83f5909f0706ac5f33dc0,1,0,2024-02-28T14:47:27.663Z,english_435.wav,0,pill,429,33,5,5,francais,m,6,0.6,26.94870672,0.92769237
65a83f5909f0706ac5f33dc0,1,0,2024-02-28T14:47:27.663Z,english_435.wav,0,pill,429,33,5,5,francais,m,7,0.7,-17.86331575,0.23890126
65a83f5909f0706ac5f33dc0,1,0,2024-02-28T14:47:27.663Z,english_435.wav,0,pill,429,33,5,5,francais,m,8,0.8,-12.47586644,0.53709856
65a83f5909f0706ac5f33dc0,1,0,2024-02-28T14:47:27.663Z,english_435.wav,0,pill,429,33,5,5,francais,m,9,0.9,-45.803678,1.33606874
65a83f5909f0706ac5f33dc0,1,0,2024-02-28T14:47:27.663Z,english_435.wav,0,pill,429,33,5,5,francais,m,10,1.0,12.54092013,1.23901183
65a83f5909f0706ac5f33dc0,1,0,2024-02-28T14:47:27.663Z,english_435.wav,0,pill,429,33,5,5,francais,m,11,1.09391667,96.00954818,0.13308527
65a83f5909f0706ac5f33dc0,2,0,2024-02-28T14:47:27.663Z,english_873.wav,0,pill,386,33,5,5,francais,m,0,0.0,-5.34184308,0.18534223
65a83f5909f0706ac5f33dc0,2,0,2024-02-28T14:47:27.663Z,english_873.wav,0,pill,386,33,5,5,francais,m,1,0.1,29.86705528,1.00948066
65a83f5909f0706ac5f33dc0,2,0,2024-02-28T14:47:27.663Z,english_873.wav,0,pill,386,33,5,5,francais,m,2,0.2,-53.62087934,0.93104213
