subj,sex,age,language,english,french,native_lang,date,practice,block,trial,stim,pitch,stretch,response,rt
8817605319,m,22,french,4,5,french,2024-02-07 15:14:50.712299,True,0,0,sounds\english\audio/english_171.wav,"[[  0.          57.16640714]
 [  0.1         74.54839728]
 [  0.2         95.75678202]
 [  0.3         39.99051632]
 [  0.4         -6.66803256]
 [  0.5        -11.42556478]
 [  0.6        -61.08204703]
 [  0.7        -47.00718825]
 [  0.8        -62.88052724]
 [  0.9        -55.43761186]
 [  1.         -25.22707532]
 [  1.09391667  72.94956576]]","[[0.         0.48953769]
 [0.1        1.15474794]
 [0.2        1.06369724]
 [0.3        0.94070076]
 [0.4        0.05995963]
 [0.5        0.94038212]
 [0.6        1.30766084]
 [0.7        1.96472455]
 [0.8        0.35350446]
 [0.9        0.65278216]
 [1.         1.06452254]
 [1.09391667 0.49293676]]",0,7.925
8817605319,m,22,french,4,5,french,2024-02-07 15:14:50.712299,True,0,1,sounds\english\audio/english_542.wav,"[[  0.          77.25836123]
 [  0.1          4.96687677]
 [  0.2        -69.63893361]
 [  0.3         36.13476154]
 [  0.4         29.93419476]
 [  0.5        -71.22267205]
 [  0.6        -30.36103617]
 [  0.7        -14.05066862]
 [  0.8         21.39979207]
 [  0.9          0.74742826]
 [  1.          44.77375782]
 [  1.09391667 -66.5594785 ]]","[[0.         0.87207269]
 [0.1        0.90240888]
 [0.2        0.25644456]
 [0.3        0.86696527]
 [0.4        1.70387716]
 [0.5        1.80144796]
 [0.6        0.29401729]
 [0.7        1.14442321]
 [0.8        1.80586802]
 [0.9        1.77494895]
 [1.         0.36146727]
 [1.09391667 1.85294654]]",1,1.499
8817605319,m,22,french,4,5,french,2024-02-07 15:14:50.712299,True,0,2,sounds\english\audio/english_570.wav,"[[  0.           4.27892196]
 [  0.1        -65.10560908]
 [  0.2        -46.49099881]
 [  0.3         92.02313014]
 [  0.4        -62.36360028]
 [  0.5         -5.7481882 ]
 [  0.6        -29.57103274]
 [  0.7        -12.57991884]
 [  0.8         -0.28533532]
 [  0.9         70.53696138]
 [  1.         -21.79274863]
 [  1.09391667  77.34028184]]","[[0.         1.38341141]
 [0.1        0.63616801]
 [0.2        0.88657916]
 [0.3        1.65534728]
 [0.4        0.58832985]
 [0.5        0.35954779]
 [0.6        0.83826919]
 [0.7        1.34190797]
 [0.8        0.71480272]
 [0.9        1.84273358]
 [1.         1.41836707]
 [1.09391667 1.74855227]]",0,4.888
8817605319,m,22,french,4,5,french,2024-02-07 15:14:50.712299,False,1,3,sounds\english\audio/english_616.wav,"[[  0.         -58.43899918]
 [  0.1         91.54551443]
 [  0.2        -72.76331238]
 [  0.3         98.66983591]
 [  0.4         30.89695447]
 [  0.5         95.21036015]
 [  0.6         38.34251154]
 [  0.7         53.37022057]
 [  0.8         64.27718414]
 [  0.9        -47.15745764]
 [  1.          61.31789033]
 [  1.09391667 -28.29544228]]","[[0.         1.31887323]
 [0.1        1.19326366]
 [0.2        1.15507306]
 [0.3        1.15408068]
 [0.4        1.80966351]
 [0.5        0.8568389 ]
 [0.6        0.52507159]
 [0.7        1.38987598]
 [0.8        1.91003383]
 [0.9        1.62420327]
 [1.         1.95831122]
 [1.09391667 0.95794745]]",1,0.807
8817605319,m,22,french,4,5,french,2024-02-07 15:14:50.712299,False,1,4,sounds\english\audio/english_791.wav,"[[  0.         -46.06630558]
 [  0.1        -10.41029295]
 [  0.2         46.47346809]
 [  0.3        -10.43860287]
 [  0.4        -38.16717219]
 [  0.5         44.56559314]
 [  0.6         43.70696978]
 [  0.7         -5.54884815]
 [  0.8         89.91059564]
 [  0.9         90.72111025]
 [  1.           4.8020349 ]
 [  1.09391667   7.87463746]]","[[0.         1.16002163]
 [0.1        1.31545425]
 [0.2        0.89173565]
 [0.3        0.05427007]
 [0.4        1.4017057 ]
 [0.5        0.47849772]
 [0.6        1.59729287]
 [0.7        1.50901191]
 [0.8        0.68083576]
 [0.9        1.62669182]
 [1.         1.81653342]
 [1.09391667 1.33572141]]",0,4.063
8817605319,m,22,french,4,5,french,2024-02-07 15:14:50.712299,False,1,5,sounds\english\audio/english_584.wav,"[[  0.          50.7358721 ]
 [  0.1        -37.41238679]
 [  0.2        -21.91541438]
 [  0.3         67.49251718]
 [  0.4         36.0609863 ]
 [  0.5         29.68399092]
 [  0.6         69.24169566]
 [  0.7          2.10305954]
 [  0.8         23.93501401]
 [  0.9        -17.64282744]
 [  1.          80.89116082]
 [  1.09391667 -10.99932322]]","[[0.         1.24615014]
 [0.1        1.8454839 ]
 [0.2        1.76277899]
 [0.3        0.88473448]
 [0.4        0.58271182]
 [0.5        1.46602634]
 [0.6        1.79468998]
 [0.7        1.56143928]
 [0.8        0.46568097]
 [0.9        0.5808441 ]
 [1.         1.80196263]
 [1.09391667 1.58954467]]",0,2.886
8817605319,m,22,french,4,5,french,2024-02-07 15:14:50.712299,False,1,6,sounds\english\audio/english_310.wav,"[[ 0.00000000e+00 -7.30364012e+01]
 [ 1.00000000e-01 -2.21461231e+01]
 [ 2.00000000e-01 -6.87915777e+01]
 [ 3.00000000e-01  1.59567541e+01]
 [ 4.00000000e-01  6.90214219e-02]
 [ 5.00000000e-01  1.10751916e+01]
 [ 6.00000000e-01 -4.73549816e+00]
 [ 7.00000000e-01  8.94133264e+01]
 [ 8.00000000e-01  8.59912910e+00]
 [ 9.00000000e-01 -4.29855425e+01]
 [ 1.00000000e+00  2.17690352e+01]
 [ 1.09391667e+00 -6.85633248e+01]]","[[0.         1.20427188]
 [0.1        0.93293509]
 [0.2        0.44843766]
 [0.3        1.947333  ]
 [0.4        0.80984127]
 [0.5        0.49483553]
 [0.6        1.63471819]
 [0.7        0.6439244 ]
 [0.8        1.83711469]
 [0.9        1.01800117]
 [1.         0.59348897]
 [1.09391667 1.68402605]]",1,2.424
8817605319,m,22,french,4,5,french,2024-02-07 15:14:50.712299,False,1,7,sounds\english\audio/english_710.wav,"[[  0.         -39.30636168]
 [  0.1        -97.6674904 ]
 [  0.2         64.09122161]
 [  0.3         75.88571101]
 [  0.4        -88.52762731]
 [  0.5         82.62720899]
 [  0.6        -76.34366579]
 [  0.7         -8.69440278]
 [  0.8        -70.02409217]
 [  0.9         57.25294742]
 [  1.         -12.57900879]
 [  1.09391667  58.69693709]]","[[0.         1.80624949]
 [0.1        0.47182227]
 [0.2        0.70971527]
 [0.3        0.05116828]
 [0.4        1.76085876]
 [0.5        0.52858011]
 [0.6        0.11108823]
 [0.7        1.51710045]
 [0.8        1.27546604]
 [0.9        0.25600017]
 [1.         0.70194387]
 [1.09391667 0.08256398]]",1,4.579
8817605319,m,22,french,4,5,french,2024-02-07 15:14:50.712299,False,1,8,sounds\english\audio/english_508.wav,"[[  0.          29.95487344]
 [  0.1        -43.56994085]
 [  0.2         95.99440846]
 [  0.3         96.63128694]
 [  0.4         81.88240965]
 [  0.5        -30.32405698]
 [  0.6        -70.6760635 ]
 [  0.7        -36.19238407]
 [  0.8         18.2315003 ]
 [  0.9        -71.56865734]
 [  1.         -72.78274833]
 [  1.09391667  51.72471755]]","[[0.         1.28947786]
 [0.1        0.45872669]
 [0.2        1.02864136]
 [0.3        1.38697031]
 [0.4        0.48619633]
 [0.5        1.35316712]
 [0.6        0.61818132]
 [0.7        0.31535759]
 [0.8        1.60240226]
 [0.9        1.17638413]
 [1.         0.8457368 ]
 [1.09391667 0.31851434]]",1,5.528
8817605319,m,22,french,4,5,french,2024-02-07 15:14:50.712299,False,1,9,sounds\english\audio/english_351.wav,"[[  0.         -19.65986015]
 [  0.1         73.58710044]
 [  0.2         74.12275499]
 [  0.3        -24.45683786]
 [  0.4         21.01511918]
 [  0.5         55.7456538 ]
 [  0.6         54.50583955]
 [  0.7         74.68230433]
 [  0.8        -93.39577551]
 [  0.9         89.8823857 ]
 [  1.          82.37960735]
 [  1.09391667  -9.15420485]]","[[0.         1.42460204]
 [0.1        0.00643347]
 [0.2        0.97495265]
 [0.3        0.52137616]
 [0.4        1.11946487]
 [0.5        0.33788576]
 [0.6        1.25361851]
 [0.7        1.43767459]
 [0.8        0.08040705]
 [0.9        0.01025875]
 [1.         0.65117528]
 [1.09391667 0.78690639]]",0,4.27
8817605319,m,22,french,4,5,french,2024-02-07 15:14:50.712299,False,1,10,sounds\english\audio/english_983.wav,"[[  0.         -50.22823897]
 [  0.1         -4.67437073]
 [  0.2        -31.6094098 ]
 [  0.3         25.42275216]
 [  0.4         79.9624674 ]
 [  0.5         11.84827872]
 [  0.6        -53.41316004]
 [  0.7         -2.37481813]
 [  0.8         81.38125647]
 [  0.9        -62.03068284]
 [  1.         -64.21224493]
 [  1.09391667  38.19793451]]","[[0.         0.88633634]
 [0.1        1.28034271]
 [0.2        0.94172266]
 [0.3        0.73344406]
 [0.4        1.78223604]
 [0.5        1.04715588]
 [0.6        1.93599287]
 [0.7        0.44413806]
 [0.8        0.67013669]
 [0.9        1.03528206]
 [1.         0.12422577]
 [1.09391667 1.50859084]]",1,7.555
8817605319,m,22,french,4,5,french,2024-02-07 15:14:50.712299,False,1,11,sounds\english\audio/english_592.wav,"[[  0.          30.98461306]
 [  0.1        -17.79187274]
 [  0.2         33.7453651 ]
 [  0.3        -15.93784107]
 [  0.4         36.34266121]
 [  0.5         -6.45881142]
 [  0.6         38.75009271]
 [  0.7        -18.69448539]
 [  0.8         10.99383987]
 [  0.9        -57.55307603]
 [  1.          68.46340248]
 [  1.09391667 -57.3554082 ]]","[[0.         1.65452317]
 [0.1        0.58176006]
 [0.2        0.51380187]
 [0.3        0.75142438]
 [0.4        1.13924678]
 [0.5        0.73835275]
 [0.6        0.33161747]
 [0.7        0.65193992]
 [0.8        1.64752508]
 [0.9        1.01941164]
 [1.         0.79462289]
 [1.09391667 1.32766904]]",1,4.621
