subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5b8fffca220be50001c59858,0,0,2024-02-28T14:35:36.601Z,french_873.wav,0,poule,625,26,4,5,français,f,0,0.0,72.03003954,1.83410118
5b8fffca220be50001c59858,0,0,2024-02-28T14:35:36.601Z,french_873.wav,0,poule,625,26,4,5,français,f,1,0.1,-23.30621714,1.9626168
5b8fffca220be50001c59858,0,0,2024-02-28T14:35:36.601Z,french_873.wav,0,poule,625,26,4,5,français,f,2,0.2,-35.89141319,0.81420051
5b8fffca220be50001c59858,0,0,2024-02-28T14:35:36.601Z,french_873.wav,0,poule,625,26,4,5,français,f,3,0.3,67.68024677,1.63047329
5b8fffca220be50001c59858,0,0,2024-02-28T14:35:36.601Z,french_873.wav,0,poule,625,26,4,5,français,f,4,0.4,21.20717598,1.57956601
5b8fffca220be50001c59858,0,0,2024-02-28T14:35:36.601Z,french_873.wav,0,poule,625,26,4,5,français,f,5,0.5,-50.70040168,1.84719914
5b8fffca220be50001c59858,0,0,2024-02-28T14:35:36.601Z,french_873.wav,0,poule,625,26,4,5,français,f,6,0.6,-71.51050021,0.36709049
5b8fffca220be50001c59858,0,0,2024-02-28T14:35:36.601Z,french_873.wav,0,poule,625,26,4,5,français,f,7,0.7,34.37852202,0.904759
5b8fffca220be50001c59858,0,0,2024-02-28T14:35:36.601Z,french_873.wav,0,poule,625,26,4,5,français,f,8,0.8,30.83728681,1.75590546
5b8fffca220be50001c59858,0,0,2024-02-28T14:35:36.601Z,french_873.wav,0,poule,625,26,4,5,français,f,9,0.9,-76.87739592,1.02149993
5b8fffca220be50001c59858,0,0,2024-02-28T14:35:36.601Z,french_873.wav,0,poule,625,26,4,5,français,f,10,1.0,42.37175398,0.76391448
5b8fffca220be50001c59858,0,0,2024-02-28T14:35:36.601Z,french_873.wav,0,poule,625,26,4,5,français,f,11,1.1,70.77163958,0.00404813
5b8fffca220be50001c59858,0,0,2024-02-28T14:35:36.601Z,french_873.wav,0,poule,625,26,4,5,français,f,12,1.14141667,15.85245945,0.16931054
5b8fffca220be50001c59858,1,0,2024-02-28T14:35:36.601Z,french_442.wav,0,poule,1057,26,4,5,français,f,0,0.0,59.89348182,1.93338354
5b8fffca220be50001c59858,1,0,2024-02-28T14:35:36.601Z,french_442.wav,0,poule,1057,26,4,5,français,f,1,0.1,-90.19745983,0.1221368
5b8fffca220be50001c59858,1,0,2024-02-28T14:35:36.601Z,french_442.wav,0,poule,1057,26,4,5,français,f,2,0.2,34.97525188,1.40375233
5b8fffca220be50001c59858,1,0,2024-02-28T14:35:36.601Z,french_442.wav,0,poule,1057,26,4,5,français,f,3,0.3,-60.10498495,0.23715052
5b8fffca220be50001c59858,1,0,2024-02-28T14:35:36.601Z,french_442.wav,0,poule,1057,26,4,5,français,f,4,0.4,-52.20535883,0.86935067
5b8fffca220be50001c59858,1,0,2024-02-28T14:35:36.601Z,french_442.wav,0,poule,1057,26,4,5,français,f,5,0.5,33.32923329,1.40007492
5b8fffca220be50001c59858,1,0,2024-02-28T14:35:36.601Z,french_442.wav,0,poule,1057,26,4,5,français,f,6,0.6,-72.02089693,1.87875592
5b8fffca220be50001c59858,1,0,2024-02-28T14:35:36.601Z,french_442.wav,0,poule,1057,26,4,5,français,f,7,0.7,15.91732192,1.15703728
5b8fffca220be50001c59858,1,0,2024-02-28T14:35:36.601Z,french_442.wav,0,poule,1057,26,4,5,français,f,8,0.8,49.50947125,1.45583236
5b8fffca220be50001c59858,1,0,2024-02-28T14:35:36.601Z,french_442.wav,0,poule,1057,26,4,5,français,f,9,0.9,-96.72595223,0.52053121
5b8fffca220be50001c59858,1,0,2024-02-28T14:35:36.601Z,french_442.wav,0,poule,1057,26,4,5,français,f,10,1.0,12.6942829,0.18849311
5b8fffca220be50001c59858,1,0,2024-02-28T14:35:36.601Z,french_442.wav,0,poule,1057,26,4,5,français,f,11,1.1,-57.11899111,1.67578542
5b8fffca220be50001c59858,1,0,2024-02-28T14:35:36.601Z,french_442.wav,0,poule,1057,26,4,5,français,f,12,1.14141667,36.89213251,0.36635536
5b8fffca220be50001c59858,2,0,2024-02-28T14:35:36.601Z,french_647.wav,0,pull,964,26,4,5,français,f,0,0.0,64.96347352,1.44558339
5b8fffca220be50001c59858,2,0,2024-02-28T14:35:36.601Z,french_647.wav,0,pull,964,26,4,5,français,f,1,0.1,42.67118944,1.09186706
5b8fffca220be50001c59858,2,0,2024-02-28T14:35:36.601Z,french_647.wav,0,pull,964,26,4,5,français,f,2,0.2,-71.33315366,0.89479071
5b8fffca220be50001c59858,2,0,2024-02-28T14:35:36.601Z,french_647.wav,0,pull,964,26,4,5,français,f,3,0.3,-41.45052921,0.112933
5b8fffca220be50001c59858,2,0,2024-02-28T14:35:36.601Z,french_647.wav,0,pull,964,26,4,5,français,f,4,0.4,22.15572667,0.58173767
5b8fffca220be50001c59858,2,0,2024-02-28T14:35:36.601Z,french_647.wav,0,pull,964,26,4,5,français,f,5,0.5,-49.22246912,0.69537994
5b8fffca220be50001c59858,2,0,2024-02-28T14:35:36.601Z,french_647.wav,0,pull,964,26,4,5,français,f,6,0.6,1.17986866,1.54756643
5b8fffca220be50001c59858,2,0,2024-02-28T14:35:36.601Z,french_647.wav,0,pull,964,26,4,5,français,f,7,0.7,39.60922848,1.87055518
5b8fffca220be50001c59858,2,0,2024-02-28T14:35:36.601Z,french_647.wav,0,pull,964,26,4,5,français,f,8,0.8,-95.82191419,0.45701879
5b8fffca220be50001c59858,2,0,2024-02-28T14:35:36.601Z,french_647.wav,0,pull,964,26,4,5,français,f,9,0.9,-84.37193607,0.87297018
5b8fffca220be50001c59858,2,0,2024-02-28T14:35:36.601Z,french_647.wav,0,pull,964,26,4,5,français,f,10,1.0,42.94723671,1.22985311
5b8fffca220be50001c59858,2,0,2024-02-28T14:35:36.601Z,french_647.wav,0,pull,964,26,4,5,français,f,11,1.1,25.55585594,1.03234616
5b8fffca220be50001c59858,2,0,2024-02-28T14:35:36.601Z,french_647.wav,0,pull,964,26,4,5,français,f,12,1.14141667,49.83574532,1.39896026
5b8fffca220be50001c59858,3,0,2024-02-28T14:35:36.601Z,french_435.wav,0,poule,329,26,4,5,français,f,0,0.0,81.5425699,0.93712121
5b8fffca220be50001c59858,3,0,2024-02-28T14:35:36.601Z,french_435.wav,0,poule,329,26,4,5,français,f,1,0.1,-48.84484952,1.49338777
5b8fffca220be50001c59858,3,0,2024-02-28T14:35:36.601Z,french_435.wav,0,poule,329,26,4,5,français,f,2,0.2,39.71151192,0.34387239
5b8fffca220be50001c59858,3,0,2024-02-28T14:35:36.601Z,french_435.wav,0,poule,329,26,4,5,français,f,3,0.3,29.28112411,1.76749626
5b8fffca220be50001c59858,3,0,2024-02-28T14:35:36.601Z,french_435.wav,0,poule,329,26,4,5,français,f,4,0.4,-65.26037108,0.97806384
5b8fffca220be50001c59858,3,0,2024-02-28T14:35:36.601Z,french_435.wav,0,poule,329,26,4,5,français,f,5,0.5,70.68569274,1.32932034
5b8fffca220be50001c59858,3,0,2024-02-28T14:35:36.601Z,french_435.wav,0,poule,329,26,4,5,français,f,6,0.6,31.94362707,1.36671189
5b8fffca220be50001c59858,3,0,2024-02-28T14:35:36.601Z,french_435.wav,0,poule,329,26,4,5,français,f,7,0.7,17.61291347,0.96349
5b8fffca220be50001c59858,3,0,2024-02-28T14:35:36.601Z,french_435.wav,0,poule,329,26,4,5,français,f,8,0.8,-39.1197626,0.60128096
5b8fffca220be50001c59858,3,0,2024-02-28T14:35:36.601Z,french_435.wav,0,poule,329,26,4,5,français,f,9,0.9,-5.35175447,1.42042138
5b8fffca220be50001c59858,3,0,2024-02-28T14:35:36.601Z,french_435.wav,0,poule,329,26,4,5,français,f,10,1.0,24.45778649,1.76902262
5b8fffca220be50001c59858,3,0,2024-02-28T14:35:36.601Z,french_435.wav,0,poule,329,26,4,5,français,f,11,1.1,-46.14976355,1.00188526
5b8fffca220be50001c59858,3,0,2024-02-28T14:35:36.601Z,french_435.wav,0,poule,329,26,4,5,français,f,12,1.14141667,-26.15718061,0.52918618
5b8fffca220be50001c59858,4,0,2024-02-28T14:35:36.601Z,french_28.wav,0,poule,287,26,4,5,français,f,0,0.0,-56.10420343,1.70315994
