subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5bc8dccd0f10750001d70a1c,0,0,2024-02-27T11:05:45.707Z,french_6.wav,0,poule,3512,40,3,5,français,m,0,0.0,27.45592216,0.54844543
5bc8dccd0f10750001d70a1c,0,0,2024-02-27T11:05:45.707Z,french_6.wav,0,poule,3512,40,3,5,français,m,1,0.1,-62.22353357,0.8427617
5bc8dccd0f10750001d70a1c,0,0,2024-02-27T11:05:45.707Z,french_6.wav,0,poule,3512,40,3,5,français,m,2,0.2,-92.28039871,0.90079623
5bc8dccd0f10750001d70a1c,0,0,2024-02-27T11:05:45.707Z,french_6.wav,0,poule,3512,40,3,5,français,m,3,0.3,-45.49726298,0.58973995
5bc8dccd0f10750001d70a1c,0,0,2024-02-27T11:05:45.707Z,french_6.wav,0,poule,3512,40,3,5,français,m,4,0.4,60.23001679,1.03996406
5bc8dccd0f10750001d70a1c,0,0,2024-02-27T11:05:45.707Z,french_6.wav,0,poule,3512,40,3,5,français,m,5,0.5,43.00364091,0.42947422
5bc8dccd0f10750001d70a1c,0,0,2024-02-27T11:05:45.707Z,french_6.wav,0,poule,3512,40,3,5,français,m,6,0.6,-93.39074753,1.03262215
5bc8dccd0f10750001d70a1c,0,0,2024-02-27T11:05:45.707Z,french_6.wav,0,poule,3512,40,3,5,français,m,7,0.7,58.97930401,0.82620221
5bc8dccd0f10750001d70a1c,0,0,2024-02-27T11:05:45.707Z,french_6.wav,0,poule,3512,40,3,5,français,m,8,0.8,83.76733066,1.23487026
5bc8dccd0f10750001d70a1c,0,0,2024-02-27T11:05:45.707Z,french_6.wav,0,poule,3512,40,3,5,français,m,9,0.9,8.08054163,1.14585448
5bc8dccd0f10750001d70a1c,0,0,2024-02-27T11:05:45.707Z,french_6.wav,0,poule,3512,40,3,5,français,m,10,1.0,43.76190446,0.53858988
5bc8dccd0f10750001d70a1c,0,0,2024-02-27T11:05:45.707Z,french_6.wav,0,poule,3512,40,3,5,français,m,11,1.1,-1.37823078,0.26561002
5bc8dccd0f10750001d70a1c,0,0,2024-02-27T11:05:45.707Z,french_6.wav,0,poule,3512,40,3,5,français,m,12,1.14141667,-31.12824275,1.58779407
5bc8dccd0f10750001d70a1c,1,0,2024-02-27T11:05:45.707Z,french_923.wav,0,pull,1580,40,3,5,français,m,0,0.0,-7.04216505,1.22183085
5bc8dccd0f10750001d70a1c,1,0,2024-02-27T11:05:45.707Z,french_923.wav,0,pull,1580,40,3,5,français,m,1,0.1,-11.87234916,1.49208882
5bc8dccd0f10750001d70a1c,1,0,2024-02-27T11:05:45.707Z,french_923.wav,0,pull,1580,40,3,5,français,m,2,0.2,-44.2803311,1.66594676
5bc8dccd0f10750001d70a1c,1,0,2024-02-27T11:05:45.707Z,french_923.wav,0,pull,1580,40,3,5,français,m,3,0.3,-33.48539095,1.20857206
5bc8dccd0f10750001d70a1c,1,0,2024-02-27T11:05:45.707Z,french_923.wav,0,pull,1580,40,3,5,français,m,4,0.4,-30.66632825,1.55100571
5bc8dccd0f10750001d70a1c,1,0,2024-02-27T11:05:45.707Z,french_923.wav,0,pull,1580,40,3,5,français,m,5,0.5,5.12098552,1.20066823
5bc8dccd0f10750001d70a1c,1,0,2024-02-27T11:05:45.707Z,french_923.wav,0,pull,1580,40,3,5,français,m,6,0.6,76.31297074,0.51155743
5bc8dccd0f10750001d70a1c,1,0,2024-02-27T11:05:45.707Z,french_923.wav,0,pull,1580,40,3,5,français,m,7,0.7,-95.75714611,1.22623112
5bc8dccd0f10750001d70a1c,1,0,2024-02-27T11:05:45.707Z,french_923.wav,0,pull,1580,40,3,5,français,m,8,0.8,-15.0883645,1.3067619
5bc8dccd0f10750001d70a1c,1,0,2024-02-27T11:05:45.707Z,french_923.wav,0,pull,1580,40,3,5,français,m,9,0.9,-66.51821809,0.27321929
5bc8dccd0f10750001d70a1c,1,0,2024-02-27T11:05:45.707Z,french_923.wav,0,pull,1580,40,3,5,français,m,10,1.0,24.92927073,1.50495187
