subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5c3fa4c5b1b52400013ba707,0,0,2024-02-27T11:21:00.747Z,french_844.wav,0,poule,3034,24,4,5,français,m,0,0.0,-70.63137892,0.57712906
5c3fa4c5b1b52400013ba707,0,0,2024-02-27T11:21:00.747Z,french_844.wav,0,poule,3034,24,4,5,français,m,1,0.1,-48.65912271,0.64179226
5c3fa4c5b1b52400013ba707,0,0,2024-02-27T11:21:00.747Z,french_844.wav,0,poule,3034,24,4,5,français,m,2,0.2,89.22528551,0.93495251
5c3fa4c5b1b52400013ba707,0,0,2024-02-27T11:21:00.747Z,french_844.wav,0,poule,3034,24,4,5,français,m,3,0.3,39.89743481,1.43041086
5c3fa4c5b1b52400013ba707,0,0,2024-02-27T11:21:00.747Z,french_844.wav,0,poule,3034,24,4,5,français,m,4,0.4,13.73778231,0.06710414
5c3fa4c5b1b52400013ba707,0,0,2024-02-27T11:21:00.747Z,french_844.wav,0,poule,3034,24,4,5,français,m,5,0.5,-74.47605916,1.67555193
5c3fa4c5b1b52400013ba707,0,0,2024-02-27T11:21:00.747Z,french_844.wav,0,poule,3034,24,4,5,français,m,6,0.6,20.87072452,0.64111611
5c3fa4c5b1b52400013ba707,0,0,2024-02-27T11:21:00.747Z,french_844.wav,0,poule,3034,24,4,5,français,m,7,0.7,-58.29608737,1.81341651
5c3fa4c5b1b52400013ba707,0,0,2024-02-27T11:21:00.747Z,french_844.wav,0,poule,3034,24,4,5,français,m,8,0.8,20.27856511,0.09233996
5c3fa4c5b1b52400013ba707,0,0,2024-02-27T11:21:00.747Z,french_844.wav,0,poule,3034,24,4,5,français,m,9,0.9,66.76249813,1.88938409
5c3fa4c5b1b52400013ba707,0,0,2024-02-27T11:21:00.747Z,french_844.wav,0,poule,3034,24,4,5,français,m,10,1.0,44.27022345,0.03776745
5c3fa4c5b1b52400013ba707,0,0,2024-02-27T11:21:00.747Z,french_844.wav,0,poule,3034,24,4,5,français,m,11,1.1,-46.89913949,1.5874268
5c3fa4c5b1b52400013ba707,0,0,2024-02-27T11:21:00.747Z,french_844.wav,0,poule,3034,24,4,5,français,m,12,1.14141667,-14.10655115,1.53774134
5c3fa4c5b1b52400013ba707,1,0,2024-02-27T11:21:00.747Z,french_595.wav,0,pull,890,24,4,5,français,m,0,0.0,-70.69376547,0.5937093
5c3fa4c5b1b52400013ba707,1,0,2024-02-27T11:21:00.747Z,french_595.wav,0,pull,890,24,4,5,français,m,1,0.1,-50.11639821,1.78382872
5c3fa4c5b1b52400013ba707,1,0,2024-02-27T11:21:00.747Z,french_595.wav,0,pull,890,24,4,5,français,m,2,0.2,-6.2723957,1.40733247
5c3fa4c5b1b52400013ba707,1,0,2024-02-27T11:21:00.747Z,french_595.wav,0,pull,890,24,4,5,français,m,3,0.3,-33.93276808,1.23314244
