subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5ca1196fffab4a00149a02a9,0,0,2024-02-27T11:17:25.331Z,french_976.wav,0,pull,2760,27,4,5,franças,f,0,0.0,-62.96972063,0.28137182
5ca1196fffab4a00149a02a9,0,0,2024-02-27T11:17:25.331Z,french_976.wav,0,pull,2760,27,4,5,franças,f,1,0.1,-26.61167246,1.36324422
5ca1196fffab4a00149a02a9,0,0,2024-02-27T11:17:25.331Z,french_976.wav,0,pull,2760,27,4,5,franças,f,2,0.2,44.65744226,0.73559884
5ca1196fffab4a00149a02a9,0,0,2024-02-27T11:17:25.331Z,french_976.wav,0,pull,2760,27,4,5,franças,f,3,0.3,-45.10081954,0.69765519
5ca1196fffab4a00149a02a9,0,0,2024-02-27T11:17:25.331Z,french_976.wav,0,pull,2760,27,4,5,franças,f,4,0.4,-19.39771586,1.05398301
5ca1196fffab4a00149a02a9,0,0,2024-02-27T11:17:25.331Z,french_976.wav,0,pull,2760,27,4,5,franças,f,5,0.5,-6.74330021,0.92767004
5ca1196fffab4a00149a02a9,0,0,2024-02-27T11:17:25.331Z,french_976.wav,0,pull,2760,27,4,5,franças,f,6,0.6,-92.2188675,1.8670127
5ca1196fffab4a00149a02a9,0,0,2024-02-27T11:17:25.331Z,french_976.wav,0,pull,2760,27,4,5,franças,f,7,0.7,3.8955825,0.42732482
5ca1196fffab4a00149a02a9,0,0,2024-02-27T11:17:25.331Z,french_976.wav,0,pull,2760,27,4,5,franças,f,8,0.8,-58.18459979,1.04518319
5ca1196fffab4a00149a02a9,0,0,2024-02-27T11:17:25.331Z,french_976.wav,0,pull,2760,27,4,5,franças,f,9,0.9,47.27824977,0.19121007
5ca1196fffab4a00149a02a9,0,0,2024-02-27T11:17:25.331Z,french_976.wav,0,pull,2760,27,4,5,franças,f,10,1.0,21.78065118,0.50101639
5ca1196fffab4a00149a02a9,0,0,2024-02-27T11:17:25.331Z,french_976.wav,0,pull,2760,27,4,5,franças,f,11,1.1,-34.33033459,0.92471972
5ca1196fffab4a00149a02a9,0,0,2024-02-27T11:17:25.331Z,french_976.wav,0,pull,2760,27,4,5,franças,f,12,1.14141667,59.55841944,0.33119465
5ca1196fffab4a00149a02a9,1,0,2024-02-27T11:17:25.331Z,french_914.wav,0,poule,252,27,4,5,franças,f,0,0.0,79.95241149,1.70123976
5ca1196fffab4a00149a02a9,1,0,2024-02-27T11:17:25.331Z,french_914.wav,0,poule,252,27,4,5,franças,f,1,0.1,-65.45578173,1.16294222
5ca1196fffab4a00149a02a9,1,0,2024-02-27T11:17:25.331Z,french_914.wav,0,poule,252,27,4,5,franças,f,2,0.2,-34.41519325,1.81604524
5ca1196fffab4a00149a02a9,1,0,2024-02-27T11:17:25.331Z,french_914.wav,0,poule,252,27,4,5,franças,f,3,0.3,38.48230949,0.26183363
5ca1196fffab4a00149a02a9,1,0,2024-02-27T11:17:25.331Z,french_914.wav,0,poule,252,27,4,5,franças,f,4,0.4,64.05646687,1.16023808
5ca1196fffab4a00149a02a9,1,0,2024-02-27T11:17:25.331Z,french_914.wav,0,poule,252,27,4,5,franças,f,5,0.5,42.76609293,0.78601448
5ca1196fffab4a00149a02a9,1,0,2024-02-27T11:17:25.331Z,french_914.wav,0,poule,252,27,4,5,franças,f,6,0.6,43.76059306,0.22240252
5ca1196fffab4a00149a02a9,1,0,2024-02-27T11:17:25.331Z,french_914.wav,0,poule,252,27,4,5,franças,f,7,0.7,-40.85862295,0.92550901
5ca1196fffab4a00149a02a9,1,0,2024-02-27T11:17:25.331Z,french_914.wav,0,poule,252,27,4,5,franças,f,8,0.8,-7.68978463,1.56491044
5ca1196fffab4a00149a02a9,1,0,2024-02-27T11:17:25.331Z,french_914.wav,0,poule,252,27,4,5,franças,f,9,0.9,-34.17758246,1.71737079
5ca1196fffab4a00149a02a9,1,0,2024-02-27T11:17:25.331Z,french_914.wav,0,poule,252,27,4,5,franças,f,10,1.0,-15.53383771,1.35150503
5ca1196fffab4a00149a02a9,1,0,2024-02-27T11:17:25.331Z,french_914.wav,0,poule,252,27,4,5,franças,f,11,1.1,40.53193297,0.89943186
5ca1196fffab4a00149a02a9,1,0,2024-02-27T11:17:25.331Z,french_914.wav,0,poule,252,27,4,5,franças,f,12,1.14141667,27.68989524,1.16382615
5ca1196fffab4a00149a02a9,2,0,2024-02-27T11:17:25.331Z,french_69.wav,0,poule,161,27,4,5,franças,f,0,0.0,-36.62351927,0.71535059
5ca1196fffab4a00149a02a9,2,0,2024-02-27T11:17:25.331Z,french_69.wav,0,poule,161,27,4,5,franças,f,1,0.1,4.01465427,1.17148796
5ca1196fffab4a00149a02a9,2,0,2024-02-27T11:17:25.331Z,french_69.wav,0,poule,161,27,4,5,franças,f,2,0.2,27.63080147,0.35560456
5ca1196fffab4a00149a02a9,2,0,2024-02-27T11:17:25.331Z,french_69.wav,0,poule,161,27,4,5,franças,f,3,0.3,-92.04388741,0.7069056
5ca1196fffab4a00149a02a9,2,0,2024-02-27T11:17:25.331Z,french_69.wav,0,poule,161,27,4,5,franças,f,4,0.4,-59.31042768,0.9774701
5ca1196fffab4a00149a02a9,2,0,2024-02-27T11:17:25.331Z,french_69.wav,0,poule,161,27,4,5,franças,f,5,0.5,43.60815293,0.2035579
5ca1196fffab4a00149a02a9,2,0,2024-02-27T11:17:25.331Z,french_69.wav,0,poule,161,27,4,5,franças,f,6,0.6,-63.68314416,0.16150137
5ca1196fffab4a00149a02a9,2,0,2024-02-27T11:17:25.331Z,french_69.wav,0,poule,161,27,4,5,franças,f,7,0.7,-73.22650439,1.58821877
5ca1196fffab4a00149a02a9,2,0,2024-02-27T11:17:25.331Z,french_69.wav,0,poule,161,27,4,5,franças,f,8,0.8,-84.37177593,0.45505702
5ca1196fffab4a00149a02a9,2,0,2024-02-27T11:17:25.331Z,french_69.wav,0,poule,161,27,4,5,franças,f,9,0.9,-63.66539126,1.13448396
5ca1196fffab4a00149a02a9,2,0,2024-02-27T11:17:25.331Z,french_69.wav,0,poule,161,27,4,5,franças,f,10,1.0,-82.4132666,0.20707812
5ca1196fffab4a00149a02a9,2,0,2024-02-27T11:17:25.331Z,french_69.wav,0,poule,161,27,4,5,franças,f,11,1.1,92.98635378,1.81964904
5ca1196fffab4a00149a02a9,2,0,2024-02-27T11:17:25.331Z,french_69.wav,0,poule,161,27,4,5,franças,f,12,1.14141667,19.17845997,1.19989054
5ca1196fffab4a00149a02a9,3,0,2024-02-27T11:17:25.331Z,french_75.wav,0,pull,214,27,4,5,franças,f,0,0.0,-31.46725126,0.18788062
5ca1196fffab4a00149a02a9,3,0,2024-02-27T11:17:25.331Z,french_75.wav,0,pull,214,27,4,5,franças,f,1,0.1,-34.17215403,0.31152777
5ca1196fffab4a00149a02a9,3,0,2024-02-27T11:17:25.331Z,french_75.wav,0,pull,214,27,4,5,franças,f,2,0.2,8.45821843,1.12489201
5ca1196fffab4a00149a02a9,3,0,2024-02-27T11:17:25.331Z,french_75.wav,0,pull,214,27,4,5,franças,f,3,0.3,-14.15557124,0.40173542
5ca1196fffab4a00149a02a9,3,0,2024-02-27T11:17:25.331Z,french_75.wav,0,pull,214,27,4,5,franças,f,4,0.4,-1.12003523,1.76453227
5ca1196fffab4a00149a02a9,3,0,2024-02-27T11:17:25.331Z,french_75.wav,0,pull,214,27,4,5,franças,f,5,0.5,64.22912093,0.50596543
5ca1196fffab4a00149a02a9,3,0,2024-02-27T11:17:25.331Z,french_75.wav,0,pull,214,27,4,5,franças,f,6,0.6,15.15529712,1.35509753
5ca1196fffab4a00149a02a9,3,0,2024-02-27T11:17:25.331Z,french_75.wav,0,pull,214,27,4,5,franças,f,7,0.7,52.79547505,1.81718532
5ca1196fffab4a00149a02a9,3,0,2024-02-27T11:17:25.331Z,french_75.wav,0,pull,214,27,4,5,franças,f,8,0.8,-1.57925774,0.01325032
5ca1196fffab4a00149a02a9,3,0,2024-02-27T11:17:25.331Z,french_75.wav,0,pull,214,27,4,5,franças,f,9,0.9,-73.8150831,0.90639085
5ca1196fffab4a00149a02a9,3,0,2024-02-27T11:17:25.331Z,french_75.wav,0,pull,214,27,4,5,franças,f,10,1.0,72.48639601,1.40519245
5ca1196fffab4a00149a02a9,3,0,2024-02-27T11:17:25.331Z,french_75.wav,0,pull,214,27,4,5,franças,f,11,1.1,-67.8673094,1.96824695
5ca1196fffab4a00149a02a9,3,0,2024-02-27T11:17:25.331Z,french_75.wav,0,pull,214,27,4,5,franças,f,12,1.14141667,-33.85568045,0.97531331
5ca1196fffab4a00149a02a9,4,0,2024-02-27T11:17:25.331Z,french_210.wav,0,pull,253,27,4,5,franças,f,0,0.0,46.17077018,0.5132537
5ca1196fffab4a00149a02a9,4,0,2024-02-27T11:17:25.331Z,french_210.wav,0,pull,253,27,4,5,franças,f,1,0.1,25.55565597,0.67749198
5ca1196fffab4a00149a02a9,4,0,2024-02-27T11:17:25.331Z,french_210.wav,0,pull,253,27,4,5,franças,f,2,0.2,36.32492907,1.14472202
5ca1196fffab4a00149a02a9,4,0,2024-02-27T11:17:25.331Z,french_210.wav,0,pull,253,27,4,5,franças,f,3,0.3,-9.73563195,1.55169683
5ca1196fffab4a00149a02a9,4,0,2024-02-27T11:17:25.331Z,french_210.wav,0,pull,253,27,4,5,franças,f,4,0.4,51.38553925,0.41542617
