subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5d726b8a0c3f0f0017cdfcf7,0,0,2024-02-27T11:24:43.680Z,french_272.wav,0,pull,2746,33,4,5,Français,m,0,0.0,42.6629916,0.82181087
5d726b8a0c3f0f0017cdfcf7,0,0,2024-02-27T11:24:43.680Z,french_272.wav,0,pull,2746,33,4,5,Français,m,1,0.1,-44.58032128,1.24121052
5d726b8a0c3f0f0017cdfcf7,0,0,2024-02-27T11:24:43.680Z,french_272.wav,0,pull,2746,33,4,5,Français,m,2,0.2,-63.79515668,1.18763114
5d726b8a0c3f0f0017cdfcf7,0,0,2024-02-27T11:24:43.680Z,french_272.wav,0,pull,2746,33,4,5,Français,m,3,0.3,65.68552079,1.12080473
5d726b8a0c3f0f0017cdfcf7,0,0,2024-02-27T11:24:43.680Z,french_272.wav,0,pull,2746,33,4,5,Français,m,4,0.4,-73.43471872,0.3216303
5d726b8a0c3f0f0017cdfcf7,0,0,2024-02-27T11:24:43.680Z,french_272.wav,0,pull,2746,33,4,5,Français,m,5,0.5,-9.94342822,1.28123666
5d726b8a0c3f0f0017cdfcf7,0,0,2024-02-27T11:24:43.680Z,french_272.wav,0,pull,2746,33,4,5,Français,m,6,0.6,-63.79991276,1.07872971
5d726b8a0c3f0f0017cdfcf7,0,0,2024-02-27T11:24:43.680Z,french_272.wav,0,pull,2746,33,4,5,Français,m,7,0.7,10.2914571,1.60584441
5d726b8a0c3f0f0017cdfcf7,0,0,2024-02-27T11:24:43.680Z,french_272.wav,0,pull,2746,33,4,5,Français,m,8,0.8,44.90388393,1.61709033
5d726b8a0c3f0f0017cdfcf7,0,0,2024-02-27T11:24:43.680Z,french_272.wav,0,pull,2746,33,4,5,Français,m,9,0.9,11.26467692,0.76221234
5d726b8a0c3f0f0017cdfcf7,0,0,2024-02-27T11:24:43.680Z,french_272.wav,0,pull,2746,33,4,5,Français,m,10,1.0,-19.2327242,1.01212213
5d726b8a0c3f0f0017cdfcf7,0,0,2024-02-27T11:24:43.680Z,french_272.wav,0,pull,2746,33,4,5,Français,m,11,1.1,-57.17946334,0.46924284
5d726b8a0c3f0f0017cdfcf7,0,0,2024-02-27T11:24:43.680Z,french_272.wav,0,pull,2746,33,4,5,Français,m,12,1.14141667,-5.9395339,0.6492678
5d726b8a0c3f0f0017cdfcf7,1,0,2024-02-27T11:24:43.680Z,french_563.wav,0,pull,2613,33,4,5,Français,m,0,0.0,-18.48690039,1.01817279
5d726b8a0c3f0f0017cdfcf7,1,0,2024-02-27T11:24:43.680Z,french_563.wav,0,pull,2613,33,4,5,Français,m,1,0.1,2.00658383,1.07027472
