subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5ec454e23d68ea32ee554d12,0,0,2024-02-28T14:41:34.944Z,french_436.wav,0,poule,1530,38,4,5,Français,f,0,0.0,-88.6105585,1.07573924
5ec454e23d68ea32ee554d12,0,0,2024-02-28T14:41:34.944Z,french_436.wav,0,poule,1530,38,4,5,Français,f,1,0.1,-16.22122401,1.88781057
5ec454e23d68ea32ee554d12,0,0,2024-02-28T14:41:34.944Z,french_436.wav,0,poule,1530,38,4,5,Français,f,2,0.2,-3.49923583,1.26933634
5ec454e23d68ea32ee554d12,0,0,2024-02-28T14:41:34.944Z,french_436.wav,0,poule,1530,38,4,5,Français,f,3,0.3,-16.01802375,0.08671344
5ec454e23d68ea32ee554d12,0,0,2024-02-28T14:41:34.944Z,french_436.wav,0,poule,1530,38,4,5,Français,f,4,0.4,-58.39418693,0.65535741
5ec454e23d68ea32ee554d12,0,0,2024-02-28T14:41:34.944Z,french_436.wav,0,poule,1530,38,4,5,Français,f,5,0.5,-53.8564813,1.05284505
5ec454e23d68ea32ee554d12,0,0,2024-02-28T14:41:34.944Z,french_436.wav,0,poule,1530,38,4,5,Français,f,6,0.6,24.35754888,0.14070405
5ec454e23d68ea32ee554d12,0,0,2024-02-28T14:41:34.944Z,french_436.wav,0,poule,1530,38,4,5,Français,f,7,0.7,-50.18804261,0.38482967
5ec454e23d68ea32ee554d12,0,0,2024-02-28T14:41:34.944Z,french_436.wav,0,poule,1530,38,4,5,Français,f,8,0.8,55.18515934,1.2504881
5ec454e23d68ea32ee554d12,0,0,2024-02-28T14:41:34.944Z,french_436.wav,0,poule,1530,38,4,5,Français,f,9,0.9,-65.43663779,0.44304844
5ec454e23d68ea32ee554d12,0,0,2024-02-28T14:41:34.944Z,french_436.wav,0,poule,1530,38,4,5,Français,f,10,1.0,44.03721159,1.10568067
5ec454e23d68ea32ee554d12,0,0,2024-02-28T14:41:34.944Z,french_436.wav,0,poule,1530,38,4,5,Français,f,11,1.1,73.79038044,0.33165054
5ec454e23d68ea32ee554d12,0,0,2024-02-28T14:41:34.944Z,french_436.wav,0,poule,1530,38,4,5,Français,f,12,1.14141667,28.76066382,1.91057616
5ec454e23d68ea32ee554d12,1,0,2024-02-28T14:41:34.944Z,french_104.wav,0,poule,537,38,4,5,Français,f,0,0.0,-10.82069804,0.1966368
5ec454e23d68ea32ee554d12,1,0,2024-02-28T14:41:34.944Z,french_104.wav,0,poule,537,38,4,5,Français,f,1,0.1,-46.9179638,1.84976789
5ec454e23d68ea32ee554d12,1,0,2024-02-28T14:41:34.944Z,french_104.wav,0,poule,537,38,4,5,Français,f,2,0.2,-54.48570272,1.33623315
5ec454e23d68ea32ee554d12,1,0,2024-02-28T14:41:34.944Z,french_104.wav,0,poule,537,38,4,5,Français,f,3,0.3,3.05404722,1.29159713
5ec454e23d68ea32ee554d12,1,0,2024-02-28T14:41:34.944Z,french_104.wav,0,poule,537,38,4,5,Français,f,4,0.4,53.05029039,0.83782165
5ec454e23d68ea32ee554d12,1,0,2024-02-28T14:41:34.944Z,french_104.wav,0,poule,537,38,4,5,Français,f,5,0.5,41.93888619,1.8090238
5ec454e23d68ea32ee554d12,1,0,2024-02-28T14:41:34.944Z,french_104.wav,0,poule,537,38,4,5,Français,f,6,0.6,38.59618791,0.45654873
5ec454e23d68ea32ee554d12,1,0,2024-02-28T14:41:34.944Z,french_104.wav,0,poule,537,38,4,5,Français,f,7,0.7,19.43152578,1.50843582
5ec454e23d68ea32ee554d12,1,0,2024-02-28T14:41:34.944Z,french_104.wav,0,poule,537,38,4,5,Français,f,8,0.8,77.35445073,0.98312763
5ec454e23d68ea32ee554d12,1,0,2024-02-28T14:41:34.944Z,french_104.wav,0,poule,537,38,4,5,Français,f,9,0.9,32.46536794,0.62069846
5ec454e23d68ea32ee554d12,1,0,2024-02-28T14:41:34.944Z,french_104.wav,0,poule,537,38,4,5,Français,f,10,1.0,-22.38343672,0.12277995
5ec454e23d68ea32ee554d12,1,0,2024-02-28T14:41:34.944Z,french_104.wav,0,poule,537,38,4,5,Français,f,11,1.1,12.24635973,0.0590951
5ec454e23d68ea32ee554d12,1,0,2024-02-28T14:41:34.944Z,french_104.wav,0,poule,537,38,4,5,Français,f,12,1.14141667,-33.54926905,0.80794126
5ec454e23d68ea32ee554d12,2,0,2024-02-28T14:41:34.944Z,french_387.wav,0,poule,448,38,4,5,Français,f,0,0.0,-24.79004383,0.44030197
5ec454e23d68ea32ee554d12,2,0,2024-02-28T14:41:34.944Z,french_387.wav,0,poule,448,38,4,5,Français,f,1,0.1,-23.52605858,0.70411981
5ec454e23d68ea32ee554d12,2,0,2024-02-28T14:41:34.944Z,french_387.wav,0,poule,448,38,4,5,Français,f,2,0.2,-91.83469308,1.86884396
5ec454e23d68ea32ee554d12,2,0,2024-02-28T14:41:34.944Z,french_387.wav,0,poule,448,38,4,5,Français,f,3,0.3,-8.60515115,0.78103642
5ec454e23d68ea32ee554d12,2,0,2024-02-28T14:41:34.944Z,french_387.wav,0,poule,448,38,4,5,Français,f,4,0.4,66.88839894,0.92101113
5ec454e23d68ea32ee554d12,2,0,2024-02-28T14:41:34.944Z,french_387.wav,0,poule,448,38,4,5,Français,f,5,0.5,25.42600238,0.1569929
5ec454e23d68ea32ee554d12,2,0,2024-02-28T14:41:34.944Z,french_387.wav,0,poule,448,38,4,5,Français,f,6,0.6,-7.40031453,0.56500245
5ec454e23d68ea32ee554d12,2,0,2024-02-28T14:41:34.944Z,french_387.wav,0,poule,448,38,4,5,Français,f,7,0.7,-51.95385071,1.10374922
5ec454e23d68ea32ee554d12,2,0,2024-02-28T14:41:34.944Z,french_387.wav,0,poule,448,38,4,5,Français,f,8,0.8,50.19527583,0.9239354
