subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:21:51.076Z,french_801.wav,0,poule,3242,26,3,5,français,f,0,0.0,42.05546356,0.94398168
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:21:51.076Z,french_801.wav,0,poule,3242,26,3,5,français,f,1,0.1,-92.3466124,0.20033669
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:21:51.076Z,french_801.wav,0,poule,3242,26,3,5,français,f,2,0.2,40.25447593,0.1618081
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:21:51.076Z,french_801.wav,0,poule,3242,26,3,5,français,f,3,0.3,86.98750178,1.08194555
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:21:51.076Z,french_801.wav,0,poule,3242,26,3,5,français,f,4,0.4,72.9865192,1.53929443
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:21:51.076Z,french_801.wav,0,poule,3242,26,3,5,français,f,5,0.5,44.19690026,0.95422302
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:21:51.076Z,french_801.wav,0,poule,3242,26,3,5,français,f,6,0.6,-18.76468676,1.56487139
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:21:51.076Z,french_801.wav,0,poule,3242,26,3,5,français,f,7,0.7,-37.75366406,1.79656614
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:21:51.076Z,french_801.wav,0,poule,3242,26,3,5,français,f,8,0.8,12.99673571,1.22963791
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:21:51.076Z,french_801.wav,0,poule,3242,26,3,5,français,f,9,0.9,-12.35408716,0.72904385
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:21:51.076Z,french_801.wav,0,poule,3242,26,3,5,français,f,10,1.0,-69.77608862,1.94753287
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:21:51.076Z,french_801.wav,0,poule,3242,26,3,5,français,f,11,1.1,65.56794574,0.67352843
60c7987a11054a60df5ed5f8,0,0,2024-02-28T14:21:51.076Z,french_801.wav,0,poule,3242,26,3,5,français,f,12,1.14141667,-58.95035096,1.98504787
60c7987a11054a60df5ed5f8,1,0,2024-02-28T14:21:51.076Z,french_205.wav,0,pull,3659,26,3,5,français,f,0,0.0,78.04866769,1.87984927
