subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
61334a37ecf0f837ea7d4e74,0,0,2024-02-28T14:56:13.914Z,french_591.wav,0,pull,5742,38,3,5,français,m,0,0.0,-5.82682539,0.88855192
61334a37ecf0f837ea7d4e74,0,0,2024-02-28T14:56:13.914Z,french_591.wav,0,pull,5742,38,3,5,français,m,1,0.1,-81.3701121,1.90878683
61334a37ecf0f837ea7d4e74,0,0,2024-02-28T14:56:13.914Z,french_591.wav,0,pull,5742,38,3,5,français,m,2,0.2,-37.81307084,1.23278863
61334a37ecf0f837ea7d4e74,0,0,2024-02-28T14:56:13.914Z,french_591.wav,0,pull,5742,38,3,5,français,m,3,0.3,-54.8531106,0.97291582
61334a37ecf0f837ea7d4e74,0,0,2024-02-28T14:56:13.914Z,french_591.wav,0,pull,5742,38,3,5,français,m,4,0.4,-95.72600512,0.20433373
61334a37ecf0f837ea7d4e74,0,0,2024-02-28T14:56:13.914Z,french_591.wav,0,pull,5742,38,3,5,français,m,5,0.5,-64.2370476,0.04434128
61334a37ecf0f837ea7d4e74,0,0,2024-02-28T14:56:13.914Z,french_591.wav,0,pull,5742,38,3,5,français,m,6,0.6,-10.02239509,0.78703084
61334a37ecf0f837ea7d4e74,0,0,2024-02-28T14:56:13.914Z,french_591.wav,0,pull,5742,38,3,5,français,m,7,0.7,7.04740233,1.11175391
61334a37ecf0f837ea7d4e74,0,0,2024-02-28T14:56:13.914Z,french_591.wav,0,pull,5742,38,3,5,français,m,8,0.8,-22.95032107,1.30696314
61334a37ecf0f837ea7d4e74,0,0,2024-02-28T14:56:13.914Z,french_591.wav,0,pull,5742,38,3,5,français,m,9,0.9,-34.18626931,1.87549286
61334a37ecf0f837ea7d4e74,0,0,2024-02-28T14:56:13.914Z,french_591.wav,0,pull,5742,38,3,5,français,m,10,1.0,-3.98772991,0.82720637
61334a37ecf0f837ea7d4e74,0,0,2024-02-28T14:56:13.914Z,french_591.wav,0,pull,5742,38,3,5,français,m,11,1.1,57.60407051,0.42168684
61334a37ecf0f837ea7d4e74,0,0,2024-02-28T14:56:13.914Z,french_591.wav,0,pull,5742,38,3,5,français,m,12,1.14141667,-76.01985318,1.24091325
61334a37ecf0f837ea7d4e74,1,0,2024-02-28T14:56:13.914Z,french_925.wav,0,poule,1524,38,3,5,français,m,0,0.0,73.88745487,1.96679667
61334a37ecf0f837ea7d4e74,1,0,2024-02-28T14:56:13.914Z,french_925.wav,0,poule,1524,38,3,5,français,m,1,0.1,83.3595035,0.21639966
61334a37ecf0f837ea7d4e74,1,0,2024-02-28T14:56:13.914Z,french_925.wav,0,poule,1524,38,3,5,français,m,2,0.2,-42.88917359,1.23278099
61334a37ecf0f837ea7d4e74,1,0,2024-02-28T14:56:13.914Z,french_925.wav,0,poule,1524,38,3,5,français,m,3,0.3,-35.82813145,0.20280842
61334a37ecf0f837ea7d4e74,1,0,2024-02-28T14:56:13.914Z,french_925.wav,0,poule,1524,38,3,5,français,m,4,0.4,-27.03224602,0.87893423
61334a37ecf0f837ea7d4e74,1,0,2024-02-28T14:56:13.914Z,french_925.wav,0,poule,1524,38,3,5,français,m,5,0.5,-60.70994671,0.75442075
61334a37ecf0f837ea7d4e74,1,0,2024-02-28T14:56:13.914Z,french_925.wav,0,poule,1524,38,3,5,français,m,6,0.6,-49.85711526,0.59399175
61334a37ecf0f837ea7d4e74,1,0,2024-02-28T14:56:13.914Z,french_925.wav,0,poule,1524,38,3,5,français,m,7,0.7,-19.23215183,0.40076308
61334a37ecf0f837ea7d4e74,1,0,2024-02-28T14:56:13.914Z,french_925.wav,0,poule,1524,38,3,5,français,m,8,0.8,-49.95485849,1.00046488
61334a37ecf0f837ea7d4e74,1,0,2024-02-28T14:56:13.914Z,french_925.wav,0,poule,1524,38,3,5,français,m,9,0.9,-32.44147055,1.09763798
61334a37ecf0f837ea7d4e74,1,0,2024-02-28T14:56:13.914Z,french_925.wav,0,poule,1524,38,3,5,français,m,10,1.0,8.88866296,0.22831424
61334a37ecf0f837ea7d4e74,1,0,2024-02-28T14:56:13.914Z,french_925.wav,0,poule,1524,38,3,5,français,m,11,1.1,63.17058803,0.14700243
61334a37ecf0f837ea7d4e74,1,0,2024-02-28T14:56:13.914Z,french_925.wav,0,poule,1524,38,3,5,français,m,12,1.14141667,77.96070842,0.04831054
61334a37ecf0f837ea7d4e74,2,0,2024-02-28T14:56:13.914Z,french_286.wav,0,pull,1569,38,3,5,français,m,0,0.0,-91.05268085,1.46856287
61334a37ecf0f837ea7d4e74,2,0,2024-02-28T14:56:13.914Z,french_286.wav,0,pull,1569,38,3,5,français,m,1,0.1,-23.35186071,1.00691584
61334a37ecf0f837ea7d4e74,2,0,2024-02-28T14:56:13.914Z,french_286.wav,0,pull,1569,38,3,5,français,m,2,0.2,77.20107387,0.46780603
61334a37ecf0f837ea7d4e74,2,0,2024-02-28T14:56:13.914Z,french_286.wav,0,pull,1569,38,3,5,français,m,3,0.3,-92.81003859,1.70781954
61334a37ecf0f837ea7d4e74,2,0,2024-02-28T14:56:13.914Z,french_286.wav,0,pull,1569,38,3,5,français,m,4,0.4,-53.33460968,0.99550458
61334a37ecf0f837ea7d4e74,2,0,2024-02-28T14:56:13.914Z,french_286.wav,0,pull,1569,38,3,5,français,m,5,0.5,62.91812057,0.7172163
61334a37ecf0f837ea7d4e74,2,0,2024-02-28T14:56:13.914Z,french_286.wav,0,pull,1569,38,3,5,français,m,6,0.6,16.16077368,1.39130844
61334a37ecf0f837ea7d4e74,2,0,2024-02-28T14:56:13.914Z,french_286.wav,0,pull,1569,38,3,5,français,m,7,0.7,69.38476605,0.60440693
61334a37ecf0f837ea7d4e74,2,0,2024-02-28T14:56:13.914Z,french_286.wav,0,pull,1569,38,3,5,français,m,8,0.8,-57.13655676,1.66516304
61334a37ecf0f837ea7d4e74,2,0,2024-02-28T14:56:13.914Z,french_286.wav,0,pull,1569,38,3,5,français,m,9,0.9,-15.81173514,1.68938028
61334a37ecf0f837ea7d4e74,2,0,2024-02-28T14:56:13.914Z,french_286.wav,0,pull,1569,38,3,5,français,m,10,1.0,-9.63797078,1.74581604
61334a37ecf0f837ea7d4e74,2,0,2024-02-28T14:56:13.914Z,french_286.wav,0,pull,1569,38,3,5,français,m,11,1.1,-63.31208094,1.61756959
61334a37ecf0f837ea7d4e74,2,0,2024-02-28T14:56:13.914Z,french_286.wav,0,pull,1569,38,3,5,français,m,12,1.14141667,-26.04631218,1.66119384
61334a37ecf0f837ea7d4e74,3,0,2024-02-28T14:56:13.914Z,french_367.wav,0,pull,7039,38,3,5,français,m,0,0.0,-19.33050099,0.32588684
61334a37ecf0f837ea7d4e74,3,0,2024-02-28T14:56:13.914Z,french_367.wav,0,pull,7039,38,3,5,français,m,1,0.1,-1.29300582,1.20079268
61334a37ecf0f837ea7d4e74,3,0,2024-02-28T14:56:13.914Z,french_367.wav,0,pull,7039,38,3,5,français,m,2,0.2,-53.6628535,1.68961812
61334a37ecf0f837ea7d4e74,3,0,2024-02-28T14:56:13.914Z,french_367.wav,0,pull,7039,38,3,5,français,m,3,0.3,-26.30205028,0.18361897
61334a37ecf0f837ea7d4e74,3,0,2024-02-28T14:56:13.914Z,french_367.wav,0,pull,7039,38,3,5,français,m,4,0.4,-63.4363173,0.97466933
61334a37ecf0f837ea7d4e74,3,0,2024-02-28T14:56:13.914Z,french_367.wav,0,pull,7039,38,3,5,français,m,5,0.5,6.39307262,1.38512788
61334a37ecf0f837ea7d4e74,3,0,2024-02-28T14:56:13.914Z,french_367.wav,0,pull,7039,38,3,5,français,m,6,0.6,-64.6682597,0.02274579
61334a37ecf0f837ea7d4e74,3,0,2024-02-28T14:56:13.914Z,french_367.wav,0,pull,7039,38,3,5,français,m,7,0.7,29.77195728,0.18668815
61334a37ecf0f837ea7d4e74,3,0,2024-02-28T14:56:13.914Z,french_367.wav,0,pull,7039,38,3,5,français,m,8,0.8,57.14519673,0.42667984
61334a37ecf0f837ea7d4e74,3,0,2024-02-28T14:56:13.914Z,french_367.wav,0,pull,7039,38,3,5,français,m,9,0.9,-3.13638169,0.48752638
61334a37ecf0f837ea7d4e74,3,0,2024-02-28T14:56:13.914Z,french_367.wav,0,pull,7039,38,3,5,français,m,10,1.0,29.03856774,0.21358708
61334a37ecf0f837ea7d4e74,3,0,2024-02-28T14:56:13.914Z,french_367.wav,0,pull,7039,38,3,5,français,m,11,1.1,-14.77542226,0.34158708
