subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
640095c783a33710a484adee,0,0,2024-02-28T14:47:43.210Z,french_355.wav,0,pull,2723,60,5,5,français,m,0,0.0,27.09635225,1.7893255
640095c783a33710a484adee,0,0,2024-02-28T14:47:43.210Z,french_355.wav,0,pull,2723,60,5,5,français,m,1,0.1,-6.29632598,0.04304725
640095c783a33710a484adee,0,0,2024-02-28T14:47:43.210Z,french_355.wav,0,pull,2723,60,5,5,français,m,2,0.2,-7.47224107,1.71755797
640095c783a33710a484adee,0,0,2024-02-28T14:47:43.210Z,french_355.wav,0,pull,2723,60,5,5,français,m,3,0.3,-49.75069509,0.85848381
640095c783a33710a484adee,0,0,2024-02-28T14:47:43.210Z,french_355.wav,0,pull,2723,60,5,5,français,m,4,0.4,-10.14072205,0.71063264
640095c783a33710a484adee,0,0,2024-02-28T14:47:43.210Z,french_355.wav,0,pull,2723,60,5,5,français,m,5,0.5,76.48140099,0.26215974
640095c783a33710a484adee,0,0,2024-02-28T14:47:43.210Z,french_355.wav,0,pull,2723,60,5,5,français,m,6,0.6,23.53863424,0.54805903
640095c783a33710a484adee,0,0,2024-02-28T14:47:43.210Z,french_355.wav,0,pull,2723,60,5,5,français,m,7,0.7,-44.61102767,0.54170824
640095c783a33710a484adee,0,0,2024-02-28T14:47:43.210Z,french_355.wav,0,pull,2723,60,5,5,français,m,8,0.8,-78.52892661,1.88709492
640095c783a33710a484adee,0,0,2024-02-28T14:47:43.210Z,french_355.wav,0,pull,2723,60,5,5,français,m,9,0.9,53.26847569,0.37999428
640095c783a33710a484adee,0,0,2024-02-28T14:47:43.210Z,french_355.wav,0,pull,2723,60,5,5,français,m,10,1.0,-36.05053095,0.14766966
640095c783a33710a484adee,0,0,2024-02-28T14:47:43.210Z,french_355.wav,0,pull,2723,60,5,5,français,m,11,1.1,73.84862681,1.40974217
640095c783a33710a484adee,0,0,2024-02-28T14:47:43.210Z,french_355.wav,0,pull,2723,60,5,5,français,m,12,1.14141667,30.67572751,0.15847185
640095c783a33710a484adee,1,0,2024-02-28T14:47:43.210Z,french_147.wav,0,poule,395,60,5,5,français,m,0,0.0,43.59768472,0.75883139
640095c783a33710a484adee,1,0,2024-02-28T14:47:43.210Z,french_147.wav,0,poule,395,60,5,5,français,m,1,0.1,5.27615481,0.68857604
640095c783a33710a484adee,1,0,2024-02-28T14:47:43.210Z,french_147.wav,0,poule,395,60,5,5,français,m,2,0.2,-44.61195544,1.03649149
640095c783a33710a484adee,1,0,2024-02-28T14:47:43.210Z,french_147.wav,0,poule,395,60,5,5,français,m,3,0.3,-76.96509144,1.25844465
640095c783a33710a484adee,1,0,2024-02-28T14:47:43.210Z,french_147.wav,0,poule,395,60,5,5,français,m,4,0.4,-32.44980634,0.35823479
640095c783a33710a484adee,1,0,2024-02-28T14:47:43.210Z,french_147.wav,0,poule,395,60,5,5,français,m,5,0.5,70.43396506,1.36921243
640095c783a33710a484adee,1,0,2024-02-28T14:47:43.210Z,french_147.wav,0,poule,395,60,5,5,français,m,6,0.6,-38.3254351,1.21356569
640095c783a33710a484adee,1,0,2024-02-28T14:47:43.210Z,french_147.wav,0,poule,395,60,5,5,français,m,7,0.7,52.08578881,0.98986047
640095c783a33710a484adee,1,0,2024-02-28T14:47:43.210Z,french_147.wav,0,poule,395,60,5,5,français,m,8,0.8,-28.17308576,1.9051095
640095c783a33710a484adee,1,0,2024-02-28T14:47:43.210Z,french_147.wav,0,poule,395,60,5,5,français,m,9,0.9,-10.89832162,1.35815009
640095c783a33710a484adee,1,0,2024-02-28T14:47:43.210Z,french_147.wav,0,poule,395,60,5,5,français,m,10,1.0,75.90492901,1.54610858
640095c783a33710a484adee,1,0,2024-02-28T14:47:43.210Z,french_147.wav,0,poule,395,60,5,5,français,m,11,1.1,18.84686186,1.77017923
640095c783a33710a484adee,1,0,2024-02-28T14:47:43.210Z,french_147.wav,0,poule,395,60,5,5,français,m,12,1.14141667,-70.82963066,1.1558003
640095c783a33710a484adee,2,0,2024-02-28T14:47:43.210Z,french_762.wav,0,poule,288,60,5,5,français,m,0,0.0,-58.12229052,0.21129852
