subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
657b128079618c853ed056b4,0,0,2024-02-27T11:20:21.176Z,french_442.wav,0,poule,3599,62,4,5,français,m,0,0.0,59.89348182,1.93338354
657b128079618c853ed056b4,0,0,2024-02-27T11:20:21.176Z,french_442.wav,0,poule,3599,62,4,5,français,m,1,0.1,-90.19745983,0.1221368
657b128079618c853ed056b4,0,0,2024-02-27T11:20:21.176Z,french_442.wav,0,poule,3599,62,4,5,français,m,2,0.2,34.97525188,1.40375233
657b128079618c853ed056b4,0,0,2024-02-27T11:20:21.176Z,french_442.wav,0,poule,3599,62,4,5,français,m,3,0.3,-60.10498495,0.23715052
657b128079618c853ed056b4,0,0,2024-02-27T11:20:21.176Z,french_442.wav,0,poule,3599,62,4,5,français,m,4,0.4,-52.20535883,0.86935067
657b128079618c853ed056b4,0,0,2024-02-27T11:20:21.176Z,french_442.wav,0,poule,3599,62,4,5,français,m,5,0.5,33.32923329,1.40007492
657b128079618c853ed056b4,0,0,2024-02-27T11:20:21.176Z,french_442.wav,0,poule,3599,62,4,5,français,m,6,0.6,-72.02089693,1.87875592
657b128079618c853ed056b4,0,0,2024-02-27T11:20:21.176Z,french_442.wav,0,poule,3599,62,4,5,français,m,7,0.7,15.91732192,1.15703728
657b128079618c853ed056b4,0,0,2024-02-27T11:20:21.176Z,french_442.wav,0,poule,3599,62,4,5,français,m,8,0.8,49.50947125,1.45583236
657b128079618c853ed056b4,0,0,2024-02-27T11:20:21.176Z,french_442.wav,0,poule,3599,62,4,5,français,m,9,0.9,-96.72595223,0.52053121
657b128079618c853ed056b4,0,0,2024-02-27T11:20:21.176Z,french_442.wav,0,poule,3599,62,4,5,français,m,10,1.0,12.6942829,0.18849311
657b128079618c853ed056b4,0,0,2024-02-27T11:20:21.176Z,french_442.wav,0,poule,3599,62,4,5,français,m,11,1.1,-57.11899111,1.67578542
657b128079618c853ed056b4,0,0,2024-02-27T11:20:21.176Z,french_442.wav,0,poule,3599,62,4,5,français,m,12,1.14141667,36.89213251,0.36635536
657b128079618c853ed056b4,1,0,2024-02-27T11:20:21.176Z,french_251.wav,0,poule,1566,62,4,5,français,m,0,0.0,-6.10327237,0.87476983
