subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5bc8dccd0f10750001d70a1c,0,0,2024-02-27T11:17:02.277Z,english_388.wav,0,pill,2428,40,3,5,français,m,0,0.0,17.9760939,0.95494184
5bc8dccd0f10750001d70a1c,0,0,2024-02-27T11:17:02.277Z,english_388.wav,0,pill,2428,40,3,5,français,m,1,0.1,-43.00340989,0.10281418
5bc8dccd0f10750001d70a1c,0,0,2024-02-27T11:17:02.277Z,english_388.wav,0,pill,2428,40,3,5,français,m,2,0.2,-30.55059063,1.52164503
5bc8dccd0f10750001d70a1c,0,0,2024-02-27T11:17:02.277Z,english_388.wav,0,pill,2428,40,3,5,français,m,3,0.3,-92.55876504,1.24827519
5bc8dccd0f10750001d70a1c,0,0,2024-02-27T11:17:02.277Z,english_388.wav,0,pill,2428,40,3,5,français,m,4,0.32341667,-64.21175873,0.08180338
5bc8dccd0f10750001d70a1c,1,0,2024-02-27T11:17:02.277Z,english_62.wav,0,pill,2148,40,3,5,français,m,0,0.0,17.28527913,1.12530616
5bc8dccd0f10750001d70a1c,1,0,2024-02-27T11:17:02.277Z,english_62.wav,0,pill,2148,40,3,5,français,m,1,0.1,8.63936001,1.09357984
5bc8dccd0f10750001d70a1c,1,0,2024-02-27T11:17:02.277Z,english_62.wav,0,pill,2148,40,3,5,français,m,2,0.2,-69.0074729,1.07648496
5bc8dccd0f10750001d70a1c,1,0,2024-02-27T11:17:02.277Z,english_62.wav,0,pill,2148,40,3,5,français,m,3,0.3,-18.85502465,0.36768209
5bc8dccd0f10750001d70a1c,1,0,2024-02-27T11:17:02.277Z,english_62.wav,0,pill,2148,40,3,5,français,m,4,0.32341667,59.46739627,0.39033463
5bc8dccd0f10750001d70a1c,2,0,2024-02-27T11:17:02.277Z,english_916.wav,0,pill,1048,40,3,5,français,m,0,0.0,-50.62314768,0.5519299
5bc8dccd0f10750001d70a1c,2,0,2024-02-27T11:17:02.277Z,english_916.wav,0,pill,1048,40,3,5,français,m,1,0.1,-52.55300278,1.16723516
5bc8dccd0f10750001d70a1c,2,0,2024-02-27T11:17:02.277Z,english_916.wav,0,pill,1048,40,3,5,français,m,2,0.2,54.298582,1.72376738
5bc8dccd0f10750001d70a1c,2,0,2024-02-27T11:17:02.277Z,english_916.wav,0,pill,1048,40,3,5,français,m,3,0.3,-23.99088857,0.41493786
5bc8dccd0f10750001d70a1c,2,0,2024-02-27T11:17:02.277Z,english_916.wav,0,pill,1048,40,3,5,français,m,4,0.32341667,4.88948607,1.97918138
5bc8dccd0f10750001d70a1c,3,0,2024-02-27T11:17:02.277Z,english_40.wav,0,pill,998,40,3,5,français,m,0,0.0,20.98315678,0.33544846
5bc8dccd0f10750001d70a1c,3,0,2024-02-27T11:17:02.277Z,english_40.wav,0,pill,998,40,3,5,français,m,1,0.1,80.64974175,0.81764939
5bc8dccd0f10750001d70a1c,3,0,2024-02-27T11:17:02.277Z,english_40.wav,0,pill,998,40,3,5,français,m,2,0.2,5.38930518,0.17548883
5bc8dccd0f10750001d70a1c,3,0,2024-02-27T11:17:02.277Z,english_40.wav,0,pill,998,40,3,5,français,m,3,0.3,18.83593916,0.83674413
5bc8dccd0f10750001d70a1c,3,0,2024-02-27T11:17:02.277Z,english_40.wav,0,pill,998,40,3,5,français,m,4,0.32341667,-14.62145671,0.80890384
5bc8dccd0f10750001d70a1c,4,0,2024-02-27T11:17:02.277Z,english_768.wav,0,pill,481,40,3,5,français,m,0,0.0,-28.93145359,1.5002074
5bc8dccd0f10750001d70a1c,4,0,2024-02-27T11:17:02.277Z,english_768.wav,0,pill,481,40,3,5,français,m,1,0.1,59.49166151,1.15432208
5bc8dccd0f10750001d70a1c,4,0,2024-02-27T11:17:02.277Z,english_768.wav,0,pill,481,40,3,5,français,m,2,0.2,41.87955621,0.01731471
5bc8dccd0f10750001d70a1c,4,0,2024-02-27T11:17:02.277Z,english_768.wav,0,pill,481,40,3,5,français,m,3,0.3,-92.17589111,0.98337229
5bc8dccd0f10750001d70a1c,4,0,2024-02-27T11:17:02.277Z,english_768.wav,0,pill,481,40,3,5,français,m,4,0.32341667,15.2364545,0.4381055
5bc8dccd0f10750001d70a1c,5,0,2024-02-27T11:17:02.277Z,english_345.wav,0,pill,644,40,3,5,français,m,0,0.0,-46.00579497,1.58751342
5bc8dccd0f10750001d70a1c,5,0,2024-02-27T11:17:02.277Z,english_345.wav,0,pill,644,40,3,5,français,m,1,0.1,-45.5805492,1.0202646
5bc8dccd0f10750001d70a1c,5,0,2024-02-27T11:17:02.277Z,english_345.wav,0,pill,644,40,3,5,français,m,2,0.2,-14.04378539,0.61561299
5bc8dccd0f10750001d70a1c,5,0,2024-02-27T11:17:02.277Z,english_345.wav,0,pill,644,40,3,5,français,m,3,0.3,63.72413351,1.21547564
5bc8dccd0f10750001d70a1c,5,0,2024-02-27T11:17:02.277Z,english_345.wav,0,pill,644,40,3,5,français,m,4,0.32341667,18.03717792,1.47127253
5bc8dccd0f10750001d70a1c,6,0,2024-02-27T11:17:02.277Z,english_728.wav,0,peel,1156,40,3,5,français,m,0,0.0,-6.4565561,1.7247049
5bc8dccd0f10750001d70a1c,6,0,2024-02-27T11:17:02.277Z,english_728.wav,0,peel,1156,40,3,5,français,m,1,0.1,2.02882612,1.95158608
5bc8dccd0f10750001d70a1c,6,0,2024-02-27T11:17:02.277Z,english_728.wav,0,peel,1156,40,3,5,français,m,2,0.2,-40.29513079,0.21085377
5bc8dccd0f10750001d70a1c,6,0,2024-02-27T11:17:02.277Z,english_728.wav,0,peel,1156,40,3,5,français,m,3,0.3,-29.37287389,0.85434083
5bc8dccd0f10750001d70a1c,6,0,2024-02-27T11:17:02.277Z,english_728.wav,0,peel,1156,40,3,5,français,m,4,0.32341667,-32.17490136,1.52436666
5bc8dccd0f10750001d70a1c,7,0,2024-02-27T11:17:02.277Z,english_749.wav,0,peel,1012,40,3,5,français,m,0,0.0,-84.66020389,1.10062914
5bc8dccd0f10750001d70a1c,7,0,2024-02-27T11:17:02.277Z,english_749.wav,0,peel,1012,40,3,5,français,m,1,0.1,45.42505651,0.81865822
5bc8dccd0f10750001d70a1c,7,0,2024-02-27T11:17:02.277Z,english_749.wav,0,peel,1012,40,3,5,français,m,2,0.2,27.47623271,1.25164699
5bc8dccd0f10750001d70a1c,7,0,2024-02-27T11:17:02.277Z,english_749.wav,0,peel,1012,40,3,5,français,m,3,0.3,44.62305857,1.77685805
5bc8dccd0f10750001d70a1c,7,0,2024-02-27T11:17:02.277Z,english_749.wav,0,peel,1012,40,3,5,français,m,4,0.32341667,-87.62087265,0.97343419
5bc8dccd0f10750001d70a1c,8,0,2024-02-27T11:17:02.277Z,english_457.wav,0,peel,570,40,3,5,français,m,0,0.0,-73.30847947,0.35525387
5bc8dccd0f10750001d70a1c,8,0,2024-02-27T11:17:02.277Z,english_457.wav,0,peel,570,40,3,5,français,m,1,0.1,-25.74413936,0.90483023
5bc8dccd0f10750001d70a1c,8,0,2024-02-27T11:17:02.277Z,english_457.wav,0,peel,570,40,3,5,français,m,2,0.2,8.82772976,1.30004432
5bc8dccd0f10750001d70a1c,8,0,2024-02-27T11:17:02.277Z,english_457.wav,0,peel,570,40,3,5,français,m,3,0.3,-2.30416086,0.93422762
5bc8dccd0f10750001d70a1c,8,0,2024-02-27T11:17:02.277Z,english_457.wav,0,peel,570,40,3,5,français,m,4,0.32341667,-34.04493945,1.31504388
5bc8dccd0f10750001d70a1c,9,0,2024-02-27T11:17:02.277Z,english_421.wav,0,peel,404,40,3,5,français,m,0,0.0,25.39012861,1.47358925
5bc8dccd0f10750001d70a1c,9,0,2024-02-27T11:17:02.277Z,english_421.wav,0,peel,404,40,3,5,français,m,1,0.1,49.11153532,1.20920516
5bc8dccd0f10750001d70a1c,9,0,2024-02-27T11:17:02.277Z,english_421.wav,0,peel,404,40,3,5,français,m,2,0.2,38.93723883,0.72174872
5bc8dccd0f10750001d70a1c,9,0,2024-02-27T11:17:02.277Z,english_421.wav,0,peel,404,40,3,5,français,m,3,0.3,-9.34286459,0.24556907
5bc8dccd0f10750001d70a1c,9,0,2024-02-27T11:17:02.277Z,english_421.wav,0,peel,404,40,3,5,français,m,4,0.32341667,-9.28476392,0.87006143
5bc8dccd0f10750001d70a1c,10,0,2024-02-27T11:17:02.277Z,english_993.wav,0,pill,174,40,3,5,français,m,0,0.0,-66.15449332,1.17508471
5bc8dccd0f10750001d70a1c,10,0,2024-02-27T11:17:02.277Z,english_993.wav,0,pill,174,40,3,5,français,m,1,0.1,33.08083728,0.94744004
