subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5c3fa4c5b1b52400013ba707,0,0,2024-02-27T11:08:09.835Z,english_624.wav,0,peel,4156,24,4,5,français,m,0,0.0,-66.94889137,0.79130031
5c3fa4c5b1b52400013ba707,0,0,2024-02-27T11:08:09.835Z,english_624.wav,0,peel,4156,24,4,5,français,m,1,0.1,-6.87427926,1.85178888
5c3fa4c5b1b52400013ba707,0,0,2024-02-27T11:08:09.835Z,english_624.wav,0,peel,4156,24,4,5,français,m,2,0.2,69.52298075,0.79988954
5c3fa4c5b1b52400013ba707,0,0,2024-02-27T11:08:09.835Z,english_624.wav,0,peel,4156,24,4,5,français,m,3,0.3,-45.26015132,0.87521033
5c3fa4c5b1b52400013ba707,0,0,2024-02-27T11:08:09.835Z,english_624.wav,0,peel,4156,24,4,5,français,m,4,0.32341667,-50.37935108,1.50754026
5c3fa4c5b1b52400013ba707,1,0,2024-02-27T11:08:09.835Z,english_323.wav,0,peel,9416,24,4,5,français,m,0,0.0,92.33188111,1.59668922
5c3fa4c5b1b52400013ba707,1,0,2024-02-27T11:08:09.835Z,english_323.wav,0,peel,9416,24,4,5,français,m,1,0.1,4.22577609,1.75306106
5c3fa4c5b1b52400013ba707,1,0,2024-02-27T11:08:09.835Z,english_323.wav,0,peel,9416,24,4,5,français,m,2,0.2,-35.48560344,1.06071567
5c3fa4c5b1b52400013ba707,1,0,2024-02-27T11:08:09.835Z,english_323.wav,0,peel,9416,24,4,5,français,m,3,0.3,7.73763769,1.9328625
5c3fa4c5b1b52400013ba707,1,0,2024-02-27T11:08:09.835Z,english_323.wav,0,peel,9416,24,4,5,français,m,4,0.32341667,55.62458321,1.27347405
5c3fa4c5b1b52400013ba707,2,0,2024-02-27T11:08:09.835Z,english_816.wav,0,peel,2471,24,4,5,français,m,0,0.0,-5.39935373,0.27372013
5c3fa4c5b1b52400013ba707,2,0,2024-02-27T11:08:09.835Z,english_816.wav,0,peel,2471,24,4,5,français,m,1,0.1,-58.12348851,1.23542608
5c3fa4c5b1b52400013ba707,2,0,2024-02-27T11:08:09.835Z,english_816.wav,0,peel,2471,24,4,5,français,m,2,0.2,-97.19740724,1.6956732
