subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5cfd119645e1a20001883ee6,0,0,2024-02-27T10:58:40.854Z,english_497.wav,0,peel,2451,27,5,5,français,f,0,0.0,3.92391523,0.25005623
5cfd119645e1a20001883ee6,0,0,2024-02-27T10:58:40.854Z,english_497.wav,0,peel,2451,27,5,5,français,f,1,0.1,-39.44421726,1.18920756
5cfd119645e1a20001883ee6,0,0,2024-02-27T10:58:40.854Z,english_497.wav,0,peel,2451,27,5,5,français,f,2,0.2,-70.21843081,1.75478959
5cfd119645e1a20001883ee6,0,0,2024-02-27T10:58:40.854Z,english_497.wav,0,peel,2451,27,5,5,français,f,3,0.3,-95.13281119,0.47878412
5cfd119645e1a20001883ee6,0,0,2024-02-27T10:58:40.854Z,english_497.wav,0,peel,2451,27,5,5,français,f,4,0.32341667,-23.7064256,0.88125504
5cfd119645e1a20001883ee6,1,0,2024-02-27T10:58:40.854Z,english_478.wav,0,peel,1149,27,5,5,français,f,0,0.0,-70.9954821,0.91489342
5cfd119645e1a20001883ee6,1,0,2024-02-27T10:58:40.854Z,english_478.wav,0,peel,1149,27,5,5,français,f,1,0.1,18.763036,1.0325944
5cfd119645e1a20001883ee6,1,0,2024-02-27T10:58:40.854Z,english_478.wav,0,peel,1149,27,5,5,français,f,2,0.2,84.30682023,1.47139294
5cfd119645e1a20001883ee6,1,0,2024-02-27T10:58:40.854Z,english_478.wav,0,peel,1149,27,5,5,français,f,3,0.3,96.70790152,0.31719256
5cfd119645e1a20001883ee6,1,0,2024-02-27T10:58:40.854Z,english_478.wav,0,peel,1149,27,5,5,français,f,4,0.32341667,-65.75430749,1.1469235
5cfd119645e1a20001883ee6,2,0,2024-02-27T10:58:40.854Z,english_190.wav,0,pill,1379,27,5,5,français,f,0,0.0,81.66607819,0.126715216
5cfd119645e1a20001883ee6,2,0,2024-02-27T10:58:40.854Z,english_190.wav,0,pill,1379,27,5,5,français,f,1,0.1,-14.16938067,0.000178349903
5cfd119645e1a20001883ee6,2,0,2024-02-27T10:58:40.854Z,english_190.wav,0,pill,1379,27,5,5,français,f,2,0.2,15.7443745,1.35192229
5cfd119645e1a20001883ee6,2,0,2024-02-27T10:58:40.854Z,english_190.wav,0,pill,1379,27,5,5,français,f,3,0.3,85.77694093,1.08905811
5cfd119645e1a20001883ee6,2,0,2024-02-27T10:58:40.854Z,english_190.wav,0,pill,1379,27,5,5,français,f,4,0.32341667,33.21115004,1.75580408
5cfd119645e1a20001883ee6,3,0,2024-02-27T10:58:40.854Z,english_860.wav,0,peel,789,27,5,5,français,f,0,0.0,10.25066679,1.47817545
5cfd119645e1a20001883ee6,3,0,2024-02-27T10:58:40.854Z,english_860.wav,0,peel,789,27,5,5,français,f,1,0.1,55.87909831,1.32859058
5cfd119645e1a20001883ee6,3,0,2024-02-27T10:58:40.854Z,english_860.wav,0,peel,789,27,5,5,français,f,2,0.2,81.09373959,0.99201561
5cfd119645e1a20001883ee6,3,0,2024-02-27T10:58:40.854Z,english_860.wav,0,peel,789,27,5,5,français,f,3,0.3,15.52286826,0.3312489
5cfd119645e1a20001883ee6,3,0,2024-02-27T10:58:40.854Z,english_860.wav,0,peel,789,27,5,5,français,f,4,0.32341667,58.18702512,0.66001743
