subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5eae48f0f3540c5177f3474c,0,0,2024-02-27T12:00:06.669Z,english_530.wav,0,pill,8175,48,4,5,français,m,0,0.0,21.55057906,0.25130805
5eae48f0f3540c5177f3474c,0,0,2024-02-27T12:00:06.669Z,english_530.wav,0,pill,8175,48,4,5,français,m,1,0.1,-20.17265513,0.96020899
5eae48f0f3540c5177f3474c,0,0,2024-02-27T12:00:06.669Z,english_530.wav,0,pill,8175,48,4,5,français,m,2,0.2,-52.07974762,1.55252741
5eae48f0f3540c5177f3474c,0,0,2024-02-27T12:00:06.669Z,english_530.wav,0,pill,8175,48,4,5,français,m,3,0.3,87.36384387,1.19622655
5eae48f0f3540c5177f3474c,0,0,2024-02-27T12:00:06.669Z,english_530.wav,0,pill,8175,48,4,5,français,m,4,0.32341667,-72.92256984,0.75880724
5eae48f0f3540c5177f3474c,1,0,2024-02-27T12:00:06.669Z,english_674.wav,0,peel,14130,48,4,5,français,m,0,0.0,-38.60253285,0.25488683
5eae48f0f3540c5177f3474c,1,0,2024-02-27T12:00:06.669Z,english_674.wav,0,peel,14130,48,4,5,français,m,1,0.1,46.14948962,1.80679583
5eae48f0f3540c5177f3474c,1,0,2024-02-27T12:00:06.669Z,english_674.wav,0,peel,14130,48,4,5,français,m,2,0.2,-49.76414787,1.59420413
5eae48f0f3540c5177f3474c,1,0,2024-02-27T12:00:06.669Z,english_674.wav,0,peel,14130,48,4,5,français,m,3,0.3,-66.16492387,1.25714797
5eae48f0f3540c5177f3474c,1,0,2024-02-27T12:00:06.669Z,english_674.wav,0,peel,14130,48,4,5,français,m,4,0.32341667,28.37583826,1.20557216
5eae48f0f3540c5177f3474c,2,0,2024-02-27T12:00:06.669Z,english_219.wav,0,peel,2495,48,4,5,français,m,0,0.0,38.40040381,1.09142553
5eae48f0f3540c5177f3474c,2,0,2024-02-27T12:00:06.669Z,english_219.wav,0,peel,2495,48,4,5,français,m,1,0.1,-26.23926727,0.5740428
5eae48f0f3540c5177f3474c,2,0,2024-02-27T12:00:06.669Z,english_219.wav,0,peel,2495,48,4,5,français,m,2,0.2,-57.67558578,1.19056911
5eae48f0f3540c5177f3474c,2,0,2024-02-27T12:00:06.669Z,english_219.wav,0,peel,2495,48,4,5,français,m,3,0.3,50.56926795,1.87089358
5eae48f0f3540c5177f3474c,2,0,2024-02-27T12:00:06.669Z,english_219.wav,0,peel,2495,48,4,5,français,m,4,0.32341667,64.39220397,1.06933149
5eae48f0f3540c5177f3474c,3,0,2024-02-27T12:00:06.669Z,english_281.wav,0,pill,2334,48,4,5,français,m,0,0.0,-55.42099824,1.64310908
5eae48f0f3540c5177f3474c,3,0,2024-02-27T12:00:06.669Z,english_281.wav,0,pill,2334,48,4,5,français,m,1,0.1,30.44020676,0.76997124
5eae48f0f3540c5177f3474c,3,0,2024-02-27T12:00:06.669Z,english_281.wav,0,pill,2334,48,4,5,français,m,2,0.2,53.34739709,0.1940809
5eae48f0f3540c5177f3474c,3,0,2024-02-27T12:00:06.669Z,english_281.wav,0,pill,2334,48,4,5,français,m,3,0.3,-32.26512488,0.25794937
5eae48f0f3540c5177f3474c,3,0,2024-02-27T12:00:06.669Z,english_281.wav,0,pill,2334,48,4,5,français,m,4,0.32341667,-59.86883114,1.27043487
5eae48f0f3540c5177f3474c,4,0,2024-02-27T12:00:06.669Z,english_303.wav,0,peel,1224,48,4,5,français,m,0,0.0,67.00540241,1.22520816
5eae48f0f3540c5177f3474c,4,0,2024-02-27T12:00:06.669Z,english_303.wav,0,peel,1224,48,4,5,français,m,1,0.1,32.95821842,1.22732479
5eae48f0f3540c5177f3474c,4,0,2024-02-27T12:00:06.669Z,english_303.wav,0,peel,1224,48,4,5,français,m,2,0.2,-23.67517146,0.54923068
5eae48f0f3540c5177f3474c,4,0,2024-02-27T12:00:06.669Z,english_303.wav,0,peel,1224,48,4,5,français,m,3,0.3,-66.94926695,0.8977578
5eae48f0f3540c5177f3474c,4,0,2024-02-27T12:00:06.669Z,english_303.wav,0,peel,1224,48,4,5,français,m,4,0.32341667,65.71723135,1.41807679
5eae48f0f3540c5177f3474c,5,0,2024-02-27T12:00:06.669Z,english_147.wav,0,peel,1283,48,4,5,français,m,0,0.0,-14.37625717,1.08714974
5eae48f0f3540c5177f3474c,5,0,2024-02-27T12:00:06.669Z,english_147.wav,0,peel,1283,48,4,5,français,m,1,0.1,-48.99147792,1.05600262
5eae48f0f3540c5177f3474c,5,0,2024-02-27T12:00:06.669Z,english_147.wav,0,peel,1283,48,4,5,français,m,2,0.2,-76.025031,0.62193731
5eae48f0f3540c5177f3474c,5,0,2024-02-27T12:00:06.669Z,english_147.wav,0,peel,1283,48,4,5,français,m,3,0.3,-4.271985,1.23272935
5eae48f0f3540c5177f3474c,5,0,2024-02-27T12:00:06.669Z,english_147.wav,0,peel,1283,48,4,5,français,m,4,0.32341667,90.36670579,0.90867663
5eae48f0f3540c5177f3474c,6,0,2024-02-27T12:00:06.669Z,english_788.wav,0,peel,857,48,4,5,français,m,0,0.0,-93.79628683,0.67330318
5eae48f0f3540c5177f3474c,6,0,2024-02-27T12:00:06.669Z,english_788.wav,0,peel,857,48,4,5,français,m,1,0.1,-45.29703147,1.33385595
5eae48f0f3540c5177f3474c,6,0,2024-02-27T12:00:06.669Z,english_788.wav,0,peel,857,48,4,5,français,m,2,0.2,-46.01001772,1.35248941
5eae48f0f3540c5177f3474c,6,0,2024-02-27T12:00:06.669Z,english_788.wav,0,peel,857,48,4,5,français,m,3,0.3,-56.6729179,1.33220146
5eae48f0f3540c5177f3474c,6,0,2024-02-27T12:00:06.669Z,english_788.wav,0,peel,857,48,4,5,français,m,4,0.32341667,51.29020462,1.32468206
5eae48f0f3540c5177f3474c,7,0,2024-02-27T12:00:06.669Z,english_719.wav,0,peel,699,48,4,5,français,m,0,0.0,-32.14306232,1.4431753
5eae48f0f3540c5177f3474c,7,0,2024-02-27T12:00:06.669Z,english_719.wav,0,peel,699,48,4,5,français,m,1,0.1,-81.40439332,0.46175707
5eae48f0f3540c5177f3474c,7,0,2024-02-27T12:00:06.669Z,english_719.wav,0,peel,699,48,4,5,français,m,2,0.2,-20.1172293,1.86886769
