subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
6131fce64995c75f73f6d46e,0,0,2024-02-27T12:46:54.785Z,english_499.wav,0,pill,11171,34,4,5,français,m,0,0.0,-62.75547094,0.4212983
6131fce64995c75f73f6d46e,0,0,2024-02-27T12:46:54.785Z,english_499.wav,0,pill,11171,34,4,5,français,m,1,0.1,28.73361796,1.54082224
6131fce64995c75f73f6d46e,0,0,2024-02-27T12:46:54.785Z,english_499.wav,0,pill,11171,34,4,5,français,m,2,0.2,-71.86053711,1.07919976
6131fce64995c75f73f6d46e,0,0,2024-02-27T12:46:54.785Z,english_499.wav,0,pill,11171,34,4,5,français,m,3,0.3,-44.40399931,1.20425095
6131fce64995c75f73f6d46e,0,0,2024-02-27T12:46:54.785Z,english_499.wav,0,pill,11171,34,4,5,français,m,4,0.32341667,-2.72335033,0.4618338
6131fce64995c75f73f6d46e,1,0,2024-02-27T12:46:54.785Z,english_886.wav,0,peel,1443,34,4,5,français,m,0,0.0,52.0334205,0.43451348
6131fce64995c75f73f6d46e,1,0,2024-02-27T12:46:54.785Z,english_886.wav,0,peel,1443,34,4,5,français,m,1,0.1,-34.60142464,1.57387994
6131fce64995c75f73f6d46e,1,0,2024-02-27T12:46:54.785Z,english_886.wav,0,peel,1443,34,4,5,français,m,2,0.2,77.69993065,1.05416836
6131fce64995c75f73f6d46e,1,0,2024-02-27T12:46:54.785Z,english_886.wav,0,peel,1443,34,4,5,français,m,3,0.3,29.08950905,0.32554246
6131fce64995c75f73f6d46e,1,0,2024-02-27T12:46:54.785Z,english_886.wav,0,peel,1443,34,4,5,français,m,4,0.32341667,-98.8324779,1.85669509
6131fce64995c75f73f6d46e,2,0,2024-02-27T12:46:54.785Z,english_751.wav,0,pill,547,34,4,5,français,m,0,0.0,45.03630887,0.43450625
6131fce64995c75f73f6d46e,2,0,2024-02-27T12:46:54.785Z,english_751.wav,0,pill,547,34,4,5,français,m,1,0.1,46.59103402,1.30072592
6131fce64995c75f73f6d46e,2,0,2024-02-27T12:46:54.785Z,english_751.wav,0,pill,547,34,4,5,français,m,2,0.2,-30.90440374,1.20093797
