subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
6151f078d738db7865f9a6bb,0,0,2024-02-27T12:01:10.673Z,english_353.wav,0,pill,4421,21,5,5,français,f,0,0.0,51.44050484,0.16518243
6151f078d738db7865f9a6bb,0,0,2024-02-27T12:01:10.673Z,english_353.wav,0,pill,4421,21,5,5,français,f,1,0.1,-8.32491594,1.32533476
6151f078d738db7865f9a6bb,0,0,2024-02-27T12:01:10.673Z,english_353.wav,0,pill,4421,21,5,5,français,f,2,0.2,-53.32966552,0.41923861
6151f078d738db7865f9a6bb,0,0,2024-02-27T12:01:10.673Z,english_353.wav,0,pill,4421,21,5,5,français,f,3,0.3,68.29246543,1.87374553
6151f078d738db7865f9a6bb,0,0,2024-02-27T12:01:10.673Z,english_353.wav,0,pill,4421,21,5,5,français,f,4,0.32341667,-32.22441747,1.13071195
6151f078d738db7865f9a6bb,1,0,2024-02-27T12:01:10.673Z,english_270.wav,0,peel,1940,21,5,5,français,f,0,0.0,-54.89328754,1.02368747
6151f078d738db7865f9a6bb,1,0,2024-02-27T12:01:10.673Z,english_270.wav,0,peel,1940,21,5,5,français,f,1,0.1,-41.12345733,1.74263534
6151f078d738db7865f9a6bb,1,0,2024-02-27T12:01:10.673Z,english_270.wav,0,peel,1940,21,5,5,français,f,2,0.2,79.03328036,0.45342006
6151f078d738db7865f9a6bb,1,0,2024-02-27T12:01:10.673Z,english_270.wav,0,peel,1940,21,5,5,français,f,3,0.3,-87.71335894,1.29911503
6151f078d738db7865f9a6bb,1,0,2024-02-27T12:01:10.673Z,english_270.wav,0,peel,1940,21,5,5,français,f,4,0.32341667,-48.20373708,0.95859349
6151f078d738db7865f9a6bb,2,0,2024-02-27T12:01:10.673Z,english_369.wav,0,peel,1137,21,5,5,français,f,0,0.0,-12.14177447,1.64093778
6151f078d738db7865f9a6bb,2,0,2024-02-27T12:01:10.673Z,english_369.wav,0,peel,1137,21,5,5,français,f,1,0.1,76.29699147,1.47479283
6151f078d738db7865f9a6bb,2,0,2024-02-27T12:01:10.673Z,english_369.wav,0,peel,1137,21,5,5,français,f,2,0.2,-85.49552365,1.31757561
6151f078d738db7865f9a6bb,2,0,2024-02-27T12:01:10.673Z,english_369.wav,0,peel,1137,21,5,5,français,f,3,0.3,-68.94608988,1.92077404
6151f078d738db7865f9a6bb,2,0,2024-02-27T12:01:10.673Z,english_369.wav,0,peel,1137,21,5,5,français,f,4,0.32341667,40.32615784,1.4628922
6151f078d738db7865f9a6bb,3,0,2024-02-27T12:01:10.673Z,english_389.wav,0,peel,652,21,5,5,français,f,0,0.0,36.16487693,1.25286497
6151f078d738db7865f9a6bb,3,0,2024-02-27T12:01:10.673Z,english_389.wav,0,peel,652,21,5,5,français,f,1,0.1,-97.36259769,1.31396789
6151f078d738db7865f9a6bb,3,0,2024-02-27T12:01:10.673Z,english_389.wav,0,peel,652,21,5,5,français,f,2,0.2,24.50411951,1.84060757
6151f078d738db7865f9a6bb,3,0,2024-02-27T12:01:10.673Z,english_389.wav,0,peel,652,21,5,5,français,f,3,0.3,43.1395046,0.64046023
6151f078d738db7865f9a6bb,3,0,2024-02-27T12:01:10.673Z,english_389.wav,0,peel,652,21,5,5,français,f,4,0.32341667,85.14605982,1.47992762
6151f078d738db7865f9a6bb,4,0,2024-02-27T12:01:10.673Z,english_937.wav,0,peel,414,21,5,5,français,f,0,0.0,76.77394395,1.55370699
6151f078d738db7865f9a6bb,4,0,2024-02-27T12:01:10.673Z,english_937.wav,0,peel,414,21,5,5,français,f,1,0.1,49.33576264,1.82028848
6151f078d738db7865f9a6bb,4,0,2024-02-27T12:01:10.673Z,english_937.wav,0,peel,414,21,5,5,français,f,2,0.2,-87.39935237,1.42487505
6151f078d738db7865f9a6bb,4,0,2024-02-27T12:01:10.673Z,english_937.wav,0,peel,414,21,5,5,français,f,3,0.3,11.02170053,0.87896062
6151f078d738db7865f9a6bb,4,0,2024-02-27T12:01:10.673Z,english_937.wav,0,peel,414,21,5,5,français,f,4,0.32341667,91.99381322,0.96516852
6151f078d738db7865f9a6bb,5,0,2024-02-27T12:01:10.673Z,english_884.wav,0,peel,3356,21,5,5,français,f,0,0.0,77.1498115,1.83268558
6151f078d738db7865f9a6bb,5,0,2024-02-27T12:01:10.673Z,english_884.wav,0,peel,3356,21,5,5,français,f,1,0.1,10.32602389,0.76817862
6151f078d738db7865f9a6bb,5,0,2024-02-27T12:01:10.673Z,english_884.wav,0,peel,3356,21,5,5,français,f,2,0.2,4.15464736,1.59331573
6151f078d738db7865f9a6bb,5,0,2024-02-27T12:01:10.673Z,english_884.wav,0,peel,3356,21,5,5,français,f,3,0.3,21.19252889,0.58913169
6151f078d738db7865f9a6bb,5,0,2024-02-27T12:01:10.673Z,english_884.wav,0,peel,3356,21,5,5,français,f,4,0.32341667,-7.11336122,0.81393531
6151f078d738db7865f9a6bb,6,0,2024-02-27T12:01:10.673Z,english_783.wav,0,pill,1121,21,5,5,français,f,0,0.0,23.05268069,1.49549247
6151f078d738db7865f9a6bb,6,0,2024-02-27T12:01:10.673Z,english_783.wav,0,pill,1121,21,5,5,français,f,1,0.1,9.36005369,0.13797177
6151f078d738db7865f9a6bb,6,0,2024-02-27T12:01:10.673Z,english_783.wav,0,pill,1121,21,5,5,français,f,2,0.2,62.81522218,1.80236654
6151f078d738db7865f9a6bb,6,0,2024-02-27T12:01:10.673Z,english_783.wav,0,pill,1121,21,5,5,français,f,3,0.3,67.71456376,0.33800471
6151f078d738db7865f9a6bb,6,0,2024-02-27T12:01:10.673Z,english_783.wav,0,pill,1121,21,5,5,français,f,4,0.32341667,77.96788237,1.97708045
