subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
640095c783a33710a484adee,0,0,2024-02-27T11:18:00.776Z,english_157.wav,0,peel,10385,60,5,5,français,m,0,0.0,-74.01864956,1.10168906
640095c783a33710a484adee,0,0,2024-02-27T11:18:00.776Z,english_157.wav,0,peel,10385,60,5,5,français,m,1,0.1,1.44529667,1.71225259
640095c783a33710a484adee,0,0,2024-02-27T11:18:00.776Z,english_157.wav,0,peel,10385,60,5,5,français,m,2,0.2,-42.76251303,1.71884561
640095c783a33710a484adee,0,0,2024-02-27T11:18:00.776Z,english_157.wav,0,peel,10385,60,5,5,français,m,3,0.3,-49.01483239,1.47822148
640095c783a33710a484adee,0,0,2024-02-27T11:18:00.776Z,english_157.wav,0,peel,10385,60,5,5,français,m,4,0.32341667,-96.85595697,1.36273156
640095c783a33710a484adee,1,0,2024-02-27T11:18:00.776Z,english_292.wav,0,pill,1616,60,5,5,français,m,0,0.0,-39.45275529,0.85174507
640095c783a33710a484adee,1,0,2024-02-27T11:18:00.776Z,english_292.wav,0,pill,1616,60,5,5,français,m,1,0.1,-35.03464337,0.73996191
640095c783a33710a484adee,1,0,2024-02-27T11:18:00.776Z,english_292.wav,0,pill,1616,60,5,5,français,m,2,0.2,31.68370279,1.42892595
640095c783a33710a484adee,1,0,2024-02-27T11:18:00.776Z,english_292.wav,0,pill,1616,60,5,5,français,m,3,0.3,-53.75991965,0.04968332
640095c783a33710a484adee,1,0,2024-02-27T11:18:00.776Z,english_292.wav,0,pill,1616,60,5,5,français,m,4,0.32341667,12.49992629,0.58931553
640095c783a33710a484adee,2,0,2024-02-27T11:18:00.776Z,english_376.wav,0,pill,430,60,5,5,français,m,0,0.0,-10.66231765,0.83936518
640095c783a33710a484adee,2,0,2024-02-27T11:18:00.776Z,english_376.wav,0,pill,430,60,5,5,français,m,1,0.1,-53.95799634,1.7265478
640095c783a33710a484adee,2,0,2024-02-27T11:18:00.776Z,english_376.wav,0,pill,430,60,5,5,français,m,2,0.2,-44.60014177,0.44309389
640095c783a33710a484adee,2,0,2024-02-27T11:18:00.776Z,english_376.wav,0,pill,430,60,5,5,français,m,3,0.3,-84.32777745,1.91772458
640095c783a33710a484adee,2,0,2024-02-27T11:18:00.776Z,english_376.wav,0,pill,430,60,5,5,français,m,4,0.32341667,-2.76179289,0.76255227
640095c783a33710a484adee,3,0,2024-02-27T11:18:00.776Z,english_514.wav,0,pill,852,60,5,5,français,m,0,0.0,-61.65105701,1.12509033
640095c783a33710a484adee,3,0,2024-02-27T11:18:00.776Z,english_514.wav,0,pill,852,60,5,5,français,m,1,0.1,49.84264816,0.78701739
640095c783a33710a484adee,3,0,2024-02-27T11:18:00.776Z,english_514.wav,0,pill,852,60,5,5,français,m,2,0.2,14.14440898,0.37052689
640095c783a33710a484adee,3,0,2024-02-27T11:18:00.776Z,english_514.wav,0,pill,852,60,5,5,français,m,3,0.3,-30.10662908,1.42053426
640095c783a33710a484adee,3,0,2024-02-27T11:18:00.776Z,english_514.wav,0,pill,852,60,5,5,français,m,4,0.32341667,90.48337022,1.94621598
