subj,sex,age,language,english,french,native_lang,date,practice,block,trial,stim,pitch,stretch,response,rt
8723415159,f,25,english,4,5,french,2024-02-01 10:33:14.584194,True,0,0,sounds\english\audio/english_562.wav,"[[  0.         -40.22672309]
 [  0.1         77.961849  ]
 [  0.2         25.52463525]
 [  0.3         84.62788358]
 [  0.32341667 -53.67427145]]","[[0.         0.64031882]
 [0.1        0.7637006 ]
 [0.2        0.87632482]
 [0.3        0.98972612]
 [0.32341667 0.74010285]]",1,1.676
8723415159,f,25,english,4,5,french,2024-02-01 10:33:14.584194,True,0,1,sounds\english\audio/english_553.wav,"[[  0.         -18.85071283]
 [  0.1         56.72439372]
 [  0.2        -32.51510613]
 [  0.3        -81.56708954]
 [  0.32341667  42.80590219]]","[[0.         1.30647824]
 [0.1        1.55205535]
 [0.2        1.79127341]
 [0.3        0.1795284 ]
 [0.32341667 0.48805839]]",1,0.363
8723415159,f,25,english,4,5,french,2024-02-01 10:33:14.584194,True,0,2,sounds\english\audio/english_949.wav,"[[  0.          48.32946721]
 [  0.1         73.83586198]
 [  0.2        -30.27812065]
 [  0.3        -32.50397555]
 [  0.32341667  96.46984971]]","[[0.         1.50413289]
 [0.1        1.55745414]
 [0.2        1.00772566]
 [0.3        0.86702054]
 [0.32341667 1.67836019]]",1,0.322
8723415159,f,25,english,4,5,french,2024-02-01 10:33:14.584194,False,1,3,sounds\english\audio/english_530.wav,"[[  0.          21.55057906]
 [  0.1        -20.17265513]
 [  0.2        -52.07974762]
 [  0.3         87.36384387]
 [  0.32341667 -72.92256984]]","[[0.         0.25130805]
 [0.1        0.96020899]
 [0.2        1.55252741]
 [0.3        1.19622655]
 [0.32341667 0.75880724]]",1,1.443
8723415159,f,25,english,4,5,french,2024-02-01 10:33:14.584194,False,1,4,sounds\english\audio/english_98.wav,"[[  0.         -23.07451683]
 [  0.1         58.83766866]
 [  0.2         75.90401246]
 [  0.3        -86.31256295]
 [  0.32341667  26.17624316]]","[[0.         0.55932234]
 [0.1        1.03192869]
 [0.2        1.16154403]
 [0.3        0.50819795]
 [0.32341667 1.94690859]]",0,0.988
8723415159,f,25,english,4,5,french,2024-02-01 10:33:14.584194,False,1,5,sounds\english\audio/english_566.wav,"[[  0.          70.56000247]
 [  0.1         -0.18246418]
 [  0.2        -23.7188651 ]
 [  0.3         12.5469797 ]
 [  0.32341667 -84.37997634]]","[[0.         1.04698608]
 [0.1        1.13826263]
 [0.2        1.91259561]
 [0.3        1.08561121]
 [0.32341667 1.98926692]]",1,0.442
8723415159,f,25,english,4,5,french,2024-02-01 10:33:14.584194,False,1,6,sounds\english\audio/english_568.wav,"[[  0.         -80.38325009]
 [  0.1         65.28340143]
 [  0.2         22.57833022]
 [  0.3        -55.44872251]
 [  0.32341667 -94.3142815 ]]","[[0.         1.52383372]
 [0.1        0.37337456]
 [0.2        0.67023469]
 [0.3        1.98652091]
 [0.32341667 1.15861726]]",1,1.313
8723415159,f,25,english,4,5,french,2024-02-01 10:33:14.584194,False,1,7,sounds\english\audio/english_398.wav,"[[  0.         -72.24204172]
 [  0.1         29.80242672]
 [  0.2        -29.26741326]
 [  0.3         30.68380911]
 [  0.32341667 -23.61694816]]","[[0.         0.50855809]
 [0.1        0.68040596]
 [0.2        1.59063958]
 [0.3        1.71035635]
 [0.32341667 1.737831  ]]",1,0.941
8723415159,f,25,english,4,5,french,2024-02-01 10:33:14.584194,False,1,8,sounds\english\audio/english_481.wav,"[[  0.          -1.07793215]
 [  0.1         72.11929458]
 [  0.2         -0.36002545]
 [  0.3         11.70252104]
 [  0.32341667 -16.16595736]]","[[0.         1.34620279]
 [0.1        0.4682023 ]
 [0.2        1.2575358 ]
 [0.3        1.51306824]
 [0.32341667 1.86086011]]",1,0.588
8723415159,f,25,english,4,5,french,2024-02-01 10:33:14.584194,False,1,9,sounds\english\audio/english_668.wav,"[[ 0.         48.8265236 ]
 [ 0.1        97.68090991]
 [ 0.2        47.50182685]
 [ 0.3        81.7432518 ]
 [ 0.32341667 28.08178094]]","[[0.         0.43768829]
 [0.1        0.31983773]
 [0.2        1.24438546]
 [0.3        0.49120307]
 [0.32341667 0.60639718]]",0,0.849
