subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5ba8a047ef181f0001672bc2,0,0,2024-02-24T08:48:13.287Z,french_484.wav,0,pull,4894,30,3,5,français,f,0,0.0,-9.6162674,0.19772274
5ba8a047ef181f0001672bc2,0,0,2024-02-24T08:48:13.287Z,french_484.wav,0,pull,4894,30,3,5,français,f,1,0.1,9.27811619,0.11941549
5ba8a047ef181f0001672bc2,0,0,2024-02-24T08:48:13.287Z,french_484.wav,0,pull,4894,30,3,5,français,f,2,0.2,-71.03065972,1.54802806
5ba8a047ef181f0001672bc2,0,0,2024-02-24T08:48:13.287Z,french_484.wav,0,pull,4894,30,3,5,français,f,3,0.25666667,-29.12959292,1.03524562
5ba8a047ef181f0001672bc2,1,0,2024-02-24T08:48:13.287Z,french_834.wav,0,poule,2439,30,3,5,français,f,0,0.0,-86.08965853,1.35817583
5ba8a047ef181f0001672bc2,1,0,2024-02-24T08:48:13.287Z,french_834.wav,0,poule,2439,30,3,5,français,f,1,0.1,69.78931281,0.2902945
5ba8a047ef181f0001672bc2,1,0,2024-02-24T08:48:13.287Z,french_834.wav,0,poule,2439,30,3,5,français,f,2,0.2,-42.1324214,0.84488429
5ba8a047ef181f0001672bc2,1,0,2024-02-24T08:48:13.287Z,french_834.wav,0,poule,2439,30,3,5,français,f,3,0.25666667,-13.11810425,0.59655356
5ba8a047ef181f0001672bc2,2,0,2024-02-24T08:48:13.287Z,french_17.wav,0,poule,5554,30,3,5,français,f,0,0.0,61.86852427,1.05769551
5ba8a047ef181f0001672bc2,2,0,2024-02-24T08:48:13.287Z,french_17.wav,0,poule,5554,30,3,5,français,f,1,0.1,14.81642836,0.81667418
5ba8a047ef181f0001672bc2,2,0,2024-02-24T08:48:13.287Z,french_17.wav,0,poule,5554,30,3,5,français,f,2,0.2,-8.48865215,0.51249479
5ba8a047ef181f0001672bc2,2,0,2024-02-24T08:48:13.287Z,french_17.wav,0,poule,5554,30,3,5,français,f,3,0.25666667,71.68336874,0.29939213
5ba8a047ef181f0001672bc2,3,0,2024-02-24T08:48:13.287Z,french_579.wav,0,poule,3176,30,3,5,français,f,0,0.0,43.6749768,0.88309836
5ba8a047ef181f0001672bc2,3,0,2024-02-24T08:48:13.287Z,french_579.wav,0,poule,3176,30,3,5,français,f,1,0.1,44.80331973,0.15383342
5ba8a047ef181f0001672bc2,3,0,2024-02-24T08:48:13.287Z,french_579.wav,0,poule,3176,30,3,5,français,f,2,0.2,80.34685553,0.11279804
5ba8a047ef181f0001672bc2,3,0,2024-02-24T08:48:13.287Z,french_579.wav,0,poule,3176,30,3,5,français,f,3,0.25666667,-77.70594339,1.88524282
5ba8a047ef181f0001672bc2,4,0,2024-02-24T08:48:13.287Z,french_538.wav,0,poule,5096,30,3,5,français,f,0,0.0,-62.11881418,0.72316351
