subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5c4130f08daebb0001d1a27b,0,0,2024-02-24T08:13:23.572Z,french_127.wav,0,pull,1410,25,5,5,français,m,0,0.0,56.99195339,1.23888103
5c4130f08daebb0001d1a27b,0,0,2024-02-24T08:13:23.572Z,french_127.wav,0,pull,1410,25,5,5,français,m,1,0.1,71.02339704,1.9853403
5c4130f08daebb0001d1a27b,0,0,2024-02-24T08:13:23.572Z,french_127.wav,0,pull,1410,25,5,5,français,m,2,0.2,72.81237495,0.22936254
5c4130f08daebb0001d1a27b,0,0,2024-02-24T08:13:23.572Z,french_127.wav,0,pull,1410,25,5,5,français,m,3,0.25666667,99.25740409,0.23690129
5c4130f08daebb0001d1a27b,1,0,2024-02-24T08:13:23.572Z,french_989.wav,0,poule,1302,25,5,5,français,m,0,0.0,9.12508282,1.4573698
5c4130f08daebb0001d1a27b,1,0,2024-02-24T08:13:23.572Z,french_989.wav,0,poule,1302,25,5,5,français,m,1,0.1,-26.45358769,0.87656303
5c4130f08daebb0001d1a27b,1,0,2024-02-24T08:13:23.572Z,french_989.wav,0,poule,1302,25,5,5,français,m,2,0.2,-51.08796106,0.58961018
5c4130f08daebb0001d1a27b,1,0,2024-02-24T08:13:23.572Z,french_989.wav,0,poule,1302,25,5,5,français,m,3,0.25666667,-22.70445117,1.46090447
5c4130f08daebb0001d1a27b,2,0,2024-02-24T08:13:23.572Z,french_580.wav,0,poule,1474,25,5,5,français,m,0,0.0,27.05941303,0.35053576
5c4130f08daebb0001d1a27b,2,0,2024-02-24T08:13:23.572Z,french_580.wav,0,poule,1474,25,5,5,français,m,1,0.1,-10.3346088,1.97169455
5c4130f08daebb0001d1a27b,2,0,2024-02-24T08:13:23.572Z,french_580.wav,0,poule,1474,25,5,5,français,m,2,0.2,-24.27512535,0.90308202
5c4130f08daebb0001d1a27b,2,0,2024-02-24T08:13:23.572Z,french_580.wav,0,poule,1474,25,5,5,français,m,3,0.25666667,34.7313677,0.94790865
5c4130f08daebb0001d1a27b,3,0,2024-02-24T08:13:23.572Z,french_12.wav,0,poule,1398,25,5,5,français,m,0,0.0,-57.76127346,1.31680682
5c4130f08daebb0001d1a27b,3,0,2024-02-24T08:13:23.572Z,french_12.wav,0,poule,1398,25,5,5,français,m,1,0.1,13.80138245,1.40135686
5c4130f08daebb0001d1a27b,3,0,2024-02-24T08:13:23.572Z,french_12.wav,0,poule,1398,25,5,5,français,m,2,0.2,70.02389064,0.63152994
5c4130f08daebb0001d1a27b,3,0,2024-02-24T08:13:23.572Z,french_12.wav,0,poule,1398,25,5,5,français,m,3,0.25666667,-46.37027392,0.33836826
5c4130f08daebb0001d1a27b,4,0,2024-02-24T08:13:23.572Z,french_586.wav,0,poule,782,25,5,5,français,m,0,0.0,86.96734506,0.62271677
5c4130f08daebb0001d1a27b,4,0,2024-02-24T08:13:23.572Z,french_586.wav,0,poule,782,25,5,5,français,m,1,0.1,-8.603444,1.69916535
5c4130f08daebb0001d1a27b,4,0,2024-02-24T08:13:23.572Z,french_586.wav,0,poule,782,25,5,5,français,m,2,0.2,11.78169212,1.65961944
5c4130f08daebb0001d1a27b,4,0,2024-02-24T08:13:23.572Z,french_586.wav,0,poule,782,25,5,5,français,m,3,0.25666667,14.18547806,1.90120182
5c4130f08daebb0001d1a27b,5,0,2024-02-24T08:13:23.572Z,french_392.wav,0,poule,762,25,5,5,français,m,0,0.0,-11.14407327,1.55151156
5c4130f08daebb0001d1a27b,5,0,2024-02-24T08:13:23.572Z,french_392.wav,0,poule,762,25,5,5,français,m,1,0.1,-20.38505303,0.49285085
