subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5c710337bc6ab00001d7aade,0,0,2024-02-27T09:24:47.673Z,french_943.wav,0,pull,3362,34,3,5,français,m,0,0.0,27.08075724,1.18472309
5c710337bc6ab00001d7aade,0,0,2024-02-27T09:24:47.673Z,french_943.wav,0,pull,3362,34,3,5,français,m,1,0.1,11.89706259,0.18520331
5c710337bc6ab00001d7aade,0,0,2024-02-27T09:24:47.673Z,french_943.wav,0,pull,3362,34,3,5,français,m,2,0.2,-68.36208072,0.55970606
5c710337bc6ab00001d7aade,0,0,2024-02-27T09:24:47.673Z,french_943.wav,0,pull,3362,34,3,5,français,m,3,0.25666667,93.65942771,0.63383354
5c710337bc6ab00001d7aade,1,0,2024-02-27T09:24:47.673Z,french_645.wav,0,poule,567,34,3,5,français,m,0,0.0,39.28095882,1.44479402
5c710337bc6ab00001d7aade,1,0,2024-02-27T09:24:47.673Z,french_645.wav,0,poule,567,34,3,5,français,m,1,0.1,36.97709506,1.97267477
5c710337bc6ab00001d7aade,1,0,2024-02-27T09:24:47.673Z,french_645.wav,0,poule,567,34,3,5,français,m,2,0.2,-20.56368862,0.33303832
5c710337bc6ab00001d7aade,1,0,2024-02-27T09:24:47.673Z,french_645.wav,0,poule,567,34,3,5,français,m,3,0.25666667,45.13755494,0.87530899
5c710337bc6ab00001d7aade,2,0,2024-02-27T09:24:47.673Z,french_972.wav,0,poule,476,34,3,5,français,m,0,0.0,10.38102426,0.90840989
5c710337bc6ab00001d7aade,2,0,2024-02-27T09:24:47.673Z,french_972.wav,0,poule,476,34,3,5,français,m,1,0.1,-66.54271468,1.6485676
5c710337bc6ab00001d7aade,2,0,2024-02-27T09:24:47.673Z,french_972.wav,0,poule,476,34,3,5,français,m,2,0.2,-2.89265523,0.79956718
5c710337bc6ab00001d7aade,2,0,2024-02-27T09:24:47.673Z,french_972.wav,0,poule,476,34,3,5,français,m,3,0.25666667,-87.42126356,1.28352811
5c710337bc6ab00001d7aade,3,0,2024-02-27T09:24:47.673Z,french_10.wav,0,poule,480,34,3,5,français,m,0,0.0,34.48773494,0.90390655
5c710337bc6ab00001d7aade,3,0,2024-02-27T09:24:47.673Z,french_10.wav,0,poule,480,34,3,5,français,m,1,0.1,82.41652137,1.13926368
5c710337bc6ab00001d7aade,3,0,2024-02-27T09:24:47.673Z,french_10.wav,0,poule,480,34,3,5,français,m,2,0.2,-51.47900312,1.63497012
5c710337bc6ab00001d7aade,3,0,2024-02-27T09:24:47.673Z,french_10.wav,0,poule,480,34,3,5,français,m,3,0.25666667,70.4490668,0.74730693
5c710337bc6ab00001d7aade,4,0,2024-02-27T09:24:47.673Z,french_405.wav,0,pull,673,34,3,5,français,m,0,0.0,52.22885858,0.59532017
5c710337bc6ab00001d7aade,4,0,2024-02-27T09:24:47.673Z,french_405.wav,0,pull,673,34,3,5,français,m,1,0.1,18.90294402,0.31881138
5c710337bc6ab00001d7aade,4,0,2024-02-27T09:24:47.673Z,french_405.wav,0,pull,673,34,3,5,français,m,2,0.2,-84.01769715,1.18035169
5c710337bc6ab00001d7aade,4,0,2024-02-27T09:24:47.673Z,french_405.wav,0,pull,673,34,3,5,français,m,3,0.25666667,95.02638452,0.2814716
5c710337bc6ab00001d7aade,5,0,2024-02-27T09:24:47.673Z,french_658.wav,0,pull,686,34,3,5,français,m,0,0.0,-96.64822149,1.39139244
5c710337bc6ab00001d7aade,5,0,2024-02-27T09:24:47.673Z,french_658.wav,0,pull,686,34,3,5,français,m,1,0.1,49.0828934,0.52881355
5c710337bc6ab00001d7aade,5,0,2024-02-27T09:24:47.673Z,french_658.wav,0,pull,686,34,3,5,français,m,2,0.2,12.17217875,0.81868418
5c710337bc6ab00001d7aade,5,0,2024-02-27T09:24:47.673Z,french_658.wav,0,pull,686,34,3,5,français,m,3,0.25666667,21.40759607,0.56425508
5c710337bc6ab00001d7aade,6,0,2024-02-27T09:24:47.673Z,french_756.wav,0,poule,531,34,3,5,français,m,0,0.0,35.62001521,0.86430693
5c710337bc6ab00001d7aade,6,0,2024-02-27T09:24:47.673Z,french_756.wav,0,poule,531,34,3,5,français,m,1,0.1,29.8199127,1.17673467
5c710337bc6ab00001d7aade,6,0,2024-02-27T09:24:47.673Z,french_756.wav,0,poule,531,34,3,5,français,m,2,0.2,-2.36977437,1.63370718
5c710337bc6ab00001d7aade,6,0,2024-02-27T09:24:47.673Z,french_756.wav,0,poule,531,34,3,5,français,m,3,0.25666667,-73.14220453,1.98740672
5c710337bc6ab00001d7aade,7,0,2024-02-27T09:24:47.673Z,french_253.wav,0,poule,760,34,3,5,français,m,0,0.0,46.57034738,1.71066879
5c710337bc6ab00001d7aade,7,0,2024-02-27T09:24:47.673Z,french_253.wav,0,poule,760,34,3,5,français,m,1,0.1,95.71705704,0.77231307
5c710337bc6ab00001d7aade,7,0,2024-02-27T09:24:47.673Z,french_253.wav,0,poule,760,34,3,5,français,m,2,0.2,-25.2299753,0.81370988
5c710337bc6ab00001d7aade,7,0,2024-02-27T09:24:47.673Z,french_253.wav,0,poule,760,34,3,5,français,m,3,0.25666667,-10.51050389,1.71668189
5c710337bc6ab00001d7aade,8,0,2024-02-27T09:24:47.673Z,french_704.wav,0,poule,412,34,3,5,français,m,0,0.0,47.78235411,1.53952375
5c710337bc6ab00001d7aade,8,0,2024-02-27T09:24:47.673Z,french_704.wav,0,poule,412,34,3,5,français,m,1,0.1,-55.43932,1.15285736
5c710337bc6ab00001d7aade,8,0,2024-02-27T09:24:47.673Z,french_704.wav,0,poule,412,34,3,5,français,m,2,0.2,-4.4200676,1.9057017
5c710337bc6ab00001d7aade,8,0,2024-02-27T09:24:47.673Z,french_704.wav,0,poule,412,34,3,5,français,m,3,0.25666667,92.51428674,1.54517481
5c710337bc6ab00001d7aade,9,0,2024-02-27T09:24:47.673Z,french_252.wav,0,pull,552,34,3,5,français,m,0,0.0,-68.3996329,0.41781817
5c710337bc6ab00001d7aade,9,0,2024-02-27T09:24:47.673Z,french_252.wav,0,pull,552,34,3,5,français,m,1,0.1,79.02734002,1.03502761
5c710337bc6ab00001d7aade,9,0,2024-02-27T09:24:47.673Z,french_252.wav,0,pull,552,34,3,5,français,m,2,0.2,-18.50805447,0.82044901
5c710337bc6ab00001d7aade,9,0,2024-02-27T09:24:47.673Z,french_252.wav,0,pull,552,34,3,5,français,m,3,0.25666667,-85.84066145,1.09163249
5c710337bc6ab00001d7aade,10,0,2024-02-27T09:24:47.673Z,french_530.wav,0,poule,1143,34,3,5,français,m,0,0.0,-48.266975,0.22885815
5c710337bc6ab00001d7aade,10,0,2024-02-27T09:24:47.673Z,french_530.wav,0,poule,1143,34,3,5,français,m,1,0.1,10.53522492,0.99708564
5c710337bc6ab00001d7aade,10,0,2024-02-27T09:24:47.673Z,french_530.wav,0,poule,1143,34,3,5,français,m,2,0.2,-70.81391458,0.43471164
5c710337bc6ab00001d7aade,10,0,2024-02-27T09:24:47.673Z,french_530.wav,0,poule,1143,34,3,5,français,m,3,0.25666667,-13.69241617,0.61022423
5c710337bc6ab00001d7aade,11,0,2024-02-27T09:24:47.673Z,french_381.wav,0,pull,645,34,3,5,français,m,0,0.0,-36.22739734,0.39069554
5c710337bc6ab00001d7aade,11,0,2024-02-27T09:24:47.673Z,french_381.wav,0,pull,645,34,3,5,français,m,1,0.1,63.18659678,0.02424263
5c710337bc6ab00001d7aade,11,0,2024-02-27T09:24:47.673Z,french_381.wav,0,pull,645,34,3,5,français,m,2,0.2,-88.25823098,0.59540025
5c710337bc6ab00001d7aade,11,0,2024-02-27T09:24:47.673Z,french_381.wav,0,pull,645,34,3,5,français,m,3,0.25666667,39.00702017,0.84340327
5c710337bc6ab00001d7aade,12,0,2024-02-27T09:24:47.673Z,french_34.wav,0,poule,390,34,3,5,français,m,0,0.0,-97.24360174,1.95744133
5c710337bc6ab00001d7aade,12,0,2024-02-27T09:24:47.673Z,french_34.wav,0,poule,390,34,3,5,français,m,1,0.1,62.38297295,1.24423752
5c710337bc6ab00001d7aade,12,0,2024-02-27T09:24:47.673Z,french_34.wav,0,poule,390,34,3,5,français,m,2,0.2,-49.09622703,1.91649641
5c710337bc6ab00001d7aade,12,0,2024-02-27T09:24:47.673Z,french_34.wav,0,poule,390,34,3,5,français,m,3,0.25666667,-40.35720841,1.03651442
5c710337bc6ab00001d7aade,13,0,2024-02-27T09:24:47.673Z,french_741.wav,0,poule,597,34,3,5,français,m,0,0.0,52.99239945,1.20115282
5c710337bc6ab00001d7aade,13,0,2024-02-27T09:24:47.673Z,french_741.wav,0,poule,597,34,3,5,français,m,1,0.1,-62.37721768,0.53106937
5c710337bc6ab00001d7aade,13,0,2024-02-27T09:24:47.673Z,french_741.wav,0,poule,597,34,3,5,français,m,2,0.2,54.26195155,1.91925029
5c710337bc6ab00001d7aade,13,0,2024-02-27T09:24:47.673Z,french_741.wav,0,poule,597,34,3,5,français,m,3,0.25666667,8.23350592,0.42380295
5c710337bc6ab00001d7aade,14,0,2024-02-27T09:24:47.673Z,french_532.wav,0,poule,1084,34,3,5,français,m,0,0.0,51.6664435,1.30171402
5c710337bc6ab00001d7aade,14,0,2024-02-27T09:24:47.673Z,french_532.wav,0,poule,1084,34,3,5,français,m,1,0.1,12.38327687,0.03929558
5c710337bc6ab00001d7aade,14,0,2024-02-27T09:24:47.673Z,french_532.wav,0,poule,1084,34,3,5,français,m,2,0.2,-89.35582175,1.38931331
5c710337bc6ab00001d7aade,14,0,2024-02-27T09:24:47.673Z,french_532.wav,0,poule,1084,34,3,5,français,m,3,0.25666667,25.37493155,0.74157834
5c710337bc6ab00001d7aade,15,0,2024-02-27T09:24:47.673Z,french_953.wav,0,poule,571,34,3,5,français,m,0,0.0,-27.22394829,1.27693125
5c710337bc6ab00001d7aade,15,0,2024-02-27T09:24:47.673Z,french_953.wav,0,poule,571,34,3,5,français,m,1,0.1,-3.36109764,0.12331262
5c710337bc6ab00001d7aade,15,0,2024-02-27T09:24:47.673Z,french_953.wav,0,poule,571,34,3,5,français,m,2,0.2,79.96390299,1.48485403
5c710337bc6ab00001d7aade,15,0,2024-02-27T09:24:47.673Z,french_953.wav,0,poule,571,34,3,5,français,m,3,0.25666667,-20.83871742,0.51230705
5c710337bc6ab00001d7aade,16,0,2024-02-27T09:24:47.673Z,french_677.wav,0,pull,1028,34,3,5,français,m,0,0.0,-14.76179085,0.10277679
5c710337bc6ab00001d7aade,16,0,2024-02-27T09:24:47.673Z,french_677.wav,0,pull,1028,34,3,5,français,m,1,0.1,-96.15101895,0.35083798
5c710337bc6ab00001d7aade,16,0,2024-02-27T09:24:47.673Z,french_677.wav,0,pull,1028,34,3,5,français,m,2,0.2,48.20621423,0.65953763
5c710337bc6ab00001d7aade,16,0,2024-02-27T09:24:47.673Z,french_677.wav,0,pull,1028,34,3,5,français,m,3,0.25666667,23.33985038,0.76581679
5c710337bc6ab00001d7aade,17,0,2024-02-27T09:24:47.673Z,french_256.wav,0,poule,361,34,3,5,français,m,0,0.0,34.00641445,1.19838094
5c710337bc6ab00001d7aade,17,0,2024-02-27T09:24:47.673Z,french_256.wav,0,poule,361,34,3,5,français,m,1,0.1,78.12380502,0.9412232
5c710337bc6ab00001d7aade,17,0,2024-02-27T09:24:47.673Z,french_256.wav,0,poule,361,34,3,5,français,m,2,0.2,84.97245465,1.34630265
5c710337bc6ab00001d7aade,17,0,2024-02-27T09:24:47.673Z,french_256.wav,0,poule,361,34,3,5,français,m,3,0.25666667,29.4187394,1.86077871
5c710337bc6ab00001d7aade,18,0,2024-02-27T09:24:47.673Z,french_407.wav,0,poule,362,34,3,5,français,m,0,0.0,-57.6292462,1.8651924
5c710337bc6ab00001d7aade,18,0,2024-02-27T09:24:47.673Z,french_407.wav,0,poule,362,34,3,5,français,m,1,0.1,-25.10683904,1.55880725
5c710337bc6ab00001d7aade,18,0,2024-02-27T09:24:47.673Z,french_407.wav,0,poule,362,34,3,5,français,m,2,0.2,13.09742102,1.30220718
5c710337bc6ab00001d7aade,18,0,2024-02-27T09:24:47.673Z,french_407.wav,0,poule,362,34,3,5,français,m,3,0.25666667,-8.98604593,1.55663467
5c710337bc6ab00001d7aade,19,0,2024-02-27T09:24:47.673Z,french_148.wav,0,poule,979,34,3,5,français,m,0,0.0,-65.76338754,1.63378801
5c710337bc6ab00001d7aade,19,0,2024-02-27T09:24:47.673Z,french_148.wav,0,poule,979,34,3,5,français,m,1,0.1,-45.02607009,0.19427674
5c710337bc6ab00001d7aade,19,0,2024-02-27T09:24:47.673Z,french_148.wav,0,poule,979,34,3,5,français,m,2,0.2,-4.18875901,1.20463049
5c710337bc6ab00001d7aade,19,0,2024-02-27T09:24:47.673Z,french_148.wav,0,poule,979,34,3,5,français,m,3,0.25666667,85.40607693,0.17184116
5c710337bc6ab00001d7aade,20,0,2024-02-27T09:24:47.673Z,french_852.wav,0,pull,963,34,3,5,français,m,0,0.0,-21.25647341,1.59129412
5c710337bc6ab00001d7aade,20,0,2024-02-27T09:24:47.673Z,french_852.wav,0,pull,963,34,3,5,français,m,1,0.1,44.09899268,0.90931534
5c710337bc6ab00001d7aade,20,0,2024-02-27T09:24:47.673Z,french_852.wav,0,pull,963,34,3,5,français,m,2,0.2,-20.54343266,0.17046498
5c710337bc6ab00001d7aade,20,0,2024-02-27T09:24:47.673Z,french_852.wav,0,pull,963,34,3,5,français,m,3,0.25666667,-73.6389021,0.95788578
5c710337bc6ab00001d7aade,21,0,2024-02-27T09:24:47.673Z,french_674.wav,0,poule,371,34,3,5,français,m,0,0.0,36.8658398,0.63817569
5c710337bc6ab00001d7aade,21,0,2024-02-27T09:24:47.673Z,french_674.wav,0,poule,371,34,3,5,français,m,1,0.1,-70.55199619,1.9135219
5c710337bc6ab00001d7aade,21,0,2024-02-27T09:24:47.673Z,french_674.wav,0,poule,371,34,3,5,français,m,2,0.2,-3.70121723,1.96782527
5c710337bc6ab00001d7aade,21,0,2024-02-27T09:24:47.673Z,french_674.wav,0,poule,371,34,3,5,français,m,3,0.25666667,30.12615154,0.86862342
5c710337bc6ab00001d7aade,22,0,2024-02-27T09:24:47.673Z,french_866.wav,0,poule,949,34,3,5,français,m,0,0.0,-60.69074585,1.64484001
5c710337bc6ab00001d7aade,22,0,2024-02-27T09:24:47.673Z,french_866.wav,0,poule,949,34,3,5,français,m,1,0.1,-41.67968152,0.19415831
5c710337bc6ab00001d7aade,22,0,2024-02-27T09:24:47.673Z,french_866.wav,0,poule,949,34,3,5,français,m,2,0.2,-8.99838874,1.20864699
5c710337bc6ab00001d7aade,22,0,2024-02-27T09:24:47.673Z,french_866.wav,0,poule,949,34,3,5,français,m,3,0.25666667,40.83736488,0.81730442
5c710337bc6ab00001d7aade,23,0,2024-02-27T09:24:47.673Z,french_548.wav,0,pull,1093,34,3,5,français,m,0,0.0,1.54236609,0.97335898
5c710337bc6ab00001d7aade,23,0,2024-02-27T09:24:47.673Z,french_548.wav,0,pull,1093,34,3,5,français,m,1,0.1,42.93927178,0.92328993
5c710337bc6ab00001d7aade,23,0,2024-02-27T09:24:47.673Z,french_548.wav,0,pull,1093,34,3,5,français,m,2,0.2,94.14256546,0.31229256
5c710337bc6ab00001d7aade,23,0,2024-02-27T09:24:47.673Z,french_548.wav,0,pull,1093,34,3,5,français,m,3,0.25666667,78.31055202,0.51911246
5c710337bc6ab00001d7aade,24,0,2024-02-27T09:24:47.673Z,french_319.wav,0,poule,510,34,3,5,français,m,0,0.0,63.69489547,0.79356863
5c710337bc6ab00001d7aade,24,0,2024-02-27T09:24:47.673Z,french_319.wav,0,poule,510,34,3,5,français,m,1,0.1,60.76449486,1.37507237
5c710337bc6ab00001d7aade,24,0,2024-02-27T09:24:47.673Z,french_319.wav,0,poule,510,34,3,5,français,m,2,0.2,-58.82123998,1.06369674
5c710337bc6ab00001d7aade,24,0,2024-02-27T09:24:47.673Z,french_319.wav,0,poule,510,34,3,5,français,m,3,0.25666667,43.46614377,1.64660946
5c710337bc6ab00001d7aade,25,0,2024-02-27T09:24:47.673Z,french_907.wav,0,poule,677,34,3,5,français,m,0,0.0,9.20754992,1.79705326
5c710337bc6ab00001d7aade,25,0,2024-02-27T09:24:47.673Z,french_907.wav,0,poule,677,34,3,5,français,m,1,0.1,-39.82714958,0.37644661
5c710337bc6ab00001d7aade,25,0,2024-02-27T09:24:47.673Z,french_907.wav,0,poule,677,34,3,5,français,m,2,0.2,91.774681,1.35697235
5c710337bc6ab00001d7aade,25,0,2024-02-27T09:24:47.673Z,french_907.wav,0,poule,677,34,3,5,français,m,3,0.25666667,-60.10887287,0.87178456
5c710337bc6ab00001d7aade,26,0,2024-02-27T09:24:47.673Z,french_981.wav,0,poule,525,34,3,5,français,m,0,0.0,-1.54223553,0.66538198
5c710337bc6ab00001d7aade,26,0,2024-02-27T09:24:47.673Z,french_981.wav,0,poule,525,34,3,5,français,m,1,0.1,-78.86121057,1.42802268
5c710337bc6ab00001d7aade,26,0,2024-02-27T09:24:47.673Z,french_981.wav,0,poule,525,34,3,5,français,m,2,0.2,-33.48141771,0.92303184
5c710337bc6ab00001d7aade,26,0,2024-02-27T09:24:47.673Z,french_981.wav,0,poule,525,34,3,5,français,m,3,0.25666667,-47.78773965,0.82545089
5c710337bc6ab00001d7aade,27,0,2024-02-27T09:24:47.673Z,french_765.wav,0,poule,1432,34,3,5,français,m,0,0.0,37.74619949,1.94846132
5c710337bc6ab00001d7aade,27,0,2024-02-27T09:24:47.673Z,french_765.wav,0,poule,1432,34,3,5,français,m,1,0.1,35.79177818,0.74629838
5c710337bc6ab00001d7aade,27,0,2024-02-27T09:24:47.673Z,french_765.wav,0,poule,1432,34,3,5,français,m,2,0.2,-4.82792988,1.12672767
5c710337bc6ab00001d7aade,27,0,2024-02-27T09:24:47.673Z,french_765.wav,0,poule,1432,34,3,5,français,m,3,0.25666667,-29.99687949,0.50330326
5c710337bc6ab00001d7aade,28,0,2024-02-27T09:24:47.673Z,french_201.wav,0,poule,428,34,3,5,français,m,0,0.0,8.42387769,1.26451206
5c710337bc6ab00001d7aade,28,0,2024-02-27T09:24:47.673Z,french_201.wav,0,poule,428,34,3,5,français,m,1,0.1,8.12168757,1.63493769
5c710337bc6ab00001d7aade,28,0,2024-02-27T09:24:47.673Z,french_201.wav,0,poule,428,34,3,5,français,m,2,0.2,-23.47755607,1.48075017
