subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5d726b8a0c3f0f0017cdfcf7,0,0,2024-02-27T10:02:05.706Z,french_413.wav,0,poule,1502,33,4,5,Français,m,0,0.0,-15.90568805,0.35618922
5d726b8a0c3f0f0017cdfcf7,0,0,2024-02-27T10:02:05.706Z,french_413.wav,0,poule,1502,33,4,5,Français,m,1,0.1,76.04965913,1.72047272
5d726b8a0c3f0f0017cdfcf7,0,0,2024-02-27T10:02:05.706Z,french_413.wav,0,poule,1502,33,4,5,Français,m,2,0.2,55.08996682,1.40872317
5d726b8a0c3f0f0017cdfcf7,0,0,2024-02-27T10:02:05.706Z,french_413.wav,0,poule,1502,33,4,5,Français,m,3,0.25666667,17.39731584,1.8089724
5d726b8a0c3f0f0017cdfcf7,1,0,2024-02-27T10:02:05.706Z,french_300.wav,0,poule,1301,33,4,5,Français,m,0,0.0,-13.28568226,1.4723541
5d726b8a0c3f0f0017cdfcf7,1,0,2024-02-27T10:02:05.706Z,french_300.wav,0,poule,1301,33,4,5,Français,m,1,0.1,80.95964609,1.07308012
5d726b8a0c3f0f0017cdfcf7,1,0,2024-02-27T10:02:05.706Z,french_300.wav,0,poule,1301,33,4,5,Français,m,2,0.2,97.81212175,1.14674573
5d726b8a0c3f0f0017cdfcf7,1,0,2024-02-27T10:02:05.706Z,french_300.wav,0,poule,1301,33,4,5,Français,m,3,0.25666667,60.85112551,1.78656344
5d726b8a0c3f0f0017cdfcf7,2,0,2024-02-27T10:02:05.706Z,french_608.wav,0,pull,756,33,4,5,Français,m,0,0.0,-21.93815625,0.80217517
5d726b8a0c3f0f0017cdfcf7,2,0,2024-02-27T10:02:05.706Z,french_608.wav,0,pull,756,33,4,5,Français,m,1,0.1,68.35071967,1.13802751
5d726b8a0c3f0f0017cdfcf7,2,0,2024-02-27T10:02:05.706Z,french_608.wav,0,pull,756,33,4,5,Français,m,2,0.2,-10.44332041,0.09203458
5d726b8a0c3f0f0017cdfcf7,2,0,2024-02-27T10:02:05.706Z,french_608.wav,0,pull,756,33,4,5,Français,m,3,0.25666667,-49.43801065,0.18129022
5d726b8a0c3f0f0017cdfcf7,3,0,2024-02-27T10:02:05.706Z,french_71.wav,0,poule,840,33,4,5,Français,m,0,0.0,-97.29707499,0.6163898
5d726b8a0c3f0f0017cdfcf7,3,0,2024-02-27T10:02:05.706Z,french_71.wav,0,poule,840,33,4,5,Français,m,1,0.1,41.74238765,1.06775198
5d726b8a0c3f0f0017cdfcf7,3,0,2024-02-27T10:02:05.706Z,french_71.wav,0,poule,840,33,4,5,Français,m,2,0.2,-91.89336592,1.31906527
5d726b8a0c3f0f0017cdfcf7,3,0,2024-02-27T10:02:05.706Z,french_71.wav,0,poule,840,33,4,5,Français,m,3,0.25666667,53.06515209,0.58556407
5d726b8a0c3f0f0017cdfcf7,4,0,2024-02-27T10:02:05.706Z,french_42.wav,0,poule,2767,33,4,5,Français,m,0,0.0,-62.21237173,0.70589884
5d726b8a0c3f0f0017cdfcf7,4,0,2024-02-27T10:02:05.706Z,french_42.wav,0,poule,2767,33,4,5,Français,m,1,0.1,-98.4992591,0.40467669
5d726b8a0c3f0f0017cdfcf7,4,0,2024-02-27T10:02:05.706Z,french_42.wav,0,poule,2767,33,4,5,Français,m,2,0.2,97.73183718,0.72488221
5d726b8a0c3f0f0017cdfcf7,4,0,2024-02-27T10:02:05.706Z,french_42.wav,0,poule,2767,33,4,5,Français,m,3,0.25666667,-56.73891221,0.44273829
5d726b8a0c3f0f0017cdfcf7,5,0,2024-02-27T10:02:05.706Z,french_152.wav,0,poule,506,33,4,5,Français,m,0,0.0,-3.84179402,0.21245747
5d726b8a0c3f0f0017cdfcf7,5,0,2024-02-27T10:02:05.706Z,french_152.wav,0,poule,506,33,4,5,Français,m,1,0.1,56.28738818,1.74384484
5d726b8a0c3f0f0017cdfcf7,5,0,2024-02-27T10:02:05.706Z,french_152.wav,0,poule,506,33,4,5,Français,m,2,0.2,-25.33799013,1.40208126
5d726b8a0c3f0f0017cdfcf7,5,0,2024-02-27T10:02:05.706Z,french_152.wav,0,poule,506,33,4,5,Français,m,3,0.25666667,-10.23447911,0.94312755
5d726b8a0c3f0f0017cdfcf7,6,0,2024-02-27T10:02:05.706Z,french_596.wav,0,poule,723,33,4,5,Français,m,0,0.0,-19.67623174,1.19630482
5d726b8a0c3f0f0017cdfcf7,6,0,2024-02-27T10:02:05.706Z,french_596.wav,0,poule,723,33,4,5,Français,m,1,0.1,5.02630097,1.45796377
5d726b8a0c3f0f0017cdfcf7,6,0,2024-02-27T10:02:05.706Z,french_596.wav,0,poule,723,33,4,5,Français,m,2,0.2,17.71933024,1.33112957
5d726b8a0c3f0f0017cdfcf7,6,0,2024-02-27T10:02:05.706Z,french_596.wav,0,poule,723,33,4,5,Français,m,3,0.25666667,-99.90911374,0.42422988
5d726b8a0c3f0f0017cdfcf7,7,0,2024-02-27T10:02:05.706Z,french_686.wav,0,poule,1705,33,4,5,Français,m,0,0.0,20.49516986,1.86861476
