subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5eae48f0f3540c5177f3474c,0,0,2024-02-24T08:56:18.107Z,french_55.wav,0,pull,10722,48,4,5,français,m,0,0.0,54.29815268,1.84925003
5eae48f0f3540c5177f3474c,0,0,2024-02-24T08:56:18.107Z,french_55.wav,0,pull,10722,48,4,5,français,m,1,0.1,66.77804826,1.2451745
5eae48f0f3540c5177f3474c,0,0,2024-02-24T08:56:18.107Z,french_55.wav,0,pull,10722,48,4,5,français,m,2,0.2,-38.71051383,1.48535221
5eae48f0f3540c5177f3474c,0,0,2024-02-24T08:56:18.107Z,french_55.wav,0,pull,10722,48,4,5,français,m,3,0.25666667,0.30980485,1.20016501
5eae48f0f3540c5177f3474c,1,0,2024-02-24T08:56:18.107Z,french_174.wav,0,pull,4029,48,4,5,français,m,0,0.0,1.45674265,0.26044346
5eae48f0f3540c5177f3474c,1,0,2024-02-24T08:56:18.107Z,french_174.wav,0,pull,4029,48,4,5,français,m,1,0.1,47.27057229,1.87217745
5eae48f0f3540c5177f3474c,1,0,2024-02-24T08:56:18.107Z,french_174.wav,0,pull,4029,48,4,5,français,m,2,0.2,-41.5239841,1.40485436
5eae48f0f3540c5177f3474c,1,0,2024-02-24T08:56:18.107Z,french_174.wav,0,pull,4029,48,4,5,français,m,3,0.25666667,32.3517821,1.2389409
5eae48f0f3540c5177f3474c,2,0,2024-02-24T08:56:18.107Z,french_722.wav,0,poule,861,48,4,5,français,m,0,0.0,60.56599831,1.86075077
5eae48f0f3540c5177f3474c,2,0,2024-02-24T08:56:18.107Z,french_722.wav,0,poule,861,48,4,5,français,m,1,0.1,-62.73703536,0.80738175
5eae48f0f3540c5177f3474c,2,0,2024-02-24T08:56:18.107Z,french_722.wav,0,poule,861,48,4,5,français,m,2,0.2,-66.13157344,0.80798992
5eae48f0f3540c5177f3474c,2,0,2024-02-24T08:56:18.107Z,french_722.wav,0,poule,861,48,4,5,français,m,3,0.25666667,59.05774632,0.27445487
5eae48f0f3540c5177f3474c,3,0,2024-02-24T08:56:18.107Z,french_358.wav,0,poule,425,48,4,5,français,m,0,0.0,-21.88755711,1.21014447
5eae48f0f3540c5177f3474c,3,0,2024-02-24T08:56:18.107Z,french_358.wav,0,poule,425,48,4,5,français,m,1,0.1,-5.628981,1.2650669
5eae48f0f3540c5177f3474c,3,0,2024-02-24T08:56:18.107Z,french_358.wav,0,poule,425,48,4,5,français,m,2,0.2,-60.01307733,0.97277603
5eae48f0f3540c5177f3474c,3,0,2024-02-24T08:56:18.107Z,french_358.wav,0,poule,425,48,4,5,français,m,3,0.25666667,65.58947466,0.28969343
5eae48f0f3540c5177f3474c,4,0,2024-02-24T08:56:18.107Z,french_740.wav,0,poule,406,48,4,5,français,m,0,0.0,-63.22643447,1.41698272
5eae48f0f3540c5177f3474c,4,0,2024-02-24T08:56:18.107Z,french_740.wav,0,poule,406,48,4,5,français,m,1,0.1,-76.79793208,1.15791198
5eae48f0f3540c5177f3474c,4,0,2024-02-24T08:56:18.107Z,french_740.wav,0,poule,406,48,4,5,français,m,2,0.2,-90.89358737,1.97460827
5eae48f0f3540c5177f3474c,4,0,2024-02-24T08:56:18.107Z,french_740.wav,0,poule,406,48,4,5,français,m,3,0.25666667,-87.57687491,0.61281255
5eae48f0f3540c5177f3474c,5,0,2024-02-24T08:56:18.107Z,french_980.wav,0,poule,409,48,4,5,français,m,0,0.0,-38.7537279,0.7061587
5eae48f0f3540c5177f3474c,5,0,2024-02-24T08:56:18.107Z,french_980.wav,0,poule,409,48,4,5,français,m,1,0.1,12.31277697,1.27161124
5eae48f0f3540c5177f3474c,5,0,2024-02-24T08:56:18.107Z,french_980.wav,0,poule,409,48,4,5,français,m,2,0.2,6.50697833,0.8921187
5eae48f0f3540c5177f3474c,5,0,2024-02-24T08:56:18.107Z,french_980.wav,0,poule,409,48,4,5,français,m,3,0.25666667,-34.92912415,1.97802528
5eae48f0f3540c5177f3474c,6,0,2024-02-24T08:56:18.107Z,french_5.wav,0,poule,750,48,4,5,français,m,0,0.0,-2.8714843,1.07181682
5eae48f0f3540c5177f3474c,6,0,2024-02-24T08:56:18.107Z,french_5.wav,0,poule,750,48,4,5,français,m,1,0.1,-50.9441672,0.56733338
5eae48f0f3540c5177f3474c,6,0,2024-02-24T08:56:18.107Z,french_5.wav,0,poule,750,48,4,5,français,m,2,0.2,56.21180826,0.26773361
5eae48f0f3540c5177f3474c,6,0,2024-02-24T08:56:18.107Z,french_5.wav,0,poule,750,48,4,5,français,m,3,0.25666667,-57.18619957,1.97613039
5eae48f0f3540c5177f3474c,7,0,2024-02-24T08:56:18.107Z,french_914.wav,0,poule,350,48,4,5,français,m,0,0.0,-34.97252921,0.97835832
5eae48f0f3540c5177f3474c,7,0,2024-02-24T08:56:18.107Z,french_914.wav,0,poule,350,48,4,5,français,m,1,0.1,-72.63984802,0.99245682
5eae48f0f3540c5177f3474c,7,0,2024-02-24T08:56:18.107Z,french_914.wav,0,poule,350,48,4,5,français,m,2,0.2,-17.99574982,1.64333977
5eae48f0f3540c5177f3474c,7,0,2024-02-24T08:56:18.107Z,french_914.wav,0,poule,350,48,4,5,français,m,3,0.25666667,97.045673,1.63101446
5eae48f0f3540c5177f3474c,8,0,2024-02-24T08:56:18.107Z,french_113.wav,0,poule,374,48,4,5,français,m,0,0.0,0.51528889,0.39555504
5eae48f0f3540c5177f3474c,8,0,2024-02-24T08:56:18.107Z,french_113.wav,0,poule,374,48,4,5,français,m,1,0.1,31.38938416,1.50115078
5eae48f0f3540c5177f3474c,8,0,2024-02-24T08:56:18.107Z,french_113.wav,0,poule,374,48,4,5,français,m,2,0.2,-56.71204584,1.00732686
5eae48f0f3540c5177f3474c,8,0,2024-02-24T08:56:18.107Z,french_113.wav,0,poule,374,48,4,5,français,m,3,0.25666667,95.05763822,0.59062761
5eae48f0f3540c5177f3474c,9,0,2024-02-24T08:56:18.107Z,french_702.wav,0,poule,390,48,4,5,français,m,0,0.0,-53.8337347,0.65995653
5eae48f0f3540c5177f3474c,9,0,2024-02-24T08:56:18.107Z,french_702.wav,0,poule,390,48,4,5,français,m,1,0.1,13.17722269,1.48591365
5eae48f0f3540c5177f3474c,9,0,2024-02-24T08:56:18.107Z,french_702.wav,0,poule,390,48,4,5,français,m,2,0.2,-63.63948694,1.16262137
5eae48f0f3540c5177f3474c,9,0,2024-02-24T08:56:18.107Z,french_702.wav,0,poule,390,48,4,5,français,m,3,0.25666667,-7.77006894,1.49403865
5eae48f0f3540c5177f3474c,10,0,2024-02-24T08:56:18.107Z,french_93.wav,0,poule,736,48,4,5,français,m,0,0.0,23.57211404,0.62732128
5eae48f0f3540c5177f3474c,10,0,2024-02-24T08:56:18.107Z,french_93.wav,0,poule,736,48,4,5,français,m,1,0.1,-16.15934767,0.10811818
5eae48f0f3540c5177f3474c,10,0,2024-02-24T08:56:18.107Z,french_93.wav,0,poule,736,48,4,5,français,m,2,0.2,25.54711871,0.30787392
5eae48f0f3540c5177f3474c,10,0,2024-02-24T08:56:18.107Z,french_93.wav,0,poule,736,48,4,5,français,m,3,0.25666667,65.09284613,1.57978374
5eae48f0f3540c5177f3474c,11,0,2024-02-24T08:56:18.107Z,french_857.wav,0,poule,377,48,4,5,français,m,0,0.0,40.93487779,1.95936394
5eae48f0f3540c5177f3474c,11,0,2024-02-24T08:56:18.107Z,french_857.wav,0,poule,377,48,4,5,français,m,1,0.1,-17.75235864,1.43648621
5eae48f0f3540c5177f3474c,11,0,2024-02-24T08:56:18.107Z,french_857.wav,0,poule,377,48,4,5,français,m,2,0.2,39.31370365,1.12127335
5eae48f0f3540c5177f3474c,11,0,2024-02-24T08:56:18.107Z,french_857.wav,0,poule,377,48,4,5,français,m,3,0.25666667,-10.04228362,0.40363044
