subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5eb7031b5e4ac262cd77c949,0,0,2024-02-27T09:32:09.429Z,french_181.wav,0,poule,15696,45,3,5,français,m,0,0.0,52.63626805,0.9763228
5eb7031b5e4ac262cd77c949,0,0,2024-02-27T09:32:09.429Z,french_181.wav,0,poule,15696,45,3,5,français,m,1,0.1,57.50479679,1.59974154
5eb7031b5e4ac262cd77c949,0,0,2024-02-27T09:32:09.429Z,french_181.wav,0,poule,15696,45,3,5,français,m,2,0.2,-83.63706112,1.01502959
5eb7031b5e4ac262cd77c949,0,0,2024-02-27T09:32:09.429Z,french_181.wav,0,poule,15696,45,3,5,français,m,3,0.25666667,-1.92902825,0.93700507
5eb7031b5e4ac262cd77c949,1,0,2024-02-27T09:32:09.429Z,french_245.wav,0,poule,2849,45,3,5,français,m,0,0.0,-61.74573417,0.99313774
5eb7031b5e4ac262cd77c949,1,0,2024-02-27T09:32:09.429Z,french_245.wav,0,poule,2849,45,3,5,français,m,1,0.1,71.88692077,1.19752892
5eb7031b5e4ac262cd77c949,1,0,2024-02-27T09:32:09.429Z,french_245.wav,0,poule,2849,45,3,5,français,m,2,0.2,-28.60272728,1.585112
5eb7031b5e4ac262cd77c949,1,0,2024-02-27T09:32:09.429Z,french_245.wav,0,poule,2849,45,3,5,français,m,3,0.25666667,-6.96353839,1.16753586
5eb7031b5e4ac262cd77c949,2,0,2024-02-27T09:32:09.429Z,french_87.wav,0,poule,2236,45,3,5,français,m,0,0.0,57.46562038,1.84924107
5eb7031b5e4ac262cd77c949,2,0,2024-02-27T09:32:09.429Z,french_87.wav,0,poule,2236,45,3,5,français,m,1,0.1,64.37451918,1.35752119
5eb7031b5e4ac262cd77c949,2,0,2024-02-27T09:32:09.429Z,french_87.wav,0,poule,2236,45,3,5,français,m,2,0.2,34.82822911,1.55092153
5eb7031b5e4ac262cd77c949,2,0,2024-02-27T09:32:09.429Z,french_87.wav,0,poule,2236,45,3,5,français,m,3,0.25666667,-44.22171713,0.2478561
5eb7031b5e4ac262cd77c949,3,0,2024-02-27T09:32:09.429Z,french_462.wav,0,poule,1948,45,3,5,français,m,0,0.0,-21.95394664,1.87011175
5eb7031b5e4ac262cd77c949,3,0,2024-02-27T09:32:09.429Z,french_462.wav,0,poule,1948,45,3,5,français,m,1,0.1,40.83343907,1.54087482
5eb7031b5e4ac262cd77c949,3,0,2024-02-27T09:32:09.429Z,french_462.wav,0,poule,1948,45,3,5,français,m,2,0.2,-14.27053038,0.9591328
