subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
5f85c88c61e23608718cbd03,0,0,2024-02-27T09:23:12.830Z,french_950.wav,0,poule,3407,34,4,5,francais,m,0,0.0,6.46729125,1.1492664
5f85c88c61e23608718cbd03,0,0,2024-02-27T09:23:12.830Z,french_950.wav,0,poule,3407,34,4,5,francais,m,1,0.1,89.94723115,1.37343317
5f85c88c61e23608718cbd03,0,0,2024-02-27T09:23:12.830Z,french_950.wav,0,poule,3407,34,4,5,francais,m,2,0.2,33.92654299,1.07181876
5f85c88c61e23608718cbd03,0,0,2024-02-27T09:23:12.830Z,french_950.wav,0,poule,3407,34,4,5,francais,m,3,0.25666667,4.68690548,0.13073982
5f85c88c61e23608718cbd03,1,0,2024-02-27T09:23:12.830Z,french_832.wav,0,poule,1839,34,4,5,francais,m,0,0.0,72.4957568,1.55241154
5f85c88c61e23608718cbd03,1,0,2024-02-27T09:23:12.830Z,french_832.wav,0,poule,1839,34,4,5,francais,m,1,0.1,-42.52759542,0.51342339
5f85c88c61e23608718cbd03,1,0,2024-02-27T09:23:12.830Z,french_832.wav,0,poule,1839,34,4,5,francais,m,2,0.2,-19.34515336,1.23436829
5f85c88c61e23608718cbd03,1,0,2024-02-27T09:23:12.830Z,french_832.wav,0,poule,1839,34,4,5,francais,m,3,0.25666667,29.69631954,0.63501701
5f85c88c61e23608718cbd03,2,0,2024-02-27T09:23:12.830Z,french_781.wav,0,pull,5959,34,4,5,francais,m,0,0.0,33.25938538,1.27105286
5f85c88c61e23608718cbd03,2,0,2024-02-27T09:23:12.830Z,french_781.wav,0,pull,5959,34,4,5,francais,m,1,0.1,-13.90292419,0.93357863
5f85c88c61e23608718cbd03,2,0,2024-02-27T09:23:12.830Z,french_781.wav,0,pull,5959,34,4,5,francais,m,2,0.2,-71.59350782,1.0124146
5f85c88c61e23608718cbd03,2,0,2024-02-27T09:23:12.830Z,french_781.wav,0,pull,5959,34,4,5,francais,m,3,0.25666667,57.07291034,0.68511696
5f85c88c61e23608718cbd03,3,0,2024-02-27T09:23:12.830Z,french_454.wav,0,pull,2474,34,4,5,francais,m,0,0.0,-2.34959028,0.74247593
5f85c88c61e23608718cbd03,3,0,2024-02-27T09:23:12.830Z,french_454.wav,0,pull,2474,34,4,5,francais,m,1,0.1,-12.00596157,1.74271244
5f85c88c61e23608718cbd03,3,0,2024-02-27T09:23:12.830Z,french_454.wav,0,pull,2474,34,4,5,francais,m,2,0.2,53.09832594,0.67609159
5f85c88c61e23608718cbd03,3,0,2024-02-27T09:23:12.830Z,french_454.wav,0,pull,2474,34,4,5,francais,m,3,0.25666667,2.06709411,1.84499539
5f85c88c61e23608718cbd03,4,0,2024-02-27T09:23:12.830Z,french_613.wav,0,poule,2337,34,4,5,francais,m,0,0.0,-39.45599103,0.33894647
5f85c88c61e23608718cbd03,4,0,2024-02-27T09:23:12.830Z,french_613.wav,0,poule,2337,34,4,5,francais,m,1,0.1,37.73715393,0.28387009
