subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
6156e3e5439db9e60d24df29,0,0,2024-02-27T09:30:31.756Z,french_847.wav,0,poule,5898,32,4,5,français,f,0,0.0,-8.33122073,1.64160395
6156e3e5439db9e60d24df29,0,0,2024-02-27T09:30:31.756Z,french_847.wav,0,poule,5898,32,4,5,français,f,1,0.1,28.51239659,0.11991739
6156e3e5439db9e60d24df29,0,0,2024-02-27T09:30:31.756Z,french_847.wav,0,poule,5898,32,4,5,français,f,2,0.2,-26.33136573,1.12824789
6156e3e5439db9e60d24df29,0,0,2024-02-27T09:30:31.756Z,french_847.wav,0,poule,5898,32,4,5,français,f,3,0.25666667,21.45038454,0.68287375
6156e3e5439db9e60d24df29,1,0,2024-02-27T09:30:31.756Z,french_7.wav,0,pull,4502,32,4,5,français,f,0,0.0,-71.02833311,1.79953402
6156e3e5439db9e60d24df29,1,0,2024-02-27T09:30:31.756Z,french_7.wav,0,pull,4502,32,4,5,français,f,1,0.1,-12.38691322,1.89065694
6156e3e5439db9e60d24df29,1,0,2024-02-27T09:30:31.756Z,french_7.wav,0,pull,4502,32,4,5,français,f,2,0.2,-62.8930846,0.59849277
6156e3e5439db9e60d24df29,1,0,2024-02-27T09:30:31.756Z,french_7.wav,0,pull,4502,32,4,5,français,f,3,0.25666667,27.53159518,0.94237915
6156e3e5439db9e60d24df29,2,0,2024-02-27T09:30:31.756Z,french_454.wav,0,poule,3697,32,4,5,français,f,0,0.0,-2.34959028,0.74247593
6156e3e5439db9e60d24df29,2,0,2024-02-27T09:30:31.756Z,french_454.wav,0,poule,3697,32,4,5,français,f,1,0.1,-12.00596157,1.74271244
6156e3e5439db9e60d24df29,2,0,2024-02-27T09:30:31.756Z,french_454.wav,0,poule,3697,32,4,5,français,f,2,0.2,53.09832594,0.67609159
6156e3e5439db9e60d24df29,2,0,2024-02-27T09:30:31.756Z,french_454.wav,0,poule,3697,32,4,5,français,f,3,0.25666667,2.06709411,1.84499539
6156e3e5439db9e60d24df29,3,0,2024-02-27T09:30:31.756Z,french_552.wav,0,poule,1429,32,4,5,français,f,0,0.0,-52.32363839,0.44295398
6156e3e5439db9e60d24df29,3,0,2024-02-27T09:30:31.756Z,french_552.wav,0,poule,1429,32,4,5,français,f,1,0.1,23.44364533,1.4520287
6156e3e5439db9e60d24df29,3,0,2024-02-27T09:30:31.756Z,french_552.wav,0,poule,1429,32,4,5,français,f,2,0.2,72.20212972,0.63620541
6156e3e5439db9e60d24df29,3,0,2024-02-27T09:30:31.756Z,french_552.wav,0,poule,1429,32,4,5,français,f,3,0.25666667,-25.42911122,1.39952151
6156e3e5439db9e60d24df29,4,0,2024-02-27T09:30:31.756Z,french_824.wav,0,poule,6110,32,4,5,français,f,0,0.0,95.58094713,1.84230129
6156e3e5439db9e60d24df29,4,0,2024-02-27T09:30:31.756Z,french_824.wav,0,poule,6110,32,4,5,français,f,1,0.1,-47.05258515,1.74244762
6156e3e5439db9e60d24df29,4,0,2024-02-27T09:30:31.756Z,french_824.wav,0,poule,6110,32,4,5,français,f,2,0.2,43.18521816,1.04703492
6156e3e5439db9e60d24df29,4,0,2024-02-27T09:30:31.756Z,french_824.wav,0,poule,6110,32,4,5,français,f,3,0.25666667,-5.69582576,0.75358401
6156e3e5439db9e60d24df29,5,0,2024-02-27T09:30:31.756Z,french_221.wav,0,poule,3267,32,4,5,français,f,0,0.0,-51.4093514,1.39236456
6156e3e5439db9e60d24df29,5,0,2024-02-27T09:30:31.756Z,french_221.wav,0,poule,3267,32,4,5,français,f,1,0.1,-69.26159538,1.1318895
6156e3e5439db9e60d24df29,5,0,2024-02-27T09:30:31.756Z,french_221.wav,0,poule,3267,32,4,5,français,f,2,0.2,-72.79183118,0.94601275
6156e3e5439db9e60d24df29,5,0,2024-02-27T09:30:31.756Z,french_221.wav,0,poule,3267,32,4,5,français,f,3,0.25666667,34.31828887,1.80964418
6156e3e5439db9e60d24df29,6,0,2024-02-27T09:30:31.756Z,french_707.wav,0,poule,1530,32,4,5,français,f,0,0.0,77.25708539,0.72667473
6156e3e5439db9e60d24df29,6,0,2024-02-27T09:30:31.756Z,french_707.wav,0,poule,1530,32,4,5,français,f,1,0.1,-54.8008957,1.98017833
6156e3e5439db9e60d24df29,6,0,2024-02-27T09:30:31.756Z,french_707.wav,0,poule,1530,32,4,5,français,f,2,0.2,-15.62691875,0.70006776
6156e3e5439db9e60d24df29,6,0,2024-02-27T09:30:31.756Z,french_707.wav,0,poule,1530,32,4,5,français,f,3,0.25666667,8.64437522,1.11828401
6156e3e5439db9e60d24df29,7,0,2024-02-27T09:30:31.756Z,french_587.wav,0,poule,551,32,4,5,français,f,0,0.0,-75.34784911,1.71069253
6156e3e5439db9e60d24df29,7,0,2024-02-27T09:30:31.756Z,french_587.wav,0,poule,551,32,4,5,français,f,1,0.1,20.53880501,1.37718063
6156e3e5439db9e60d24df29,7,0,2024-02-27T09:30:31.756Z,french_587.wav,0,poule,551,32,4,5,français,f,2,0.2,-66.82934855,1.47865121
6156e3e5439db9e60d24df29,7,0,2024-02-27T09:30:31.756Z,french_587.wav,0,poule,551,32,4,5,français,f,3,0.25666667,0.42354047,1.29460257
6156e3e5439db9e60d24df29,8,0,2024-02-27T09:30:31.756Z,french_920.wav,0,poule,1001,32,4,5,français,f,0,0.0,98.83591172,0.7646584
6156e3e5439db9e60d24df29,8,0,2024-02-27T09:30:31.756Z,french_920.wav,0,poule,1001,32,4,5,français,f,1,0.1,-64.95643085,1.02879579
6156e3e5439db9e60d24df29,8,0,2024-02-27T09:30:31.756Z,french_920.wav,0,poule,1001,32,4,5,français,f,2,0.2,1.57326281,1.0684491
6156e3e5439db9e60d24df29,8,0,2024-02-27T09:30:31.756Z,french_920.wav,0,poule,1001,32,4,5,français,f,3,0.25666667,-25.63648329,0.89198175
6156e3e5439db9e60d24df29,9,0,2024-02-27T09:30:31.756Z,french_643.wav,0,poule,1324,32,4,5,français,f,0,0.0,63.91458592,0.06817761
6156e3e5439db9e60d24df29,9,0,2024-02-27T09:30:31.756Z,french_643.wav,0,poule,1324,32,4,5,français,f,1,0.1,-87.79617997,1.72915736
6156e3e5439db9e60d24df29,9,0,2024-02-27T09:30:31.756Z,french_643.wav,0,poule,1324,32,4,5,français,f,2,0.2,-35.4412084,1.06879305
6156e3e5439db9e60d24df29,9,0,2024-02-27T09:30:31.756Z,french_643.wav,0,poule,1324,32,4,5,français,f,3,0.25666667,41.82610472,1.26220402
6156e3e5439db9e60d24df29,10,0,2024-02-27T09:30:31.756Z,french_300.wav,0,poule,1180,32,4,5,français,f,0,0.0,-13.28568226,1.4723541
6156e3e5439db9e60d24df29,10,0,2024-02-27T09:30:31.756Z,french_300.wav,0,poule,1180,32,4,5,français,f,1,0.1,80.95964609,1.07308012
6156e3e5439db9e60d24df29,10,0,2024-02-27T09:30:31.756Z,french_300.wav,0,poule,1180,32,4,5,français,f,2,0.2,97.81212175,1.14674573
6156e3e5439db9e60d24df29,10,0,2024-02-27T09:30:31.756Z,french_300.wav,0,poule,1180,32,4,5,français,f,3,0.25666667,60.85112551,1.78656344
6156e3e5439db9e60d24df29,11,0,2024-02-27T09:30:31.756Z,french_374.wav,0,pull,1690,32,4,5,français,f,0,0.0,23.12233407,0.63582229
6156e3e5439db9e60d24df29,11,0,2024-02-27T09:30:31.756Z,french_374.wav,0,pull,1690,32,4,5,français,f,1,0.1,4.88786521,0.48218095
6156e3e5439db9e60d24df29,11,0,2024-02-27T09:30:31.756Z,french_374.wav,0,pull,1690,32,4,5,français,f,2,0.2,75.40336837,0.81003499
