subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
6534322b1c3b356fea530715,0,0,2024-02-24T08:32:43.973Z,french_673.wav,0,poule,1864,34,5,5,Français,m,0,0.0,97.1433432,1.2603
6534322b1c3b356fea530715,0,0,2024-02-24T08:32:43.973Z,french_673.wav,0,poule,1864,34,5,5,Français,m,1,0.1,1.59516127,0.42137615
6534322b1c3b356fea530715,0,0,2024-02-24T08:32:43.973Z,french_673.wav,0,poule,1864,34,5,5,Français,m,2,0.2,27.02161491,0.87652171
6534322b1c3b356fea530715,0,0,2024-02-24T08:32:43.973Z,french_673.wav,0,poule,1864,34,5,5,Français,m,3,0.25666667,62.92522021,1.1230089
6534322b1c3b356fea530715,1,0,2024-02-24T08:32:43.973Z,french_160.wav,0,poule,1784,34,5,5,Français,m,0,0.0,94.580754,1.48632924
6534322b1c3b356fea530715,1,0,2024-02-24T08:32:43.973Z,french_160.wav,0,poule,1784,34,5,5,Français,m,1,0.1,-77.59057929,0.83284567
6534322b1c3b356fea530715,1,0,2024-02-24T08:32:43.973Z,french_160.wav,0,poule,1784,34,5,5,Français,m,2,0.2,49.28871101,1.32543638
6534322b1c3b356fea530715,1,0,2024-02-24T08:32:43.973Z,french_160.wav,0,poule,1784,34,5,5,Français,m,3,0.25666667,54.34008904,1.18016963
6534322b1c3b356fea530715,2,0,2024-02-24T08:32:43.973Z,french_101.wav,0,poule,1638,34,5,5,Français,m,0,0.0,2.45558497,0.33272101
6534322b1c3b356fea530715,2,0,2024-02-24T08:32:43.973Z,french_101.wav,0,poule,1638,34,5,5,Français,m,1,0.1,-89.46857105,1.30167387
6534322b1c3b356fea530715,2,0,2024-02-24T08:32:43.973Z,french_101.wav,0,poule,1638,34,5,5,Français,m,2,0.2,26.84471845,0.45771198
6534322b1c3b356fea530715,2,0,2024-02-24T08:32:43.973Z,french_101.wav,0,poule,1638,34,5,5,Français,m,3,0.25666667,-40.2942876,1.30875705
6534322b1c3b356fea530715,3,0,2024-02-24T08:32:43.973Z,french_871.wav,0,poule,837,34,5,5,Français,m,0,0.0,-4.85456223,1.97775754
6534322b1c3b356fea530715,3,0,2024-02-24T08:32:43.973Z,french_871.wav,0,poule,837,34,5,5,Français,m,1,0.1,78.38715758,1.19373072
6534322b1c3b356fea530715,3,0,2024-02-24T08:32:43.973Z,french_871.wav,0,poule,837,34,5,5,Français,m,2,0.2,-65.12117647,1.5578529
6534322b1c3b356fea530715,3,0,2024-02-24T08:32:43.973Z,french_871.wav,0,poule,837,34,5,5,Français,m,3,0.25666667,96.09900544,1.61262149
6534322b1c3b356fea530715,4,0,2024-02-24T08:32:43.973Z,french_543.wav,0,pull,2675,34,5,5,Français,m,0,0.0,99.95964938,0.10365101
6534322b1c3b356fea530715,4,0,2024-02-24T08:32:43.973Z,french_543.wav,0,pull,2675,34,5,5,Français,m,1,0.1,62.1224346,1.02026934
6534322b1c3b356fea530715,4,0,2024-02-24T08:32:43.973Z,french_543.wav,0,pull,2675,34,5,5,Français,m,2,0.2,-10.06540024,0.56488883
6534322b1c3b356fea530715,4,0,2024-02-24T08:32:43.973Z,french_543.wav,0,pull,2675,34,5,5,Français,m,3,0.25666667,-5.35888672,0.3884986
6534322b1c3b356fea530715,5,0,2024-02-24T08:32:43.973Z,french_737.wav,0,poule,891,34,5,5,Français,m,0,0.0,13.02374388,1.19502519
6534322b1c3b356fea530715,5,0,2024-02-24T08:32:43.973Z,french_737.wav,0,poule,891,34,5,5,Français,m,1,0.1,-10.41694685,0.96501463
6534322b1c3b356fea530715,5,0,2024-02-24T08:32:43.973Z,french_737.wav,0,poule,891,34,5,5,Français,m,2,0.2,-16.29618142,0.50712422
6534322b1c3b356fea530715,5,0,2024-02-24T08:32:43.973Z,french_737.wav,0,poule,891,34,5,5,Français,m,3,0.25666667,15.62671798,0.54653665
6534322b1c3b356fea530715,6,0,2024-02-24T08:32:43.973Z,french_547.wav,0,poule,664,34,5,5,Français,m,0,0.0,-72.35697933,0.54090293
