subj,trial,block,date,stim,stim_order,response,rt,age,english,french,language,sex,param_index,segment,pitch,stretch
657b128079618c853ed056b4,0,0,2024-02-24T09:13:04.163Z,french_17.wav,0,pull,5354,62,4,5,français,m,0,0.0,61.86852427,1.05769551
657b128079618c853ed056b4,0,0,2024-02-24T09:13:04.163Z,french_17.wav,0,pull,5354,62,4,5,français,m,1,0.1,14.81642836,0.81667418
657b128079618c853ed056b4,0,0,2024-02-24T09:13:04.163Z,french_17.wav,0,pull,5354,62,4,5,français,m,2,0.2,-8.48865215,0.51249479
657b128079618c853ed056b4,0,0,2024-02-24T09:13:04.163Z,french_17.wav,0,pull,5354,62,4,5,français,m,3,0.25666667,71.68336874,0.29939213
657b128079618c853ed056b4,1,0,2024-02-24T09:13:04.163Z,french_98.wav,0,poule,3763,62,4,5,français,m,0,0.0,-5.34356544,0.47275823
657b128079618c853ed056b4,1,0,2024-02-24T09:13:04.163Z,french_98.wav,0,poule,3763,62,4,5,français,m,1,0.1,-51.77157259,0.98771666
657b128079618c853ed056b4,1,0,2024-02-24T09:13:04.163Z,french_98.wav,0,poule,3763,62,4,5,français,m,2,0.2,16.6615471,0.01400035
657b128079618c853ed056b4,1,0,2024-02-24T09:13:04.163Z,french_98.wav,0,poule,3763,62,4,5,français,m,3,0.25666667,-37.68560636,0.42827786
657b128079618c853ed056b4,2,0,2024-02-24T09:13:04.163Z,french_134.wav,0,poule,1340,62,4,5,français,m,0,0.0,-65.58132827,0.68669704
657b128079618c853ed056b4,2,0,2024-02-24T09:13:04.163Z,french_134.wav,0,poule,1340,62,4,5,français,m,1,0.1,-89.82992505,1.50131287
657b128079618c853ed056b4,2,0,2024-02-24T09:13:04.163Z,french_134.wav,0,poule,1340,62,4,5,français,m,2,0.2,9.99695038,0.69598371
657b128079618c853ed056b4,2,0,2024-02-24T09:13:04.163Z,french_134.wav,0,poule,1340,62,4,5,français,m,3,0.25666667,24.50908123,1.57047358
657b128079618c853ed056b4,3,0,2024-02-24T09:13:04.163Z,french_819.wav,0,poule,831,62,4,5,français,m,0,0.0,10.23888344,1.93351894
657b128079618c853ed056b4,3,0,2024-02-24T09:13:04.163Z,french_819.wav,0,poule,831,62,4,5,français,m,1,0.1,14.33129562,0.24790788
657b128079618c853ed056b4,3,0,2024-02-24T09:13:04.163Z,french_819.wav,0,poule,831,62,4,5,français,m,2,0.2,-57.61493264,1.58463495
657b128079618c853ed056b4,3,0,2024-02-24T09:13:04.163Z,french_819.wav,0,poule,831,62,4,5,français,m,3,0.25666667,33.17012155,0.31192511
657b128079618c853ed056b4,4,0,2024-02-24T09:13:04.163Z,french_810.wav,0,poule,2551,62,4,5,français,m,0,0.0,76.35600219,0.51042634
657b128079618c853ed056b4,4,0,2024-02-24T09:13:04.163Z,french_810.wav,0,poule,2551,62,4,5,français,m,1,0.1,33.05643104,0.40354819
657b128079618c853ed056b4,4,0,2024-02-24T09:13:04.163Z,french_810.wav,0,poule,2551,62,4,5,français,m,2,0.2,14.69103946,0.8135704
657b128079618c853ed056b4,4,0,2024-02-24T09:13:04.163Z,french_810.wav,0,poule,2551,62,4,5,français,m,3,0.25666667,-16.26362119,0.38644961
657b128079618c853ed056b4,5,0,2024-02-24T09:13:04.163Z,french_394.wav,0,pull,1301,62,4,5,français,m,0,0.0,-46.0867736,1.77850735
657b128079618c853ed056b4,5,0,2024-02-24T09:13:04.163Z,french_394.wav,0,pull,1301,62,4,5,français,m,1,0.1,-42.56429646,0.50210825
657b128079618c853ed056b4,5,0,2024-02-24T09:13:04.163Z,french_394.wav,0,pull,1301,62,4,5,français,m,2,0.2,31.61260766,1.1233825
657b128079618c853ed056b4,5,0,2024-02-24T09:13:04.163Z,french_394.wav,0,pull,1301,62,4,5,français,m,3,0.25666667,-7.99475259,0.72186821
657b128079618c853ed056b4,6,0,2024-02-24T09:13:04.163Z,french_910.wav,0,poule,1689,62,4,5,français,m,0,0.0,-48.65293901,0.34246772
657b128079618c853ed056b4,6,0,2024-02-24T09:13:04.163Z,french_910.wav,0,poule,1689,62,4,5,français,m,1,0.1,-4.89021115,1.03510625
657b128079618c853ed056b4,6,0,2024-02-24T09:13:04.163Z,french_910.wav,0,poule,1689,62,4,5,français,m,2,0.2,-57.2651588,1.59317518
657b128079618c853ed056b4,6,0,2024-02-24T09:13:04.163Z,french_910.wav,0,poule,1689,62,4,5,français,m,3,0.25666667,-57.53771148,0.91667414
657b128079618c853ed056b4,7,0,2024-02-24T09:13:04.163Z,french_852.wav,0,poule,932,62,4,5,français,m,0,0.0,-21.25647341,1.59129412
657b128079618c853ed056b4,7,0,2024-02-24T09:13:04.163Z,french_852.wav,0,poule,932,62,4,5,français,m,1,0.1,44.09899268,0.90931534
657b128079618c853ed056b4,7,0,2024-02-24T09:13:04.163Z,french_852.wav,0,poule,932,62,4,5,français,m,2,0.2,-20.54343266,0.17046498
657b128079618c853ed056b4,7,0,2024-02-24T09:13:04.163Z,french_852.wav,0,poule,932,62,4,5,français,m,3,0.25666667,-73.6389021,0.95788578
657b128079618c853ed056b4,8,0,2024-02-24T09:13:04.163Z,french_697.wav,0,poule,883,62,4,5,français,m,0,0.0,-19.8565912,1.89587242
657b128079618c853ed056b4,8,0,2024-02-24T09:13:04.163Z,french_697.wav,0,poule,883,62,4,5,français,m,1,0.1,-16.18456076,0.49072185
657b128079618c853ed056b4,8,0,2024-02-24T09:13:04.163Z,french_697.wav,0,poule,883,62,4,5,français,m,2,0.2,-70.77550193,1.8362568
657b128079618c853ed056b4,8,0,2024-02-24T09:13:04.163Z,french_697.wav,0,poule,883,62,4,5,français,m,3,0.25666667,-81.21106402,0.50078837
