subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
AKY,0,0,2024-06-29T08:11:54.411Z,english_359.wav,0,0,11830,52,4,Japanese,f,0,0,16.62356483,0.11907426
AKY,0,0,2024-06-29T08:11:54.411Z,english_359.wav,0,0,11830,52,4,Japanese,f,1,0.1,-64.66657599,1.11022803
AKY,0,0,2024-06-29T08:11:54.411Z,english_359.wav,0,0,11830,52,4,Japanese,f,2,0.2,20.81574107,1.93552837
AKY,0,0,2024-06-29T08:11:54.411Z,english_359.wav,0,0,11830,52,4,Japanese,f,3,0.3,62.21324861,0.18628365
AKY,0,0,2024-06-29T08:11:54.411Z,english_359.wav,0,0,11830,52,4,Japanese,f,4,0.4,-96.92379856,1.68045213
AKY,0,0,2024-06-29T08:11:54.411Z,english_359.wav,0,0,11830,52,4,Japanese,f,5,0.5,-63.09314604,0.56124054
AKY,0,0,2024-06-29T08:11:54.411Z,english_359.wav,0,0,11830,52,4,Japanese,f,6,0.6,85.3804948,1.40840471
AKY,0,0,2024-06-29T08:11:54.411Z,english_359.wav,0,0,11830,52,4,Japanese,f,7,0.7,-5.84073458,0.76045624
AKY,0,0,2024-06-29T08:11:54.411Z,english_359.wav,0,0,11830,52,4,Japanese,f,8,0.8,1.07766227,0.79738911
AKY,0,0,2024-06-29T08:11:54.411Z,english_359.wav,0,0,11830,52,4,Japanese,f,9,0.9,-3.48391837,0.78873787
AKY,0,0,2024-06-29T08:11:54.411Z,english_359.wav,0,0,11830,52,4,Japanese,f,10,1,5.39755614,0.96854707
AKY,0,0,2024-06-29T08:11:54.411Z,english_359.wav,0,0,11830,52,4,Japanese,f,11,1.09391667,59.72301587,0.15927381
AKY,1,0,2024-06-29T08:11:54.411Z,english_766.wav,0,0,6109,52,4,Japanese,f,0,0,42.94713727,0.47626881
AKY,1,0,2024-06-29T08:11:54.411Z,english_766.wav,0,0,6109,52,4,Japanese,f,1,0.1,28.30886199,1.1713526
AKY,1,0,2024-06-29T08:11:54.411Z,english_766.wav,0,0,6109,52,4,Japanese,f,2,0.2,1.2264226,1.74074018
AKY,1,0,2024-06-29T08:11:54.411Z,english_766.wav,0,0,6109,52,4,Japanese,f,3,0.3,-18.98827785,1.46451689
AKY,1,0,2024-06-29T08:11:54.411Z,english_766.wav,0,0,6109,52,4,Japanese,f,4,0.4,56.2842172,1.82010581
AKY,1,0,2024-06-29T08:11:54.411Z,english_766.wav,0,0,6109,52,4,Japanese,f,5,0.5,-36.10050509,0.06402892
AKY,1,0,2024-06-29T08:11:54.411Z,english_766.wav,0,0,6109,52,4,Japanese,f,6,0.6,-35.32176748,1.19039401
AKY,1,0,2024-06-29T08:11:54.411Z,english_766.wav,0,0,6109,52,4,Japanese,f,7,0.7,-60.08162155,1.08978002
AKY,1,0,2024-06-29T08:11:54.411Z,english_766.wav,0,0,6109,52,4,Japanese,f,8,0.8,89.09432849,1.1905248
AKY,1,0,2024-06-29T08:11:54.411Z,english_766.wav,0,0,6109,52,4,Japanese,f,9,0.9,19.08224966,1.93919958
AKY,1,0,2024-06-29T08:11:54.411Z,english_766.wav,0,0,6109,52,4,Japanese,f,10,1,-35.22352631,1.038365
AKY,1,0,2024-06-29T08:11:54.411Z,english_766.wav,0,0,6109,52,4,Japanese,f,11,1.09391667,-47.26773358,0.66318898
AKY,2,0,2024-06-29T08:11:54.411Z,english_963.wav,0,1,4098,52,4,Japanese,f,0,0,12.85572416,1.75469767
AKY,2,0,2024-06-29T08:11:54.411Z,english_963.wav,0,1,4098,52,4,Japanese,f,1,0.1,-76.17617766,0.88786329
AKY,2,0,2024-06-29T08:11:54.411Z,english_963.wav,0,1,4098,52,4,Japanese,f,2,0.2,42.35975093,1.03977576
AKY,2,0,2024-06-29T08:11:54.411Z,english_963.wav,0,1,4098,52,4,Japanese,f,3,0.3,-29.56352697,0.40233076
AKY,2,0,2024-06-29T08:11:54.411Z,english_963.wav,0,1,4098,52,4,Japanese,f,4,0.4,1.9048802,1.77716713
AKY,2,0,2024-06-29T08:11:54.411Z,english_963.wav,0,1,4098,52,4,Japanese,f,5,0.5,-59.42176318,1.22252544
AKY,2,0,2024-06-29T08:11:54.411Z,english_963.wav,0,1,4098,52,4,Japanese,f,6,0.6,-90.23873789,1.36334994
AKY,2,0,2024-06-29T08:11:54.411Z,english_963.wav,0,1,4098,52,4,Japanese,f,7,0.7,96.0492683,0.19892648
AKY,2,0,2024-06-29T08:11:54.411Z,english_963.wav,0,1,4098,52,4,Japanese,f,8,0.8,-14.96705396,0.48578079
AKY,2,0,2024-06-29T08:11:54.411Z,english_963.wav,0,1,4098,52,4,Japanese,f,9,0.9,53.28049668,0.49525144
AKY,2,0,2024-06-29T08:11:54.411Z,english_963.wav,0,1,4098,52,4,Japanese,f,10,1,-50.64061571,1.97867338
AKY,2,0,2024-06-29T08:11:54.411Z,english_963.wav,0,1,4098,52,4,Japanese,f,11,1.09391667,33.50411271,0.71277393
AKY,3,0,2024-06-29T08:11:54.411Z,english_311.wav,0,1,4049,52,4,Japanese,f,0,0,64.66080996,0.82460416
AKY,3,0,2024-06-29T08:11:54.411Z,english_311.wav,0,1,4049,52,4,Japanese,f,1,0.1,-69.02575999,0.36483522
AKY,3,0,2024-06-29T08:11:54.411Z,english_311.wav,0,1,4049,52,4,Japanese,f,2,0.2,-67.68739859,0.7494254
AKY,3,0,2024-06-29T08:11:54.411Z,english_311.wav,0,1,4049,52,4,Japanese,f,3,0.3,44.13725608,0.5130867
AKY,3,0,2024-06-29T08:11:54.411Z,english_311.wav,0,1,4049,52,4,Japanese,f,4,0.4,93.17105676,0.37208425
AKY,3,0,2024-06-29T08:11:54.411Z,english_311.wav,0,1,4049,52,4,Japanese,f,5,0.5,84.82973528,1.19695655
AKY,3,0,2024-06-29T08:11:54.411Z,english_311.wav,0,1,4049,52,4,Japanese,f,6,0.6,-34.91706274,0.97358849
AKY,3,0,2024-06-29T08:11:54.411Z,english_311.wav,0,1,4049,52,4,Japanese,f,7,0.7,-93.26420788,1.42777336
AKY,3,0,2024-06-29T08:11:54.411Z,english_311.wav,0,1,4049,52,4,Japanese,f,8,0.8,78.86658017,1.14684196
AKY,3,0,2024-06-29T08:11:54.411Z,english_311.wav,0,1,4049,52,4,Japanese,f,9,0.9,-56.88823021,0.88829321
AKY,3,0,2024-06-29T08:11:54.411Z,english_311.wav,0,1,4049,52,4,Japanese,f,10,1,16.33779759,0.74783525
AKY,3,0,2024-06-29T08:11:54.411Z,english_311.wav,0,1,4049,52,4,Japanese,f,11,1.09391667,54.14062415,1.42501308
AKY,4,0,2024-06-29T08:11:54.411Z,english_436.wav,0,1,10028,52,4,Japanese,f,0,0,-5.79676766,0.51982844
AKY,4,0,2024-06-29T08:11:54.411Z,english_436.wav,0,1,10028,52,4,Japanese,f,1,0.1,-7.88979016,1.6050725
AKY,4,0,2024-06-29T08:11:54.411Z,english_436.wav,0,1,10028,52,4,Japanese,f,2,0.2,-30.02673636,1.59647027
AKY,4,0,2024-06-29T08:11:54.411Z,english_436.wav,0,1,10028,52,4,Japanese,f,3,0.3,10.91379363,1.97742112
AKY,4,0,2024-06-29T08:11:54.411Z,english_436.wav,0,1,10028,52,4,Japanese,f,4,0.4,1.79762369,1.85601804
AKY,4,0,2024-06-29T08:11:54.411Z,english_436.wav,0,1,10028,52,4,Japanese,f,5,0.5,73.94991314,1.38993988
AKY,4,0,2024-06-29T08:11:54.411Z,english_436.wav,0,1,10028,52,4,Japanese,f,6,0.6,77.03109361,1.43065154
AKY,4,0,2024-06-29T08:11:54.411Z,english_436.wav,0,1,10028,52,4,Japanese,f,7,0.7,-48.27841607,0.14937688
AKY,4,0,2024-06-29T08:11:54.411Z,english_436.wav,0,1,10028,52,4,Japanese,f,8,0.8,57.26579501,1.65528817
AKY,4,0,2024-06-29T08:11:54.411Z,english_436.wav,0,1,10028,52,4,Japanese,f,9,0.9,-80.56784579,1.0202375
AKY,4,0,2024-06-29T08:11:54.411Z,english_436.wav,0,1,10028,52,4,Japanese,f,10,1,64.74546515,1.82414723
