subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
AYT,0,0,2024-06-29T10:06:22.313Z,english_448.wav,0,peel,2100,19,5,Japanese,F,0,0.0,-36.42010561,0.75921607
AYT,0,0,2024-06-29T10:06:22.313Z,english_448.wav,0,peel,2100,19,5,Japanese,F,1,0.1,47.73001377,0.95293974
AYT,0,0,2024-06-29T10:06:22.313Z,english_448.wav,0,peel,2100,19,5,Japanese,F,2,0.2,93.59806646,0.22586708
AYT,0,0,2024-06-29T10:06:22.313Z,english_448.wav,0,peel,2100,19,5,Japanese,F,3,0.3,-71.28004739,1.48750577
AYT,0,0,2024-06-29T10:06:22.313Z,english_448.wav,0,peel,2100,19,5,Japanese,F,4,0.4,-73.37708676,0.17134927
AYT,0,0,2024-06-29T10:06:22.313Z,english_448.wav,0,peel,2100,19,5,Japanese,F,5,0.5,74.57279085,1.2791033
AYT,0,0,2024-06-29T10:06:22.313Z,english_448.wav,0,peel,2100,19,5,Japanese,F,6,0.6,93.06132311,0.73590712
AYT,0,0,2024-06-29T10:06:22.313Z,english_448.wav,0,peel,2100,19,5,Japanese,F,7,0.7,53.53303026,1.42606803
AYT,0,0,2024-06-29T10:06:22.313Z,english_448.wav,0,peel,2100,19,5,Japanese,F,8,0.8,-57.75366267,1.73700286
AYT,0,0,2024-06-29T10:06:22.313Z,english_448.wav,0,peel,2100,19,5,Japanese,F,9,0.9,-26.4449428,1.39235574
AYT,0,0,2024-06-29T10:06:22.313Z,english_448.wav,0,peel,2100,19,5,Japanese,F,10,1.0,-31.70641096,0.50787566
AYT,0,0,2024-06-29T10:06:22.313Z,english_448.wav,0,peel,2100,19,5,Japanese,F,11,1.09391667,-10.08807531,1.19414628
AYT,1,0,2024-06-29T10:06:22.313Z,english_950.wav,0,pill,811,19,5,Japanese,F,0,0.0,-86.87554151,0.57113527
AYT,1,0,2024-06-29T10:06:22.313Z,english_950.wav,0,pill,811,19,5,Japanese,F,1,0.1,-72.53946924,0.14563677
AYT,1,0,2024-06-29T10:06:22.313Z,english_950.wav,0,pill,811,19,5,Japanese,F,2,0.2,-93.26314945,1.26514388
AYT,1,0,2024-06-29T10:06:22.313Z,english_950.wav,0,pill,811,19,5,Japanese,F,3,0.3,-1.26261121,0.38436166
AYT,1,0,2024-06-29T10:06:22.313Z,english_950.wav,0,pill,811,19,5,Japanese,F,4,0.4,31.78397293,0.69830078
AYT,1,0,2024-06-29T10:06:22.313Z,english_950.wav,0,pill,811,19,5,Japanese,F,5,0.5,93.59900189,1.31794619
AYT,1,0,2024-06-29T10:06:22.313Z,english_950.wav,0,pill,811,19,5,Japanese,F,6,0.6,-32.85922571,0.31066599
AYT,1,0,2024-06-29T10:06:22.313Z,english_950.wav,0,pill,811,19,5,Japanese,F,7,0.7,18.10300476,1.23311227
AYT,1,0,2024-06-29T10:06:22.313Z,english_950.wav,0,pill,811,19,5,Japanese,F,8,0.8,52.92250064,0.77437242
AYT,1,0,2024-06-29T10:06:22.313Z,english_950.wav,0,pill,811,19,5,Japanese,F,9,0.9,-34.91247692,0.74996015
AYT,1,0,2024-06-29T10:06:22.313Z,english_950.wav,0,pill,811,19,5,Japanese,F,10,1.0,-31.45567731,0.3691409
AYT,1,0,2024-06-29T10:06:22.313Z,english_950.wav,0,pill,811,19,5,Japanese,F,11,1.09391667,88.77151431,1.91617341
AYT,2,0,2024-06-29T10:06:22.313Z,english_132.wav,0,peel,1349,19,5,Japanese,F,0,0.0,0.80878803,1.8484575
AYT,2,0,2024-06-29T10:06:22.313Z,english_132.wav,0,peel,1349,19,5,Japanese,F,1,0.1,-89.46369243,0.19659267
AYT,2,0,2024-06-29T10:06:22.313Z,english_132.wav,0,peel,1349,19,5,Japanese,F,2,0.2,-42.02740452,0.98704764
AYT,2,0,2024-06-29T10:06:22.313Z,english_132.wav,0,peel,1349,19,5,Japanese,F,3,0.3,-31.54071999,0.90975168
AYT,2,0,2024-06-29T10:06:22.313Z,english_132.wav,0,peel,1349,19,5,Japanese,F,4,0.4,0.25010778,1.48690857
AYT,2,0,2024-06-29T10:06:22.313Z,english_132.wav,0,peel,1349,19,5,Japanese,F,5,0.5,58.11815913,1.16973021
AYT,2,0,2024-06-29T10:06:22.313Z,english_132.wav,0,peel,1349,19,5,Japanese,F,6,0.6,81.96461668,0.00206468
AYT,2,0,2024-06-29T10:06:22.313Z,english_132.wav,0,peel,1349,19,5,Japanese,F,7,0.7,-44.50191201,0.61136538
AYT,2,0,2024-06-29T10:06:22.313Z,english_132.wav,0,peel,1349,19,5,Japanese,F,8,0.8,-95.34081409,0.53595083
AYT,2,0,2024-06-29T10:06:22.313Z,english_132.wav,0,peel,1349,19,5,Japanese,F,9,0.9,-97.06518429,0.1294964
AYT,2,0,2024-06-29T10:06:22.313Z,english_132.wav,0,peel,1349,19,5,Japanese,F,10,1.0,9.04827132,0.71465456
AYT,2,0,2024-06-29T10:06:22.313Z,english_132.wav,0,peel,1349,19,5,Japanese,F,11,1.09391667,76.3058936,0.51987053
AYT,3,0,2024-06-29T10:06:22.313Z,english_468.wav,0,peel,671,19,5,Japanese,F,0,0.0,19.31976264,0.66158439
AYT,3,0,2024-06-29T10:06:22.313Z,english_468.wav,0,peel,671,19,5,Japanese,F,1,0.1,-31.93707888,1.54343798
AYT,3,0,2024-06-29T10:06:22.313Z,english_468.wav,0,peel,671,19,5,Japanese,F,2,0.2,87.74953583,1.18268033
AYT,3,0,2024-06-29T10:06:22.313Z,english_468.wav,0,peel,671,19,5,Japanese,F,3,0.3,75.542399,0.92842135
